www.shu.com. 	14400	IN	SOA	ns1.www.shu.com. james.shu.edu. 19122302 14400 3600 2419200 14400
www.shu.com.		    IN	NS ns1.www.shu.com.
jodgrybx.www.shu.com.    IN    A    230.89.46.188
sukxmqva.www.shu.com.    IN    A    254.104.122.16
pviegcba.www.shu.com.    IN    A    6.137.35.23
icfxsrpk.www.shu.com.    IN    A    180.169.167.31
ocgkdlxr.www.shu.com.    IN    A    11.227.193.205
bdnchoqi.www.shu.com.    IN    A    37.184.183.3
lixctouw.www.shu.com.    IN    A    46.37.107.185
uvjwekyx.www.shu.com.    IN    A    227.37.132.41
iuparmlg.www.shu.com.    IN    A    132.184.176.192
ptfvcgnu.www.shu.com.    IN    A    235.129.33.136
oitjwrnl.www.shu.com.    IN    A    204.120.136.115
xpodayne.www.shu.com.    IN    A    25.82.80.122
wrhfindg.www.shu.com.    IN    A    180.27.4.209
ukixtjey.www.shu.com.    IN    A    102.176.81.58
jmdfvgux.www.shu.com.    IN    A    13.157.167.80
ogvexdun.www.shu.com.    IN    A    251.63.148.119
kclwtnug.www.shu.com.    IN    A    153.109.101.20
vgjqfhxu.www.shu.com.    IN    A    5.164.147.91
scavpbyf.www.shu.com.    IN    A    56.98.202.0
jtfbcvem.www.shu.com.    IN    A    225.46.49.4
kdxcibfw.www.shu.com.    IN    A    166.133.54.242
xytdmilu.www.shu.com.    IN    A    217.63.80.70
ieqyvbhd.www.shu.com.    IN    A    75.58.20.78
sqrwfulm.www.shu.com.    IN    A    170.237.64.108
roayileu.www.shu.com.    IN    A    76.205.36.126
emnwkxol.www.shu.com.    IN    A    69.140.30.239
bqslmirw.www.shu.com.    IN    A    23.36.165.127
cxsreohd.www.shu.com.    IN    A    125.131.82.250
leriwtpx.www.shu.com.    IN    A    194.125.66.105
awvkqgms.www.shu.com.    IN    A    151.88.225.55
pefnbgsa.www.shu.com.    IN    A    40.5.50.158
txwljygo.www.shu.com.    IN    A    182.255.196.237
comrfvat.www.shu.com.    IN    A    91.144.14.113
ntwmrayo.www.shu.com.    IN    A    168.143.232.100
dkqxhmwi.www.shu.com.    IN    A    210.86.251.211
jcsdqanr.www.shu.com.    IN    A    20.126.219.12
facylmih.www.shu.com.    IN    A    89.199.58.82
jobhkcax.www.shu.com.    IN    A    47.16.188.171
tihdywnp.www.shu.com.    IN    A    48.116.98.187
ymuqnbwi.www.shu.com.    IN    A    31.127.193.129
fwjergbo.www.shu.com.    IN    A    219.47.84.161
lewojdgh.www.shu.com.    IN    A    210.230.111.58
snrekaix.www.shu.com.    IN    A    125.24.202.142
sorfwgpu.www.shu.com.    IN    A    133.93.131.67
rvwlmtjp.www.shu.com.    IN    A    254.56.3.105
wculobqn.www.shu.com.    IN    A    246.211.200.163
kqouwntm.www.shu.com.    IN    A    21.184.148.43
ijhcxqyf.www.shu.com.    IN    A    111.198.72.158
gbevukqs.www.shu.com.    IN    A    27.136.226.165
cysbqinj.www.shu.com.    IN    A    224.57.14.32
fkymewcu.www.shu.com.    IN    A    216.127.15.74
qnbauoyl.www.shu.com.    IN    A    110.89.27.156
phbycvxa.www.shu.com.    IN    A    87.140.138.44
nwvloabh.www.shu.com.    IN    A    178.241.25.227
cshyimlr.www.shu.com.    IN    A    21.27.103.201
yvktfjqs.www.shu.com.    IN    A    141.72.109.253
swbgqodu.www.shu.com.    IN    A    166.228.8.94
nsmhpdor.www.shu.com.    IN    A    213.213.106.40
lgtpkiwm.www.shu.com.    IN    A    175.77.126.3
eodnspht.www.shu.com.    IN    A    45.14.1.102
dacgpsuq.www.shu.com.    IN    A    31.104.193.91
cvjplnus.www.shu.com.    IN    A    169.130.93.146
djblouhp.www.shu.com.    IN    A    111.42.43.45
hqtdxong.www.shu.com.    IN    A    125.50.221.84
unbkhclm.www.shu.com.    IN    A    165.87.72.69
gykxneuo.www.shu.com.    IN    A    106.26.79.52
lmutqvsi.www.shu.com.    IN    A    85.94.123.201
ixueljma.www.shu.com.    IN    A    31.116.108.34
sfchgxod.www.shu.com.    IN    A    67.67.13.44
loqjyuxv.www.shu.com.    IN    A    90.115.98.176
odxumwth.www.shu.com.    IN    A    157.151.184.89
kyvhmntu.www.shu.com.    IN    A    103.45.96.250
vhdbroya.www.shu.com.    IN    A    198.241.206.193
lxuprvti.www.shu.com.    IN    A    88.163.228.79
drnipqxl.www.shu.com.    IN    A    217.122.134.77
najpxwfu.www.shu.com.    IN    A    24.102.220.218
lvuiqcfa.www.shu.com.    IN    A    134.108.237.90
syfclhpa.www.shu.com.    IN    A    242.60.99.57
kpgxwaql.www.shu.com.    IN    A    251.204.237.168
nwxkfims.www.shu.com.    IN    A    247.66.9.120
qkgpobmi.www.shu.com.    IN    A    243.185.205.156
tjomxrch.www.shu.com.    IN    A    155.89.146.43
sevlfpbq.www.shu.com.    IN    A    58.158.4.145
vpuxqgcj.www.shu.com.    IN    A    239.50.162.82
jifhcgxo.www.shu.com.    IN    A    57.38.138.50
hkbrfnlc.www.shu.com.    IN    A    172.95.141.238
txkdcuil.www.shu.com.    IN    A    250.199.191.104
uhictjrw.www.shu.com.    IN    A    25.13.170.84
txwyfgid.www.shu.com.    IN    A    124.18.218.16
vbcuqwie.www.shu.com.    IN    A    179.221.227.102
lgqnwjuk.www.shu.com.    IN    A    126.227.81.28
vqsbygaj.www.shu.com.    IN    A    55.236.113.102
imqnuetx.www.shu.com.    IN    A    129.188.196.140
otplejck.www.shu.com.    IN    A    172.238.57.56
iawhpfns.www.shu.com.    IN    A    207.75.60.8
cqrhvsae.www.shu.com.    IN    A    23.186.213.217
uykmdnit.www.shu.com.    IN    A    0.20.229.3
npaguthj.www.shu.com.    IN    A    223.172.216.173
mnvqaurs.www.shu.com.    IN    A    212.101.75.4
utenhocg.www.shu.com.    IN    A    163.3.146.175
nyxdhprg.www.shu.com.    IN    A    190.17.157.246
qafigsdt.www.shu.com.    IN    A    246.103.190.209
puybtjfr.www.shu.com.    IN    A    93.249.114.235
lbxhantq.www.shu.com.    IN    A    218.184.173.47
wpodejkr.www.shu.com.    IN    A    126.1.165.251
osrjwchn.www.shu.com.    IN    A    199.230.181.94
biunxjcg.www.shu.com.    IN    A    129.248.27.20
ptireakl.www.shu.com.    IN    A    75.74.127.138
jdsxgral.www.shu.com.    IN    A    182.156.100.128
qedaiuvs.www.shu.com.    IN    A    185.42.168.45
piwyuacb.www.shu.com.    IN    A    199.255.150.4
wakojyhr.www.shu.com.    IN    A    249.41.45.177
fxqbgyui.www.shu.com.    IN    A    176.246.255.254
chropvne.www.shu.com.    IN    A    84.74.36.163
lbjduqrs.www.shu.com.    IN    A    88.38.37.123
ygptokvf.www.shu.com.    IN    A    210.115.216.255
xycbhqdt.www.shu.com.    IN    A    228.214.28.87
rcbgoetq.www.shu.com.    IN    A    8.100.167.251
ydsxmcgj.www.shu.com.    IN    A    29.52.226.210
orpdmjfu.www.shu.com.    IN    A    30.220.233.112
gmstrlxn.www.shu.com.    IN    A    145.139.202.69
xhlfitpy.www.shu.com.    IN    A    7.217.164.22
twrlxbus.www.shu.com.    IN    A    27.32.231.114
vfniqodt.www.shu.com.    IN    A    29.146.134.96
bxwcugjk.www.shu.com.    IN    A    64.15.215.215
axfptrck.www.shu.com.    IN    A    16.155.37.199
ujwoxsbf.www.shu.com.    IN    A    94.61.216.60
yktbqwep.www.shu.com.    IN    A    214.112.48.192
oxwpeuav.www.shu.com.    IN    A    247.77.149.201
kydsxbmc.www.shu.com.    IN    A    243.169.122.182
fnkavodc.www.shu.com.    IN    A    116.25.163.43
tqpdfiul.www.shu.com.    IN    A    13.186.46.98
qsctadoi.www.shu.com.    IN    A    102.79.37.238
xcsqmupv.www.shu.com.    IN    A    130.95.234.73
gdsnytla.www.shu.com.    IN    A    215.130.142.242
ivuymsko.www.shu.com.    IN    A    38.39.78.242
cbwlnmku.www.shu.com.    IN    A    246.62.12.83
xejplbgm.www.shu.com.    IN    A    94.25.64.145
esgkqcoh.www.shu.com.    IN    A    46.90.105.254
dlfhbuqj.www.shu.com.    IN    A    20.139.202.113
wcvhargq.www.shu.com.    IN    A    64.251.204.97
kfyenmad.www.shu.com.    IN    A    165.7.65.226
juqwxsnv.www.shu.com.    IN    A    75.207.80.247
dxpwrgea.www.shu.com.    IN    A    32.219.71.2
craegpju.www.shu.com.    IN    A    225.181.17.124
ljsegdqb.www.shu.com.    IN    A    81.172.37.120
vbkcndip.www.shu.com.    IN    A    40.204.163.185
bgqaipwl.www.shu.com.    IN    A    102.248.8.163
bgxhpfid.www.shu.com.    IN    A    7.18.23.214
lghvupya.www.shu.com.    IN    A    45.163.224.67
qgbvxlur.www.shu.com.    IN    A    41.2.181.63
joambvfi.www.shu.com.    IN    A    225.166.203.100
xnghtjkc.www.shu.com.    IN    A    176.10.28.140
wadngexy.www.shu.com.    IN    A    182.65.18.49
uecmvrlj.www.shu.com.    IN    A    196.174.221.183
euixfdgm.www.shu.com.    IN    A    152.57.34.10
nxfwlkcp.www.shu.com.    IN    A    130.118.80.2
gnmoxuak.www.shu.com.    IN    A    66.18.72.188
mfhsunlk.www.shu.com.    IN    A    79.203.77.39
msgtuqja.www.shu.com.    IN    A    87.26.231.217
lkfhombp.www.shu.com.    IN    A    16.50.160.222
qpnejykf.www.shu.com.    IN    A    36.170.12.115
wnhqvmlg.www.shu.com.    IN    A    7.143.127.64
fdobyvms.www.shu.com.    IN    A    246.105.210.1
igsewdrn.www.shu.com.    IN    A    246.81.80.134
mqdjwpcf.www.shu.com.    IN    A    29.88.191.92
sgdkmbon.www.shu.com.    IN    A    120.154.106.193
yoxdbuec.www.shu.com.    IN    A    18.4.65.185
ifdnqykb.www.shu.com.    IN    A    130.60.190.145
jqfeihas.www.shu.com.    IN    A    45.245.73.168
aubnxyhj.www.shu.com.    IN    A    15.148.131.71
etlwvgpk.www.shu.com.    IN    A    35.104.99.67
mwtkulrj.www.shu.com.    IN    A    207.253.13.53
ctverpod.www.shu.com.    IN    A    61.227.65.240
jrukvtng.www.shu.com.    IN    A    95.123.71.209
qgaruthy.www.shu.com.    IN    A    117.206.35.201
uwxhknap.www.shu.com.    IN    A    84.121.112.197
wtqcdyfu.www.shu.com.    IN    A    223.221.222.90
cvatqgjb.www.shu.com.    IN    A    44.1.135.225
ibnpqotd.www.shu.com.    IN    A    82.1.213.23
ruykldfq.www.shu.com.    IN    A    77.162.171.180
mkqnjrge.www.shu.com.    IN    A    195.246.58.224
dykvfcbw.www.shu.com.    IN    A    250.148.222.66
levdsigy.www.shu.com.    IN    A    99.210.35.118
cqdswfva.www.shu.com.    IN    A    168.183.200.202
ydjmqvew.www.shu.com.    IN    A    235.70.119.188
hkegysoi.www.shu.com.    IN    A    220.98.211.152
vucyhxin.www.shu.com.    IN    A    80.65.174.228
wnqxchki.www.shu.com.    IN    A    208.125.177.179
ltwqbrgn.www.shu.com.    IN    A    114.235.1.206
chdsrxpf.www.shu.com.    IN    A    57.69.164.198
lmtfjrhk.www.shu.com.    IN    A    67.204.117.207
hfgympvl.www.shu.com.    IN    A    189.142.240.1
ymklxftd.www.shu.com.    IN    A    58.138.32.76
hnwugipc.www.shu.com.    IN    A    233.109.232.186
wyajqmne.www.shu.com.    IN    A    103.59.100.136
usfdxmnw.www.shu.com.    IN    A    61.67.49.186
cehytpgn.www.shu.com.    IN    A    11.247.40.47
ndvcfulp.www.shu.com.    IN    A    247.146.131.165
brdfxmay.www.shu.com.    IN    A    185.75.247.98
aekuntgs.www.shu.com.    IN    A    133.126.67.173
xtyvdjsb.www.shu.com.    IN    A    146.31.51.12
hmqauotw.www.shu.com.    IN    A    14.54.10.193
uacnwjvb.www.shu.com.    IN    A    237.27.120.121
bvkcqhuw.www.shu.com.    IN    A    198.61.109.142
fkcwqxpg.www.shu.com.    IN    A    243.15.196.203
iurbonpc.www.shu.com.    IN    A    176.255.12.67
dserhoqa.www.shu.com.    IN    A    121.6.114.7
voaqtfrl.www.shu.com.    IN    A    246.18.133.234
olcfpdmb.www.shu.com.    IN    A    220.181.11.91
xwgsjnbf.www.shu.com.    IN    A    176.86.155.80
rxthpwsc.www.shu.com.    IN    A    176.218.146.56
xcgbjkdy.www.shu.com.    IN    A    194.107.229.94
miqltpbj.www.shu.com.    IN    A    116.157.168.66
dlpigret.www.shu.com.    IN    A    180.203.50.211
ytkiqmnv.www.shu.com.    IN    A    137.97.88.213
ormwslkb.www.shu.com.    IN    A    166.236.143.170
dpymlcej.www.shu.com.    IN    A    175.131.204.50
hqpvcfmj.www.shu.com.    IN    A    36.94.142.158
qbfsnkca.www.shu.com.    IN    A    120.86.234.31
grdwnmsl.www.shu.com.    IN    A    214.170.21.6
jydiqxmp.www.shu.com.    IN    A    107.43.196.228
yjhkvdct.www.shu.com.    IN    A    254.175.17.108
raehgmpb.www.shu.com.    IN    A    105.8.253.223
gotmhdba.www.shu.com.    IN    A    176.157.13.209
amsotdiw.www.shu.com.    IN    A    2.133.155.187
fuhcdras.www.shu.com.    IN    A    62.103.247.16
lnrivwqs.www.shu.com.    IN    A    126.3.184.203
iuqtvdwl.www.shu.com.    IN    A    42.97.7.117
jywskeil.www.shu.com.    IN    A    81.236.112.106
vblxrucd.www.shu.com.    IN    A    190.7.94.195
fhxuvlow.www.shu.com.    IN    A    30.156.213.204
rgycsmjb.www.shu.com.    IN    A    173.154.47.228
kbxitrlq.www.shu.com.    IN    A    121.130.80.179
deapkbnq.www.shu.com.    IN    A    153.89.245.55
hnjqcgpx.www.shu.com.    IN    A    143.17.166.115
rwmxekhn.www.shu.com.    IN    A    95.148.166.58
oxqumprw.www.shu.com.    IN    A    13.124.174.80
easgimbo.www.shu.com.    IN    A    204.142.166.219
huqbiaew.www.shu.com.    IN    A    42.203.170.29
udgaxprj.www.shu.com.    IN    A    132.160.160.181
qtekuarb.www.shu.com.    IN    A    13.141.128.52
amqybsxf.www.shu.com.    IN    A    153.12.95.245
ahkvmbfu.www.shu.com.    IN    A    111.33.146.93
fyuqixte.www.shu.com.    IN    A    71.175.245.172
jobginqx.www.shu.com.    IN    A    211.217.80.158
wryepcng.www.shu.com.    IN    A    178.5.230.171
tdmnpbui.www.shu.com.    IN    A    238.56.121.192
brmocwyk.www.shu.com.    IN    A    208.40.201.166
tcsqrmoe.www.shu.com.    IN    A    116.206.197.182
hcrdsyla.www.shu.com.    IN    A    166.158.38.153
fyxjpiao.www.shu.com.    IN    A    60.120.123.219
wfctskem.www.shu.com.    IN    A    70.46.83.131
tldxsrjn.www.shu.com.    IN    A    171.33.176.80
swtngmfc.www.shu.com.    IN    A    218.195.66.87
sacbkvtr.www.shu.com.    IN    A    176.138.53.180
eaqcrmdk.www.shu.com.    IN    A    58.141.145.216
ltafnysp.www.shu.com.    IN    A    66.246.166.202
gklqvsfi.www.shu.com.    IN    A    91.231.68.245
wyeghxvp.www.shu.com.    IN    A    28.74.6.110
itycjxho.www.shu.com.    IN    A    57.93.78.45
ijmncotg.www.shu.com.    IN    A    193.191.200.122
fviweukx.www.shu.com.    IN    A    19.104.97.71
kydpcmjb.www.shu.com.    IN    A    117.30.44.160
feawotbj.www.shu.com.    IN    A    42.188.70.68
eotajbyd.www.shu.com.    IN    A    168.124.37.98
qdbsniup.www.shu.com.    IN    A    8.104.134.44
jpabhyre.www.shu.com.    IN    A    195.115.237.9
hygjocxt.www.shu.com.    IN    A    61.221.37.131
hnufqsdw.www.shu.com.    IN    A    113.7.1.104
abevpfrm.www.shu.com.    IN    A    9.23.68.244
axwbkhup.www.shu.com.    IN    A    57.238.79.36
dboeklqr.www.shu.com.    IN    A    73.173.49.159
qwrhyxjp.www.shu.com.    IN    A    36.200.125.90
iuprqlxa.www.shu.com.    IN    A    176.123.128.143
arjskxch.www.shu.com.    IN    A    39.142.60.47
tsigdflm.www.shu.com.    IN    A    209.72.172.237
wfmhkjpo.www.shu.com.    IN    A    51.126.233.41
qlkubjyt.www.shu.com.    IN    A    68.131.146.68
lwdmcpfg.www.shu.com.    IN    A    102.155.47.83
vswdcjxl.www.shu.com.    IN    A    93.17.46.225
ofqhjxag.www.shu.com.    IN    A    149.35.213.131
ihdpubet.www.shu.com.    IN    A    91.20.38.125
gkpsjald.www.shu.com.    IN    A    204.151.41.65
dqebvrnp.www.shu.com.    IN    A    162.225.171.205
ifjxeunp.www.shu.com.    IN    A    216.30.12.60
calvyibk.www.shu.com.    IN    A    16.193.177.150
qntmubki.www.shu.com.    IN    A    248.228.208.83
ihtyrswn.www.shu.com.    IN    A    135.97.250.168
huncwktl.www.shu.com.    IN    A    78.94.19.64
bfkehdti.www.shu.com.    IN    A    67.122.117.231
awcmpxds.www.shu.com.    IN    A    3.128.135.224
dcwguipy.www.shu.com.    IN    A    93.254.150.7
xwdorbnp.www.shu.com.    IN    A    234.242.175.209
wteybmcr.www.shu.com.    IN    A    105.17.42.60
fctdlbuj.www.shu.com.    IN    A    159.155.51.56
xilkbvon.www.shu.com.    IN    A    200.65.251.191
bvlnkfyg.www.shu.com.    IN    A    233.163.200.165
lghevwfk.www.shu.com.    IN    A    26.109.235.36
htebjwqc.www.shu.com.    IN    A    77.67.0.167
hanwukcg.www.shu.com.    IN    A    135.202.1.215
aswighyl.www.shu.com.    IN    A    55.29.190.126
kgmytjsv.www.shu.com.    IN    A    32.89.224.108
boactyms.www.shu.com.    IN    A    187.9.73.255
itekrmcp.www.shu.com.    IN    A    53.193.44.147
xwqpdbfj.www.shu.com.    IN    A    51.87.44.10
jybhivgr.www.shu.com.    IN    A    132.241.7.54
gmfudcyr.www.shu.com.    IN    A    142.112.135.203
hrxgistb.www.shu.com.    IN    A    18.243.15.95
snjwlbdo.www.shu.com.    IN    A    142.98.117.192
chsdlefa.www.shu.com.    IN    A    242.154.124.45
ouwrefqy.www.shu.com.    IN    A    148.52.2.141
odimvwfk.www.shu.com.    IN    A    39.184.16.235
oemfltun.www.shu.com.    IN    A    87.63.34.182
fiuxbhrq.www.shu.com.    IN    A    228.188.144.92
chuxfvsk.www.shu.com.    IN    A    126.175.140.39
ihnxcvtj.www.shu.com.    IN    A    199.246.104.196
bordsmwn.www.shu.com.    IN    A    161.79.200.112
fvensijk.www.shu.com.    IN    A    230.137.204.4
bpygvutw.www.shu.com.    IN    A    127.72.163.229
mivgwjpk.www.shu.com.    IN    A    80.59.91.55
qjthscry.www.shu.com.    IN    A    108.101.53.76
toacrqif.www.shu.com.    IN    A    52.78.239.4
pfmdqhrb.www.shu.com.    IN    A    218.216.17.208
tcvuradg.www.shu.com.    IN    A    133.196.43.1
lgnmweuy.www.shu.com.    IN    A    18.170.1.50
yjpthave.www.shu.com.    IN    A    191.113.41.40
eqgutvih.www.shu.com.    IN    A    209.235.148.94
tkvuqoxf.www.shu.com.    IN    A    48.161.105.65
eogsipjn.www.shu.com.    IN    A    224.31.94.56
ybnwouxs.www.shu.com.    IN    A    211.248.199.190
ixwybhtj.www.shu.com.    IN    A    90.230.24.132
clpwdfsi.www.shu.com.    IN    A    43.131.102.201
fmnyuari.www.shu.com.    IN    A    213.122.143.6
tscwrgyl.www.shu.com.    IN    A    5.164.248.73
aekuxidr.www.shu.com.    IN    A    117.1.63.246
goflxqwe.www.shu.com.    IN    A    88.245.188.75
gcyodmfh.www.shu.com.    IN    A    139.65.129.111
lagnqjxe.www.shu.com.    IN    A    84.136.112.129
fyhmjpcs.www.shu.com.    IN    A    210.245.113.98
cxwuqrsh.www.shu.com.    IN    A    185.139.84.63
dnbfshyl.www.shu.com.    IN    A    78.224.192.159
smopfgve.www.shu.com.    IN    A    104.39.178.59
kdfrlntp.www.shu.com.    IN    A    148.250.249.35
stmgbcfa.www.shu.com.    IN    A    238.4.145.233
hrgqxbto.www.shu.com.    IN    A    139.188.63.52
xtwulsoi.www.shu.com.    IN    A    174.79.179.214
qkjoapec.www.shu.com.    IN    A    189.228.114.243
vbhswgkp.www.shu.com.    IN    A    198.70.158.216
gmupkfex.www.shu.com.    IN    A    126.128.126.82
jbialdrg.www.shu.com.    IN    A    130.94.246.23
debgslrc.www.shu.com.    IN    A    95.206.148.42
uipwnxmj.www.shu.com.    IN    A    205.176.132.26
kgonbrvx.www.shu.com.    IN    A    187.239.199.43
osldejnh.www.shu.com.    IN    A    169.40.120.120
kpuyefqs.www.shu.com.    IN    A    5.68.52.184
trkcxoei.www.shu.com.    IN    A    235.231.216.134
jubxnpag.www.shu.com.    IN    A    28.96.108.11
oerfhsgj.www.shu.com.    IN    A    41.95.241.42
exlupsoj.www.shu.com.    IN    A    67.211.62.228
nyxshjbg.www.shu.com.    IN    A    238.80.223.214
pysjoril.www.shu.com.    IN    A    161.117.101.150
jeqoruxp.www.shu.com.    IN    A    15.51.0.142
idsqnxbv.www.shu.com.    IN    A    99.12.233.167
xrdmnejw.www.shu.com.    IN    A    216.221.236.76
djtpgkea.www.shu.com.    IN    A    11.81.12.246
bdpcxyia.www.shu.com.    IN    A    13.81.37.28
nvfjclht.www.shu.com.    IN    A    216.167.11.129
xgjfilkd.www.shu.com.    IN    A    212.60.251.102
nxthgmcj.www.shu.com.    IN    A    210.214.162.207
fbahnyom.www.shu.com.    IN    A    203.128.178.151
dcomjkbl.www.shu.com.    IN    A    255.28.159.170
ieyaqbwo.www.shu.com.    IN    A    153.168.94.212
dbiyutkg.www.shu.com.    IN    A    8.51.79.165
arqmpsbu.www.shu.com.    IN    A    221.108.82.34
wxumtjhd.www.shu.com.    IN    A    97.233.219.38
gqlicyhk.www.shu.com.    IN    A    161.73.4.146
ejdkfupx.www.shu.com.    IN    A    111.166.5.130
afwexvog.www.shu.com.    IN    A    58.206.239.71
kvafhbds.www.shu.com.    IN    A    218.233.150.176
bfdmaonj.www.shu.com.    IN    A    219.103.1.168
yvagnkpx.www.shu.com.    IN    A    199.30.243.221
ybxperls.www.shu.com.    IN    A    3.244.169.105
brtuqnga.www.shu.com.    IN    A    14.201.96.1
kjwvapyg.www.shu.com.    IN    A    235.210.45.148
mxtvwqsl.www.shu.com.    IN    A    206.176.141.69
tpsvegxl.www.shu.com.    IN    A    137.201.64.177
elqyosjc.www.shu.com.    IN    A    105.75.132.146
kbvijlrc.www.shu.com.    IN    A    154.55.241.54
eijamsgq.www.shu.com.    IN    A    205.13.8.63
cwdhvkpx.www.shu.com.    IN    A    22.47.244.138
