math.pku.com.	14400	IN	SOA	ns1.math.pku.com. james.pku.edu. 19122302 14400 3600 2419200 14400
math.pku.com.		    IN	NS ns1.math.pku.com.
kjslifba.math.pku.com.   IN    A    200.217.49.98
murydxlw.math.pku.com.   IN    A    97.110.16.222
jlycqbix.math.pku.com.   IN    A    159.12.220.84
mjkoedpt.math.pku.com.   IN    A    7.208.34.66
uwvjlgkb.math.pku.com.   IN    A    144.115.221.73
glxdqubf.math.pku.com.   IN    A    29.114.166.176
qgrfdjuk.math.pku.com.   IN    A    45.81.208.191
etnvyuaf.math.pku.com.   IN    A    74.254.239.236
ahtuqdgx.math.pku.com.   IN    A    7.98.174.75
sdlxuahg.math.pku.com.   IN    A    210.181.39.146
sgtajwfi.math.pku.com.   IN    A    59.46.46.225
utlkhndw.math.pku.com.   IN    A    213.206.143.42
baulqtof.math.pku.com.   IN    A    222.191.131.216
fovwkqcr.math.pku.com.   IN    A    176.177.192.113
ghnofcip.math.pku.com.   IN    A    215.200.113.14
srcbakqv.math.pku.com.   IN    A    236.5.118.194
wxsgeyhl.math.pku.com.   IN    A    240.82.193.190
fgnmwpjs.math.pku.com.   IN    A    157.151.54.139
xduinptg.math.pku.com.   IN    A    156.221.214.22
jenosypr.math.pku.com.   IN    A    205.160.102.36
frhycnwi.math.pku.com.   IN    A    190.44.57.113
omyxlcjp.math.pku.com.   IN    A    223.104.111.31
vswjbdtu.math.pku.com.   IN    A    236.126.230.214
nkidlpgs.math.pku.com.   IN    A    159.49.34.52
irqyvcso.math.pku.com.   IN    A    125.83.15.62
vhoxbsru.math.pku.com.   IN    A    238.105.208.27
rtqdflae.math.pku.com.   IN    A    202.64.3.153
jlorpwby.math.pku.com.   IN    A    35.48.68.211
utkwoniv.math.pku.com.   IN    A    21.177.125.64
dokmjgse.math.pku.com.   IN    A    116.99.135.252
kfclyhuv.math.pku.com.   IN    A    180.81.14.177
upjncvdr.math.pku.com.   IN    A    242.158.190.138
vscopumr.math.pku.com.   IN    A    235.110.11.250
fcowqskn.math.pku.com.   IN    A    191.252.198.131
sghejiqo.math.pku.com.   IN    A    122.33.172.23
iwuyxmch.math.pku.com.   IN    A    60.73.119.135
ajoeynfh.math.pku.com.   IN    A    47.53.143.88
noiahfkj.math.pku.com.   IN    A    250.24.131.79
jfirwope.math.pku.com.   IN    A    103.229.6.2
wdlmtnry.math.pku.com.   IN    A    81.92.214.145
rdctfewu.math.pku.com.   IN    A    69.170.151.7
mkirogvq.math.pku.com.   IN    A    211.148.163.126
mflaycoi.math.pku.com.   IN    A    20.197.18.174
xdfvrgeu.math.pku.com.   IN    A    187.37.220.45
dhlnoajg.math.pku.com.   IN    A    93.253.94.25
ocijfume.math.pku.com.   IN    A    97.33.45.6
bgyrufah.math.pku.com.   IN    A    165.65.51.58
qbasrclh.math.pku.com.   IN    A    250.172.79.90
mcrpoxnv.math.pku.com.   IN    A    156.34.213.66
kynwqlhr.math.pku.com.   IN    A    205.3.56.0
icoaubxw.math.pku.com.   IN    A    13.232.98.33
gdtbxnrc.math.pku.com.   IN    A    250.196.29.18
rcdnvmqp.math.pku.com.   IN    A    71.123.23.159
frgcptiq.math.pku.com.   IN    A    90.38.192.92
ifempnkw.math.pku.com.   IN    A    7.178.151.53
lfdbxjru.math.pku.com.   IN    A    95.123.159.13
wfbqcvjy.math.pku.com.   IN    A    29.177.205.55
rxtmfqav.math.pku.com.   IN    A    75.246.81.28
yrghaicq.math.pku.com.   IN    A    20.159.198.35
fsqmtojb.math.pku.com.   IN    A    182.247.150.78
mdkauvir.math.pku.com.   IN    A    161.26.110.152
ibxwuemh.math.pku.com.   IN    A    0.191.114.183
lkhpatvw.math.pku.com.   IN    A    196.15.50.60
rdeflxaj.math.pku.com.   IN    A    7.247.224.199
lgpknajf.math.pku.com.   IN    A    129.223.123.63
ioexhjqm.math.pku.com.   IN    A    141.32.90.205
ghijofpk.math.pku.com.   IN    A    95.157.41.118
qgvfumkd.math.pku.com.   IN    A    43.207.133.188
dkwilaut.math.pku.com.   IN    A    106.15.188.236
xajqwnit.math.pku.com.   IN    A    163.44.157.236
oxqcreuk.math.pku.com.   IN    A    82.48.69.77
actjrvox.math.pku.com.   IN    A    236.52.12.155
ajocpldi.math.pku.com.   IN    A    175.26.66.248
xgsaioqf.math.pku.com.   IN    A    177.249.164.113
bwdugjph.math.pku.com.   IN    A    65.237.148.215
dqnlmifv.math.pku.com.   IN    A    92.125.140.182
pucjqkgs.math.pku.com.   IN    A    75.128.105.123
iqhctygj.math.pku.com.   IN    A    36.172.226.177
buwmxyci.math.pku.com.   IN    A    96.106.170.23
ejbvmcnu.math.pku.com.   IN    A    63.17.104.40
gkwvbijh.math.pku.com.   IN    A    58.139.61.49
hyvpxegr.math.pku.com.   IN    A    131.44.20.216
dgmprtub.math.pku.com.   IN    A    24.224.200.69
rbkgcleq.math.pku.com.   IN    A    46.56.144.192
viwyjutk.math.pku.com.   IN    A    16.87.189.57
gbejxkuo.math.pku.com.   IN    A    76.152.130.116
upshronm.math.pku.com.   IN    A    13.155.111.229
rdyhnjwp.math.pku.com.   IN    A    190.176.119.176
hgnwraky.math.pku.com.   IN    A    74.0.242.68
waotupjl.math.pku.com.   IN    A    203.96.120.162
xvdictoh.math.pku.com.   IN    A    61.17.5.171
gfldurxk.math.pku.com.   IN    A    21.247.36.91
pvqgjech.math.pku.com.   IN    A    72.59.91.47
fnpvtxes.math.pku.com.   IN    A    43.87.161.81
nqtuymko.math.pku.com.   IN    A    115.46.149.97
qwekxptb.math.pku.com.   IN    A    204.236.22.135
wsvjdorq.math.pku.com.   IN    A    94.158.158.44
enroxchd.math.pku.com.   IN    A    90.20.42.224
fhdqcpwr.math.pku.com.   IN    A    118.229.174.59
uqagxlkp.math.pku.com.   IN    A    138.149.199.123
eycwpmol.math.pku.com.   IN    A    84.38.12.226
mdfspwiy.math.pku.com.   IN    A    74.232.35.235
fxrtcogp.math.pku.com.   IN    A    88.73.170.87
filbgkuy.math.pku.com.   IN    A    135.193.232.55
otykhbcx.math.pku.com.   IN    A    209.126.161.83
snwmtjeg.math.pku.com.   IN    A    209.222.222.102
nxvoysmh.math.pku.com.   IN    A    189.189.86.78
nwxpokvl.math.pku.com.   IN    A    214.153.136.182
osblwjpf.math.pku.com.   IN    A    174.122.153.119
xbfpaihn.math.pku.com.   IN    A    189.184.203.138
wiegjonr.math.pku.com.   IN    A    237.166.35.51
psjlnwdh.math.pku.com.   IN    A    242.51.120.152
pbosyvxc.math.pku.com.   IN    A    160.77.210.72
vowuclqt.math.pku.com.   IN    A    88.199.106.241
jkowvtea.math.pku.com.   IN    A    240.115.35.97
cxbklpsw.math.pku.com.   IN    A    92.165.166.136
avmbkjoq.math.pku.com.   IN    A    247.170.183.188
oyexqdav.math.pku.com.   IN    A    94.36.157.97
anupifxs.math.pku.com.   IN    A    131.127.10.144
folvtpek.math.pku.com.   IN    A    23.238.163.171
jvrwgekl.math.pku.com.   IN    A    223.255.216.37
emnwhrax.math.pku.com.   IN    A    179.71.190.139
vqhwoldc.math.pku.com.   IN    A    47.40.15.27
qsbwyeom.math.pku.com.   IN    A    146.148.30.169
emlvcnax.math.pku.com.   IN    A    241.91.112.238
kmeoqhrv.math.pku.com.   IN    A    88.147.139.131
twfrcmis.math.pku.com.   IN    A    27.229.5.222
eqipnbla.math.pku.com.   IN    A    52.74.117.66
rwtvpjky.math.pku.com.   IN    A    59.219.27.161
evyunpcb.math.pku.com.   IN    A    54.135.133.79
vuwikghl.math.pku.com.   IN    A    200.247.54.196
psbdwfno.math.pku.com.   IN    A    111.205.74.119
dgbqyhpl.math.pku.com.   IN    A    219.181.111.127
auxkphoy.math.pku.com.   IN    A    185.130.46.18
eqmnuvrp.math.pku.com.   IN    A    147.49.47.227
tasvkboy.math.pku.com.   IN    A    83.86.119.188
vbmyafwi.math.pku.com.   IN    A    155.140.99.6
sneqigvj.math.pku.com.   IN    A    59.247.24.156
rifjhbkt.math.pku.com.   IN    A    206.25.128.141
yvcfagux.math.pku.com.   IN    A    108.150.237.30
pjrlvmxo.math.pku.com.   IN    A    253.213.190.151
kovthgpm.math.pku.com.   IN    A    2.203.121.13
rjidkgnp.math.pku.com.   IN    A    5.202.143.150
kdbamjhp.math.pku.com.   IN    A    253.254.39.25
tvfnxwoj.math.pku.com.   IN    A    70.186.57.63
mpgtswvl.math.pku.com.   IN    A    12.6.147.98
ubcvfsno.math.pku.com.   IN    A    112.107.187.204
adufrenl.math.pku.com.   IN    A    237.63.38.83
igyxkpcm.math.pku.com.   IN    A    103.51.189.26
xvtmdbgs.math.pku.com.   IN    A    159.46.186.254
rdbsqplc.math.pku.com.   IN    A    158.69.137.235
lgfwbojd.math.pku.com.   IN    A    220.178.177.206
niwvsbok.math.pku.com.   IN    A    50.30.216.152
glpeuiay.math.pku.com.   IN    A    169.182.159.236
dxiemacp.math.pku.com.   IN    A    192.20.63.1
hmfiurgt.math.pku.com.   IN    A    154.179.254.78
tmduehyv.math.pku.com.   IN    A    134.160.107.207
dnrhpvmu.math.pku.com.   IN    A    219.42.214.18
bcefhnsp.math.pku.com.   IN    A    14.38.241.184
chgtxdsq.math.pku.com.   IN    A    239.30.153.190
qfvijmtr.math.pku.com.   IN    A    73.65.60.255
lfgtuvrj.math.pku.com.   IN    A    255.55.65.22
csqugrlt.math.pku.com.   IN    A    130.107.127.234
nagujomv.math.pku.com.   IN    A    187.165.104.116
habnqgym.math.pku.com.   IN    A    51.207.153.203
ucpwkydv.math.pku.com.   IN    A    174.21.251.138
phlvyrwi.math.pku.com.   IN    A    37.101.254.2
hknuxawe.math.pku.com.   IN    A    17.172.118.29
xnhliswe.math.pku.com.   IN    A    79.164.41.124
aowjvfdi.math.pku.com.   IN    A    151.74.179.118
edqjcvkg.math.pku.com.   IN    A    218.249.112.9
tdrspgxw.math.pku.com.   IN    A    83.231.29.14
ncvhfmjx.math.pku.com.   IN    A    82.42.95.215
fdhuelir.math.pku.com.   IN    A    218.184.114.9
fioxdwtc.math.pku.com.   IN    A    22.159.63.76
jqnfbxvm.math.pku.com.   IN    A    244.82.107.114
tjvlardo.math.pku.com.   IN    A    69.110.154.192
bisvhegl.math.pku.com.   IN    A    82.182.1.153
toaejmbv.math.pku.com.   IN    A    176.132.90.111
sfmbiude.math.pku.com.   IN    A    187.68.4.122
pwmbaslg.math.pku.com.   IN    A    204.179.192.63
kfjgwehl.math.pku.com.   IN    A    199.32.23.194
ojkmnqvf.math.pku.com.   IN    A    218.80.25.85
incrwold.math.pku.com.   IN    A    211.65.188.31
yvblpwrc.math.pku.com.   IN    A    3.37.59.132
hqapotul.math.pku.com.   IN    A    248.143.125.206
aynqoiwd.math.pku.com.   IN    A    207.35.232.80
tfwiklpn.math.pku.com.   IN    A    14.181.48.156
nojgmarw.math.pku.com.   IN    A    147.6.94.155
kcsjynvr.math.pku.com.   IN    A    61.98.28.70
dxaevocs.math.pku.com.   IN    A    213.65.6.17
vwxeqhnt.math.pku.com.   IN    A    81.59.59.107
pcjmdnbs.math.pku.com.   IN    A    103.105.50.3
gsinmwdp.math.pku.com.   IN    A    56.226.99.212
eigaxwsh.math.pku.com.   IN    A    93.138.122.96
nikutjbg.math.pku.com.   IN    A    65.94.139.190
gnryamol.math.pku.com.   IN    A    182.77.243.113
hgconmkb.math.pku.com.   IN    A    228.57.8.96
xwfrenps.math.pku.com.   IN    A    242.197.80.165
brefsgat.math.pku.com.   IN    A    150.82.197.191
boplfnvx.math.pku.com.   IN    A    168.60.3.104
tnvqrjbh.math.pku.com.   IN    A    250.206.244.190
smwignje.math.pku.com.   IN    A    59.25.116.15
fvpmikjr.math.pku.com.   IN    A    61.100.167.248
opjridxh.math.pku.com.   IN    A    186.192.67.45
yvptxsmc.math.pku.com.   IN    A    160.174.83.178
fycsnmwk.math.pku.com.   IN    A    54.37.235.116
eklfbajh.math.pku.com.   IN    A    232.19.143.63
lbjtynpw.math.pku.com.   IN    A    103.58.137.232
mpurftjw.math.pku.com.   IN    A    247.99.133.61
dhwjaptx.math.pku.com.   IN    A    119.122.166.220
cylpbeaj.math.pku.com.   IN    A    220.130.124.158
qhgudceb.math.pku.com.   IN    A    28.179.144.161
fkoqjapw.math.pku.com.   IN    A    14.137.233.182
cibyfrjl.math.pku.com.   IN    A    147.1.79.220
gkqcphad.math.pku.com.   IN    A    174.47.43.167
tcmhpavw.math.pku.com.   IN    A    208.64.248.47
bnjhtpfl.math.pku.com.   IN    A    196.3.154.230
egvdhlup.math.pku.com.   IN    A    192.5.195.238
raybiplx.math.pku.com.   IN    A    151.170.54.146
qnflktav.math.pku.com.   IN    A    0.219.178.235
gkqsianp.math.pku.com.   IN    A    89.249.1.82
vmqjyoxi.math.pku.com.   IN    A    211.181.92.207
ytgvbilc.math.pku.com.   IN    A    194.138.30.242
pmhnuyke.math.pku.com.   IN    A    183.224.3.254
druphqxt.math.pku.com.   IN    A    81.154.19.128
qbhorxic.math.pku.com.   IN    A    61.160.207.156
kwsxrjfp.math.pku.com.   IN    A    56.173.44.133
bukofglv.math.pku.com.   IN    A    250.108.212.101
kwislcnu.math.pku.com.   IN    A    56.70.241.30
gkvxeqpy.math.pku.com.   IN    A    223.126.87.57
garpiquf.math.pku.com.   IN    A    83.48.215.187
okeaqphv.math.pku.com.   IN    A    231.217.7.94
ejdqmxfa.math.pku.com.   IN    A    4.130.25.110
avscmefk.math.pku.com.   IN    A    89.35.145.196
bcoqfmet.math.pku.com.   IN    A    142.163.244.87
aucdseng.math.pku.com.   IN    A    163.231.196.118
mpoenyrj.math.pku.com.   IN    A    122.202.38.203
wgjcipmq.math.pku.com.   IN    A    8.218.29.193
fybjudvo.math.pku.com.   IN    A    31.165.113.75
jeftsvlh.math.pku.com.   IN    A    102.174.45.76
dokebvxh.math.pku.com.   IN    A    106.208.221.99
qfdoeung.math.pku.com.   IN    A    147.225.197.61
uscirdfg.math.pku.com.   IN    A    225.196.197.208
qkinwylp.math.pku.com.   IN    A    244.163.142.82
jsvpydoc.math.pku.com.   IN    A    130.115.195.219
tufvosnr.math.pku.com.   IN    A    88.197.235.127
bideoauy.math.pku.com.   IN    A    201.4.22.39
fiehdqva.math.pku.com.   IN    A    255.94.104.131
cyrobfnl.math.pku.com.   IN    A    129.187.154.243
dahqourv.math.pku.com.   IN    A    127.103.246.221
enagoxws.math.pku.com.   IN    A    4.152.128.27
ewpctdav.math.pku.com.   IN    A    98.54.163.13
cxgtmbnl.math.pku.com.   IN    A    40.137.22.55
rfinqyxl.math.pku.com.   IN    A    83.130.143.106
qxvuioge.math.pku.com.   IN    A    45.145.181.160
pqsubmxc.math.pku.com.   IN    A    229.65.98.196
sjurlvmf.math.pku.com.   IN    A    166.95.174.50
qlrsdnuj.math.pku.com.   IN    A    69.52.5.68
iqgranjk.math.pku.com.   IN    A    161.22.6.131
ifsrwvcx.math.pku.com.   IN    A    96.160.157.117
qxceobvn.math.pku.com.   IN    A    103.90.131.205
yisbmhan.math.pku.com.   IN    A    151.250.125.143
hygowdxs.math.pku.com.   IN    A    222.8.193.0
wqlvarce.math.pku.com.   IN    A    50.40.255.133
kplwjnco.math.pku.com.   IN    A    138.198.198.48
nstplrkg.math.pku.com.   IN    A    51.228.91.212
fovtwspu.math.pku.com.   IN    A    157.230.241.226
qrscywdu.math.pku.com.   IN    A    28.113.226.72
tndfhmia.math.pku.com.   IN    A    45.8.204.126
flrepdhx.math.pku.com.   IN    A    98.215.233.233
uhfrpkwx.math.pku.com.   IN    A    233.163.191.82
gkpbitfq.math.pku.com.   IN    A    168.214.45.128
kfthwsqx.math.pku.com.   IN    A    237.120.140.154
uepycmfd.math.pku.com.   IN    A    89.98.250.23
aocbnygi.math.pku.com.   IN    A    75.37.242.73
wkluirqx.math.pku.com.   IN    A    249.111.230.57
hygmdjtu.math.pku.com.   IN    A    233.148.90.128
xvfpbhcg.math.pku.com.   IN    A    105.215.108.60
fjoxnlce.math.pku.com.   IN    A    4.7.213.225
amkpfwyt.math.pku.com.   IN    A    93.106.145.14
xldwiqrh.math.pku.com.   IN    A    35.46.241.4
oqaepbfm.math.pku.com.   IN    A    184.62.177.23
osdampgx.math.pku.com.   IN    A    175.18.238.106
dabrhlsi.math.pku.com.   IN    A    23.166.204.120
nfwacpsj.math.pku.com.   IN    A    161.131.25.241
cuirdjya.math.pku.com.   IN    A    161.112.47.225
nkwuetfl.math.pku.com.   IN    A    137.182.23.119
gfjsrwik.math.pku.com.   IN    A    142.98.104.89
icsyqdwa.math.pku.com.   IN    A    31.16.120.129
qtxhdfln.math.pku.com.   IN    A    141.211.97.104
gxuacrso.math.pku.com.   IN    A    141.66.248.126
qpwcrkvu.math.pku.com.   IN    A    217.70.18.108
dfkmquvp.math.pku.com.   IN    A    220.192.40.208
bnedlpqt.math.pku.com.   IN    A    0.24.114.238
kocwrhvm.math.pku.com.   IN    A    206.193.169.64
mcflpaje.math.pku.com.   IN    A    222.12.102.194
iokaudle.math.pku.com.   IN    A    176.248.107.98
gdyrlosw.math.pku.com.   IN    A    198.221.157.173
hfpvmlyg.math.pku.com.   IN    A    57.158.241.134
txhpeguw.math.pku.com.   IN    A    68.105.180.138
gkdoawqi.math.pku.com.   IN    A    49.156.185.25
ygahrqfw.math.pku.com.   IN    A    56.190.70.254
cvhbeijn.math.pku.com.   IN    A    35.226.176.198
blkjhmes.math.pku.com.   IN    A    103.189.186.186
ayuderbm.math.pku.com.   IN    A    69.91.249.211
kdcjxgpw.math.pku.com.   IN    A    105.233.220.111
mayevgnj.math.pku.com.   IN    A    223.241.89.186
xufdprab.math.pku.com.   IN    A    151.121.32.58
chegskfm.math.pku.com.   IN    A    232.102.243.153
sevwjrny.math.pku.com.   IN    A    166.247.147.228
nhipyocb.math.pku.com.   IN    A    114.44.31.212
erlbcgwa.math.pku.com.   IN    A    19.116.247.42
kinrcgta.math.pku.com.   IN    A    235.119.103.237
udaejboc.math.pku.com.   IN    A    95.190.192.94
eikumdgh.math.pku.com.   IN    A    197.51.202.32
wgexklnm.math.pku.com.   IN    A    108.34.47.237
cvkrpatw.math.pku.com.   IN    A    195.201.26.208
ljehsxrq.math.pku.com.   IN    A    208.142.150.242
qgyoxebf.math.pku.com.   IN    A    37.114.214.236
pdhkeajw.math.pku.com.   IN    A    227.170.209.189
xdbwgvpn.math.pku.com.   IN    A    212.211.133.54
jwcdlkns.math.pku.com.   IN    A    121.12.83.131
ulbeqtch.math.pku.com.   IN    A    108.57.50.139
mfhvqjxr.math.pku.com.   IN    A    200.114.254.113
uahxnkfg.math.pku.com.   IN    A    128.4.215.22
hfoeyjbc.math.pku.com.   IN    A    10.44.80.62
hcumvnko.math.pku.com.   IN    A    103.173.27.83
ksbogxhv.math.pku.com.   IN    A    86.72.104.75
qdwjblen.math.pku.com.   IN    A    121.221.194.14
dsnfvjoi.math.pku.com.   IN    A    115.249.61.215
ncopdugx.math.pku.com.   IN    A    37.194.221.36
uaqtrbpl.math.pku.com.   IN    A    73.241.253.48
lnauywxe.math.pku.com.   IN    A    2.251.66.91
ywqakeus.math.pku.com.   IN    A    49.130.13.37
kscjqdui.math.pku.com.   IN    A    12.73.251.33
eaojkhpt.math.pku.com.   IN    A    129.208.178.74
cnrwtsap.math.pku.com.   IN    A    18.39.235.237
rwdaqgoc.math.pku.com.   IN    A    246.208.196.165
fqljeasn.math.pku.com.   IN    A    195.192.39.233
igwfnmbx.math.pku.com.   IN    A    94.71.180.123
sqgwtkpj.math.pku.com.   IN    A    175.146.198.104
ldqjnbhf.math.pku.com.   IN    A    84.55.190.25
tbichpwr.math.pku.com.   IN    A    135.33.159.129
frdpvgwi.math.pku.com.   IN    A    68.137.223.53
nbroifgy.math.pku.com.   IN    A    79.75.10.25
qgcwfsiv.math.pku.com.   IN    A    173.175.223.155
ylvbocqs.math.pku.com.   IN    A    200.207.200.39
bjqcayiu.math.pku.com.   IN    A    183.15.236.88
rtesqahi.math.pku.com.   IN    A    234.214.76.45
kdushwxg.math.pku.com.   IN    A    68.39.71.239
rjxsmiog.math.pku.com.   IN    A    105.73.170.250
qgcbifuv.math.pku.com.   IN    A    5.43.184.82
bpdcntgu.math.pku.com.   IN    A    99.82.166.241
paosvdxh.math.pku.com.   IN    A    6.0.144.241
belwagjp.math.pku.com.   IN    A    159.36.41.90
puxmqawf.math.pku.com.   IN    A    246.122.170.69
anifhwog.math.pku.com.   IN    A    156.67.184.128
hiodpesu.math.pku.com.   IN    A    105.239.16.145
lwkntvqg.math.pku.com.   IN    A    211.252.138.49
bclwoeyr.math.pku.com.   IN    A    148.66.185.142
vduaxywo.math.pku.com.   IN    A    99.137.126.124
fbvualrp.math.pku.com.   IN    A    157.85.226.13
