www.cqu.com. 	14400	IN	SOA	ns1.www.cqu.com. james.cqu.edu. 19122302 14400 3600 2419200 14400
www.cqu.com.		    IN	NS ns1.www.cqu.com.
ecxishya.www.cqu.com.    IN    A    110.156.137.120
qsjoenua.www.cqu.com.    IN    A    220.223.82.235
vkdpxtjw.www.cqu.com.    IN    A    112.34.118.6
yatpnbvc.www.cqu.com.    IN    A    17.52.37.49
rvxlpsuh.www.cqu.com.    IN    A    78.147.107.16
esvntboj.www.cqu.com.    IN    A    248.119.77.82
jelprqts.www.cqu.com.    IN    A    225.127.233.10
vkheaqsc.www.cqu.com.    IN    A    103.98.181.110
iqmuwreb.www.cqu.com.    IN    A    74.65.181.156
wmyjbpxc.www.cqu.com.    IN    A    166.47.202.50
ypvrondc.www.cqu.com.    IN    A    149.83.16.193
mprwoqvs.www.cqu.com.    IN    A    233.235.63.156
fmkxjsuv.www.cqu.com.    IN    A    23.145.165.90
elsvrikp.www.cqu.com.    IN    A    74.2.212.81
xgcbvtew.www.cqu.com.    IN    A    246.191.42.177
utdvyela.www.cqu.com.    IN    A    123.32.216.156
fgytrsiw.www.cqu.com.    IN    A    216.229.109.175
xatchujb.www.cqu.com.    IN    A    233.191.164.9
lejudhbk.www.cqu.com.    IN    A    88.46.150.224
ljmnxhco.www.cqu.com.    IN    A    100.124.202.17
aencoxvw.www.cqu.com.    IN    A    254.161.77.212
ufqdtsnc.www.cqu.com.    IN    A    207.171.84.19
cdtrxoik.www.cqu.com.    IN    A    154.39.138.87
xreulmwa.www.cqu.com.    IN    A    232.163.32.26
muxnosvp.www.cqu.com.    IN    A    12.4.213.201
objclpkw.www.cqu.com.    IN    A    17.74.213.242
yhpmjknq.www.cqu.com.    IN    A    26.146.217.204
qatigobl.www.cqu.com.    IN    A    155.187.10.91
qivkbjgc.www.cqu.com.    IN    A    166.143.208.219
sneiaklv.www.cqu.com.    IN    A    29.124.133.27
wxoclrqg.www.cqu.com.    IN    A    222.134.147.91
vrweialf.www.cqu.com.    IN    A    217.201.111.113
ichspejb.www.cqu.com.    IN    A    74.16.36.181
wudqtmon.www.cqu.com.    IN    A    190.126.122.82
bnwudgcp.www.cqu.com.    IN    A    36.125.173.93
neimbqfa.www.cqu.com.    IN    A    175.20.101.109
uaswtelf.www.cqu.com.    IN    A    149.15.209.112
udtpjbhv.www.cqu.com.    IN    A    46.145.26.247
cgrmbhjn.www.cqu.com.    IN    A    124.228.165.89
smjaqnxp.www.cqu.com.    IN    A    239.59.90.101
xksibflm.www.cqu.com.    IN    A    39.28.44.0
wxdpfusb.www.cqu.com.    IN    A    87.179.243.74
mxtwercy.www.cqu.com.    IN    A    5.214.93.101
nwgjyqvh.www.cqu.com.    IN    A    144.59.107.182
ovaecqjy.www.cqu.com.    IN    A    7.127.155.224
xbjfgeud.www.cqu.com.    IN    A    90.133.241.21
ietokrmf.www.cqu.com.    IN    A    16.37.55.240
gfvlrktx.www.cqu.com.    IN    A    216.108.50.223
ovschpti.www.cqu.com.    IN    A    134.174.90.84
cxluptfw.www.cqu.com.    IN    A    160.49.110.131
lawitkqf.www.cqu.com.    IN    A    178.243.125.60
emsfxhij.www.cqu.com.    IN    A    83.178.183.168
waxbtpru.www.cqu.com.    IN    A    98.159.144.13
npoutfjq.www.cqu.com.    IN    A    10.24.221.74
nfjkcyxm.www.cqu.com.    IN    A    109.194.140.215
nycwiphl.www.cqu.com.    IN    A    20.86.4.113
vojgitwd.www.cqu.com.    IN    A    21.177.47.185
bvgoripn.www.cqu.com.    IN    A    82.44.6.99
xbfpnymi.www.cqu.com.    IN    A    157.216.4.216
buohmkqd.www.cqu.com.    IN    A    169.32.9.236
vqfjruse.www.cqu.com.    IN    A    29.249.49.40
cvkwrhja.www.cqu.com.    IN    A    34.56.64.145
rcwbpqxf.www.cqu.com.    IN    A    26.142.41.162
vkwpuexy.www.cqu.com.    IN    A    135.110.14.61
lchowrby.www.cqu.com.    IN    A    55.64.38.232
qigmyhus.www.cqu.com.    IN    A    154.150.250.65
unowkxtj.www.cqu.com.    IN    A    92.124.17.55
cmtofpnu.www.cqu.com.    IN    A    141.248.91.214
huroytef.www.cqu.com.    IN    A    193.204.234.250
tgkcvnsy.www.cqu.com.    IN    A    181.121.172.151
soqlwiut.www.cqu.com.    IN    A    204.141.156.206
ydhknxfs.www.cqu.com.    IN    A    219.217.170.41
hbayiwsm.www.cqu.com.    IN    A    35.115.86.136
rywdqcge.www.cqu.com.    IN    A    73.194.47.178
seujlaic.www.cqu.com.    IN    A    85.131.226.221
wtcqhdxi.www.cqu.com.    IN    A    210.114.182.66
ajnwmcpl.www.cqu.com.    IN    A    102.249.2.125
anyqtcpv.www.cqu.com.    IN    A    163.244.106.93
smcfrtvk.www.cqu.com.    IN    A    113.72.60.122
tpkwhfag.www.cqu.com.    IN    A    159.203.138.221
tpwxvran.www.cqu.com.    IN    A    174.42.225.10
hxwgspfy.www.cqu.com.    IN    A    231.74.60.84
tvjowkne.www.cqu.com.    IN    A    188.101.131.122
hivwdngm.www.cqu.com.    IN    A    99.57.205.195
ruxhjfwc.www.cqu.com.    IN    A    250.95.248.192
qcgdlxiu.www.cqu.com.    IN    A    96.226.213.246
bwqdtinp.www.cqu.com.    IN    A    74.168.8.144
rdpynoul.www.cqu.com.    IN    A    253.22.225.200
bgadnvok.www.cqu.com.    IN    A    158.78.160.154
iqbtxpfd.www.cqu.com.    IN    A    221.61.228.52
kabqrltn.www.cqu.com.    IN    A    51.0.40.101
yvfdcemt.www.cqu.com.    IN    A    94.116.168.148
xjqarhpw.www.cqu.com.    IN    A    248.133.200.193
fntjhmwq.www.cqu.com.    IN    A    230.90.171.103
cbjgtmwh.www.cqu.com.    IN    A    137.115.168.117
nsdomhay.www.cqu.com.    IN    A    105.191.59.46
mjqosphb.www.cqu.com.    IN    A    188.218.126.138
thwuybce.www.cqu.com.    IN    A    213.26.126.17
lxtfpkai.www.cqu.com.    IN    A    56.151.11.163
asngkudb.www.cqu.com.    IN    A    87.52.17.109
bfugotws.www.cqu.com.    IN    A    98.94.126.100
gvlfodun.www.cqu.com.    IN    A    223.191.109.28
umwpjsni.www.cqu.com.    IN    A    75.92.38.144
exdgcafb.www.cqu.com.    IN    A    114.32.4.124
umtsgxnv.www.cqu.com.    IN    A    236.238.45.169
kevawqrs.www.cqu.com.    IN    A    56.181.106.102
wjnypkxi.www.cqu.com.    IN    A    139.203.95.89
qkwnxhua.www.cqu.com.    IN    A    98.186.249.158
spdchjuk.www.cqu.com.    IN    A    235.169.214.199
lmhbdcst.www.cqu.com.    IN    A    117.139.156.206
ltbdeigy.www.cqu.com.    IN    A    42.115.240.226
eanpmquo.www.cqu.com.    IN    A    197.187.62.240
ibgvcwxt.www.cqu.com.    IN    A    191.66.27.93
naxgdkyv.www.cqu.com.    IN    A    231.168.111.104
lougkvfe.www.cqu.com.    IN    A    10.212.113.187
lgoyemdc.www.cqu.com.    IN    A    173.232.101.212
kmpaourd.www.cqu.com.    IN    A    101.50.250.136
rvmetnws.www.cqu.com.    IN    A    238.144.219.30
swcxurmk.www.cqu.com.    IN    A    145.96.110.92
htluiynv.www.cqu.com.    IN    A    127.95.244.190
ijworeuc.www.cqu.com.    IN    A    29.20.169.253
tpbesmao.www.cqu.com.    IN    A    244.223.8.57
tqrvodab.www.cqu.com.    IN    A    193.207.112.128
ujilfamr.www.cqu.com.    IN    A    33.235.187.100
suryiepd.www.cqu.com.    IN    A    0.121.22.224
absvfnpl.www.cqu.com.    IN    A    47.210.198.53
uvkompjl.www.cqu.com.    IN    A    231.42.182.25
vkwpglyh.www.cqu.com.    IN    A    109.50.143.48
rwngvkoi.www.cqu.com.    IN    A    132.229.8.163
aufxdvow.www.cqu.com.    IN    A    5.98.91.48
jpfkqtaw.www.cqu.com.    IN    A    110.198.181.192
wvmxeolq.www.cqu.com.    IN    A    16.232.80.159
mcretlvn.www.cqu.com.    IN    A    102.99.0.205
fvuaript.www.cqu.com.    IN    A    50.77.28.81
hreycilx.www.cqu.com.    IN    A    46.39.136.176
mtbfigsl.www.cqu.com.    IN    A    255.178.92.132
nwrajxyv.www.cqu.com.    IN    A    240.211.201.125
kjxhidos.www.cqu.com.    IN    A    108.155.231.210
dfswontv.www.cqu.com.    IN    A    51.142.18.110
tkyqajbs.www.cqu.com.    IN    A    2.202.221.106
qbguraho.www.cqu.com.    IN    A    122.254.184.155
rtkhjnqy.www.cqu.com.    IN    A    36.128.218.44
nuclevfq.www.cqu.com.    IN    A    172.117.156.64
behxloyj.www.cqu.com.    IN    A    20.127.114.186
nudpcwkr.www.cqu.com.    IN    A    44.0.69.65
rglsimeq.www.cqu.com.    IN    A    97.175.87.65
voljknyw.www.cqu.com.    IN    A    32.126.32.85
clhrsaqi.www.cqu.com.    IN    A    24.82.205.248
bdnmojyu.www.cqu.com.    IN    A    207.24.187.173
usjhcbwm.www.cqu.com.    IN    A    51.71.50.195
knuflrav.www.cqu.com.    IN    A    234.126.104.36
tkvemsyo.www.cqu.com.    IN    A    156.50.17.113
desymkwp.www.cqu.com.    IN    A    27.121.200.128
yirlmwht.www.cqu.com.    IN    A    135.164.38.121
rbydauel.www.cqu.com.    IN    A    234.197.169.156
orhduwem.www.cqu.com.    IN    A    1.254.248.167
wemnqylo.www.cqu.com.    IN    A    115.74.185.179
bghfvuck.www.cqu.com.    IN    A    55.251.106.245
ksqrotcf.www.cqu.com.    IN    A    225.46.86.103
utkajnby.www.cqu.com.    IN    A    183.202.58.113
xdftbnqe.www.cqu.com.    IN    A    23.14.98.18
xuqnskie.www.cqu.com.    IN    A    121.26.211.183
pbwfqvau.www.cqu.com.    IN    A    190.65.27.193
wybkvtuh.www.cqu.com.    IN    A    209.129.212.14
khrwfbdv.www.cqu.com.    IN    A    37.92.225.234
xudprqtc.www.cqu.com.    IN    A    139.102.129.43
lgevpwyt.www.cqu.com.    IN    A    154.207.108.246
xyuaqhjd.www.cqu.com.    IN    A    158.63.172.161
wtnlcjah.www.cqu.com.    IN    A    63.2.71.195
rdgtlkxu.www.cqu.com.    IN    A    182.32.203.28
ynxkmbfp.www.cqu.com.    IN    A    147.211.43.81
pdulhrgj.www.cqu.com.    IN    A    153.194.47.218
butxjqyd.www.cqu.com.    IN    A    247.112.37.108
fogpvybl.www.cqu.com.    IN    A    211.220.55.235
lsrxqmpe.www.cqu.com.    IN    A    245.197.74.221
byvgchow.www.cqu.com.    IN    A    107.125.230.174
otbjyixe.www.cqu.com.    IN    A    96.199.62.131
iempvgxf.www.cqu.com.    IN    A    122.88.9.61
arckuesm.www.cqu.com.    IN    A    38.39.135.104
ylncxejr.www.cqu.com.    IN    A    218.218.51.85
tnlifesy.www.cqu.com.    IN    A    157.172.120.105
iknxarly.www.cqu.com.    IN    A    234.49.117.251
lauytgki.www.cqu.com.    IN    A    161.143.35.130
sbpxvfca.www.cqu.com.    IN    A    213.109.50.238
vjdatgpk.www.cqu.com.    IN    A    184.254.62.242
ptywrmxc.www.cqu.com.    IN    A    113.23.170.122
lubkrsjp.www.cqu.com.    IN    A    146.6.241.83
mjwbhliv.www.cqu.com.    IN    A    24.78.232.50
jiegwrhk.www.cqu.com.    IN    A    43.27.205.80
uceghbpy.www.cqu.com.    IN    A    109.107.188.133
mxnwojay.www.cqu.com.    IN    A    118.186.35.25
ktmswyra.www.cqu.com.    IN    A    132.184.33.33
sqfdblgi.www.cqu.com.    IN    A    70.135.4.47
omtckvsu.www.cqu.com.    IN    A    233.141.13.204
dcoeplkq.www.cqu.com.    IN    A    5.158.21.146
eltnxvdw.www.cqu.com.    IN    A    148.115.45.148
qxsjopnc.www.cqu.com.    IN    A    121.174.227.250
fqxlapvc.www.cqu.com.    IN    A    141.130.230.6
yjgokbqc.www.cqu.com.    IN    A    86.170.223.113
tyqnlhrm.www.cqu.com.    IN    A    157.47.155.227
qkuwsjai.www.cqu.com.    IN    A    209.50.84.39
falgxtwr.www.cqu.com.    IN    A    4.201.238.13
qkidvosn.www.cqu.com.    IN    A    82.40.6.245
bwxrctak.www.cqu.com.    IN    A    146.138.184.227
dyclaovh.www.cqu.com.    IN    A    225.157.168.92
kincabqx.www.cqu.com.    IN    A    131.228.164.144
hjkfpyis.www.cqu.com.    IN    A    46.26.100.67
hmvtrlyf.www.cqu.com.    IN    A    227.230.91.136
pvblykwg.www.cqu.com.    IN    A    249.105.85.196
vbcomigd.www.cqu.com.    IN    A    182.74.126.227
lgodtikn.www.cqu.com.    IN    A    15.95.216.206
rxawyimo.www.cqu.com.    IN    A    157.205.224.33
myqjstae.www.cqu.com.    IN    A    242.26.76.45
nhakfbil.www.cqu.com.    IN    A    180.205.33.141
wdtusmkc.www.cqu.com.    IN    A    118.17.50.174
qdweomlv.www.cqu.com.    IN    A    91.47.137.63
kcvmwdqx.www.cqu.com.    IN    A    112.56.233.106
fimabtlx.www.cqu.com.    IN    A    58.119.231.116
pvyotdwj.www.cqu.com.    IN    A    152.167.128.143
kubfsnpc.www.cqu.com.    IN    A    66.87.71.251
shdujytg.www.cqu.com.    IN    A    181.245.140.235
hfyvepbo.www.cqu.com.    IN    A    90.248.64.130
pewlotbr.www.cqu.com.    IN    A    255.198.17.201
hejmsdot.www.cqu.com.    IN    A    175.242.3.82
vltwbeqh.www.cqu.com.    IN    A    1.137.99.190
cuasyfid.www.cqu.com.    IN    A    174.119.147.34
sobwtndl.www.cqu.com.    IN    A    66.196.62.226
vsidfnbq.www.cqu.com.    IN    A    239.99.95.77
fkwghixq.www.cqu.com.    IN    A    29.91.121.37
qhxaelwf.www.cqu.com.    IN    A    194.232.35.143
lsbhxoyw.www.cqu.com.    IN    A    184.101.94.66
ybomrvup.www.cqu.com.    IN    A    77.129.231.158
gmbapsdq.www.cqu.com.    IN    A    87.79.168.208
evhxfjgn.www.cqu.com.    IN    A    183.234.179.227
dhpqblvm.www.cqu.com.    IN    A    197.62.97.50
rbihyawv.www.cqu.com.    IN    A    17.138.231.58
okwmsgcf.www.cqu.com.    IN    A    104.101.157.208
kwacdort.www.cqu.com.    IN    A    8.48.91.237
vcdrgxpt.www.cqu.com.    IN    A    127.177.228.244
ihunkosg.www.cqu.com.    IN    A    84.46.58.37
jtykibsv.www.cqu.com.    IN    A    0.234.50.1
ukanciql.www.cqu.com.    IN    A    193.226.136.48
exkhyjom.www.cqu.com.    IN    A    11.85.151.24
vounawkt.www.cqu.com.    IN    A    168.35.209.73
jurksbep.www.cqu.com.    IN    A    199.181.137.51
xwaujgyh.www.cqu.com.    IN    A    2.246.12.248
clqjtdbh.www.cqu.com.    IN    A    174.26.132.237
ncekvglh.www.cqu.com.    IN    A    236.21.126.46
vouiasyc.www.cqu.com.    IN    A    218.110.7.171
qwoagfni.www.cqu.com.    IN    A    117.147.34.56
qbdowpfk.www.cqu.com.    IN    A    16.84.87.103
pylqgvck.www.cqu.com.    IN    A    23.245.179.99
fxtyocps.www.cqu.com.    IN    A    164.138.220.254
bnqmwivs.www.cqu.com.    IN    A    90.158.46.35
ktmfysqi.www.cqu.com.    IN    A    225.158.55.137
isucftkd.www.cqu.com.    IN    A    97.155.8.170
geajiwqf.www.cqu.com.    IN    A    60.87.143.25
xjvgqrht.www.cqu.com.    IN    A    218.17.165.174
lanupcfh.www.cqu.com.    IN    A    148.57.241.21
cvrypuda.www.cqu.com.    IN    A    227.141.153.182
jvcytqpb.www.cqu.com.    IN    A    209.30.231.219
mwxklfoj.www.cqu.com.    IN    A    183.141.230.190
bdphwjng.www.cqu.com.    IN    A    8.183.71.90
xvhbdjsl.www.cqu.com.    IN    A    183.73.140.11
spliaknr.www.cqu.com.    IN    A    29.181.145.13
yfqwohit.www.cqu.com.    IN    A    5.144.157.88
coipgkue.www.cqu.com.    IN    A    69.27.29.181
lekoujph.www.cqu.com.    IN    A    75.92.19.89
shdxwbmi.www.cqu.com.    IN    A    47.142.180.182
rdgnkpsq.www.cqu.com.    IN    A    228.25.128.168
pkycxfmo.www.cqu.com.    IN    A    40.94.197.145
wfuhsmlj.www.cqu.com.    IN    A    252.77.29.234
gucyofpd.www.cqu.com.    IN    A    65.63.218.241
xlwaukpm.www.cqu.com.    IN    A    161.179.26.248
xdrektcu.www.cqu.com.    IN    A    71.213.146.184
gxjqrkew.www.cqu.com.    IN    A    6.43.132.250
sbndyilw.www.cqu.com.    IN    A    74.75.196.47
kvrqaoyw.www.cqu.com.    IN    A    170.38.247.136
ieqpfugx.www.cqu.com.    IN    A    146.59.224.59
xenopari.www.cqu.com.    IN    A    164.9.213.202
yibkwjlp.www.cqu.com.    IN    A    70.58.199.57
lwondvtr.www.cqu.com.    IN    A    101.100.24.5
ywvobeap.www.cqu.com.    IN    A    20.58.103.205
kfajyint.www.cqu.com.    IN    A    254.98.76.109
wmvesxji.www.cqu.com.    IN    A    129.209.209.59
eitgxhkr.www.cqu.com.    IN    A    201.247.161.174
vgdykqpx.www.cqu.com.    IN    A    34.247.221.57
getlpcna.www.cqu.com.    IN    A    1.96.29.57
xplbtare.www.cqu.com.    IN    A    121.236.181.12
txrapcew.www.cqu.com.    IN    A    130.164.42.177
vndmcfwl.www.cqu.com.    IN    A    81.169.72.27
iabnrljw.www.cqu.com.    IN    A    225.227.7.37
sykwgutn.www.cqu.com.    IN    A    218.10.24.123
fdecaqux.www.cqu.com.    IN    A    123.248.176.71
mehcvlso.www.cqu.com.    IN    A    66.1.148.169
kwbumdxt.www.cqu.com.    IN    A    19.35.136.51
qhclfnsr.www.cqu.com.    IN    A    59.209.23.58
tscudrfl.www.cqu.com.    IN    A    216.143.69.1
vfcwqbrs.www.cqu.com.    IN    A    36.174.85.78
jfcuakop.www.cqu.com.    IN    A    91.241.164.222
qjralweu.www.cqu.com.    IN    A    187.200.178.165
poqawuxk.www.cqu.com.    IN    A    217.80.74.124
akdrsenv.www.cqu.com.    IN    A    44.134.69.28
kwiognpe.www.cqu.com.    IN    A    208.114.101.9
yogcfvnu.www.cqu.com.    IN    A    243.112.99.65
peolsfmk.www.cqu.com.    IN    A    242.161.153.83
qipdjnae.www.cqu.com.    IN    A    184.35.76.49
eogybknq.www.cqu.com.    IN    A    20.169.67.183
ehpdakit.www.cqu.com.    IN    A    33.129.204.147
nmholvrb.www.cqu.com.    IN    A    101.167.169.131
gyltwxcr.www.cqu.com.    IN    A    254.135.153.59
bsucmpvg.www.cqu.com.    IN    A    168.129.255.89
lbqoewxu.www.cqu.com.    IN    A    18.113.84.218
mvliaesx.www.cqu.com.    IN    A    163.90.91.237
adgsrwxe.www.cqu.com.    IN    A    106.58.28.123
aldequiw.www.cqu.com.    IN    A    72.232.233.71
xsmipwfj.www.cqu.com.    IN    A    211.86.252.196
mgvbpnir.www.cqu.com.    IN    A    100.80.205.203
gsjowhxn.www.cqu.com.    IN    A    139.69.137.181
decjymif.www.cqu.com.    IN    A    130.112.166.104
isrklgfx.www.cqu.com.    IN    A    197.12.133.120
ybuxekwq.www.cqu.com.    IN    A    94.146.57.50
lrhbfysa.www.cqu.com.    IN    A    115.174.217.158
bqpjlovs.www.cqu.com.    IN    A    95.109.151.81
ifuboxvh.www.cqu.com.    IN    A    105.234.42.101
vksqxacb.www.cqu.com.    IN    A    86.32.24.104
qleyabjn.www.cqu.com.    IN    A    128.29.143.188
iobqxprt.www.cqu.com.    IN    A    230.184.139.192
ujvnlkhr.www.cqu.com.    IN    A    100.175.144.25
eubpjiyq.www.cqu.com.    IN    A    47.251.131.67
ydqxtgpf.www.cqu.com.    IN    A    253.117.11.189
pfcjdkae.www.cqu.com.    IN    A    165.114.230.133
mtoyufcw.www.cqu.com.    IN    A    150.111.61.154
mahcnjwk.www.cqu.com.    IN    A    222.16.71.25
jxwetgbh.www.cqu.com.    IN    A    77.42.47.211
ftqovlrk.www.cqu.com.    IN    A    98.24.224.205
pomnrgdi.www.cqu.com.    IN    A    90.90.176.239
gvdhacpn.www.cqu.com.    IN    A    140.36.169.52
wcafegrq.www.cqu.com.    IN    A    168.211.99.4
xgvtelhp.www.cqu.com.    IN    A    0.202.184.181
skgnlwfp.www.cqu.com.    IN    A    131.27.44.10
ekcxuovd.www.cqu.com.    IN    A    72.19.33.37
rqecupod.www.cqu.com.    IN    A    191.167.83.204
jevdpukw.www.cqu.com.    IN    A    172.176.58.24
sapojxmc.www.cqu.com.    IN    A    155.134.190.245
usehcxdw.www.cqu.com.    IN    A    177.151.173.28
escijxlp.www.cqu.com.    IN    A    162.162.3.20
fcwdkqmb.www.cqu.com.    IN    A    210.180.144.37
iwxsgpen.www.cqu.com.    IN    A    85.151.116.208
lcphyxti.www.cqu.com.    IN    A    226.188.15.148
gibphlxv.www.cqu.com.    IN    A    57.106.203.104
yrkmxhev.www.cqu.com.    IN    A    86.83.205.42
nsviapre.www.cqu.com.    IN    A    29.153.52.118
haynkwcv.www.cqu.com.    IN    A    137.67.144.172
oerklnfu.www.cqu.com.    IN    A    134.103.76.157
tablngdf.www.cqu.com.    IN    A    111.103.28.29
agrnsdvo.www.cqu.com.    IN    A    155.208.241.20
msvjtuxb.www.cqu.com.    IN    A    64.31.180.4
piutlqyo.www.cqu.com.    IN    A    61.16.5.221
gcsnkqtd.www.cqu.com.    IN    A    215.6.28.10
wkaoygtb.www.cqu.com.    IN    A    67.1.72.27
mctaqibx.www.cqu.com.    IN    A    156.79.232.73
aklswvep.www.cqu.com.    IN    A    126.111.147.51
mfkxbsjc.www.cqu.com.    IN    A    13.109.169.147
ngmfpiaw.www.cqu.com.    IN    A    29.43.10.177
gkxednmo.www.cqu.com.    IN    A    189.14.112.87
rxdbewgm.www.cqu.com.    IN    A    227.250.104.218
qehumgac.www.cqu.com.    IN    A    73.139.8.124
gwlbuaio.www.cqu.com.    IN    A    175.159.143.178
xivcqmpn.www.cqu.com.    IN    A    47.129.5.191
imoawcpu.www.cqu.com.    IN    A    50.112.99.23
shntwxav.www.cqu.com.    IN    A    233.234.123.55
seodnhya.www.cqu.com.    IN    A    22.234.198.207
vqomdtnc.www.cqu.com.    IN    A    68.125.123.76
rjtvfmix.www.cqu.com.    IN    A    181.99.210.119
aogjlypk.www.cqu.com.    IN    A    52.189.222.37
ibjfxrlc.www.cqu.com.    IN    A    239.99.68.102
ckmdpxwq.www.cqu.com.    IN    A    195.108.234.191
srkpnawv.www.cqu.com.    IN    A    79.13.61.63
pnejcvoh.www.cqu.com.    IN    A    106.181.128.216
yhvmowxi.www.cqu.com.    IN    A    140.190.219.151
wgscuopl.www.cqu.com.    IN    A    166.172.151.32
kxsqatui.www.cqu.com.    IN    A    1.196.179.212
dtgpvulb.www.cqu.com.    IN    A    17.200.255.255
crblvuea.www.cqu.com.    IN    A    93.186.71.251
ubnmgcai.www.cqu.com.    IN    A    150.77.150.128
prjtyagf.www.cqu.com.    IN    A    4.163.31.91
qmaytbeg.www.cqu.com.    IN    A    160.217.186.240
edqitmrg.www.cqu.com.    IN    A    51.115.218.58
sixkojnr.www.cqu.com.    IN    A    57.223.16.27
wsuqigxk.www.cqu.com.    IN    A    130.141.103.53
bvdmjfln.www.cqu.com.    IN    A    182.254.205.213
wxhlqkdc.www.cqu.com.    IN    A    103.203.92.10
yesdxvpl.www.cqu.com.    IN    A    195.89.48.24
mwtjyihv.www.cqu.com.    IN    A    31.82.222.42
qyrmaguj.www.cqu.com.    IN    A    210.253.28.97
lbhfysjq.www.cqu.com.    IN    A    140.116.247.207
cjoxehnm.www.cqu.com.    IN    A    81.36.127.97
xywrvsjp.www.cqu.com.    IN    A    210.235.95.198
cxukvobh.www.cqu.com.    IN    A    14.229.126.97
finbjrhs.www.cqu.com.    IN    A    5.153.47.213
ntmxragd.www.cqu.com.    IN    A    84.162.185.100
xmduvbch.www.cqu.com.    IN    A    37.251.8.183
qabucfdx.www.cqu.com.    IN    A    235.114.179.71
njyqtskr.www.cqu.com.    IN    A    27.31.171.184
dlrhjfca.www.cqu.com.    IN    A    74.51.189.243
gulayscp.www.cqu.com.    IN    A    242.185.35.116
locwknar.www.cqu.com.    IN    A    163.187.202.212
qlnfmtwo.www.cqu.com.    IN    A    203.133.44.20
xlkpvwqd.www.cqu.com.    IN    A    61.231.19.131
hbkdyfar.www.cqu.com.    IN    A    193.118.204.91
boqvwjxm.www.cqu.com.    IN    A    212.43.61.135
fxymbatr.www.cqu.com.    IN    A    70.130.232.118
fxidbowq.www.cqu.com.    IN    A    20.29.58.213
thlsnaom.www.cqu.com.    IN    A    139.69.206.224
ygoadupl.www.cqu.com.    IN    A    213.205.49.40
sndrlkpi.www.cqu.com.    IN    A    67.177.50.75
groyujse.www.cqu.com.    IN    A    249.88.9.112
cwvytfei.www.cqu.com.    IN    A    135.18.204.176
txgseadl.www.cqu.com.    IN    A    190.52.162.46
foglysah.www.cqu.com.    IN    A    183.46.51.214
jgalswmu.www.cqu.com.    IN    A    205.109.55.147
egmsoykv.www.cqu.com.    IN    A    114.246.47.130
nbjxhfwm.www.cqu.com.    IN    A    161.151.159.206
vmqxkjol.www.cqu.com.    IN    A    74.15.212.212
eibjtlad.www.cqu.com.    IN    A    107.185.228.8
