arch.tju.com.	14400	IN	SOA	ns1.arch.tju.com. james.tju.edu. 19122302 14400 3600 2419200 14400
arch.tju.com.		    IN	NS ns1.arch.tju.com.
yojxfkil.arch.tju.com.   IN    A    139.26.57.105
xbeinhag.arch.tju.com.   IN    A    56.108.233.209
xmvspibh.arch.tju.com.   IN    A    228.67.41.201
oljybrfu.arch.tju.com.   IN    A    243.44.14.135
jkxomleb.arch.tju.com.   IN    A    123.60.63.46
codmeqhx.arch.tju.com.   IN    A    226.98.37.5
opbswcqn.arch.tju.com.   IN    A    120.203.213.82
hudnfqbs.arch.tju.com.   IN    A    245.211.15.223
dxmpreuc.arch.tju.com.   IN    A    97.157.194.39
pcvauhmj.arch.tju.com.   IN    A    249.168.103.226
wdnjhpvx.arch.tju.com.   IN    A    71.207.66.32
yodhlgvk.arch.tju.com.   IN    A    55.35.3.30
lcrdwyaj.arch.tju.com.   IN    A    151.84.173.236
kndmxihf.arch.tju.com.   IN    A    68.102.51.2
tvqfldiu.arch.tju.com.   IN    A    163.189.202.226
hsdfjmac.arch.tju.com.   IN    A    224.64.20.154
pytqugrn.arch.tju.com.   IN    A    31.218.129.127
iurynjvg.arch.tju.com.   IN    A    159.142.29.223
eyvkusnt.arch.tju.com.   IN    A    84.110.250.124
ghqrbdkt.arch.tju.com.   IN    A    34.195.80.175
fqmvpige.arch.tju.com.   IN    A    222.8.129.220
ecylnmsb.arch.tju.com.   IN    A    48.42.226.147
nbveajft.arch.tju.com.   IN    A    253.85.86.107
xscelbun.arch.tju.com.   IN    A    32.30.84.131
cswndtfa.arch.tju.com.   IN    A    191.244.16.186
hgfpqrbw.arch.tju.com.   IN    A    41.233.160.207
qnkfdahg.arch.tju.com.   IN    A    111.247.3.220
afdwpmsn.arch.tju.com.   IN    A    188.112.26.96
dltauore.arch.tju.com.   IN    A    66.248.191.73
swgtfoej.arch.tju.com.   IN    A    116.140.127.151
pwgbaylx.arch.tju.com.   IN    A    99.181.125.4
kipadrmq.arch.tju.com.   IN    A    177.108.92.10
iqfrsdvu.arch.tju.com.   IN    A    71.211.136.110
pjdivwnf.arch.tju.com.   IN    A    5.70.28.236
himqlxvg.arch.tju.com.   IN    A    153.17.133.254
pkehitgr.arch.tju.com.   IN    A    19.34.175.169
jqmevruk.arch.tju.com.   IN    A    97.228.171.82
gvdrfeph.arch.tju.com.   IN    A    235.120.247.183
nhfcrbui.arch.tju.com.   IN    A    155.155.7.24
riopwbmj.arch.tju.com.   IN    A    255.57.67.116
bhravsmj.arch.tju.com.   IN    A    56.51.55.39
pudgelra.arch.tju.com.   IN    A    36.53.43.188
qxewiasv.arch.tju.com.   IN    A    111.162.70.92
ucginqmy.arch.tju.com.   IN    A    140.244.124.153
pyimltcu.arch.tju.com.   IN    A    27.78.38.26
sblqmfgk.arch.tju.com.   IN    A    174.165.193.126
ohdgmney.arch.tju.com.   IN    A    243.213.52.90
pwcuoqge.arch.tju.com.   IN    A    105.65.67.122
mduybhql.arch.tju.com.   IN    A    156.222.180.135
houfptnk.arch.tju.com.   IN    A    207.181.72.197
xksdmugy.arch.tju.com.   IN    A    146.22.207.209
epncwldh.arch.tju.com.   IN    A    28.161.28.207
twsvcfgn.arch.tju.com.   IN    A    234.255.182.235
sgmqaeuy.arch.tju.com.   IN    A    190.133.113.122
ikdhlcnw.arch.tju.com.   IN    A    149.82.198.255
ovkjbgxe.arch.tju.com.   IN    A    215.62.60.178
ievkalho.arch.tju.com.   IN    A    12.244.75.185
epgmtydh.arch.tju.com.   IN    A    100.16.121.209
vicgpwhu.arch.tju.com.   IN    A    47.245.11.96
xnoslfiu.arch.tju.com.   IN    A    190.75.119.3
mgpchavj.arch.tju.com.   IN    A    112.164.162.155
lpdxwsqc.arch.tju.com.   IN    A    86.251.108.236
khbdfcet.arch.tju.com.   IN    A    104.178.63.6
xyrqmoba.arch.tju.com.   IN    A    27.175.76.135
elbxmqhk.arch.tju.com.   IN    A    23.212.196.101
fvntqysu.arch.tju.com.   IN    A    89.146.158.125
cforvkbi.arch.tju.com.   IN    A    121.207.203.13
uanewdfg.arch.tju.com.   IN    A    18.215.194.51
gntwdlya.arch.tju.com.   IN    A    139.233.171.99
ydorvnae.arch.tju.com.   IN    A    154.155.214.163
qfeoyrpx.arch.tju.com.   IN    A    42.21.80.114
uprjsndw.arch.tju.com.   IN    A    104.235.32.186
hxvqgwuj.arch.tju.com.   IN    A    205.255.101.228
rlubwtjn.arch.tju.com.   IN    A    180.11.118.250
jdnqwgah.arch.tju.com.   IN    A    243.113.244.119
dixokans.arch.tju.com.   IN    A    131.208.42.187
cupofisj.arch.tju.com.   IN    A    83.159.234.159
incorsbw.arch.tju.com.   IN    A    128.83.29.57
bcfneskw.arch.tju.com.   IN    A    45.200.54.87
plenhsvu.arch.tju.com.   IN    A    48.102.139.18
cabuvpyh.arch.tju.com.   IN    A    3.213.123.40
oqlfinsv.arch.tju.com.   IN    A    141.154.84.136
bgeiprxc.arch.tju.com.   IN    A    54.213.128.148
rcpjtxyv.arch.tju.com.   IN    A    191.40.172.127
kptlyimh.arch.tju.com.   IN    A    67.165.56.18
cxlfnvpo.arch.tju.com.   IN    A    187.67.223.54
starfjne.arch.tju.com.   IN    A    184.145.218.147
ymjtovgr.arch.tju.com.   IN    A    208.146.64.163
dygnpilq.arch.tju.com.   IN    A    205.156.159.23
pdfntuol.arch.tju.com.   IN    A    109.161.33.46
ymhveous.arch.tju.com.   IN    A    9.67.160.22
bunvkrmj.arch.tju.com.   IN    A    65.236.6.121
lsqhkvat.arch.tju.com.   IN    A    11.109.7.182
hyqboxvw.arch.tju.com.   IN    A    57.21.60.249
wdkyihlp.arch.tju.com.   IN    A    16.155.228.185
hbirtwsk.arch.tju.com.   IN    A    163.192.122.171
xkjpydwl.arch.tju.com.   IN    A    47.226.242.224
iktmnsod.arch.tju.com.   IN    A    222.245.197.224
tjdnvfih.arch.tju.com.   IN    A    61.73.72.198
spyjrlbc.arch.tju.com.   IN    A    127.16.54.224
ncwlidvj.arch.tju.com.   IN    A    7.78.235.82
mohlqeap.arch.tju.com.   IN    A    230.103.140.122
aodmtyck.arch.tju.com.   IN    A    253.20.200.235
oxfbviga.arch.tju.com.   IN    A    82.218.35.11
pwhcyjbu.arch.tju.com.   IN    A    15.118.202.123
idvytpeg.arch.tju.com.   IN    A    117.35.112.217
knepdsla.arch.tju.com.   IN    A    39.170.42.61
urpcbajq.arch.tju.com.   IN    A    164.130.143.46
ewtlyxvo.arch.tju.com.   IN    A    151.103.0.146
pawojfkh.arch.tju.com.   IN    A    24.156.89.86
esgpfync.arch.tju.com.   IN    A    76.252.54.31
klmabydc.arch.tju.com.   IN    A    218.2.4.63
dbhrqejo.arch.tju.com.   IN    A    207.34.230.178
elfbngqt.arch.tju.com.   IN    A    79.122.92.208
oexupfty.arch.tju.com.   IN    A    69.42.87.103
madkbnue.arch.tju.com.   IN    A    89.79.228.38
aojquywn.arch.tju.com.   IN    A    90.95.210.106
uviobqeg.arch.tju.com.   IN    A    188.93.15.74
ohryubqd.arch.tju.com.   IN    A    234.250.88.230
ytnmosxb.arch.tju.com.   IN    A    254.181.16.73
mbphrgdy.arch.tju.com.   IN    A    255.85.62.98
pwrjnmsq.arch.tju.com.   IN    A    85.243.137.80
cmjotgbq.arch.tju.com.   IN    A    214.152.191.130
lwdnbgyv.arch.tju.com.   IN    A    188.202.118.156
indwspgk.arch.tju.com.   IN    A    10.130.80.252
sgfocybv.arch.tju.com.   IN    A    19.189.22.227
eybkitms.arch.tju.com.   IN    A    184.210.38.105
jtkfmpvx.arch.tju.com.   IN    A    215.62.24.67
wcjgodea.arch.tju.com.   IN    A    79.104.212.230
mhoyjlqp.arch.tju.com.   IN    A    208.214.57.192
cekqvuba.arch.tju.com.   IN    A    145.81.159.186
liwojfct.arch.tju.com.   IN    A    242.125.106.222
tckgpmvx.arch.tju.com.   IN    A    79.198.164.254
sgfyiacq.arch.tju.com.   IN    A    156.164.39.93
bwevmtgx.arch.tju.com.   IN    A    220.27.207.159
lrjwngdc.arch.tju.com.   IN    A    140.131.78.25
ktonledu.arch.tju.com.   IN    A    173.5.74.141
nfuypgdl.arch.tju.com.   IN    A    236.165.246.215
gtcquxjd.arch.tju.com.   IN    A    81.217.83.109
lgcdpxev.arch.tju.com.   IN    A    21.78.61.180
nokfhajr.arch.tju.com.   IN    A    113.115.171.177
kxflqued.arch.tju.com.   IN    A    164.11.161.24
wugshmvr.arch.tju.com.   IN    A    169.103.187.203
jmafnvte.arch.tju.com.   IN    A    6.232.21.232
woaxhdnu.arch.tju.com.   IN    A    251.182.7.194
dgbsajqx.arch.tju.com.   IN    A    47.80.78.147
rxupiwhe.arch.tju.com.   IN    A    92.88.252.121
fglvujsb.arch.tju.com.   IN    A    85.126.251.95
vbxqaweo.arch.tju.com.   IN    A    121.214.63.159
gaknwdho.arch.tju.com.   IN    A    159.166.175.217
mswujybl.arch.tju.com.   IN    A    209.134.153.211
jtqwdfue.arch.tju.com.   IN    A    188.250.237.144
mtaonfqg.arch.tju.com.   IN    A    76.199.137.114
mquxsafg.arch.tju.com.   IN    A    90.70.125.108
nwlypmdj.arch.tju.com.   IN    A    185.67.143.143
pcvxhmlk.arch.tju.com.   IN    A    46.220.234.91
nlbwctdp.arch.tju.com.   IN    A    226.42.58.188
drkogpym.arch.tju.com.   IN    A    82.70.121.119
pvnqkrxb.arch.tju.com.   IN    A    61.214.142.177
iprgvucn.arch.tju.com.   IN    A    93.187.138.166
vpcbsrhu.arch.tju.com.   IN    A    240.103.213.140
vmlysdnr.arch.tju.com.   IN    A    49.92.136.32
lfocvxek.arch.tju.com.   IN    A    39.47.205.108
nqcuwoxs.arch.tju.com.   IN    A    104.55.102.155
wtfrsiuo.arch.tju.com.   IN    A    179.115.176.26
reobspgy.arch.tju.com.   IN    A    183.183.196.137
jgscarup.arch.tju.com.   IN    A    69.40.28.79
skgjhfye.arch.tju.com.   IN    A    15.51.169.85
wikyulqx.arch.tju.com.   IN    A    56.124.122.212
xayvjgnl.arch.tju.com.   IN    A    4.188.48.241
qitumkfs.arch.tju.com.   IN    A    49.110.190.232
ugmrtldo.arch.tju.com.   IN    A    63.242.84.73
byafihsj.arch.tju.com.   IN    A    144.254.86.8
mkyjwvot.arch.tju.com.   IN    A    223.106.228.118
telcbodv.arch.tju.com.   IN    A    53.42.147.89
knlsxjgf.arch.tju.com.   IN    A    214.70.158.160
vkjnflhw.arch.tju.com.   IN    A    105.13.90.230
mcnrdkeq.arch.tju.com.   IN    A    143.32.162.231
iwepjota.arch.tju.com.   IN    A    76.35.169.138
tlvsbnyo.arch.tju.com.   IN    A    182.152.168.99
igbpaotf.arch.tju.com.   IN    A    16.247.154.58
opfiwqnx.arch.tju.com.   IN    A    130.229.131.174
abdplqxw.arch.tju.com.   IN    A    217.78.200.57
lyodqfre.arch.tju.com.   IN    A    90.114.152.198
wkyjemso.arch.tju.com.   IN    A    151.194.238.41
xnapdcsm.arch.tju.com.   IN    A    81.157.3.14
bpsdouwc.arch.tju.com.   IN    A    36.200.161.194
dkqniryv.arch.tju.com.   IN    A    155.157.248.219
gcwoleun.arch.tju.com.   IN    A    82.217.168.136
ixuaosek.arch.tju.com.   IN    A    107.238.252.41
ydtiqmnk.arch.tju.com.   IN    A    215.127.202.25
vnrjeqgw.arch.tju.com.   IN    A    121.12.247.228
wujodbal.arch.tju.com.   IN    A    212.85.90.14
fimobedu.arch.tju.com.   IN    A    58.45.188.139
osyxpbfr.arch.tju.com.   IN    A    233.241.115.171
hgamtwvl.arch.tju.com.   IN    A    45.233.81.120
lfphxabs.arch.tju.com.   IN    A    145.190.15.208
gotylhjs.arch.tju.com.   IN    A    64.177.161.1
thgukcaq.arch.tju.com.   IN    A    52.184.7.247
uhwxicks.arch.tju.com.   IN    A    231.139.188.159
tynkvsel.arch.tju.com.   IN    A    79.250.255.40
diyrwelo.arch.tju.com.   IN    A    203.194.102.41
kqvsbicf.arch.tju.com.   IN    A    186.211.32.29
tfxhqjyv.arch.tju.com.   IN    A    180.209.120.202
rfxvhitq.arch.tju.com.   IN    A    56.190.28.201
ofceuqdl.arch.tju.com.   IN    A    164.194.234.212
dxbmwoec.arch.tju.com.   IN    A    85.230.192.175
rqwblfpu.arch.tju.com.   IN    A    55.137.91.245
gakphtyi.arch.tju.com.   IN    A    16.153.137.108
cudptohy.arch.tju.com.   IN    A    241.98.234.139
ykqnerob.arch.tju.com.   IN    A    31.193.193.232
liahemwr.arch.tju.com.   IN    A    184.44.218.132
hdximnge.arch.tju.com.   IN    A    208.124.218.177
ayvpxohi.arch.tju.com.   IN    A    193.219.222.110
gckyaobt.arch.tju.com.   IN    A    97.247.66.8
jpfrxnqm.arch.tju.com.   IN    A    70.131.37.44
ktpxlaew.arch.tju.com.   IN    A    149.128.147.6
ohvfdyun.arch.tju.com.   IN    A    152.228.123.243
ipdqymgo.arch.tju.com.   IN    A    109.25.104.166
acjwusgv.arch.tju.com.   IN    A    71.12.78.5
vjbupnod.arch.tju.com.   IN    A    7.63.42.11
myrdhpsc.arch.tju.com.   IN    A    5.231.71.254
gewlrxmv.arch.tju.com.   IN    A    92.197.73.102
igflmdkv.arch.tju.com.   IN    A    67.78.112.243
cpmxtugy.arch.tju.com.   IN    A    245.119.74.188
embsrwky.arch.tju.com.   IN    A    209.61.253.185
ugpxterk.arch.tju.com.   IN    A    167.206.210.42
qevjucmy.arch.tju.com.   IN    A    81.16.175.158
ueyfrsaq.arch.tju.com.   IN    A    161.178.46.190
keymxgco.arch.tju.com.   IN    A    248.183.51.52
dtubmjqh.arch.tju.com.   IN    A    133.50.240.33
geanbrwp.arch.tju.com.   IN    A    41.248.59.61
irbhouwc.arch.tju.com.   IN    A    139.26.145.142
qndkwfoy.arch.tju.com.   IN    A    43.198.50.65
gtcyahvs.arch.tju.com.   IN    A    75.214.216.101
wfigujbq.arch.tju.com.   IN    A    132.151.93.133
edotqsyj.arch.tju.com.   IN    A    88.138.107.115
cgtsnjxr.arch.tju.com.   IN    A    138.91.111.118
aeluyjbw.arch.tju.com.   IN    A    240.166.255.246
wtpgefvn.arch.tju.com.   IN    A    129.182.15.112
exvahqkw.arch.tju.com.   IN    A    179.12.151.208
iasxctej.arch.tju.com.   IN    A    107.56.34.229
fjvepmwh.arch.tju.com.   IN    A    24.76.86.218
kjmdupqy.arch.tju.com.   IN    A    10.93.197.134
udgewsak.arch.tju.com.   IN    A    234.114.43.133
eogupcxi.arch.tju.com.   IN    A    33.105.187.124
rwmbexdj.arch.tju.com.   IN    A    138.49.86.106
oikjyfgx.arch.tju.com.   IN    A    240.66.1.25
qopftsrd.arch.tju.com.   IN    A    228.227.31.24
gilduamt.arch.tju.com.   IN    A    102.62.56.154
wmubvgpo.arch.tju.com.   IN    A    163.40.116.188
biguedhw.arch.tju.com.   IN    A    211.54.241.39
xgurnlbt.arch.tju.com.   IN    A    233.177.250.143
hduxcmin.arch.tju.com.   IN    A    62.204.208.156
cnqsilvm.arch.tju.com.   IN    A    227.64.146.140
utjicrhm.arch.tju.com.   IN    A    152.130.39.41
skhefjmv.arch.tju.com.   IN    A    47.107.9.129
fomquidw.arch.tju.com.   IN    A    216.179.79.123
veiaflso.arch.tju.com.   IN    A    48.229.101.89
yoqxisat.arch.tju.com.   IN    A    235.37.166.35
uyqakmle.arch.tju.com.   IN    A    29.72.214.203
tpafwhnq.arch.tju.com.   IN    A    174.2.113.180
lbuxdtic.arch.tju.com.   IN    A    153.238.207.101
bxwerifh.arch.tju.com.   IN    A    203.85.196.141
ekrmndfv.arch.tju.com.   IN    A    152.4.12.15
ciohsybg.arch.tju.com.   IN    A    32.233.241.149
vjaonqsi.arch.tju.com.   IN    A    23.1.53.193
uiqchmol.arch.tju.com.   IN    A    83.180.20.167
ulpoytic.arch.tju.com.   IN    A    123.98.108.6
dauelrsv.arch.tju.com.   IN    A    178.237.253.196
jqfeusdp.arch.tju.com.   IN    A    198.167.79.249
upkivjxy.arch.tju.com.   IN    A    110.114.177.125
sdrybhle.arch.tju.com.   IN    A    20.207.8.24
snlpbdjo.arch.tju.com.   IN    A    69.30.206.16
ljisdkyp.arch.tju.com.   IN    A    189.89.167.140
erpkslhj.arch.tju.com.   IN    A    142.2.142.218
edplsyra.arch.tju.com.   IN    A    197.149.104.214
ypnrjdvc.arch.tju.com.   IN    A    37.183.13.196
ephowcax.arch.tju.com.   IN    A    128.96.60.26
ikouxlvq.arch.tju.com.   IN    A    102.241.137.180
lntrwumv.arch.tju.com.   IN    A    101.237.33.167
chdxivjw.arch.tju.com.   IN    A    167.118.96.251
evknuohc.arch.tju.com.   IN    A    9.201.142.187
foyhdmsq.arch.tju.com.   IN    A    53.183.54.103
cskufhgn.arch.tju.com.   IN    A    190.9.233.225
mynsbcfi.arch.tju.com.   IN    A    79.136.32.160
okbsurjx.arch.tju.com.   IN    A    150.20.163.35
coiwunvl.arch.tju.com.   IN    A    196.12.241.225
qsjetmvr.arch.tju.com.   IN    A    161.82.51.233
hirbeogv.arch.tju.com.   IN    A    159.186.56.5
dvplkeim.arch.tju.com.   IN    A    125.237.34.224
revtwsdy.arch.tju.com.   IN    A    234.16.137.26
cpwsxebm.arch.tju.com.   IN    A    167.9.68.79
upnyckmx.arch.tju.com.   IN    A    182.105.184.49
bsaplmfy.arch.tju.com.   IN    A    7.108.158.24
mfvuyqbi.arch.tju.com.   IN    A    104.24.197.186
grskblpa.arch.tju.com.   IN    A    7.27.200.91
jwfdtmio.arch.tju.com.   IN    A    76.236.194.50
hlkgrxdm.arch.tju.com.   IN    A    166.79.93.195
ujtgclvo.arch.tju.com.   IN    A    87.6.49.105
asvulcdf.arch.tju.com.   IN    A    59.55.240.91
jtehfcdr.arch.tju.com.   IN    A    91.38.164.9
wgytnamr.arch.tju.com.   IN    A    55.241.171.82
lagdctfb.arch.tju.com.   IN    A    204.144.146.244
ntbvhmlw.arch.tju.com.   IN    A    27.17.94.129
smvbfgqy.arch.tju.com.   IN    A    187.102.209.13
oyebhknm.arch.tju.com.   IN    A    24.135.96.62
neapqtwi.arch.tju.com.   IN    A    172.9.163.190
undxhrvo.arch.tju.com.   IN    A    227.86.23.33
fditbnxv.arch.tju.com.   IN    A    83.198.188.46
vnoegbcr.arch.tju.com.   IN    A    111.214.129.32
ofnbhdse.arch.tju.com.   IN    A    1.227.5.10
vkicdxmp.arch.tju.com.   IN    A    97.108.120.97
dvrexwhu.arch.tju.com.   IN    A    78.152.145.101
cbkiexhw.arch.tju.com.   IN    A    118.49.250.183
acosnlgk.arch.tju.com.   IN    A    202.98.161.248
dgcesmoa.arch.tju.com.   IN    A    240.52.119.45
vqucajte.arch.tju.com.   IN    A    37.217.100.68
bfcnmukt.arch.tju.com.   IN    A    37.134.48.142
bvinghum.arch.tju.com.   IN    A    1.79.251.155
ygrkbumj.arch.tju.com.   IN    A    5.220.195.232
fcuynitl.arch.tju.com.   IN    A    85.171.220.62
egvcbxkl.arch.tju.com.   IN    A    178.129.177.113
cevtsurw.arch.tju.com.   IN    A    194.0.244.209
rusxvqgl.arch.tju.com.   IN    A    34.56.34.139
asdxmowu.arch.tju.com.   IN    A    232.143.228.201
gwjxtlru.arch.tju.com.   IN    A    106.196.163.38
ltsyiufm.arch.tju.com.   IN    A    164.77.225.201
eyvcmgwj.arch.tju.com.   IN    A    104.118.244.237
ojuxnber.arch.tju.com.   IN    A    22.92.150.147
oaisneqp.arch.tju.com.   IN    A    68.195.232.25
ovnixqdm.arch.tju.com.   IN    A    190.237.55.123
bfwprguh.arch.tju.com.   IN    A    177.153.44.136
uoeqsktx.arch.tju.com.   IN    A    190.12.216.112
cwhedbox.arch.tju.com.   IN    A    109.157.195.93
blyqkufa.arch.tju.com.   IN    A    28.33.198.84
hdnumcoy.arch.tju.com.   IN    A    187.246.156.153
vxjohybn.arch.tju.com.   IN    A    84.44.244.136
rdxopcsu.arch.tju.com.   IN    A    32.236.47.27
ivqtlmey.arch.tju.com.   IN    A    216.86.67.238
xsircewd.arch.tju.com.   IN    A    83.147.238.42
ctflnomj.arch.tju.com.   IN    A    102.71.12.104
hmfijcds.arch.tju.com.   IN    A    216.58.19.220
mgcvjoal.arch.tju.com.   IN    A    215.254.75.190
cpxotleu.arch.tju.com.   IN    A    79.84.85.73
dlmrubfj.arch.tju.com.   IN    A    192.212.183.67
dbcthfgm.arch.tju.com.   IN    A    188.61.202.206
idcgpreo.arch.tju.com.   IN    A    232.13.229.195
hjvwbxle.arch.tju.com.   IN    A    45.107.223.156
nyevdjra.arch.tju.com.   IN    A    51.90.217.65
bqspxhin.arch.tju.com.   IN    A    151.30.195.72
lpkuxqcb.arch.tju.com.   IN    A    101.64.102.236
fjgqewpb.arch.tju.com.   IN    A    151.247.110.222
fegvusot.arch.tju.com.   IN    A    93.229.147.120
mevqtdak.arch.tju.com.   IN    A    11.124.125.140
lbnathmk.arch.tju.com.   IN    A    37.189.245.76
kfldauyh.arch.tju.com.   IN    A    105.157.3.163
wsycdmok.arch.tju.com.   IN    A    101.126.225.186
fipaqkvs.arch.tju.com.   IN    A    11.11.35.26
lcskghrw.arch.tju.com.   IN    A    212.118.157.238
ilrckutb.arch.tju.com.   IN    A    108.184.108.87
tdauqfjc.arch.tju.com.   IN    A    228.158.232.65
igxptmbj.arch.tju.com.   IN    A    22.105.103.185
fsgubvoi.arch.tju.com.   IN    A    46.111.135.60
auhicewf.arch.tju.com.   IN    A    74.135.191.244
mbqjdoek.arch.tju.com.   IN    A    150.19.39.227
