hist.pku.com.	14400	IN	SOA	ns1.hist.pku.com. james.pku.edu. 19122302 14400 3600 2419200 14400
hist.pku.com.		    IN	NS ns1.hist.pku.com.
eckfdvbm.hist.pku.com.   IN    A    38.51.76.25
lwxkyptq.hist.pku.com.   IN    A    20.115.102.128
ctepdwbv.hist.pku.com.   IN    A    232.29.23.206
drclamve.hist.pku.com.   IN    A    1.165.65.217
irnxmyqo.hist.pku.com.   IN    A    146.211.211.71
fnjtdglo.hist.pku.com.   IN    A    160.85.67.121
niyopcdg.hist.pku.com.   IN    A    48.77.247.169
mcgvjfie.hist.pku.com.   IN    A    47.130.201.251
dhvbnmle.hist.pku.com.   IN    A    185.128.234.242
ajmdibkq.hist.pku.com.   IN    A    220.46.157.198
ilpkqmoc.hist.pku.com.   IN    A    30.130.98.132
gsvmyilu.hist.pku.com.   IN    A    3.102.52.101
bgmluysp.hist.pku.com.   IN    A    206.119.230.243
dnapxhjl.hist.pku.com.   IN    A    161.160.125.24
jqckwdsu.hist.pku.com.   IN    A    233.144.79.158
vwabhijc.hist.pku.com.   IN    A    209.198.204.1
dbfuswgn.hist.pku.com.   IN    A    51.40.159.4
reutwfsh.hist.pku.com.   IN    A    219.217.62.202
tmyojkrq.hist.pku.com.   IN    A    47.144.165.154
jkbyoxdq.hist.pku.com.   IN    A    169.167.195.14
ualkfrvj.hist.pku.com.   IN    A    89.103.36.65
lcmsdqbr.hist.pku.com.   IN    A    252.232.97.74
sbniyjrg.hist.pku.com.   IN    A    198.228.46.168
xosfmcrh.hist.pku.com.   IN    A    46.144.163.193
khqporfe.hist.pku.com.   IN    A    2.195.243.111
bpciqsxj.hist.pku.com.   IN    A    196.154.91.226
spimgdlk.hist.pku.com.   IN    A    161.34.3.144
yaonlctx.hist.pku.com.   IN    A    10.209.240.24
eqpvcmkn.hist.pku.com.   IN    A    104.87.61.118
olwxabjg.hist.pku.com.   IN    A    53.1.33.133
ocjabunl.hist.pku.com.   IN    A    216.170.81.213
xvcyghfw.hist.pku.com.   IN    A    89.77.210.50
rpgcvbhi.hist.pku.com.   IN    A    15.23.248.136
ftyvakwj.hist.pku.com.   IN    A    142.63.222.164
nmqveawl.hist.pku.com.   IN    A    161.20.144.53
ntqwliyx.hist.pku.com.   IN    A    191.164.108.111
uyjpqaox.hist.pku.com.   IN    A    87.66.31.97
jgkbonhl.hist.pku.com.   IN    A    167.157.171.82
tdnxokcs.hist.pku.com.   IN    A    230.184.69.148
wcvqljos.hist.pku.com.   IN    A    229.93.57.155
vgflpexm.hist.pku.com.   IN    A    97.135.92.95
phbkxcej.hist.pku.com.   IN    A    147.140.61.28
rdfcaoth.hist.pku.com.   IN    A    129.207.2.123
fpyctrqe.hist.pku.com.   IN    A    159.227.222.250
mulbtjfs.hist.pku.com.   IN    A    246.75.53.244
fvajmtlq.hist.pku.com.   IN    A    215.38.224.150
dhebgwuj.hist.pku.com.   IN    A    0.207.101.121
emxtigkb.hist.pku.com.   IN    A    49.131.96.70
wksohtiq.hist.pku.com.   IN    A    217.122.52.160
hlmusgoi.hist.pku.com.   IN    A    131.212.160.9
jtfuwgxs.hist.pku.com.   IN    A    187.199.154.205
sfryblqx.hist.pku.com.   IN    A    39.182.46.221
geshmwal.hist.pku.com.   IN    A    198.196.188.68
xiuwscno.hist.pku.com.   IN    A    18.198.58.4
ckvtljoa.hist.pku.com.   IN    A    246.90.94.19
fmnxiuor.hist.pku.com.   IN    A    247.24.142.49
xbklqwso.hist.pku.com.   IN    A    187.130.91.247
qjrfdbni.hist.pku.com.   IN    A    221.44.36.206
hjixygsq.hist.pku.com.   IN    A    192.137.45.216
twhaibcr.hist.pku.com.   IN    A    219.214.90.1
lstykrga.hist.pku.com.   IN    A    84.223.40.241
edncryhq.hist.pku.com.   IN    A    167.191.18.157
sfpcmevx.hist.pku.com.   IN    A    62.220.230.153
skramqix.hist.pku.com.   IN    A    69.207.252.53
goqmjaxc.hist.pku.com.   IN    A    250.70.39.3
ghrjlksv.hist.pku.com.   IN    A    80.31.209.190
gsfxochv.hist.pku.com.   IN    A    23.87.134.243
khaqcxor.hist.pku.com.   IN    A    218.237.51.132
mgwortai.hist.pku.com.   IN    A    41.10.34.249
mupqhlti.hist.pku.com.   IN    A    108.252.79.171
yqhcvfel.hist.pku.com.   IN    A    89.81.67.133
ecmgpywl.hist.pku.com.   IN    A    8.108.37.169
qroksdge.hist.pku.com.   IN    A    245.111.123.69
benhjfxq.hist.pku.com.   IN    A    104.238.37.129
cyrkhdbq.hist.pku.com.   IN    A    33.96.135.58
woleyrxi.hist.pku.com.   IN    A    192.4.33.62
noajpmsx.hist.pku.com.   IN    A    106.25.143.31
ytemnfhu.hist.pku.com.   IN    A    235.62.205.250
tuldrsav.hist.pku.com.   IN    A    23.179.100.35
lsjwqtoc.hist.pku.com.   IN    A    236.106.38.150
uscoefgt.hist.pku.com.   IN    A    240.190.220.224
wobtxaiv.hist.pku.com.   IN    A    79.176.175.78
hsofwucj.hist.pku.com.   IN    A    82.222.20.39
eiyfbokt.hist.pku.com.   IN    A    153.153.128.177
dfpcwrqu.hist.pku.com.   IN    A    237.73.200.160
poeskifh.hist.pku.com.   IN    A    228.105.201.43
knrxqtcw.hist.pku.com.   IN    A    236.99.68.7
bxyvphit.hist.pku.com.   IN    A    236.187.184.141
udhwlpkv.hist.pku.com.   IN    A    113.69.48.242
lcxsvkga.hist.pku.com.   IN    A    111.67.134.104
blwfdjui.hist.pku.com.   IN    A    26.86.110.97
xgfmojsw.hist.pku.com.   IN    A    27.169.94.21
nkcegpdm.hist.pku.com.   IN    A    95.147.42.133
jeoqvrpg.hist.pku.com.   IN    A    217.111.248.212
iuvstexb.hist.pku.com.   IN    A    56.237.245.83
fcgrqetj.hist.pku.com.   IN    A    83.177.184.116
gkmblvto.hist.pku.com.   IN    A    227.240.198.245
wdnlfxpc.hist.pku.com.   IN    A    43.167.102.252
bpulmnav.hist.pku.com.   IN    A    198.32.253.181
dfxgmhbi.hist.pku.com.   IN    A    79.41.111.77
khaglpuc.hist.pku.com.   IN    A    68.189.230.213
aieglvtm.hist.pku.com.   IN    A    215.46.184.23
uxvhwjyt.hist.pku.com.   IN    A    255.24.174.12
qdrshkam.hist.pku.com.   IN    A    212.92.156.23
qwcxofns.hist.pku.com.   IN    A    129.3.210.222
xbhmgwpk.hist.pku.com.   IN    A    229.191.99.183
xpijfeuy.hist.pku.com.   IN    A    224.204.135.63
qsomndbt.hist.pku.com.   IN    A    205.85.235.235
ncabqdom.hist.pku.com.   IN    A    152.96.182.38
wgbclduj.hist.pku.com.   IN    A    69.199.131.87
ahrgjnix.hist.pku.com.   IN    A    94.158.36.144
axvqnlgo.hist.pku.com.   IN    A    24.237.237.40
jwhmcqdu.hist.pku.com.   IN    A    124.147.134.129
pnudliwc.hist.pku.com.   IN    A    36.83.60.165
xamedgfn.hist.pku.com.   IN    A    254.41.30.239
kdnbyxqj.hist.pku.com.   IN    A    202.58.250.67
bfxvhjel.hist.pku.com.   IN    A    17.75.74.29
bvfcjdsq.hist.pku.com.   IN    A    237.66.248.130
hxfkanyt.hist.pku.com.   IN    A    0.170.139.49
lxiuypwn.hist.pku.com.   IN    A    124.89.17.115
udfcjgxb.hist.pku.com.   IN    A    164.138.224.252
hpuqbdsa.hist.pku.com.   IN    A    48.19.122.1
xckwhmfd.hist.pku.com.   IN    A    14.173.125.174
cqesxlwa.hist.pku.com.   IN    A    92.87.126.249
igduylea.hist.pku.com.   IN    A    182.77.116.154
wgviarlc.hist.pku.com.   IN    A    35.237.237.73
tjxehlpm.hist.pku.com.   IN    A    131.73.172.144
cmoryejd.hist.pku.com.   IN    A    252.131.230.121
tefbhwyi.hist.pku.com.   IN    A    100.212.228.179
nwgdvebl.hist.pku.com.   IN    A    78.215.204.47
mntaweby.hist.pku.com.   IN    A    9.228.16.70
wsnpdakj.hist.pku.com.   IN    A    197.223.136.37
vsyktqbi.hist.pku.com.   IN    A    88.147.47.181
cjvqdrub.hist.pku.com.   IN    A    151.107.41.46
gtxwbycd.hist.pku.com.   IN    A    221.44.65.53
ydbatpxm.hist.pku.com.   IN    A    244.1.160.218
rfosaebq.hist.pku.com.   IN    A    91.9.152.30
vurcwokq.hist.pku.com.   IN    A    253.181.180.64
kycuwhgi.hist.pku.com.   IN    A    250.169.19.79
xsulyfjh.hist.pku.com.   IN    A    155.238.17.213
pveqgrbf.hist.pku.com.   IN    A    206.231.52.115
dasygohp.hist.pku.com.   IN    A    182.160.188.251
jwbxvtnq.hist.pku.com.   IN    A    129.238.128.13
yavxmgsd.hist.pku.com.   IN    A    140.186.139.181
lesfqamu.hist.pku.com.   IN    A    3.185.111.182
cdrgusif.hist.pku.com.   IN    A    41.143.150.142
plshbdkv.hist.pku.com.   IN    A    22.119.113.234
qgdrwfnx.hist.pku.com.   IN    A    19.178.146.38
scnuomgk.hist.pku.com.   IN    A    99.242.51.117
nyjiukcr.hist.pku.com.   IN    A    245.240.146.207
velgyodc.hist.pku.com.   IN    A    169.54.83.175
jkfswyql.hist.pku.com.   IN    A    64.190.7.171
pmjkevan.hist.pku.com.   IN    A    177.155.194.192
fwbvmdst.hist.pku.com.   IN    A    87.35.113.184
qgvekflr.hist.pku.com.   IN    A    117.62.89.82
msxcykfi.hist.pku.com.   IN    A    39.165.235.86
brfdqvcg.hist.pku.com.   IN    A    215.1.30.52
bmpqkesd.hist.pku.com.   IN    A    219.132.113.68
ugrwxfvd.hist.pku.com.   IN    A    68.185.23.68
beckripl.hist.pku.com.   IN    A    99.31.78.243
hcfrstia.hist.pku.com.   IN    A    127.239.66.235
pqrnxvay.hist.pku.com.   IN    A    64.182.238.216
basedwhi.hist.pku.com.   IN    A    200.115.239.230
wmtrbiag.hist.pku.com.   IN    A    241.18.166.149
namvirlp.hist.pku.com.   IN    A    6.154.186.60
desimnjk.hist.pku.com.   IN    A    186.27.25.232
cehfrwyj.hist.pku.com.   IN    A    172.166.84.111
jqgunhci.hist.pku.com.   IN    A    79.10.128.182
uqcvnajk.hist.pku.com.   IN    A    118.140.199.66
nibsrceo.hist.pku.com.   IN    A    249.69.135.187
wmspuern.hist.pku.com.   IN    A    26.148.193.0
