ai.shu.com.	14400	IN	SOA	ns1.ai.shu.com. james.shu.edu. 19122302 14400 3600 2419200 14400
ai.shu.com.		    IN	NS ns1.ai.shu.com.
noyhgwuc.ai.shu.com.     IN    A    102.163.201.218
rsevwkfo.ai.shu.com.     IN    A    199.218.107.213
ofsxnhtu.ai.shu.com.     IN    A    119.194.61.118
wsjpagbt.ai.shu.com.     IN    A    87.76.255.162
thgjrycl.ai.shu.com.     IN    A    95.170.156.9
msuviowq.ai.shu.com.     IN    A    150.23.235.17
sidqpvbm.ai.shu.com.     IN    A    253.18.21.190
dukesqif.ai.shu.com.     IN    A    27.104.123.153
typjuawf.ai.shu.com.     IN    A    27.189.70.87
qtvkocin.ai.shu.com.     IN    A    65.5.25.188
lwyeusmd.ai.shu.com.     IN    A    153.186.146.95
xudscbmf.ai.shu.com.     IN    A    74.71.63.24
plirnmwv.ai.shu.com.     IN    A    216.9.131.1
ubslnvjc.ai.shu.com.     IN    A    114.254.53.72
kfbgyauw.ai.shu.com.     IN    A    252.99.137.255
krjqgypv.ai.shu.com.     IN    A    193.118.6.159
oewaqxgr.ai.shu.com.     IN    A    72.172.65.91
qmuglrew.ai.shu.com.     IN    A    108.98.106.179
mlkswivx.ai.shu.com.     IN    A    176.244.133.131
phkswdmv.ai.shu.com.     IN    A    202.213.253.101
kufjcywb.ai.shu.com.     IN    A    130.90.92.88
njbwdxam.ai.shu.com.     IN    A    12.219.185.168
xvpmjgrs.ai.shu.com.     IN    A    105.57.33.18
qvwbxafe.ai.shu.com.     IN    A    161.207.198.240
pfsqbuvc.ai.shu.com.     IN    A    183.208.95.237
irblfvng.ai.shu.com.     IN    A    66.124.35.114
ugtwqehp.ai.shu.com.     IN    A    205.64.221.210
lsqrbjoc.ai.shu.com.     IN    A    130.80.243.187
yjabqfmr.ai.shu.com.     IN    A    237.166.80.250
knhqlcgo.ai.shu.com.     IN    A    228.67.49.171
mxpiydwa.ai.shu.com.     IN    A    85.217.237.198
ohqufsdt.ai.shu.com.     IN    A    96.76.193.255
tmnjcxkr.ai.shu.com.     IN    A    81.178.223.70
oijmcevg.ai.shu.com.     IN    A    87.73.70.207
prjdyfgu.ai.shu.com.     IN    A    3.57.66.197
imglwceb.ai.shu.com.     IN    A    70.76.175.204
wqebaroi.ai.shu.com.     IN    A    206.241.81.215
khjvsnwp.ai.shu.com.     IN    A    87.68.27.69
ycukelwg.ai.shu.com.     IN    A    64.213.135.28
rmsgokpt.ai.shu.com.     IN    A    199.206.124.39
fhlqybnv.ai.shu.com.     IN    A    149.34.68.191
motayvwc.ai.shu.com.     IN    A    154.220.45.167
yfsmioan.ai.shu.com.     IN    A    148.18.10.14
mfdaurck.ai.shu.com.     IN    A    100.233.32.104
okxgqbwa.ai.shu.com.     IN    A    230.122.58.157
jvgeylth.ai.shu.com.     IN    A    126.168.129.182
ldiqtncs.ai.shu.com.     IN    A    75.101.190.232
pfjtladg.ai.shu.com.     IN    A    159.163.80.97
rcksvgxj.ai.shu.com.     IN    A    142.161.133.86
ulnjcxav.ai.shu.com.     IN    A    23.21.169.209
njvdtfgk.ai.shu.com.     IN    A    122.9.239.49
okitycvx.ai.shu.com.     IN    A    40.15.189.20
sbdeilvy.ai.shu.com.     IN    A    125.60.227.212
sdlxfoka.ai.shu.com.     IN    A    48.45.59.186
loqcdthi.ai.shu.com.     IN    A    29.196.41.153
otprskdb.ai.shu.com.     IN    A    238.103.103.34
jlbeumwd.ai.shu.com.     IN    A    182.243.104.102
figdanho.ai.shu.com.     IN    A    221.33.140.185
bqtgovfs.ai.shu.com.     IN    A    123.36.201.214
iqcjbwkv.ai.shu.com.     IN    A    202.56.186.145
wcvytbqa.ai.shu.com.     IN    A    83.205.183.125
rcatvdew.ai.shu.com.     IN    A    39.228.184.94
opchfswr.ai.shu.com.     IN    A    4.141.243.70
dogsjply.ai.shu.com.     IN    A    183.150.109.31
etrbdgso.ai.shu.com.     IN    A    195.43.7.114
hefbcyvp.ai.shu.com.     IN    A    195.51.213.189
jenkxlfa.ai.shu.com.     IN    A    81.5.18.143
abkreocf.ai.shu.com.     IN    A    27.233.94.21
dtpqnmvc.ai.shu.com.     IN    A    157.254.156.72
anprjkde.ai.shu.com.     IN    A    25.1.186.162
kdescump.ai.shu.com.     IN    A    4.141.199.13
mrvaopcd.ai.shu.com.     IN    A    64.82.0.75
fsepkdlo.ai.shu.com.     IN    A    0.12.133.152
xmowahus.ai.shu.com.     IN    A    133.101.157.174
vrgqfsxh.ai.shu.com.     IN    A    127.41.59.78
wvyabmtx.ai.shu.com.     IN    A    79.152.149.60
rylpkdmq.ai.shu.com.     IN    A    192.64.103.254
kwnherud.ai.shu.com.     IN    A    126.67.233.112
ogwcjxik.ai.shu.com.     IN    A    24.14.244.197
jsxfvkbh.ai.shu.com.     IN    A    181.186.37.138
xrljghei.ai.shu.com.     IN    A    30.176.136.147
ykbnfaso.ai.shu.com.     IN    A    1.37.197.55
rlmgthjk.ai.shu.com.     IN    A    45.181.122.152
caxdpkqv.ai.shu.com.     IN    A    7.211.224.125
gnltbkmj.ai.shu.com.     IN    A    159.145.119.169
nhwombxl.ai.shu.com.     IN    A    185.237.136.221
bupovlta.ai.shu.com.     IN    A    102.191.69.210
supviemh.ai.shu.com.     IN    A    48.137.97.82
rvtaiswn.ai.shu.com.     IN    A    118.197.250.82
dcxwaqhr.ai.shu.com.     IN    A    217.217.125.6
ywdntovb.ai.shu.com.     IN    A    115.0.176.181
uwbkjapm.ai.shu.com.     IN    A    170.88.250.223
nrqsgfva.ai.shu.com.     IN    A    186.19.206.216
bjahlkum.ai.shu.com.     IN    A    49.240.33.46
yscmrvji.ai.shu.com.     IN    A    217.205.130.91
otrknjwf.ai.shu.com.     IN    A    73.224.118.244
yjvgofda.ai.shu.com.     IN    A    204.99.204.76
lhxrpcay.ai.shu.com.     IN    A    125.6.96.172
mlaohnxd.ai.shu.com.     IN    A    155.251.159.237
bsiqgmtf.ai.shu.com.     IN    A    39.169.86.95
hxdwvfmu.ai.shu.com.     IN    A    93.187.90.227
ketndmyc.ai.shu.com.     IN    A    150.124.124.211
ilojcube.ai.shu.com.     IN    A    187.29.234.199
ovfausqb.ai.shu.com.     IN    A    128.154.238.187
jlvkadir.ai.shu.com.     IN    A    101.149.203.238
uprsfcwe.ai.shu.com.     IN    A    168.147.108.179
vxskmecd.ai.shu.com.     IN    A    178.149.18.24
itwneqcp.ai.shu.com.     IN    A    230.61.95.145
mskpgfcx.ai.shu.com.     IN    A    175.60.246.47
rqcvihyd.ai.shu.com.     IN    A    215.5.177.6
owxnilrd.ai.shu.com.     IN    A    31.178.130.244
cvdsyewq.ai.shu.com.     IN    A    10.21.51.77
phsjctge.ai.shu.com.     IN    A    189.202.76.87
sacyfehp.ai.shu.com.     IN    A    202.167.230.185
ltisador.ai.shu.com.     IN    A    191.156.142.1
wqfdxjkp.ai.shu.com.     IN    A    207.78.223.103
ixrnhacs.ai.shu.com.     IN    A    104.63.201.66
wxlqduvy.ai.shu.com.     IN    A    152.24.115.3
axfcutqj.ai.shu.com.     IN    A    139.42.73.6
aexdkbtv.ai.shu.com.     IN    A    79.6.145.108
doxlamtk.ai.shu.com.     IN    A    147.3.23.119
cfwolast.ai.shu.com.     IN    A    157.10.245.160
rfhcwtkl.ai.shu.com.     IN    A    148.255.80.184
dhfiaots.ai.shu.com.     IN    A    20.30.30.222
wqdjpalc.ai.shu.com.     IN    A    22.254.135.100
acifunjm.ai.shu.com.     IN    A    144.126.205.81
vtxwgocu.ai.shu.com.     IN    A    41.235.120.80
dgrsnjli.ai.shu.com.     IN    A    5.153.21.127
jintmkqe.ai.shu.com.     IN    A    229.40.197.135
qbjremoh.ai.shu.com.     IN    A    63.23.133.97
kvmtfshi.ai.shu.com.     IN    A    22.111.83.159
uwsgtiok.ai.shu.com.     IN    A    89.250.113.209
iluwvsnb.ai.shu.com.     IN    A    252.21.188.35
vuohjktc.ai.shu.com.     IN    A    221.50.83.226
qvcsikxm.ai.shu.com.     IN    A    32.27.186.169
qnbhxcof.ai.shu.com.     IN    A    234.231.76.244
knywtvxj.ai.shu.com.     IN    A    162.76.220.76
dqaouhgc.ai.shu.com.     IN    A    113.171.214.31
rdbqmsxi.ai.shu.com.     IN    A    32.49.207.208
tuiondhe.ai.shu.com.     IN    A    58.174.18.248
uyvkqfrj.ai.shu.com.     IN    A    237.177.242.1
qadgknye.ai.shu.com.     IN    A    235.241.253.61
fwljason.ai.shu.com.     IN    A    66.37.90.246
cgextvrq.ai.shu.com.     IN    A    241.90.225.21
skhwmqcn.ai.shu.com.     IN    A    136.58.124.27
nhmvfyjo.ai.shu.com.     IN    A    122.78.191.19
suxodjah.ai.shu.com.     IN    A    238.24.20.177
efdhtrcm.ai.shu.com.     IN    A    125.203.175.68
fwbhedtu.ai.shu.com.     IN    A    227.154.191.249
wgekiqdf.ai.shu.com.     IN    A    23.237.160.237
psmogqbt.ai.shu.com.     IN    A    215.239.63.44
trohlvqj.ai.shu.com.     IN    A    191.146.3.130
tifbogxm.ai.shu.com.     IN    A    137.216.148.8
arcjlfnu.ai.shu.com.     IN    A    183.75.6.40
mflkhdvb.ai.shu.com.     IN    A    69.232.56.216
ypvstqwg.ai.shu.com.     IN    A    43.69.110.92
iwnmkers.ai.shu.com.     IN    A    33.145.212.78
xpjshabi.ai.shu.com.     IN    A    197.162.99.0
wlycehfr.ai.shu.com.     IN    A    121.217.19.52
bgsixkwd.ai.shu.com.     IN    A    9.138.246.215
oexhvcft.ai.shu.com.     IN    A    63.220.161.96
nhmfguty.ai.shu.com.     IN    A    206.218.106.91
cklthomx.ai.shu.com.     IN    A    178.15.25.97
ajtypgdf.ai.shu.com.     IN    A    186.147.45.152
liurnokv.ai.shu.com.     IN    A    53.204.21.4
edfrvujt.ai.shu.com.     IN    A    32.67.167.53
luvosjtf.ai.shu.com.     IN    A    191.47.17.99
ocxrfabs.ai.shu.com.     IN    A    200.97.153.124
epxgdvri.ai.shu.com.     IN    A    158.223.61.156
ryxbcwaf.ai.shu.com.     IN    A    235.57.119.217
gpamjwsn.ai.shu.com.     IN    A    163.71.247.254
marspnly.ai.shu.com.     IN    A    148.54.184.10
jqnlceth.ai.shu.com.     IN    A    231.10.29.252
wbsgfmcu.ai.shu.com.     IN    A    88.246.204.203
jnmfwlku.ai.shu.com.     IN    A    140.213.142.9
xpyitgon.ai.shu.com.     IN    A    65.7.199.76
hduiqxal.ai.shu.com.     IN    A    115.231.157.250
pdhwfgao.ai.shu.com.     IN    A    134.4.79.82
rclgkhoy.ai.shu.com.     IN    A    1.19.165.247
ybuicvrn.ai.shu.com.     IN    A    246.249.109.63
qvdjpoim.ai.shu.com.     IN    A    54.176.206.142
spefingv.ai.shu.com.     IN    A    76.199.224.91
ogxqmdhl.ai.shu.com.     IN    A    143.185.93.245
hmwnloep.ai.shu.com.     IN    A    176.239.55.197
miurxojt.ai.shu.com.     IN    A    100.72.157.19
tavemhuo.ai.shu.com.     IN    A    106.55.194.151
lxbtyuop.ai.shu.com.     IN    A    231.250.224.68
oxtufdnl.ai.shu.com.     IN    A    34.164.160.131
josgbfky.ai.shu.com.     IN    A    209.119.70.45
grcieqxf.ai.shu.com.     IN    A    106.147.0.49
soepqbyu.ai.shu.com.     IN    A    200.177.53.61
gscaxjyt.ai.shu.com.     IN    A    251.235.184.86
ajsbexok.ai.shu.com.     IN    A    154.60.66.245
tfvnulqk.ai.shu.com.     IN    A    156.190.48.86
tadrlkhf.ai.shu.com.     IN    A    184.181.57.131
eaosujrc.ai.shu.com.     IN    A    20.182.2.77
nfyrwhug.ai.shu.com.     IN    A    63.17.128.13
lrsufxep.ai.shu.com.     IN    A    55.28.248.83
ymdlebpw.ai.shu.com.     IN    A    190.124.62.16
uqeaxdvh.ai.shu.com.     IN    A    137.188.26.60
yqmxhsiw.ai.shu.com.     IN    A    135.187.2.216
josnytur.ai.shu.com.     IN    A    29.108.89.178
upabwhln.ai.shu.com.     IN    A    196.214.112.162
cowlibdu.ai.shu.com.     IN    A    38.207.65.51
inpamkgo.ai.shu.com.     IN    A    139.102.170.33
lpvcgard.ai.shu.com.     IN    A    153.190.68.230
staycdfh.ai.shu.com.     IN    A    148.23.247.75
ebntfwid.ai.shu.com.     IN    A    232.150.43.44
fpoudlcn.ai.shu.com.     IN    A    71.11.171.83
mqkjcsgh.ai.shu.com.     IN    A    97.100.130.54
xwvlnmfs.ai.shu.com.     IN    A    164.171.90.204
ytegskfc.ai.shu.com.     IN    A    75.92.203.41
kqnlmgjr.ai.shu.com.     IN    A    18.255.84.181
sbndgumy.ai.shu.com.     IN    A    145.24.4.147
kuaestlg.ai.shu.com.     IN    A    98.75.199.172
ehdgpfsb.ai.shu.com.     IN    A    33.203.192.1
toafxcgs.ai.shu.com.     IN    A    238.69.40.81
vxqheyio.ai.shu.com.     IN    A    116.21.101.154
wxsjlemy.ai.shu.com.     IN    A    71.164.245.145
xbqnfiac.ai.shu.com.     IN    A    158.24.183.245
ugaoqxhp.ai.shu.com.     IN    A    136.234.75.177
bsqyudam.ai.shu.com.     IN    A    97.14.61.196
uwdvejof.ai.shu.com.     IN    A    13.213.55.186
lbyvhwrk.ai.shu.com.     IN    A    204.3.98.76
jcspaneh.ai.shu.com.     IN    A    211.245.201.186
xesmovdu.ai.shu.com.     IN    A    90.44.176.173
sfoyutrl.ai.shu.com.     IN    A    120.30.14.95
updfbeiy.ai.shu.com.     IN    A    122.57.142.129
lyfhxgrq.ai.shu.com.     IN    A    200.50.2.174
cjpstyed.ai.shu.com.     IN    A    47.92.104.98
myvriukq.ai.shu.com.     IN    A    249.161.73.4
sjbwfrtq.ai.shu.com.     IN    A    22.175.54.226
yptufwha.ai.shu.com.     IN    A    254.68.67.40
txqecjrl.ai.shu.com.     IN    A    239.68.106.45
ipnsykjq.ai.shu.com.     IN    A    121.191.88.29
qrdsaxbp.ai.shu.com.     IN    A    115.107.126.145
dqblcsjx.ai.shu.com.     IN    A    157.184.64.88
adbvkfon.ai.shu.com.     IN    A    43.201.202.18
iakutyjb.ai.shu.com.     IN    A    221.4.53.250
hnaedgsf.ai.shu.com.     IN    A    140.174.118.188
grwydbxm.ai.shu.com.     IN    A    47.1.124.153
wyedvflr.ai.shu.com.     IN    A    204.108.3.215
lpdysomb.ai.shu.com.     IN    A    86.129.29.56
iclupgeb.ai.shu.com.     IN    A    31.44.124.196
untjiaxw.ai.shu.com.     IN    A    71.67.105.187
iflqvxmp.ai.shu.com.     IN    A    238.180.10.107
elfbtirx.ai.shu.com.     IN    A    191.203.65.79
ahbuwmyt.ai.shu.com.     IN    A    84.207.160.31
veimxtla.ai.shu.com.     IN    A    23.40.83.84
eyxqpfmc.ai.shu.com.     IN    A    158.79.114.54
kryjaovt.ai.shu.com.     IN    A    83.169.247.145
trbmscek.ai.shu.com.     IN    A    184.62.60.187
lgntpwjh.ai.shu.com.     IN    A    84.188.252.235
xwedkavl.ai.shu.com.     IN    A    224.219.176.157
holbutgp.ai.shu.com.     IN    A    138.81.94.93
edqxipkf.ai.shu.com.     IN    A    17.251.22.49
qvsjpbmi.ai.shu.com.     IN    A    172.164.165.225
ouhjsynb.ai.shu.com.     IN    A    195.184.70.9
nixosdpy.ai.shu.com.     IN    A    229.248.219.0
vmrosxhb.ai.shu.com.     IN    A    170.131.109.34
kfqphnmx.ai.shu.com.     IN    A    175.205.80.40
igajmcet.ai.shu.com.     IN    A    88.10.157.76
bvnaiduh.ai.shu.com.     IN    A    250.82.4.217
hmuptkgc.ai.shu.com.     IN    A    38.202.143.44
wqkcagfh.ai.shu.com.     IN    A    130.157.17.50
efvxnrws.ai.shu.com.     IN    A    83.207.228.173
fevyulab.ai.shu.com.     IN    A    211.89.247.8
nhfroyci.ai.shu.com.     IN    A    203.33.116.74
mhfertai.ai.shu.com.     IN    A    155.85.151.187
diyocqxt.ai.shu.com.     IN    A    156.199.138.32
ynspbrvc.ai.shu.com.     IN    A    2.63.227.55
yqjnkhfx.ai.shu.com.     IN    A    57.35.151.153
fpevitmc.ai.shu.com.     IN    A    195.119.255.114
bualvkhr.ai.shu.com.     IN    A    72.37.192.162
gfwejrus.ai.shu.com.     IN    A    82.227.110.139
xoyqhjni.ai.shu.com.     IN    A    222.38.78.235
fcipeslk.ai.shu.com.     IN    A    41.118.81.18
ipgwexnf.ai.shu.com.     IN    A    231.216.84.105
inwsmahc.ai.shu.com.     IN    A    147.186.8.99
mdysluap.ai.shu.com.     IN    A    110.70.186.214
fhdtluyg.ai.shu.com.     IN    A    81.134.37.220
lhevurym.ai.shu.com.     IN    A    221.153.63.209
qbunilpe.ai.shu.com.     IN    A    174.232.188.2
krpyxels.ai.shu.com.     IN    A    185.184.3.127
sqvwdgkc.ai.shu.com.     IN    A    156.153.65.153
gpcemqhw.ai.shu.com.     IN    A    151.244.203.216
ocflngxp.ai.shu.com.     IN    A    6.47.15.104
nfiuxwgq.ai.shu.com.     IN    A    107.183.14.205
sxokfnhw.ai.shu.com.     IN    A    49.64.129.80
dxeraigw.ai.shu.com.     IN    A    129.114.193.126
fmdewkps.ai.shu.com.     IN    A    103.27.230.202
fhsxvkjt.ai.shu.com.     IN    A    138.31.45.35
dwyjsqgk.ai.shu.com.     IN    A    155.249.136.214
hjukqfsw.ai.shu.com.     IN    A    127.138.181.93
afploejt.ai.shu.com.     IN    A    2.94.71.71
shxqjwve.ai.shu.com.     IN    A    234.103.180.239
ircpudyl.ai.shu.com.     IN    A    219.128.237.68
etyxcurd.ai.shu.com.     IN    A    54.68.64.183
vrcylaos.ai.shu.com.     IN    A    122.82.95.185
vflrihps.ai.shu.com.     IN    A    142.65.142.57
clpjkfgh.ai.shu.com.     IN    A    1.66.178.184
frgbatms.ai.shu.com.     IN    A    202.246.113.108
rnduqiox.ai.shu.com.     IN    A    227.185.72.54
qaxitwku.ai.shu.com.     IN    A    52.27.100.98
lgjreqtk.ai.shu.com.     IN    A    43.30.19.66
fyrebunl.ai.shu.com.     IN    A    88.189.219.228
vrpbwnmf.ai.shu.com.     IN    A    94.118.212.47
jtmuxwgc.ai.shu.com.     IN    A    209.102.126.16
higjtkpm.ai.shu.com.     IN    A    209.79.174.46
waslpoyi.ai.shu.com.     IN    A    40.74.87.203
dytpleic.ai.shu.com.     IN    A    2.144.91.156
leqkmsxj.ai.shu.com.     IN    A    157.10.148.18
apskmfob.ai.shu.com.     IN    A    146.139.4.109
bsejipyx.ai.shu.com.     IN    A    27.27.111.67
bwjuhyne.ai.shu.com.     IN    A    91.240.87.121
wsgtfpjd.ai.shu.com.     IN    A    157.117.146.121
tdihegvl.ai.shu.com.     IN    A    247.26.129.124
xdjknvwq.ai.shu.com.     IN    A    18.9.13.69
haenjuis.ai.shu.com.     IN    A    162.95.192.254
efhvqsnu.ai.shu.com.     IN    A    27.175.44.188
tvwmohnx.ai.shu.com.     IN    A    135.248.24.5
uaopclnv.ai.shu.com.     IN    A    173.32.151.129
mufahkjc.ai.shu.com.     IN    A    97.58.213.82
erdojlsb.ai.shu.com.     IN    A    228.96.12.95
hqixkjtc.ai.shu.com.     IN    A    1.67.138.6
twkqhpsl.ai.shu.com.     IN    A    51.47.10.75
pxyergwo.ai.shu.com.     IN    A    144.37.178.248
iduybmrp.ai.shu.com.     IN    A    45.134.16.23
wvokjunr.ai.shu.com.     IN    A    228.219.216.243
vhlqaktd.ai.shu.com.     IN    A    127.128.189.182
syepobin.ai.shu.com.     IN    A    16.51.88.32
jqsxnufp.ai.shu.com.     IN    A    45.252.230.94
atpwfxsj.ai.shu.com.     IN    A    197.200.67.61
btwdehlf.ai.shu.com.     IN    A    50.205.105.226
vjclwmso.ai.shu.com.     IN    A    178.219.47.166
arkljipq.ai.shu.com.     IN    A    8.187.253.18
phuiyljr.ai.shu.com.     IN    A    112.184.151.168
fmvterau.ai.shu.com.     IN    A    196.179.183.12
esputhbc.ai.shu.com.     IN    A    50.247.16.110
flhnjwdt.ai.shu.com.     IN    A    74.178.167.228
fycmnwhv.ai.shu.com.     IN    A    55.158.38.19
sxglwumy.ai.shu.com.     IN    A    109.152.221.7
ifnucghj.ai.shu.com.     IN    A    110.101.98.89
rqgjabep.ai.shu.com.     IN    A    29.175.124.151
oxfuhmya.ai.shu.com.     IN    A    132.189.157.47
deirqahj.ai.shu.com.     IN    A    178.218.66.214
cfoyvkiq.ai.shu.com.     IN    A    247.55.37.182
cbwqeyas.ai.shu.com.     IN    A    52.224.239.160
yngplcfd.ai.shu.com.     IN    A    32.222.237.76
irxpvtes.ai.shu.com.     IN    A    119.210.188.134
mcxhbyvj.ai.shu.com.     IN    A    251.101.195.103
nahfqtos.ai.shu.com.     IN    A    105.95.244.244
boaijdxc.ai.shu.com.     IN    A    138.223.236.33
ufnkvawg.ai.shu.com.     IN    A    182.79.234.213
iydlvhrj.ai.shu.com.     IN    A    165.216.206.96
tbrdpghk.ai.shu.com.     IN    A    112.217.209.85
jerpadln.ai.shu.com.     IN    A    184.235.62.186
wdbanjup.ai.shu.com.     IN    A    80.171.31.31
tnbqkdrp.ai.shu.com.     IN    A    166.237.88.66
euaktcjx.ai.shu.com.     IN    A    121.95.135.128
ayrnsmci.ai.shu.com.     IN    A    6.103.136.96
kqjrnosb.ai.shu.com.     IN    A    59.209.9.246
bxurfowa.ai.shu.com.     IN    A    247.71.88.216
twegublk.ai.shu.com.     IN    A    80.92.60.105
nsjhyvxq.ai.shu.com.     IN    A    237.157.9.215
iehoafgq.ai.shu.com.     IN    A    161.175.55.203
vgwsplrk.ai.shu.com.     IN    A    27.136.241.169
vdompefr.ai.shu.com.     IN    A    131.0.190.158
jrcpmtxs.ai.shu.com.     IN    A    115.187.156.209
vnyhfkra.ai.shu.com.     IN    A    15.235.156.90
sghkqypd.ai.shu.com.     IN    A    1.238.167.169
adgfuneb.ai.shu.com.     IN    A    55.229.106.54
aouikvjb.ai.shu.com.     IN    A    72.96.226.55
nrohpmvc.ai.shu.com.     IN    A    67.163.2.116
kjcxnyla.ai.shu.com.     IN    A    161.161.222.185
enugorwl.ai.shu.com.     IN    A    76.61.205.43
cunwdpth.ai.shu.com.     IN    A    124.73.126.28
kwmcyhdr.ai.shu.com.     IN    A    184.142.203.204
jhwvpfuk.ai.shu.com.     IN    A    0.100.225.199
tmvfkpsx.ai.shu.com.     IN    A    199.171.233.145
mutgvlpd.ai.shu.com.     IN    A    226.231.122.100
cmrbgpwu.ai.shu.com.     IN    A    28.150.154.74
vphejxdu.ai.shu.com.     IN    A    165.172.207.185
kucdprof.ai.shu.com.     IN    A    165.65.148.79
cqvwlipa.ai.shu.com.     IN    A    80.227.123.141
dubwjtlo.ai.shu.com.     IN    A    80.24.190.25
foxklije.ai.shu.com.     IN    A    19.0.255.30
fbmadehp.ai.shu.com.     IN    A    202.129.232.146
loahgcrp.ai.shu.com.     IN    A    228.219.187.244
urgsibxe.ai.shu.com.     IN    A    1.168.31.56
bfycrovw.ai.shu.com.     IN    A    173.84.184.22
okdxmpri.ai.shu.com.     IN    A    19.243.140.71
chuxdltm.ai.shu.com.     IN    A    15.219.138.12
tpwanmks.ai.shu.com.     IN    A    177.9.147.214
juiodwgt.ai.shu.com.     IN    A    212.111.98.19
rpeckqdu.ai.shu.com.     IN    A    244.30.12.212
urncvots.ai.shu.com.     IN    A    190.217.68.96
yvudqcto.ai.shu.com.     IN    A    6.140.157.181
yemjbtqu.ai.shu.com.     IN    A    186.200.143.233
jxkngfsy.ai.shu.com.     IN    A    189.127.255.238
jgheitrb.ai.shu.com.     IN    A    194.234.86.56
mxgntrfh.ai.shu.com.     IN    A    236.122.237.8
tymclajb.ai.shu.com.     IN    A    255.120.218.3
pilhfocg.ai.shu.com.     IN    A    13.76.165.21
equsgpkr.ai.shu.com.     IN    A    117.185.109.47
dsflvyht.ai.shu.com.     IN    A    154.30.67.44
ipqyhswl.ai.shu.com.     IN    A    51.118.220.241
rfeyodps.ai.shu.com.     IN    A    250.26.214.150
wqokylpc.ai.shu.com.     IN    A    102.131.244.54
wbnxiuvd.ai.shu.com.     IN    A    163.79.78.166
svpcwxat.ai.shu.com.     IN    A    156.143.252.118
elbksqmn.ai.shu.com.     IN    A    233.68.190.122
qtwcupfo.ai.shu.com.     IN    A    24.82.199.121
jyanbpmo.ai.shu.com.     IN    A    190.143.35.74
lpbvtmay.ai.shu.com.     IN    A    123.224.50.28
tngwiylp.ai.shu.com.     IN    A    150.180.243.189
hkjbflqc.ai.shu.com.     IN    A    16.220.190.182
fvcnukeb.ai.shu.com.     IN    A    129.132.30.242
vmlaxwsb.ai.shu.com.     IN    A    12.252.199.128
vfiyqkse.ai.shu.com.     IN    A    188.190.64.214
wyeqrhaj.ai.shu.com.     IN    A    140.248.30.139
oufjbvhi.ai.shu.com.     IN    A    184.166.245.208
nshcjfqx.ai.shu.com.     IN    A    52.75.227.11
weboimcg.ai.shu.com.     IN    A    138.77.98.115
kembdnfx.ai.shu.com.     IN    A    186.34.130.231
sguefxwm.ai.shu.com.     IN    A    53.200.82.227
diuqoxsp.ai.shu.com.     IN    A    242.86.83.47
ybaumlhk.ai.shu.com.     IN    A    13.207.30.254
brchfsmn.ai.shu.com.     IN    A    5.85.245.141
ckjwndql.ai.shu.com.     IN    A    244.233.29.238
vxspireg.ai.shu.com.     IN    A    42.10.113.255
faptwuiq.ai.shu.com.     IN    A    152.221.230.55
cxeufwta.ai.shu.com.     IN    A    87.93.126.60
