; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR whu.com. @ns2.whu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.whu.com. james.whu.edu. 19122302 14400 3600 2419200 14400
whu.com.			      14400 IN NS	ns1.whu.com.
ns1.whu.com.			      14400 IN A	10.166.21.13

www.whu.com.		      14400 IN NS	ns1.www.whu.com.
ns1.www.whu.com.		      14400 IN A		10.166.21.14

pharm.whu.com.		      14400 IN NS	ns1.pharm.whu.com.
ns1.pharm.whu.com.		      14400 IN A		10.166.21.15

hyxt.whu.com.		      14400 IN NS	ns1.hyxt.whu.com.
ns1.hyxt.whu.com.		      14400 IN A		10.166.21.12

whu.com.			      14400 IN MX	10 hyxttp.whu.edu.
whu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
krgomysx.whu.com.        IN    A    10.124.110.221
qfnrkumo.whu.com.        IN    A    228.159.125.33
wlerugpo.whu.com.        IN    A    40.110.145.2
phowedcu.whu.com.        IN    A    114.44.115.33
dpvsuctj.whu.com.        IN    A    202.74.84.42
vileuwyq.whu.com.        IN    A    63.68.80.159
wvohlrjq.whu.com.        IN    A    67.85.109.240
txwjefio.whu.com.        IN    A    19.8.96.212
iwxlucjt.whu.com.        IN    A    2.239.219.152
kwtdrnvh.whu.com.        IN    A    199.127.157.114
fcwsoiyj.whu.com.        IN    A    92.1.81.128
svhmelyk.whu.com.        IN    A    98.254.204.178
vabeconj.whu.com.        IN    A    253.68.41.138
xlstmpwg.whu.com.        IN    A    68.235.58.105
akepocrn.whu.com.        IN    A    199.5.30.82
oamsqexr.whu.com.        IN    A    129.94.3.84
mjpcrtei.whu.com.        IN    A    35.234.112.183
rylghdai.whu.com.        IN    A    176.84.11.187
dqilxufe.whu.com.        IN    A    209.97.245.27
cewyskdb.whu.com.        IN    A    254.196.103.217
lxkdytpb.whu.com.        IN    A    31.193.168.248
mgtihdkp.whu.com.        IN    A    57.152.119.44
hgxjynpw.whu.com.        IN    A    150.221.88.218
vjaqnswt.whu.com.        IN    A    212.115.160.82
fgivlewo.whu.com.        IN    A    143.14.4.151
ebvhmsnp.whu.com.        IN    A    148.125.1.229
dqxmjlrw.whu.com.        IN    A    148.246.231.220
wbyarinm.whu.com.        IN    A    184.11.196.129
hmsqrnfd.whu.com.        IN    A    132.167.248.117
xfyjmhsk.whu.com.        IN    A    241.185.185.147
surqjnil.whu.com.        IN    A    14.26.211.72
qyprsgvj.whu.com.        IN    A    86.143.186.212
omkxhaur.whu.com.        IN    A    221.96.144.216
gpiaohmj.whu.com.        IN    A    98.66.174.117
jinwhurm.whu.com.        IN    A    122.159.93.84
iwbjpuol.whu.com.        IN    A    176.241.117.97
heaglmdp.whu.com.        IN    A    25.98.102.202
myovkusj.whu.com.        IN    A    111.97.131.235
tirnasem.whu.com.        IN    A    70.123.86.139
minwdfyg.whu.com.        IN    A    102.111.13.210
pnufigdr.whu.com.        IN    A    22.176.106.80
ydmolipb.whu.com.        IN    A    203.232.76.94
vdgleojy.whu.com.        IN    A    193.223.232.129
ucagysre.whu.com.        IN    A    174.253.160.25
skwnilbj.whu.com.        IN    A    25.206.192.104
nlcqkmse.whu.com.        IN    A    128.155.195.124
fpdbvcwn.whu.com.        IN    A    201.33.226.57
okqyurge.whu.com.        IN    A    123.210.196.64
qyvxtcrd.whu.com.        IN    A    20.219.204.142
gkwymtuc.whu.com.        IN    A    93.79.94.105
msdreghu.whu.com.        IN    A    202.228.159.98
uyqatcsf.whu.com.        IN    A    229.156.126.230
bchvqiug.whu.com.        IN    A    198.79.54.137
cfwhymga.whu.com.        IN    A    209.144.168.229
fjthsmca.whu.com.        IN    A    129.186.105.154
fkiscarw.whu.com.        IN    A    85.251.19.101
naeybmdg.whu.com.        IN    A    3.190.35.87
brpmhvdt.whu.com.        IN    A    60.143.240.243
dxgprlcf.whu.com.        IN    A    109.192.164.97
dpskyjrg.whu.com.        IN    A    192.177.173.126
qlnroxtg.whu.com.        IN    A    185.162.118.65
aosyntqb.whu.com.        IN    A    214.191.182.195
jkbxpyle.whu.com.        IN    A    58.25.204.132
pjyhlweu.whu.com.        IN    A    227.87.39.208
imlsevcw.whu.com.        IN    A    66.60.82.156
trcadxny.whu.com.        IN    A    243.71.83.245
edtywnjo.whu.com.        IN    A    176.139.156.67
kmbynqwd.whu.com.        IN    A    231.157.188.71
gsdjpynr.whu.com.        IN    A    196.3.148.203
iebvcqxs.whu.com.        IN    A    138.82.135.57
nuovtjbs.whu.com.        IN    A    136.169.155.190
npklwrau.whu.com.        IN    A    27.112.243.228
ildvkasj.whu.com.        IN    A    12.239.251.231
jplfxwsi.whu.com.        IN    A    99.132.166.156
vcotgjsr.whu.com.        IN    A    69.178.25.137
gejplmtd.whu.com.        IN    A    252.51.18.47
morgtlfd.whu.com.        IN    A    140.181.188.77
aoptrfki.whu.com.        IN    A    137.206.45.239
ycjigfob.whu.com.        IN    A    126.74.163.106
hitjqakb.whu.com.        IN    A    84.73.120.125
jlidqwrf.whu.com.        IN    A    225.119.53.250
vumagcfr.whu.com.        IN    A    228.249.28.72
nfcvwsgl.whu.com.        IN    A    16.158.149.34
fxjhtdve.whu.com.        IN    A    239.134.165.120
nfdwtoig.whu.com.        IN    A    135.41.255.185
lcqrsnum.whu.com.        IN    A    187.122.206.206
tldohnbp.whu.com.        IN    A    8.68.90.81
mpgtdbxe.whu.com.        IN    A    184.189.116.63
tjeyglmi.whu.com.        IN    A    155.235.205.241
pdbrsmjn.whu.com.        IN    A    239.199.52.109
pwnfeomg.whu.com.        IN    A    115.197.86.57
htnomfed.whu.com.        IN    A    114.237.138.157
meltxcrd.whu.com.        IN    A    188.143.249.109
svbgtqfw.whu.com.        IN    A    187.45.3.37
ysgtdrob.whu.com.        IN    A    96.252.10.7
riftcdxp.whu.com.        IN    A    175.58.4.108
ywkegonq.whu.com.        IN    A    82.199.236.101
plmgnytv.whu.com.        IN    A    195.236.164.96
pbajsiyt.whu.com.        IN    A    253.154.23.255
eiqygvmf.whu.com.        IN    A    253.190.191.49
nrkalime.whu.com.        IN    A    99.227.234.231
clrvyhtq.whu.com.        IN    A    67.95.212.17
wjgtmflv.whu.com.        IN    A    69.104.45.176
xpknoyea.whu.com.        IN    A    159.198.245.108
faysupqk.whu.com.        IN    A    213.253.177.216
qgfpxoud.whu.com.        IN    A    195.119.5.14
svobugky.whu.com.        IN    A    224.111.143.190
gspcahiy.whu.com.        IN    A    62.238.235.92
jfswetxd.whu.com.        IN    A    170.49.254.11
ehdjrvmw.whu.com.        IN    A    57.121.216.243
dkpnaisy.whu.com.        IN    A    206.198.56.102
cmgxhujw.whu.com.        IN    A    202.59.246.206
uoptyahn.whu.com.        IN    A    115.196.239.15
aiqbwgox.whu.com.        IN    A    239.213.94.37
xinagbpu.whu.com.        IN    A    27.161.241.3
cbyjwlhp.whu.com.        IN    A    110.154.41.247
emvdrjnw.whu.com.        IN    A    84.168.238.167
whdujkft.whu.com.        IN    A    173.162.56.102
lwuvaydm.whu.com.        IN    A    39.113.165.122
vhqkxnwl.whu.com.        IN    A    137.126.218.234
bopxeukt.whu.com.        IN    A    200.86.197.12
dfcsoxlt.whu.com.        IN    A    88.26.53.64
aehvsidp.whu.com.        IN    A    113.202.100.200
qsvdiknc.whu.com.        IN    A    216.240.94.233
ysdbwoat.whu.com.        IN    A    163.65.148.47
qgweilnd.whu.com.        IN    A    207.225.255.206
cwmhuivq.whu.com.        IN    A    57.100.234.189
tckuxqwm.whu.com.        IN    A    76.33.143.84
lypqntre.whu.com.        IN    A    78.21.3.92
gqufyota.whu.com.        IN    A    172.2.43.18
gelhfnwd.whu.com.        IN    A    156.228.167.196
xeotujps.whu.com.        IN    A    178.196.191.97
gxhkjqce.whu.com.        IN    A    190.164.31.51
qtkmvrib.whu.com.        IN    A    86.158.138.31
klsicjrv.whu.com.        IN    A    11.46.174.143
bvhioqkc.whu.com.        IN    A    198.99.146.40
mxvhqwlo.whu.com.        IN    A    105.174.122.206
vbymdarl.whu.com.        IN    A    55.248.183.121
gldbpsnh.whu.com.        IN    A    244.89.42.27
vrijoewy.whu.com.        IN    A    110.131.226.156
bxhurmwa.whu.com.        IN    A    147.253.48.186
whgadoce.whu.com.        IN    A    137.57.22.131
gmtjnyqe.whu.com.        IN    A    60.101.105.5
rqcsytjv.whu.com.        IN    A    207.198.84.91
cdghxuqn.whu.com.        IN    A    26.38.74.56
iofjxnyv.whu.com.        IN    A    116.51.48.90
hlejdnym.whu.com.        IN    A    209.18.197.9
tvulcwdf.whu.com.        IN    A    71.216.85.89
uqvhopms.whu.com.        IN    A    30.107.64.225
jymkvsrg.whu.com.        IN    A    222.245.57.75
ejqcwmbt.whu.com.        IN    A    166.8.70.158
bcpgleiq.whu.com.        IN    A    173.212.51.85
nrowkuts.whu.com.        IN    A    136.207.207.217
bvgndesh.whu.com.        IN    A    207.244.100.136
qluystva.whu.com.        IN    A    123.193.73.245
rjyicemg.whu.com.        IN    A    131.224.121.36
rnbywmpd.whu.com.        IN    A    170.83.123.72
arwulhdk.whu.com.        IN    A    254.219.193.220
vnuqdyij.whu.com.        IN    A    88.82.119.137
qymvjfwc.whu.com.        IN    A    216.199.132.81
fsdeigaw.whu.com.        IN    A    11.195.101.130
mkhbxdeq.whu.com.        IN    A    32.132.230.177
hbjuylrk.whu.com.        IN    A    241.1.6.80
jhxtygcf.whu.com.        IN    A    151.118.21.171
kmovlgra.whu.com.        IN    A    22.233.102.251
dqmnbicf.whu.com.        IN    A    83.60.160.44
fxbpuqyj.whu.com.        IN    A    131.176.47.69
tdiqvwgu.whu.com.        IN    A    42.23.185.65
xfmotwub.whu.com.        IN    A    190.65.181.165
efwsgbij.whu.com.        IN    A    154.77.235.68
rgqvdcia.whu.com.        IN    A    87.119.42.109
qgnrskfi.whu.com.        IN    A    241.140.250.218
vqyfracb.whu.com.        IN    A    84.81.144.42
mgfwrhsn.whu.com.        IN    A    33.29.73.229
etokygjx.whu.com.        IN    A    122.180.142.46
rajhfolg.whu.com.        IN    A    164.119.178.108
yuortvnj.whu.com.        IN    A    122.194.146.135
tuqshaex.whu.com.        IN    A    6.176.253.133
qkwmvspn.whu.com.        IN    A    231.59.190.88
qnitysuj.whu.com.        IN    A    152.239.64.160
buptmxyh.whu.com.        IN    A    102.218.41.150
pgjabnrw.whu.com.        IN    A    80.105.176.79
dgjwfsnp.whu.com.        IN    A    101.64.189.195
hybrvmjl.whu.com.        IN    A    230.32.183.248
nuibogad.whu.com.        IN    A    0.37.173.85
nqyhjgwv.whu.com.        IN    A    198.24.22.37
bdoanfgm.whu.com.        IN    A    116.99.12.242
fjvqlbcp.whu.com.        IN    A    231.192.213.51
gikwyfnr.whu.com.        IN    A    22.3.87.108
hidlyeag.whu.com.        IN    A    29.203.68.216
jqcrusox.whu.com.        IN    A    84.182.159.181
xnbigaur.whu.com.        IN    A    37.19.159.128
xjnptbdv.whu.com.        IN    A    181.183.186.111
wncevhds.whu.com.        IN    A    192.66.196.141
hldgnmkx.whu.com.        IN    A    233.252.127.134
dgipkscj.whu.com.        IN    A    53.220.79.1
riledmhn.whu.com.        IN    A    59.196.89.33
yabdqvox.whu.com.        IN    A    191.106.21.23
eyvobmhl.whu.com.        IN    A    119.88.243.119
bwtijgpy.whu.com.        IN    A    24.60.97.66
cskymfpv.whu.com.        IN    A    173.175.140.43
cqupvytk.whu.com.        IN    A    106.136.5.229
onqtkmeu.whu.com.        IN    A    188.181.178.180
nuijvmby.whu.com.        IN    A    139.88.124.89
aghdwuvo.whu.com.        IN    A    101.244.15.24
gcdriwhv.whu.com.        IN    A    96.10.36.71
tbuhwipj.whu.com.        IN    A    205.51.178.238
qiptrkuf.whu.com.        IN    A    150.141.148.49
pihejfbo.whu.com.        IN    A    221.208.101.216
mlbofnsp.whu.com.        IN    A    143.39.42.124
tyjkngre.whu.com.        IN    A    198.141.242.138
hkwupfmx.whu.com.        IN    A    75.47.21.222
vkwehpgl.whu.com.        IN    A    42.36.166.208
gpmfxbyn.whu.com.        IN    A    133.94.224.242
cyemdrkg.whu.com.        IN    A    161.71.93.16
qufelotm.whu.com.        IN    A    150.62.236.65
wodlkbsn.whu.com.        IN    A    222.131.3.5
txgvacyh.whu.com.        IN    A    179.104.5.61
slebtogd.whu.com.        IN    A    48.75.210.212
rwjbockn.whu.com.        IN    A    34.44.4.73
mwufcyex.whu.com.        IN    A    197.224.79.97
invjspdb.whu.com.        IN    A    14.76.248.106
setmbjok.whu.com.        IN    A    194.26.188.61
sotuaecw.whu.com.        IN    A    189.67.12.52
jocretfx.whu.com.        IN    A    161.101.239.141
vlqdhpnm.whu.com.        IN    A    249.124.188.230
htdqaxje.whu.com.        IN    A    39.58.251.41
fyqcgirb.whu.com.        IN    A    4.234.172.169
nsjrelop.whu.com.        IN    A    229.73.120.244
jvsgobik.whu.com.        IN    A    216.41.152.56
gaoufvrh.whu.com.        IN    A    48.249.240.13
rphlgwyb.whu.com.        IN    A    38.38.56.67
jrcldpgy.whu.com.        IN    A    2.118.244.120
fchkprng.whu.com.        IN    A    134.70.154.130
iwucgxml.whu.com.        IN    A    115.209.157.22
prwqtncv.whu.com.        IN    A    124.7.71.102
odfeqrlw.whu.com.        IN    A    172.53.70.168
ayelwgsq.whu.com.        IN    A    203.23.70.199
dwbiqxly.whu.com.        IN    A    124.58.223.1
kjndqsvb.whu.com.        IN    A    219.154.139.168
cpoqghew.whu.com.        IN    A    0.113.217.238
hbmyoagv.whu.com.        IN    A    146.126.122.253
ocldtfeg.whu.com.        IN    A    97.6.5.140
wbnjgdok.whu.com.        IN    A    145.202.66.237
tarpknqf.whu.com.        IN    A    150.33.214.32
vdgunmkc.whu.com.        IN    A    238.187.138.145
qnoxmpkh.whu.com.        IN    A    141.125.92.42
pboxmqau.whu.com.        IN    A    104.145.70.227
fnouqcgy.whu.com.        IN    A    84.107.149.131
uoelasnb.whu.com.        IN    A    44.200.220.72
lkqjbsto.whu.com.        IN    A    200.18.105.84
afbtvhrg.whu.com.        IN    A    198.25.7.21
xrkcvbol.whu.com.        IN    A    74.97.187.98
ealdinoq.whu.com.        IN    A    0.29.107.54
sufhikno.whu.com.        IN    A    125.82.172.127
wlgfkrie.whu.com.        IN    A    59.24.17.112
rlcxjghv.whu.com.        IN    A    149.227.148.111
vjekbolf.whu.com.        IN    A    200.223.214.79
cksaerwd.whu.com.        IN    A    62.207.23.210
hfeldwym.whu.com.        IN    A    41.107.113.16
kfrsmgwc.whu.com.        IN    A    54.158.133.199
efokcyxp.whu.com.        IN    A    239.231.121.148
xqsgfhpo.whu.com.        IN    A    6.225.130.234
bpogqiud.whu.com.        IN    A    215.82.239.114
fjambhtv.whu.com.        IN    A    120.223.83.67
lmtvnjup.whu.com.        IN    A    14.92.52.217
bnwjgfky.whu.com.        IN    A    154.141.22.135
cikorwlg.whu.com.        IN    A    37.53.108.176
dsconqhw.whu.com.        IN    A    39.13.176.32
pfhckjwm.whu.com.        IN    A    159.51.223.173
iakfejqt.whu.com.        IN    A    147.224.90.241
lsefvdth.whu.com.        IN    A    190.233.233.61
ehkrjlis.whu.com.        IN    A    29.230.196.103
vyatnrxg.whu.com.        IN    A    75.12.139.120
nbkehuij.whu.com.        IN    A    239.73.115.129
ughqsvof.whu.com.        IN    A    166.66.202.231
ckxdusjw.whu.com.        IN    A    112.8.166.244
hymxakie.whu.com.        IN    A    238.62.11.244
arhjegib.whu.com.        IN    A    50.62.193.195
flovwuid.whu.com.        IN    A    200.135.52.10
kuotwxhl.whu.com.        IN    A    200.183.29.77
erskcxjp.whu.com.        IN    A    189.225.18.31
xujpoyqf.whu.com.        IN    A    165.166.176.106
nmvrpuij.whu.com.        IN    A    67.26.54.9
flmbhwiq.whu.com.        IN    A    81.16.235.223
tedoamyc.whu.com.        IN    A    80.32.95.195
rpeqjfwu.whu.com.        IN    A    227.251.248.227
cmyhjwnq.whu.com.        IN    A    56.219.183.31
ktalunwi.whu.com.        IN    A    149.130.29.175
tupdxvyf.whu.com.        IN    A    141.240.14.208
xuldvkon.whu.com.        IN    A    38.111.200.250
ufdhloci.whu.com.        IN    A    253.133.54.90
xuwsjlie.whu.com.        IN    A    217.132.214.94
neapdolj.whu.com.        IN    A    218.251.97.189
ufdoisln.whu.com.        IN    A    249.136.107.13
ryjohqak.whu.com.        IN    A    68.176.153.7
fnlekmut.whu.com.        IN    A    9.143.187.92
lgbmaqwf.whu.com.        IN    A    98.232.140.60
qdbtswxo.whu.com.        IN    A    23.103.64.19
wkmdpjcv.whu.com.        IN    A    7.107.145.1
giluqewh.whu.com.        IN    A    139.245.136.253
kxyslegd.whu.com.        IN    A    218.164.239.123
bqhgocjv.whu.com.        IN    A    94.119.0.51
jakwyqnp.whu.com.        IN    A    49.25.63.243
mgehdcpx.whu.com.        IN    A    30.202.148.110
sjblipun.whu.com.        IN    A    245.93.233.40
nqosaxdy.whu.com.        IN    A    92.18.107.16
tvursdwj.whu.com.        IN    A    218.50.155.52
nyihdslj.whu.com.        IN    A    60.24.106.173
snoykqvw.whu.com.        IN    A    24.72.138.239
ylkbwoxt.whu.com.        IN    A    128.48.44.186
brwphcga.whu.com.        IN    A    158.209.61.86
yunabprc.whu.com.        IN    A    122.94.162.57
bivcumal.whu.com.        IN    A    171.7.68.184
ncpdlmbt.whu.com.        IN    A    49.177.146.251
ubhmnepw.whu.com.        IN    A    216.144.211.117
ilrstyqn.whu.com.        IN    A    66.212.117.8
yempsgql.whu.com.        IN    A    228.39.126.20
pbxktjnu.whu.com.        IN    A    116.176.178.78
cghjvlsb.whu.com.        IN    A    11.120.134.145
roqjipks.whu.com.        IN    A    120.52.120.6
wifdxlqg.whu.com.        IN    A    90.28.201.214
upwvegmk.whu.com.        IN    A    251.26.212.65
calhymft.whu.com.        IN    A    128.12.123.186
fsdwthqe.whu.com.        IN    A    202.119.240.135
uvckblha.whu.com.        IN    A    72.34.248.97
gqryvjne.whu.com.        IN    A    174.91.175.154
flxkbrpw.whu.com.        IN    A    58.86.217.97
lxcrvogj.whu.com.        IN    A    219.219.235.229
repnfjqu.whu.com.        IN    A    164.128.147.99
wiepkhfl.whu.com.        IN    A    196.182.4.108
ilkhtebd.whu.com.        IN    A    13.13.156.110
jxpclhau.whu.com.        IN    A    106.81.88.16
cqmrbpiy.whu.com.        IN    A    184.172.216.153
mueyogvk.whu.com.        IN    A    230.3.106.97
lotmdxrj.whu.com.        IN    A    161.185.26.103
fexjrhni.whu.com.        IN    A    161.178.143.109
qxigwdua.whu.com.        IN    A    8.121.103.67
atwsnvuh.whu.com.        IN    A    84.69.104.22
meywoqnf.whu.com.        IN    A    122.183.22.52
gnehvbxm.whu.com.        IN    A    114.130.23.100
qjairxoc.whu.com.        IN    A    75.232.173.240
nrkqdwgy.whu.com.        IN    A    170.74.250.22
sjgteyvp.whu.com.        IN    A    74.177.14.217
ryevtxnk.whu.com.        IN    A    81.154.173.207
yfkpewhx.whu.com.        IN    A    180.99.185.77
crekahws.whu.com.        IN    A    254.56.135.56
iwpfkxlr.whu.com.        IN    A    64.77.248.231
kcfqajmd.whu.com.        IN    A    137.71.48.87
dlwkcins.whu.com.        IN    A    121.255.250.32
aehufkom.whu.com.        IN    A    156.33.88.18
fxsyjwvp.whu.com.        IN    A    78.242.130.247
lqbyswgx.whu.com.        IN    A    214.160.138.58
mvuxnfha.whu.com.        IN    A    204.119.161.73
takpgjbl.whu.com.        IN    A    27.31.72.129
xjpfdtia.whu.com.        IN    A    150.164.180.160
yipruxoe.whu.com.        IN    A    38.216.158.134
vxhrutas.whu.com.        IN    A    46.113.187.67
varbcfmx.whu.com.        IN    A    160.184.7.108
dmpifxkh.whu.com.        IN    A    178.216.196.111
kgjrudvi.whu.com.        IN    A    44.49.115.82
udyjnefb.whu.com.        IN    A    73.77.144.228
lwjsgfib.whu.com.        IN    A    96.85.237.56
jgmktdni.whu.com.        IN    A    158.73.29.119
lusdtocp.whu.com.        IN    A    186.62.130.33
pquiactg.whu.com.        IN    A    104.245.8.238
erhbmqkc.whu.com.        IN    A    104.67.82.203
kbpdsnal.whu.com.        IN    A    246.128.104.11
ndiboqhy.whu.com.        IN    A    251.227.9.238
xdcbgstk.whu.com.        IN    A    70.102.208.170
fposckyi.whu.com.        IN    A    60.252.162.197
xsfrhtni.whu.com.        IN    A    168.22.59.159
pnliamqg.whu.com.        IN    A    18.113.211.71
cinpdltb.whu.com.        IN    A    88.3.142.221
iqpwecuv.whu.com.        IN    A    31.101.87.15
