add type,check_flag,check info,check time(ns),check time and rr(ns)
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15799,20588
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17333,22329
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17114,22364
QueryType.A,True,,8409,13773
QueryType.A,True,,11642,17166
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15352,20830
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17582,26027
QueryType.A,True,,10120,15671
QueryType.CNAME,True,,16267,28757
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),26375,32239
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),29385,34243
QueryType.A,True,,9779,15473
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15155,20234
QueryType.A,True,,9503,14556
QueryType.A,True,,10673,15630
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),16053,21174
QueryType.A,True,,9877,15003
QueryType.CNAME,True,,16113,20949
QueryType.A,True,,8006,13285
QueryType.CNAME,True,,15906,20692
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14648,19615
QueryType.A,True,,10613,15992
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),19495,24537
QueryType.CNAME,True,,14444,19545
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),19222,25172
QueryType.A,True,,11382,16715
QueryType.CNAME,True,,18827,24000
QueryType.A,True,,9100,13999
QueryType.CNAME,True,,13380,18117
QueryType.A,True,,10697,15583
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14610,19540
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),19441,24827
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),14634,20180
QueryType.A,True,,9663,15447
QueryType.A,True,,11867,16805
QueryType.A,True,,8763,13925
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17537,22509
QueryType.A,True,,7785,13028
QueryType.CNAME,True,,15892,20733
QueryType.CNAME,True,,15694,20952
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14582,19735
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),16786,22032
QueryType.CNAME,True,,13187,18197
QueryType.CNAME,True,,12790,18003
QueryType.CNAME,True,,14803,19707
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),16417,21519
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15238,20817
QueryType.A,True,,10557,15700
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14663,19572
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17385,22301
QueryType.A,True,,8838,13792
QueryType.CNAME,True,,13810,19533
QueryType.A,True,,10558,15249
QueryType.A,True,,11872,17088
QueryType.A,True,,7834,12922
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17075,22069
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),14851,19842
QueryType.A,True,,11403,16833
QueryType.A,True,,8324,15293
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),18689,23654
QueryType.A,True,,8363,13543
QueryType.A,True,,9137,13677
QueryType.A,True,,10621,15373
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14668,19655
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),16156,21092
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),13838,18797
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),16055,21019
QueryType.A,True,,10838,16061
QueryType.A,True,,7768,12714
QueryType.A,True,,7982,12802
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),16183,20872
QueryType.A,True,,8141,13061
QueryType.A,True,,8284,13052
QueryType.A,True,,10364,14924
QueryType.A,True,,11316,15863
QueryType.A,True,,9935,14534
QueryType.A,True,,8791,13514
QueryType.CNAME,True,,16513,20972
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),14454,20093
QueryType.CNAME,True,,13716,19409
QueryType.CNAME,True,,20133,25184
QueryType.A,True,,9259,14486
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17129,22437
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),14175,19408
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15229,20503
QueryType.A,True,,13328,18444
QueryType.A,True,,8979,14169
QueryType.A,True,,8127,12850
QueryType.A,True,,13289,28613
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14813,19717
QueryType.A,True,,9149,16307
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14964,21821
QueryType.CNAME,True,,13592,18808
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),18846,24096
QueryType.A,True,,9112,14412
QueryType.A,True,,10397,15581
QueryType.CNAME,True,,15889,20821
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),14915,20769
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17337,38803
QueryType.CNAME,True,,13568,19069
QueryType.A,True,,8663,14144
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),21084,26073
QueryType.CNAME,True,,16525,22267
QueryType.A,True,,11116,16595
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15545,21514
QueryType.CNAME,True,,15912,20929
QueryType.A,True,,8821,14267
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17161,22789
QueryType.CNAME,True,,18835,24482
QueryType.CNAME,True,,13753,19281
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17120,23210
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15104,20244
QueryType.A,True,,10298,15760
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),18011,23240
QueryType.A,True,,9280,14920
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17838,22544
QueryType.A,True,,13923,19868
QueryType.A,True,,9003,14090
QueryType.A,True,,8814,13631
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17689,22581
QueryType.A,True,,8230,13804
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17359,22351
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),18596,24040
QueryType.A,True,,9638,15063
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),18967,24121
QueryType.A,True,,8547,13858
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17781,22859
QueryType.A,True,,9047,14432
QueryType.CNAME,True,,16242,21229
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17741,22709
QueryType.CNAME,True,,14294,20450
QueryType.CNAME,True,,15544,20603
QueryType.CNAME,True,,13209,18560
QueryType.A,True,,9577,14569
QueryType.A,True,,14143,19556
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15264,20236
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),19885,25438
QueryType.A,True,,8974,14322
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15165,20326
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17087,22235
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15124,20338
QueryType.A,True,,9340,14537
QueryType.A,True,,10791,16028
QueryType.A,True,,8572,13762
QueryType.A,True,,12319,17167
QueryType.CNAME,True,,14084,19230
QueryType.A,True,,8867,13734
QueryType.A,True,,10825,15757
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15793,20684
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17397,22792
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),18551,23731
QueryType.A,True,,9781,15134
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),24698,29849
QueryType.A,True,,8644,14622
QueryType.A,True,,11205,16221
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15462,20697
QueryType.A,True,,9093,14377
QueryType.A,True,,10691,16453
QueryType.A,True,,10827,17988
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17952,22965
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15843,21366
QueryType.CNAME,True,,14549,19807
QueryType.CNAME,True,,16419,21518
QueryType.A,True,,9322,14405
QueryType.CNAME,True,,30029,35444
QueryType.A,True,,8946,14505
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15384,20540
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17792,22867
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17011,24481
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17711,23039
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),21731,27215
QueryType.A,True,,9792,15714
QueryType.A,True,,13314,18751
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15390,20493
QueryType.A,True,,8473,13705
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17701,22859
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15592,20781
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17368,22599
QueryType.A,True,,9277,14838
QueryType.A,True,,11576,17004
QueryType.CNAME,True,,16611,22302
QueryType.CNAME,True,,13697,18907
QueryType.A,True,,10967,16192
QueryType.CNAME,True,,13549,18567
QueryType.A,True,,9456,15442
QueryType.A,True,,10015,14832
QueryType.A,True,,12949,17972
QueryType.A,True,,7715,12861
QueryType.A,True,,12216,16944
QueryType.CNAME,True,,14526,19199
QueryType.A,True,,10741,15749
QueryType.A,True,,8569,13321
QueryType.CNAME,True,,18458,23515
QueryType.CNAME,True,,14484,19943
QueryType.CNAME,True,,13912,19022
QueryType.A,True,,11419,16616
QueryType.CNAME,True,,13529,18662
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),18323,23517
QueryType.A,True,,9223,14737
QueryType.CNAME,True,,16303,21069
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17227,22844
QueryType.CNAME,True,,13542,18991
QueryType.A,True,,10027,15674
QueryType.CNAME,True,,16412,21457
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15200,20252
QueryType.A,True,,10764,16488
QueryType.A,True,,7976,12997
QueryType.CNAME,True,,19638,24649
QueryType.A,True,,11393,17156
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),16233,21652
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17785,24186
QueryType.A,True,,9076,25497
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15192,19841
QueryType.A,True,,11304,16389
QueryType.A,True,,10541,15396
QueryType.A,True,,8592,13238
QueryType.CNAME,True,,16016,20832
QueryType.CNAME,True,,13317,18858
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17222,22186
QueryType.CNAME,True,,12995,18057
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),20170,25212
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15457,23059
QueryType.A,True,,9856,15196
QueryType.A,True,,10530,15516
QueryType.A,True,,9419,14080
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17410,22108
QueryType.A,True,,9139,14259
QueryType.A,True,,8898,13337
QueryType.CNAME,True,,21421,26012
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),16095,21058
QueryType.A,True,,7982,12916
QueryType.CNAME,True,,16094,20932
QueryType.A,True,,7984,13392
QueryType.CNAME,True,,15642,20494
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),16647,21499
QueryType.CNAME,True,,13072,18422
QueryType.CNAME,True,,15444,20574
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15115,21185
QueryType.A,True,,8080,13156
QueryType.A,True,,10765,15724
QueryType.A,True,,9039,13829
QueryType.CNAME,True,,33144,38029
QueryType.A,True,,9502,14791
QueryType.A,True,,7897,12738
QueryType.CNAME,True,,15623,20132
QueryType.A,True,,9059,13935
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17677,22486
QueryType.A,True,,8814,13828
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),19813,24526
QueryType.A,True,,8192,13443
QueryType.A,True,,8474,13570
QueryType.A,True,,9837,14704
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15296,20350
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15277,20293
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),16313,21224
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17678,23149
QueryType.A,True,,8998,14436
QueryType.A,True,,10489,16024
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15134,22120
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17260,22410
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),14127,19145
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),16521,21413
QueryType.A,True,,8179,13373
QueryType.A,True,,11455,16519
QueryType.A,True,,10915,16610
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14534,19262
QueryType.A,True,,8844,15943
QueryType.A,True,,10594,15459
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),15088,21599
QueryType.CNAME,True,,19051,24063
QueryType.A,True,,8107,13210
QueryType.A,True,,8789,13450
QueryType.A,True,,9336,13907
QueryType.A,True,,8842,14138
QueryType.A,True,,9633,14260
QueryType.A,True,,8383,12901
QueryType.A,True,,7458,11953
QueryType.A,True,,12596,17226
QueryType.A,True,,8156,13243
QueryType.CNAME,True,,15697,20667
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14659,19591
QueryType.A,True,,8953,14129
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17076,21904
QueryType.A,True,,9073,14207
QueryType.CNAME,True,,18263,23648
QueryType.CNAME,True,,13662,18737
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15264,20523
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17399,22548
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14563,19461
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),16424,21202
QueryType.CNAME,True,,15451,20315
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),14717,20818
QueryType.A,True,,15236,20337
QueryType.CNAME,True,,13767,19162
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),16419,21426
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14664,19819
QueryType.A,True,,8434,13803
QueryType.A,True,,10928,16009
QueryType.CNAME,True,,15533,20371
QueryType.A,True,,8021,13460
QueryType.CNAME,True,,15695,20352
QueryType.A,True,,13228,17920
QueryType.A,True,,7764,12388
QueryType.A,True,,11304,16090
QueryType.CNAME,True,,16063,21131
QueryType.CNAME,True,,19349,24596
QueryType.CNAME,True,,13828,18990
QueryType.A,True,,8685,14337
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),17510,24591
QueryType.A,True,,8256,13340
QueryType.A,True,,9628,14531
QueryType.A,True,,7927,12838
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),18495,23172
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),15498,20724
QueryType.A,True,,7972,13076
QueryType.CNAME,True,,15758,21279
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14622,19821
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17383,23148
QueryType.A,True,,9044,14230
QueryType.A,True,,9920,24645
QueryType.A,True,,9672,14471
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),14812,19610
QueryType.A,True,,9847,14777
QueryType.A,True,,9569,14146
QueryType.CNAME,True,,13194,17880
QueryType.A,True,,9356,14650
QueryType.A,True,,12243,16855
QueryType.A,True,,7574,12290
QueryType.A,True,,10755,15240
QueryType.A,True,,8749,13402
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17081,21606
QueryType.A,True,,8612,13481
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17070,21768
QueryType.A,True,,10436,15737
QueryType.CNAME,True,,13869,18977
QueryType.A,True,,8089,12972
QueryType.A,True,,9623,14266
QueryType.CNAME,True,,13914,18587
QueryType.A,True,,11419,16096
QueryType.CNAME,True,,18153,23569
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17103,22548
QueryType.CNAME,True,,14079,19545
QueryType.A,True,,9607,14416
QueryType.CNAME,False,current zone file no such domain for asdwsedefgh.xmu.com. (NXDOMAIN),17922,22737
QueryType.A,True,,8079,14189
QueryType.A,True,,8871,13639
QueryType.A,True,,10859,15348
QueryType.A,True,,13662,18462
QueryType.CNAME,False,current zone file no such domain for asdasdadsasda.xmu.com. (NXDOMAIN),18017,22638
