; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR nju.com. @ns2.nju.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.nju.com. james.nju.edu. 19122302 14400 3600 2419200 14400
nju.com.			      14400 IN NS	ns1.nju.com.
ns1.nju.com.			      14400 IN A	10.166.21.14

www.nju.com.		      14400 IN NS	ns1.www.nju.com.
ns1.www.nju.com.		      14400 IN A		10.166.21.15

software.nju.com.		      14400 IN NS	ns1.software.nju.com.
ns1.software.nju.com.		      14400 IN A		10.166.21.12

law.nju.com.		      14400 IN NS	ns1.law.nju.com.
ns1.law.nju.com.		      14400 IN A		10.166.21.13

nju.com.			      14400 IN MX	10 lawtp.nju.edu.
nju.com.			      14400 IN TXT	"v=spf1 a mx ~all"
otgnwmae.nju.com.        IN    A    58.92.253.120
vyakbgnd.nju.com.        IN    A    247.98.105.202
kuifxhoc.nju.com.        IN    A    160.211.86.248
gfihyskw.nju.com.        IN    A    138.238.200.154
scqdbkph.nju.com.        IN    A    35.179.107.142
vnaduiok.nju.com.        IN    A    246.179.98.200
dlrtihxv.nju.com.        IN    A    58.90.196.176
ktrjndvs.nju.com.        IN    A    203.43.134.146
jerndfcv.nju.com.        IN    A    154.141.105.169
idpnkrmb.nju.com.        IN    A    56.105.141.8
gehpjwms.nju.com.        IN    A    255.201.18.65
dkjbcifp.nju.com.        IN    A    65.53.212.241
jqaroigd.nju.com.        IN    A    82.30.46.177
hwodlmij.nju.com.        IN    A    61.146.142.125
ubgpecyw.nju.com.        IN    A    241.72.203.42
ibjxuoqy.nju.com.        IN    A    108.146.167.223
yplqhnig.nju.com.        IN    A    78.7.66.154
pdrltsnq.nju.com.        IN    A    111.179.203.197
dujeinsf.nju.com.        IN    A    188.163.243.93
igokqryp.nju.com.        IN    A    214.113.129.37
bqrntolc.nju.com.        IN    A    57.157.149.165
qtesklri.nju.com.        IN    A    45.153.255.194
bmrjcetp.nju.com.        IN    A    16.72.92.146
vxmkijah.nju.com.        IN    A    164.251.3.39
doecgvkt.nju.com.        IN    A    190.103.119.171
efjgvurq.nju.com.        IN    A    248.143.214.254
wrodvsac.nju.com.        IN    A    200.203.9.176
bdnthsoc.nju.com.        IN    A    161.197.128.34
dolusvxm.nju.com.        IN    A    207.246.146.91
yxgcfbej.nju.com.        IN    A    145.29.185.30
cvfrhoai.nju.com.        IN    A    68.93.233.54
levobguj.nju.com.        IN    A    91.87.20.3
phjvcfeb.nju.com.        IN    A    142.99.182.32
skmeuldx.nju.com.        IN    A    216.246.4.117
faoxjmrw.nju.com.        IN    A    61.49.174.109
aduhmlpo.nju.com.        IN    A    168.29.155.87
lsygdwta.nju.com.        IN    A    63.38.170.162
flacjpkb.nju.com.        IN    A    167.70.192.0
jlefdcmb.nju.com.        IN    A    46.83.44.203
rqmygbjo.nju.com.        IN    A    173.174.27.88
avmbkons.nju.com.        IN    A    230.116.229.103
jqowhtma.nju.com.        IN    A    119.60.57.48
dnlibtxj.nju.com.        IN    A    55.220.217.56
fpuvldcb.nju.com.        IN    A    101.203.205.220
lyntwagc.nju.com.        IN    A    205.167.106.2
bgsjrutm.nju.com.        IN    A    170.109.210.124
vpedtxhl.nju.com.        IN    A    86.103.8.102
hdvknmce.nju.com.        IN    A    69.15.80.1
nvsujhcg.nju.com.        IN    A    235.48.251.251
fsxnheit.nju.com.        IN    A    37.166.250.37
kvjepasc.nju.com.        IN    A    84.97.211.201
yntuiscl.nju.com.        IN    A    156.62.180.234
iwulreja.nju.com.        IN    A    132.185.8.84
xkvhfqum.nju.com.        IN    A    85.200.252.19
lxqfeucw.nju.com.        IN    A    14.123.189.54
ncwlsuqt.nju.com.        IN    A    90.250.152.163
iwqvdeub.nju.com.        IN    A    60.210.126.122
xvrklwmb.nju.com.        IN    A    6.251.157.92
qduobakp.nju.com.        IN    A    243.206.198.241
txvaseql.nju.com.        IN    A    160.101.179.37
bcvryswt.nju.com.        IN    A    38.63.52.190
favrykum.nju.com.        IN    A    138.156.68.40
icndfkja.nju.com.        IN    A    160.240.80.13
esryafli.nju.com.        IN    A    116.4.255.232
gxriqojb.nju.com.        IN    A    96.109.3.1
btfihoys.nju.com.        IN    A    1.180.200.123
iclvrsou.nju.com.        IN    A    121.179.90.165
rxayicgu.nju.com.        IN    A    73.252.68.107
axdouygs.nju.com.        IN    A    100.254.195.111
mvrcwqks.nju.com.        IN    A    248.73.100.0
tmfeqvdy.nju.com.        IN    A    49.9.250.30
amtwiofl.nju.com.        IN    A    125.75.68.90
fsypcigo.nju.com.        IN    A    62.159.135.161
rnaewvsq.nju.com.        IN    A    99.164.39.111
sqcgrvfl.nju.com.        IN    A    192.21.29.131
xlfjkvnb.nju.com.        IN    A    243.136.87.229
imtucvba.nju.com.        IN    A    206.187.86.69
akhregqj.nju.com.        IN    A    196.131.146.142
mjusxovl.nju.com.        IN    A    94.22.54.237
osvmqueb.nju.com.        IN    A    125.46.79.81
jhywetpb.nju.com.        IN    A    99.214.142.83
odlxvqnw.nju.com.        IN    A    193.64.236.107
fvlopmse.nju.com.        IN    A    245.130.53.161
brskuepf.nju.com.        IN    A    243.189.150.159
ansxghko.nju.com.        IN    A    183.46.195.242
kmpjdqsl.nju.com.        IN    A    77.139.93.115
hwtrkqju.nju.com.        IN    A    60.53.171.145
batrsjen.nju.com.        IN    A    150.82.92.33
rngouxty.nju.com.        IN    A    103.43.125.135
vstauwbo.nju.com.        IN    A    49.203.105.137
tgqelaji.nju.com.        IN    A    181.134.202.161
vhmwajlk.nju.com.        IN    A    200.145.62.164
rsfnkxwp.nju.com.        IN    A    242.251.231.148
vrhdxnuk.nju.com.        IN    A    50.196.130.200
patbyxml.nju.com.        IN    A    24.206.69.45
bcsrnjwi.nju.com.        IN    A    198.107.164.174
qwbxcsmh.nju.com.        IN    A    67.232.80.149
afjkrotg.nju.com.        IN    A    208.178.121.8
wycemjkx.nju.com.        IN    A    117.92.19.185
yjcxfltq.nju.com.        IN    A    2.12.118.210
axbhqosy.nju.com.        IN    A    223.218.222.67
yrbuhcmo.nju.com.        IN    A    39.26.80.6
plqouafm.nju.com.        IN    A    83.222.215.71
cjpfaluw.nju.com.        IN    A    136.26.118.79
uqpefgjm.nju.com.        IN    A    252.15.124.84
ansimxok.nju.com.        IN    A    207.64.247.189
gsuceiaq.nju.com.        IN    A    79.226.23.18
kdircbse.nju.com.        IN    A    169.33.127.86
danuriht.nju.com.        IN    A    202.82.213.168
wnhrkmyu.nju.com.        IN    A    151.200.112.175
kwdfjlrh.nju.com.        IN    A    158.55.60.102
ycdbafep.nju.com.        IN    A    32.224.51.251
ixuelbry.nju.com.        IN    A    92.51.88.46
nxfbglti.nju.com.        IN    A    92.193.82.76
egdwfjpa.nju.com.        IN    A    70.104.42.196
gktfnepw.nju.com.        IN    A    89.0.35.186
bcpivntq.nju.com.        IN    A    235.78.207.65
pnyqxdsu.nju.com.        IN    A    102.161.87.61
mdeplwky.nju.com.        IN    A    180.122.52.29
semikbxr.nju.com.        IN    A    110.254.92.186
plctdqhg.nju.com.        IN    A    246.145.55.192
keqxytao.nju.com.        IN    A    244.41.38.42
oyxmqirj.nju.com.        IN    A    4.198.253.102
kxcedyfm.nju.com.        IN    A    52.253.42.75
jopluase.nju.com.        IN    A    58.185.150.126
uxeogyln.nju.com.        IN    A    173.232.245.158
smlhrfqn.nju.com.        IN    A    70.191.147.163
acwxlrsg.nju.com.        IN    A    76.80.96.43
ohyiwjkq.nju.com.        IN    A    119.250.91.131
csgvqeit.nju.com.        IN    A    247.148.196.117
vuxrjtih.nju.com.        IN    A    210.252.129.179
hpgkunfl.nju.com.        IN    A    110.219.13.115
rovgdycn.nju.com.        IN    A    89.100.37.228
yelfaxjb.nju.com.        IN    A    81.72.247.101
ikgycbxa.nju.com.        IN    A    205.147.55.28
isetlnph.nju.com.        IN    A    219.169.20.163
lporcwue.nju.com.        IN    A    24.196.199.195
sirnojal.nju.com.        IN    A    151.152.191.42
gtyowhlv.nju.com.        IN    A    148.198.196.27
uxknhocj.nju.com.        IN    A    153.116.74.118
jengkhub.nju.com.        IN    A    154.178.45.225
cdlytufn.nju.com.        IN    A    102.223.199.19
rxnjhayf.nju.com.        IN    A    193.143.120.112
irqcdtlf.nju.com.        IN    A    3.150.93.248
bjqioakc.nju.com.        IN    A    27.244.48.252
cntoeikv.nju.com.        IN    A    64.230.10.136
deaxqcwm.nju.com.        IN    A    87.205.40.197
jiktcrqm.nju.com.        IN    A    59.195.26.204
eftnaqbg.nju.com.        IN    A    158.149.103.105
bqxvysch.nju.com.        IN    A    84.245.25.57
qujhbcfm.nju.com.        IN    A    214.87.8.246
ewcluxiq.nju.com.        IN    A    59.207.72.104
semqciyo.nju.com.        IN    A    219.241.38.220
vjwbyohd.nju.com.        IN    A    214.138.32.227
bwmithjx.nju.com.        IN    A    202.118.229.214
wsjmiqdb.nju.com.        IN    A    162.65.216.116
cuqnhyov.nju.com.        IN    A    198.224.225.239
yhpqwcrt.nju.com.        IN    A    207.69.84.31
yjsfvlpq.nju.com.        IN    A    130.125.80.24
ihmlbpgy.nju.com.        IN    A    252.98.133.38
xleinvtp.nju.com.        IN    A    88.231.184.216
oncwvhtf.nju.com.        IN    A    22.100.216.131
aktxmhqf.nju.com.        IN    A    194.230.253.143
rdykjifg.nju.com.        IN    A    207.85.111.39
uvjlyqkp.nju.com.        IN    A    250.253.112.118
viglbmqy.nju.com.        IN    A    142.149.209.208
bkqgxedj.nju.com.        IN    A    69.5.146.59
spkywudc.nju.com.        IN    A    243.29.17.132
amcgwsbu.nju.com.        IN    A    42.172.108.225
sdvlbaup.nju.com.        IN    A    248.129.75.157
uedrqmof.nju.com.        IN    A    156.15.208.247
sndtwoqf.nju.com.        IN    A    52.157.42.38
iskcufyx.nju.com.        IN    A    226.123.123.1
jgqxplif.nju.com.        IN    A    180.71.53.183
gvxqjred.nju.com.        IN    A    251.158.232.137
jomrpsig.nju.com.        IN    A    206.73.107.106
pydjveal.nju.com.        IN    A    126.53.24.251
jamekbdi.nju.com.        IN    A    91.147.85.236
ielhncra.nju.com.        IN    A    193.175.148.102
qwalxriv.nju.com.        IN    A    197.240.87.115
ntfqjcum.nju.com.        IN    A    248.42.158.179
ifxblpqg.nju.com.        IN    A    237.25.31.168
ojnxmgsd.nju.com.        IN    A    62.123.201.95
egmqxaok.nju.com.        IN    A    131.246.92.114
advfhcwj.nju.com.        IN    A    97.55.175.85
maesnwfh.nju.com.        IN    A    242.102.20.93
viklpcfj.nju.com.        IN    A    136.20.68.19
khuptrem.nju.com.        IN    A    21.95.119.157
hjvekftq.nju.com.        IN    A    200.178.6.188
cohkxylr.nju.com.        IN    A    245.85.251.18
nudmwxyt.nju.com.        IN    A    55.85.14.146
mpxfweil.nju.com.        IN    A    149.200.223.40
yjrkvwsp.nju.com.        IN    A    139.56.186.188
qohwbtsd.nju.com.        IN    A    193.203.83.67
gurvfhim.nju.com.        IN    A    103.91.24.233
olrfwvmt.nju.com.        IN    A    55.24.198.221
hnxarlic.nju.com.        IN    A    187.19.179.113
rhbcilow.nju.com.        IN    A    199.81.70.226
cyliuohr.nju.com.        IN    A    238.8.164.201
vacrjkhd.nju.com.        IN    A    51.211.48.152
bjhondet.nju.com.        IN    A    251.73.121.51
xftjmelo.nju.com.        IN    A    101.76.6.132
mqlbieyr.nju.com.        IN    A    211.130.49.64
gmbhnrvl.nju.com.        IN    A    239.187.183.114
xptamvcl.nju.com.        IN    A    181.224.171.220
ovkcghtq.nju.com.        IN    A    55.56.136.127
cqnoftke.nju.com.        IN    A    61.8.145.11
khnagstm.nju.com.        IN    A    218.115.65.246
tdjsgyle.nju.com.        IN    A    155.11.186.185
ugljcwih.nju.com.        IN    A    205.145.36.47
cufksojb.nju.com.        IN    A    216.167.180.67
lrxgtjwn.nju.com.        IN    A    208.247.167.47
qbeosykh.nju.com.        IN    A    43.160.31.177
fxroaetd.nju.com.        IN    A    38.41.184.89
rogxpfku.nju.com.        IN    A    34.255.219.133
trsxndbm.nju.com.        IN    A    214.17.39.166
jyaiwmsf.nju.com.        IN    A    55.205.6.40
vmnpksgb.nju.com.        IN    A    81.43.143.134
yvqrjwpx.nju.com.        IN    A    153.169.160.171
mreuipsh.nju.com.        IN    A    235.204.242.106
upqmcvkf.nju.com.        IN    A    39.197.131.154
ljspwyur.nju.com.        IN    A    167.94.37.202
yofcastw.nju.com.        IN    A    9.43.98.14
jyxogsah.nju.com.        IN    A    232.184.61.174
iupqvtsk.nju.com.        IN    A    205.174.85.212
woknjhgt.nju.com.        IN    A    69.157.168.224
ylnraqis.nju.com.        IN    A    40.63.177.67
cbeyhimk.nju.com.        IN    A    112.7.214.191
ktmynfwv.nju.com.        IN    A    97.200.114.57
iklupomj.nju.com.        IN    A    30.61.4.196
sdgpyoih.nju.com.        IN    A    183.34.142.17
kqurvxfe.nju.com.        IN    A    100.114.211.212
oghujcpe.nju.com.        IN    A    206.4.128.48
oyvmqhji.nju.com.        IN    A    164.108.85.66
fcqrbtlw.nju.com.        IN    A    128.91.29.124
lgudsyeb.nju.com.        IN    A    120.209.21.152
lxrdvgum.nju.com.        IN    A    90.217.138.6
hisrwdpa.nju.com.        IN    A    182.233.244.107
uptboxjy.nju.com.        IN    A    242.222.237.33
whoetrdu.nju.com.        IN    A    171.197.63.228
jbdhufoe.nju.com.        IN    A    199.199.246.110
yvsujpdx.nju.com.        IN    A    135.121.91.64
gcshadln.nju.com.        IN    A    201.207.133.130
vdbmuhkj.nju.com.        IN    A    35.11.144.255
lupndbqj.nju.com.        IN    A    243.97.107.128
loveibuy.nju.com.        IN    A    102.34.129.103
pmywvkxf.nju.com.        IN    A    66.254.107.114
nmjsguhx.nju.com.        IN    A    40.231.160.132
kmblovph.nju.com.        IN    A    141.116.215.165
exhlnjrf.nju.com.        IN    A    66.56.164.28
axrmwlju.nju.com.        IN    A    12.113.210.186
kswtvamo.nju.com.        IN    A    164.156.156.252
gbqkicpl.nju.com.        IN    A    112.164.149.21
sytxcepv.nju.com.        IN    A    249.44.169.38
ixyehkbp.nju.com.        IN    A    191.156.28.181
oaslnmpj.nju.com.        IN    A    186.239.245.200
nhbugrcw.nju.com.        IN    A    127.126.94.146
jdgikfop.nju.com.        IN    A    39.183.119.226
lwadiceq.nju.com.        IN    A    51.240.205.253
wkbjedvn.nju.com.        IN    A    238.151.44.232
dlamogyq.nju.com.        IN    A    206.44.91.182
dcvjtbai.nju.com.        IN    A    246.131.223.208
hysfqnuj.nju.com.        IN    A    218.71.77.252
hqypridv.nju.com.        IN    A    59.143.103.44
cpyfganl.nju.com.        IN    A    224.187.69.91
tlqxyicr.nju.com.        IN    A    232.152.47.203
xdmoqiwa.nju.com.        IN    A    82.39.57.183
odutsiyq.nju.com.        IN    A    3.230.159.109
hmfoqnvr.nju.com.        IN    A    245.21.173.74
ikfjmluh.nju.com.        IN    A    34.28.98.71
eibklpgn.nju.com.        IN    A    225.174.71.22
egbcuskd.nju.com.        IN    A    139.160.165.214
atbhqrpd.nju.com.        IN    A    225.57.126.20
rqvdacxm.nju.com.        IN    A    252.214.211.135
qwmyugnv.nju.com.        IN    A    138.35.46.170
vbhukigd.nju.com.        IN    A    141.138.57.162
xcogejus.nju.com.        IN    A    133.41.117.91
fblntcoe.nju.com.        IN    A    175.90.252.70
nyjdmtcs.nju.com.        IN    A    28.69.219.157
caomhfse.nju.com.        IN    A    27.58.64.230
ugtwavbr.nju.com.        IN    A    190.1.41.11
eibnwusy.nju.com.        IN    A    238.160.227.64
fugdavbx.nju.com.        IN    A    76.179.162.147
dqhbejuf.nju.com.        IN    A    198.60.82.240
qfmeokdn.nju.com.        IN    A    224.13.196.172
udxfsymc.nju.com.        IN    A    186.83.158.225
ayswtpkr.nju.com.        IN    A    134.54.208.149
frvteksp.nju.com.        IN    A    35.212.210.32
ypqbrefv.nju.com.        IN    A    198.160.253.201
nihcgjaw.nju.com.        IN    A    200.80.96.205
mnjkbasg.nju.com.        IN    A    156.46.139.42
krlstpqy.nju.com.        IN    A    95.129.68.105
aqjitvrk.nju.com.        IN    A    73.206.23.50
alkwgvds.nju.com.        IN    A    119.118.115.34
djoeuyxn.nju.com.        IN    A    221.185.15.142
umkqvgwt.nju.com.        IN    A    107.48.160.160
vikwptxf.nju.com.        IN    A    245.198.111.239
kjohtlmg.nju.com.        IN    A    189.233.217.138
ngporfla.nju.com.        IN    A    97.233.191.1
mbgytrai.nju.com.        IN    A    251.105.246.37
vkhatgor.nju.com.        IN    A    24.162.91.140
notqelvr.nju.com.        IN    A    157.34.171.219
axiyfjwd.nju.com.        IN    A    13.199.193.7
klwsepyr.nju.com.        IN    A    101.177.148.53
ouvkrjbg.nju.com.        IN    A    126.231.85.73
rkmpctfo.nju.com.        IN    A    232.249.94.122
yhibumqp.nju.com.        IN    A    204.138.59.166
owrghdsu.nju.com.        IN    A    42.164.178.253
sxahfqgw.nju.com.        IN    A    221.234.67.244
bnwyrdah.nju.com.        IN    A    69.129.61.125
avuqsjhc.nju.com.        IN    A    185.24.140.142
geptfnwo.nju.com.        IN    A    48.195.160.63
cfexmolu.nju.com.        IN    A    226.253.95.246
jbmieduq.nju.com.        IN    A    40.213.64.167
wavbhpco.nju.com.        IN    A    118.172.134.65
pbichgtr.nju.com.        IN    A    197.185.202.125
hliopxwt.nju.com.        IN    A    5.66.140.135
altesuqc.nju.com.        IN    A    128.83.251.55
jnkvqyus.nju.com.        IN    A    192.71.133.50
wpkgyavt.nju.com.        IN    A    152.90.91.218
eauyptxf.nju.com.        IN    A    18.6.214.115
fvhleqgy.nju.com.        IN    A    4.199.51.104
awumebln.nju.com.        IN    A    143.218.219.58
gaxjnked.nju.com.        IN    A    189.206.187.163
vmahjwkb.nju.com.        IN    A    150.149.100.46
cdxvknof.nju.com.        IN    A    151.114.158.234
gvaqymjp.nju.com.        IN    A    143.71.103.179
owfjlukr.nju.com.        IN    A    249.115.6.191
puaywmjd.nju.com.        IN    A    61.192.183.159
reghxnmj.nju.com.        IN    A    6.23.57.178
ntlvwbjx.nju.com.        IN    A    112.1.34.202
arijuxys.nju.com.        IN    A    136.136.255.170
oawjimts.nju.com.        IN    A    131.232.82.246
dsroclfx.nju.com.        IN    A    254.61.211.6
fdmhjguo.nju.com.        IN    A    21.116.99.221
yrutcpem.nju.com.        IN    A    137.175.205.32
subjokry.nju.com.        IN    A    41.239.114.204
beucyqmo.nju.com.        IN    A    4.163.76.120
upsvabnj.nju.com.        IN    A    1.2.93.253
pgsnwqlo.nju.com.        IN    A    64.219.231.85
mqeaohxi.nju.com.        IN    A    137.0.97.129
jhiyknwm.nju.com.        IN    A    166.34.189.233
bdxgsnau.nju.com.        IN    A    147.248.142.28
rcqkthum.nju.com.        IN    A    118.89.53.229
xvugebdm.nju.com.        IN    A    163.72.144.116
gvqbjxku.nju.com.        IN    A    243.53.166.24
rcxhvduq.nju.com.        IN    A    70.192.26.241
hjbvndmi.nju.com.        IN    A    2.2.123.168
fbvdrung.nju.com.        IN    A    214.146.188.8
gqolabxe.nju.com.        IN    A    98.129.176.230
apvdbghj.nju.com.        IN    A    14.34.32.114
sxjdetbk.nju.com.        IN    A    221.195.138.176
nyvqxftr.nju.com.        IN    A    25.16.239.32
ioxhwkeu.nju.com.        IN    A    58.59.202.244
jbtsxiuf.nju.com.        IN    A    18.144.144.64
jnvogusm.nju.com.        IN    A    81.105.85.9
ypxvhgbt.nju.com.        IN    A    194.242.121.37
tfsgqvar.nju.com.        IN    A    153.162.252.162
qkrmxugd.nju.com.        IN    A    155.172.77.105
euwsdagh.nju.com.        IN    A    135.216.189.236
rnldutxb.nju.com.        IN    A    165.230.132.217
ierxogyj.nju.com.        IN    A    31.23.173.29
rhukngpw.nju.com.        IN    A    237.34.208.106
hctuopkb.nju.com.        IN    A    80.243.241.17
vbixnkwo.nju.com.        IN    A    132.133.248.8
rdwhmfbi.nju.com.        IN    A    208.187.194.135
slbjrpti.nju.com.        IN    A    133.174.14.209
fqhvyktc.nju.com.        IN    A    19.84.214.91
xepdksnl.nju.com.        IN    A    39.13.122.209
oaribcwv.nju.com.        IN    A    240.238.100.36
icnjsthf.nju.com.        IN    A    19.58.137.11
jacgyeks.nju.com.        IN    A    212.168.149.196
fvumactj.nju.com.        IN    A    85.68.119.179
hacnrtqx.nju.com.        IN    A    163.165.57.39
mubvwgek.nju.com.        IN    A    71.76.33.246
fpekrbcx.nju.com.        IN    A    18.253.14.108
tqcxvpom.nju.com.        IN    A    158.195.253.102
eynaxtmw.nju.com.        IN    A    176.171.86.11
tjibxmrn.nju.com.        IN    A    163.126.223.185
xqhwvopb.nju.com.        IN    A    208.126.156.180
bjfaetmq.nju.com.        IN    A    54.4.8.251
hupnklwa.nju.com.        IN    A    116.101.69.172
aiyponle.nju.com.        IN    A    236.126.156.180
maqxitsp.nju.com.        IN    A    216.227.244.36
decsnlyj.nju.com.        IN    A    20.176.36.204
myuvisdh.nju.com.        IN    A    173.189.17.94
twbklays.nju.com.        IN    A    165.18.134.186
vksirhpx.nju.com.        IN    A    82.97.91.167
isfegqyo.nju.com.        IN    A    174.188.57.163
dokaejhx.nju.com.        IN    A    45.129.88.213
soyqnamp.nju.com.        IN    A    67.167.104.12
grioevbp.nju.com.        IN    A    91.174.8.129
uemtwoyp.nju.com.        IN    A    30.114.234.137
imhradvp.nju.com.        IN    A    241.80.14.43
yhdvpris.nju.com.        IN    A    4.215.119.232
