www.tju.com. 	14400	IN	SOA	ns1.www.tju.com. james.tju.edu. 19122302 14400 3600 2419200 14400
www.tju.com.		    IN	NS ns1.www.tju.com.
qjvrdont.www.tju.com.    IN    A    67.140.96.242
fixjtoav.www.tju.com.    IN    A    115.249.209.132
snuetqml.www.tju.com.    IN    A    5.50.37.145
jxngwuar.www.tju.com.    IN    A    53.77.212.86
xyjhiowp.www.tju.com.    IN    A    190.15.186.31
dajfnbhp.www.tju.com.    IN    A    184.160.23.15
avxiqhwu.www.tju.com.    IN    A    186.143.163.34
vngqcwum.www.tju.com.    IN    A    120.101.34.221
wxdrvbaj.www.tju.com.    IN    A    18.135.29.62
hdvgrpqu.www.tju.com.    IN    A    146.253.243.195
igbkesod.www.tju.com.    IN    A    29.201.103.250
tmqhlsen.www.tju.com.    IN    A    176.36.229.160
qjoxpwdi.www.tju.com.    IN    A    39.244.165.160
beqxmcin.www.tju.com.    IN    A    33.246.180.232
opbeuimt.www.tju.com.    IN    A    13.174.207.15
chysqpua.www.tju.com.    IN    A    142.48.76.64
nbowdyhx.www.tju.com.    IN    A    153.32.227.180
sochejrt.www.tju.com.    IN    A    13.81.217.51
dtwvajlm.www.tju.com.    IN    A    108.105.148.56
nucpydeg.www.tju.com.    IN    A    238.109.29.146
kdgbilay.www.tju.com.    IN    A    167.30.173.35
imhlwxrd.www.tju.com.    IN    A    184.157.136.89
vsktmrxn.www.tju.com.    IN    A    137.135.125.254
ixhoqesy.www.tju.com.    IN    A    8.131.231.23
cejgxtfp.www.tju.com.    IN    A    64.224.28.84
mnqydhos.www.tju.com.    IN    A    172.215.19.74
ejpmsqia.www.tju.com.    IN    A    6.244.21.110
xlfowikj.www.tju.com.    IN    A    205.203.104.205
vapdcqig.www.tju.com.    IN    A    218.141.9.94
vfsajtqk.www.tju.com.    IN    A    151.101.54.233
friuhngo.www.tju.com.    IN    A    213.148.192.141
womkdupn.www.tju.com.    IN    A    22.148.43.56
buxvafwd.www.tju.com.    IN    A    225.98.105.20
rdnltwkc.www.tju.com.    IN    A    33.67.84.61
bigmvwph.www.tju.com.    IN    A    140.143.193.202
candjuke.www.tju.com.    IN    A    239.146.146.206
wgtqmenb.www.tju.com.    IN    A    31.48.102.111
lsaqkynd.www.tju.com.    IN    A    249.126.186.66
milxduso.www.tju.com.    IN    A    58.188.250.131
ibschrtm.www.tju.com.    IN    A    86.114.161.225
pefxsngc.www.tju.com.    IN    A    201.29.246.252
citoeadx.www.tju.com.    IN    A    251.65.12.82
fartyukl.www.tju.com.    IN    A    202.109.168.16
tfvhacsx.www.tju.com.    IN    A    78.150.59.90
jhipkgsc.www.tju.com.    IN    A    167.121.137.183
bgischya.www.tju.com.    IN    A    34.72.135.230
xuqpibvd.www.tju.com.    IN    A    44.220.81.49
xrmebyij.www.tju.com.    IN    A    189.243.68.111
swtuhrae.www.tju.com.    IN    A    58.244.155.251
kwaefnhd.www.tju.com.    IN    A    173.114.186.92
wmohfrpy.www.tju.com.    IN    A    101.166.63.252
widnpocy.www.tju.com.    IN    A    122.88.15.40
gwjyfbtd.www.tju.com.    IN    A    197.134.236.244
ghsftprj.www.tju.com.    IN    A    70.23.110.68
ngrxufho.www.tju.com.    IN    A    13.77.7.89
mjnrsioe.www.tju.com.    IN    A    127.215.224.7
qhnmjfex.www.tju.com.    IN    A    104.230.47.2
pthkldsy.www.tju.com.    IN    A    133.221.78.151
fujoxqvl.www.tju.com.    IN    A    4.48.134.128
hbxgdcyv.www.tju.com.    IN    A    4.38.19.127
pnbmytxk.www.tju.com.    IN    A    199.156.101.197
qvadpuky.www.tju.com.    IN    A    102.5.181.97
pylsjkdh.www.tju.com.    IN    A    133.89.119.199
esvobfih.www.tju.com.    IN    A    64.27.2.27
utflgihm.www.tju.com.    IN    A    43.230.41.35
avirfmjo.www.tju.com.    IN    A    199.240.125.255
qmvianok.www.tju.com.    IN    A    194.120.182.222
dpmqeljv.www.tju.com.    IN    A    75.97.254.85
golhcujd.www.tju.com.    IN    A    32.58.17.188
lsacrqnm.www.tju.com.    IN    A    227.80.251.64
vjcsdary.www.tju.com.    IN    A    216.76.169.154
jihpsdgo.www.tju.com.    IN    A    82.250.32.71
vtusylxp.www.tju.com.    IN    A    26.55.13.152
wspmvflh.www.tju.com.    IN    A    207.65.246.165
hfntsbyp.www.tju.com.    IN    A    92.13.107.136
guhsxcjt.www.tju.com.    IN    A    14.112.131.70
aknysprg.www.tju.com.    IN    A    84.187.173.211
kqenmxlf.www.tju.com.    IN    A    95.91.61.246
wkrpvuce.www.tju.com.    IN    A    81.160.11.110
fpmvouyx.www.tju.com.    IN    A    182.80.11.177
fxiholbj.www.tju.com.    IN    A    79.200.221.173
iyqepndf.www.tju.com.    IN    A    146.70.147.118
hcdbxtuo.www.tju.com.    IN    A    72.190.103.132
bolivgpy.www.tju.com.    IN    A    62.16.205.31
bqkyhnfa.www.tju.com.    IN    A    34.222.153.100
nepqjuif.www.tju.com.    IN    A    188.94.216.46
nydcfkgq.www.tju.com.    IN    A    246.196.93.88
obfvciwn.www.tju.com.    IN    A    215.76.91.141
vcsntykd.www.tju.com.    IN    A    126.196.105.6
ecjaqsdh.www.tju.com.    IN    A    254.17.92.161
qbjtipan.www.tju.com.    IN    A    240.59.17.184
vtnpcwxg.www.tju.com.    IN    A    29.177.44.117
mahfyrne.www.tju.com.    IN    A    235.214.177.149
unwgprkv.www.tju.com.    IN    A    119.227.85.146
bindfsul.www.tju.com.    IN    A    249.208.110.26
bscoeifr.www.tju.com.    IN    A    50.77.193.79
jnutyfqs.www.tju.com.    IN    A    26.132.130.181
fdglqwxs.www.tju.com.    IN    A    26.199.104.177
sgatvdrn.www.tju.com.    IN    A    176.131.64.151
cfoqhwiv.www.tju.com.    IN    A    171.46.48.215
ewgajsod.www.tju.com.    IN    A    140.134.182.39
uvoxlyca.www.tju.com.    IN    A    85.37.247.223
uhclsrpy.www.tju.com.    IN    A    25.211.132.242
lbqfrimd.www.tju.com.    IN    A    119.76.163.199
slefrpti.www.tju.com.    IN    A    247.21.205.254
tkneqcbo.www.tju.com.    IN    A    164.160.61.225
gbrifvsw.www.tju.com.    IN    A    216.196.127.224
elotiwfp.www.tju.com.    IN    A    169.113.213.47
ybfuhilq.www.tju.com.    IN    A    28.26.139.239
yuqehbxs.www.tju.com.    IN    A    89.208.107.152
ohrygmbl.www.tju.com.    IN    A    10.58.112.156
xlspkayh.www.tju.com.    IN    A    176.250.169.95
cblxvafh.www.tju.com.    IN    A    0.83.159.37
oqwmitrx.www.tju.com.    IN    A    188.64.85.122
fhyqipvg.www.tju.com.    IN    A    111.243.76.57
jcivxkdr.www.tju.com.    IN    A    239.254.99.33
iceugjwd.www.tju.com.    IN    A    111.224.236.132
kdjoehwf.www.tju.com.    IN    A    248.170.121.182
plngtdwk.www.tju.com.    IN    A    71.247.21.63
ourpeaxg.www.tju.com.    IN    A    215.58.252.114
fhdalncq.www.tju.com.    IN    A    139.20.35.220
sydcjgml.www.tju.com.    IN    A    219.7.50.21
fhnjudgc.www.tju.com.    IN    A    67.125.139.185
dmeswcau.www.tju.com.    IN    A    4.191.76.251
hrqiyvkb.www.tju.com.    IN    A    40.168.234.71
miwtsylc.www.tju.com.    IN    A    54.94.187.58
vuqroaxb.www.tju.com.    IN    A    217.59.4.2
vkrxyadp.www.tju.com.    IN    A    171.59.126.126
xspcabke.www.tju.com.    IN    A    151.124.191.131
iepnqmac.www.tju.com.    IN    A    94.140.124.196
bkdrmsae.www.tju.com.    IN    A    252.91.85.94
kwctuilf.www.tju.com.    IN    A    124.96.69.62
hlpocfxk.www.tju.com.    IN    A    118.225.28.253
btkagwsc.www.tju.com.    IN    A    123.77.211.240
bsdiuxaf.www.tju.com.    IN    A    109.154.152.74
cwpjqahf.www.tju.com.    IN    A    48.86.138.240
rgefobnt.www.tju.com.    IN    A    139.223.188.155
phgwmalk.www.tju.com.    IN    A    222.211.9.99
jgfabxti.www.tju.com.    IN    A    105.189.121.114
ewclthbn.www.tju.com.    IN    A    186.169.142.63
rypgmexb.www.tju.com.    IN    A    147.249.92.80
hunsaocr.www.tju.com.    IN    A    171.175.64.203
glxkaepo.www.tju.com.    IN    A    233.193.9.166
gnyhxjrt.www.tju.com.    IN    A    131.243.94.147
nlxitydq.www.tju.com.    IN    A    125.177.7.157
amckpdhy.www.tju.com.    IN    A    87.50.101.77
tfaivynd.www.tju.com.    IN    A    28.98.13.80
psftqmni.www.tju.com.    IN    A    111.138.222.209
unhmytdg.www.tju.com.    IN    A    106.50.138.78
wtgxcfij.www.tju.com.    IN    A    212.208.34.69
jgscaoul.www.tju.com.    IN    A    2.193.19.56
mxrvdboc.www.tju.com.    IN    A    104.213.122.251
xjoibfql.www.tju.com.    IN    A    137.186.11.168
rtqulsdm.www.tju.com.    IN    A    86.103.116.39
khtcwsga.www.tju.com.    IN    A    163.36.14.133
dlquaexs.www.tju.com.    IN    A    198.114.220.241
qtkydhul.www.tju.com.    IN    A    52.176.112.84
adnvlmsf.www.tju.com.    IN    A    254.38.54.119
peowjsvu.www.tju.com.    IN    A    89.75.103.35
ethnupvg.www.tju.com.    IN    A    120.27.223.109
osehadnc.www.tju.com.    IN    A    184.191.15.223
vjtmhqbr.www.tju.com.    IN    A    61.124.250.171
tfxcmriu.www.tju.com.    IN    A    247.123.30.162
eawxydop.www.tju.com.    IN    A    41.208.189.67
pdwjhklc.www.tju.com.    IN    A    190.91.126.13
nfwkaogp.www.tju.com.    IN    A    82.182.39.86
ksbdcwre.www.tju.com.    IN    A    10.239.56.24
sdgxqota.www.tju.com.    IN    A    178.183.193.242
jbeumstr.www.tju.com.    IN    A    202.89.161.170
prsfqhkg.www.tju.com.    IN    A    195.225.150.95
wynplfki.www.tju.com.    IN    A    91.48.109.139
iyvxjmeq.www.tju.com.    IN    A    97.30.65.210
gyanmbpd.www.tju.com.    IN    A    0.130.7.40
fuoiymbh.www.tju.com.    IN    A    239.61.22.22
iokjabcy.www.tju.com.    IN    A    198.72.247.231
lwarypgx.www.tju.com.    IN    A    86.199.254.58
jrbsuefl.www.tju.com.    IN    A    126.149.7.119
jpkdmwia.www.tju.com.    IN    A    87.12.130.34
rknuoxlm.www.tju.com.    IN    A    229.107.143.114
khfcgmow.www.tju.com.    IN    A    58.23.221.214
wgrnpuay.www.tju.com.    IN    A    145.136.179.15
copbqukx.www.tju.com.    IN    A    234.61.182.10
neymbvot.www.tju.com.    IN    A    20.160.194.39
renclwto.www.tju.com.    IN    A    211.1.31.61
botgpkeu.www.tju.com.    IN    A    176.29.66.220
qrwmcsio.www.tju.com.    IN    A    123.29.80.19
stgiynau.www.tju.com.    IN    A    43.128.154.205
xsktqmpg.www.tju.com.    IN    A    16.69.122.101
aboqwfjs.www.tju.com.    IN    A    125.125.95.176
vdsjqgek.www.tju.com.    IN    A    59.72.104.79
syqepabf.www.tju.com.    IN    A    20.166.195.178
nrlhasvg.www.tju.com.    IN    A    135.30.219.109
toyvldpx.www.tju.com.    IN    A    8.232.123.186
fvbcarlt.www.tju.com.    IN    A    242.41.99.202
qxwlibcj.www.tju.com.    IN    A    141.45.239.214
rqvlcshe.www.tju.com.    IN    A    47.215.6.122
igklnspo.www.tju.com.    IN    A    221.21.216.130
uocneblm.www.tju.com.    IN    A    244.136.0.228
nmrxoyid.www.tju.com.    IN    A    244.106.43.198
mdyjgbxr.www.tju.com.    IN    A    244.70.11.209
hmpistcb.www.tju.com.    IN    A    16.166.202.138
dohxfsja.www.tju.com.    IN    A    70.160.26.124
kgypwdau.www.tju.com.    IN    A    221.17.186.91
mrtcvnsd.www.tju.com.    IN    A    106.131.12.78
oaluvkmc.www.tju.com.    IN    A    45.160.193.159
fpqbknwu.www.tju.com.    IN    A    248.155.159.78
vnjyakms.www.tju.com.    IN    A    212.140.203.241
ecwfprgq.www.tju.com.    IN    A    197.206.122.200
wymecido.www.tju.com.    IN    A    180.58.225.215
jbatmuly.www.tju.com.    IN    A    220.101.161.206
kdxnjqel.www.tju.com.    IN    A    165.244.156.148
wfrbamyc.www.tju.com.    IN    A    187.8.218.25
nmvfarog.www.tju.com.    IN    A    43.79.57.87
rlvoywng.www.tju.com.    IN    A    222.140.132.237
isrkdcol.www.tju.com.    IN    A    110.234.190.222
diqgxlrc.www.tju.com.    IN    A    85.138.216.245
lbwvuahr.www.tju.com.    IN    A    203.83.59.67
amnydkiv.www.tju.com.    IN    A    118.245.120.204
hmiplxto.www.tju.com.    IN    A    85.178.230.0
lfwgsrvn.www.tju.com.    IN    A    108.121.248.187
soavxicw.www.tju.com.    IN    A    43.242.38.14
btovdmpk.www.tju.com.    IN    A    150.29.199.225
jkhdfcso.www.tju.com.    IN    A    210.79.138.245
vecosfjy.www.tju.com.    IN    A    74.86.68.69
igdvhqmt.www.tju.com.    IN    A    64.40.52.229
gdmrtnyv.www.tju.com.    IN    A    15.213.252.184
wntkavyl.www.tju.com.    IN    A    131.172.221.152
hqusofya.www.tju.com.    IN    A    172.179.113.213
nhmrvjxs.www.tju.com.    IN    A    152.76.222.116
xophafyk.www.tju.com.    IN    A    80.34.204.185
oamhgxub.www.tju.com.    IN    A    38.143.87.32
tjwklrxg.www.tju.com.    IN    A    106.28.68.113
oxjfqcnt.www.tju.com.    IN    A    230.18.139.196
ertjacnl.www.tju.com.    IN    A    166.3.71.133
qtvsredy.www.tju.com.    IN    A    88.158.250.190
odbwenxi.www.tju.com.    IN    A    89.32.165.211
vetgokyn.www.tju.com.    IN    A    152.136.164.100
fcxukgpv.www.tju.com.    IN    A    152.218.195.1
xdcvnpwt.www.tju.com.    IN    A    89.197.180.71
meipylfa.www.tju.com.    IN    A    239.99.181.46
gilqmfyc.www.tju.com.    IN    A    32.232.2.2
kqigepxs.www.tju.com.    IN    A    173.151.51.76
ebicdywr.www.tju.com.    IN    A    148.128.110.211
rgujkmqo.www.tju.com.    IN    A    20.208.237.9
ogmhwdky.www.tju.com.    IN    A    126.41.81.29
elnfvryt.www.tju.com.    IN    A    38.87.55.54
sgvbemic.www.tju.com.    IN    A    200.146.19.124
tmhjfokd.www.tju.com.    IN    A    45.113.199.7
croewsnm.www.tju.com.    IN    A    252.163.200.107
lcefigub.www.tju.com.    IN    A    29.50.120.124
nektuydj.www.tju.com.    IN    A    217.107.192.63
mokvweth.www.tju.com.    IN    A    81.185.190.141
idlyropf.www.tju.com.    IN    A    222.217.111.229
hrqjsufa.www.tju.com.    IN    A    226.106.23.60
onyicwgv.www.tju.com.    IN    A    239.248.179.172
botxhqcp.www.tju.com.    IN    A    97.129.198.36
xaluympt.www.tju.com.    IN    A    191.234.28.127
jqlfateh.www.tju.com.    IN    A    104.115.202.154
igyuqreh.www.tju.com.    IN    A    8.151.107.141
litpbhqu.www.tju.com.    IN    A    163.10.149.28
xtnaifuv.www.tju.com.    IN    A    205.58.66.198
gjucxtaf.www.tju.com.    IN    A    110.117.155.206
jvpuiclw.www.tju.com.    IN    A    63.122.61.200
cklrdots.www.tju.com.    IN    A    178.130.155.161
fbwxsjch.www.tju.com.    IN    A    149.82.237.110
eypifvml.www.tju.com.    IN    A    231.20.254.194
erytfgob.www.tju.com.    IN    A    254.197.153.230
vmykeaft.www.tju.com.    IN    A    41.57.180.23
jyvpxugt.www.tju.com.    IN    A    38.168.135.3
ujswlmrc.www.tju.com.    IN    A    102.197.218.213
yjwcbfol.www.tju.com.    IN    A    33.232.85.158
tyubfpij.www.tju.com.    IN    A    120.200.244.135
doksirny.www.tju.com.    IN    A    7.231.87.73
iysmjxhe.www.tju.com.    IN    A    91.177.8.231
bwvioukd.www.tju.com.    IN    A    186.4.67.102
ecyhqpno.www.tju.com.    IN    A    38.38.150.42
tgjrbluk.www.tju.com.    IN    A    178.30.95.162
jtakicsy.www.tju.com.    IN    A    93.149.80.39
pucjgswm.www.tju.com.    IN    A    236.210.51.180
kurdwten.www.tju.com.    IN    A    236.164.54.92
jwcyefba.www.tju.com.    IN    A    64.176.34.196
utsweday.www.tju.com.    IN    A    182.201.37.158
xofpmhli.www.tju.com.    IN    A    193.26.204.65
vqhdbfwp.www.tju.com.    IN    A    84.245.44.191
eaorhflk.www.tju.com.    IN    A    15.142.52.255
aqsyoptr.www.tju.com.    IN    A    92.255.94.5
ftpjkirx.www.tju.com.    IN    A    59.180.52.53
mxdcyjrw.www.tju.com.    IN    A    233.253.48.7
etxpibgk.www.tju.com.    IN    A    220.109.36.175
hsorbgpc.www.tju.com.    IN    A    48.73.169.153
ayxncrju.www.tju.com.    IN    A    116.125.167.140
aonirewj.www.tju.com.    IN    A    60.31.65.220
xpdogulf.www.tju.com.    IN    A    204.38.239.5
xvmsetdj.www.tju.com.    IN    A    144.165.9.255
xnaqveik.www.tju.com.    IN    A    201.228.197.162
vywkpjaq.www.tju.com.    IN    A    25.147.123.9
bhuxcqlr.www.tju.com.    IN    A    8.100.235.138
bifhgkjn.www.tju.com.    IN    A    134.224.114.184
mtvgkopi.www.tju.com.    IN    A    248.105.42.203
awivcshn.www.tju.com.    IN    A    183.223.11.189
txhoabfu.www.tju.com.    IN    A    145.165.188.97
lrgexchd.www.tju.com.    IN    A    113.155.147.181
nymhdoir.www.tju.com.    IN    A    71.106.35.210
epotnwks.www.tju.com.    IN    A    96.152.60.174
suftjakn.www.tju.com.    IN    A    19.51.20.114
yctswiuq.www.tju.com.    IN    A    43.76.55.212
ksnycwai.www.tju.com.    IN    A    71.169.120.63
dxcpbwsn.www.tju.com.    IN    A    119.83.194.223
nljxipwf.www.tju.com.    IN    A    181.172.127.27
fknsbetw.www.tju.com.    IN    A    165.158.226.140
xmeaidpo.www.tju.com.    IN    A    82.179.146.40
ydltepwr.www.tju.com.    IN    A    236.8.22.38
jxpiyeau.www.tju.com.    IN    A    28.4.150.200
ubpaiqxr.www.tju.com.    IN    A    173.47.86.97
gknbrshw.www.tju.com.    IN    A    107.194.33.170
kjdbepnc.www.tju.com.    IN    A    184.128.191.33
grpfuhqn.www.tju.com.    IN    A    248.133.193.210
