cse.cqu.com.	14400	IN	SOA	ns1.cse.cqu.com. james.cqu.edu. 19122302 14400 3600 2419200 14400
cse.cqu.com.		    IN	NS ns1.cse.cqu.com.
rdqgfmuw.cse.cqu.com.    IN    A    174.107.133.208
suenfbpy.cse.cqu.com.    IN    A    141.167.11.67
bucifwvh.cse.cqu.com.    IN    A    55.153.17.24
rfbeywlv.cse.cqu.com.    IN    A    231.172.213.89
jhvigbue.cse.cqu.com.    IN    A    185.157.41.182
pxnwvhuf.cse.cqu.com.    IN    A    82.138.66.86
tyxopvfb.cse.cqu.com.    IN    A    50.11.30.222
qbgymlia.cse.cqu.com.    IN    A    30.91.14.22
qkvcyepn.cse.cqu.com.    IN    A    129.213.120.140
qkbcagye.cse.cqu.com.    IN    A    213.7.250.132
nwqdatlk.cse.cqu.com.    IN    A    178.155.238.149
aloiuycx.cse.cqu.com.    IN    A    12.13.42.140
pldnebhu.cse.cqu.com.    IN    A    180.48.25.71
lytieruw.cse.cqu.com.    IN    A    100.250.64.211
ogrxfbip.cse.cqu.com.    IN    A    238.166.47.28
oyahirte.cse.cqu.com.    IN    A    139.180.221.55
nskwgajo.cse.cqu.com.    IN    A    227.47.145.115
dkbyecqu.cse.cqu.com.    IN    A    167.138.151.37
nebkfcqx.cse.cqu.com.    IN    A    155.212.116.87
eknwhvxb.cse.cqu.com.    IN    A    107.230.100.198
tmoebjiy.cse.cqu.com.    IN    A    43.223.128.34
wetxbnsu.cse.cqu.com.    IN    A    100.127.134.19
pdytxqch.cse.cqu.com.    IN    A    97.33.137.159
apncqjed.cse.cqu.com.    IN    A    22.115.29.238
hofvxbqk.cse.cqu.com.    IN    A    246.199.39.36
dtuyrgns.cse.cqu.com.    IN    A    113.174.195.97
tosdjlgm.cse.cqu.com.    IN    A    177.75.108.132
dshbxnto.cse.cqu.com.    IN    A    232.16.253.166
dihqpjsr.cse.cqu.com.    IN    A    65.187.49.115
omfkenxb.cse.cqu.com.    IN    A    193.207.140.22
qrhioged.cse.cqu.com.    IN    A    215.127.176.241
upqwthls.cse.cqu.com.    IN    A    94.57.116.227
xqgparwe.cse.cqu.com.    IN    A    214.222.29.54
vuekdcmr.cse.cqu.com.    IN    A    23.76.195.115
rcoenbhl.cse.cqu.com.    IN    A    194.216.47.248
tghdcbps.cse.cqu.com.    IN    A    95.52.212.192
vfpycugh.cse.cqu.com.    IN    A    183.19.171.191
rhgpxeyw.cse.cqu.com.    IN    A    193.108.22.114
sagmdtfr.cse.cqu.com.    IN    A    76.226.156.156
mkdhscrf.cse.cqu.com.    IN    A    132.35.33.60
aeylxikh.cse.cqu.com.    IN    A    85.165.63.159
fbqyaoet.cse.cqu.com.    IN    A    217.239.118.121
bnkphjma.cse.cqu.com.    IN    A    75.126.154.32
whiauplm.cse.cqu.com.    IN    A    129.191.136.118
axuoijkn.cse.cqu.com.    IN    A    184.103.13.69
tgscoiyh.cse.cqu.com.    IN    A    30.160.96.119
dxfhcnvo.cse.cqu.com.    IN    A    170.143.137.121
gxcujtsn.cse.cqu.com.    IN    A    149.180.7.91
ithcrokb.cse.cqu.com.    IN    A    161.217.92.142
xemrwhof.cse.cqu.com.    IN    A    73.190.90.116
auoivhyn.cse.cqu.com.    IN    A    124.236.251.40
tnoxpqwh.cse.cqu.com.    IN    A    183.31.124.209
emgbysji.cse.cqu.com.    IN    A    188.61.230.234
yhxajseo.cse.cqu.com.    IN    A    101.47.124.163
tbhpuewg.cse.cqu.com.    IN    A    240.152.90.134
eysixkbm.cse.cqu.com.    IN    A    27.165.87.195
vshfqbwo.cse.cqu.com.    IN    A    238.7.11.119
wnmhuxog.cse.cqu.com.    IN    A    74.135.146.197
graeuckv.cse.cqu.com.    IN    A    204.201.91.177
glerujsx.cse.cqu.com.    IN    A    217.7.157.21
ptraqmuw.cse.cqu.com.    IN    A    177.100.123.201
ulrihcdo.cse.cqu.com.    IN    A    166.167.118.165
yqhxgisv.cse.cqu.com.    IN    A    65.185.99.215
jrbhkpnw.cse.cqu.com.    IN    A    187.108.41.12
udfnrgki.cse.cqu.com.    IN    A    140.3.228.79
lvxtkdih.cse.cqu.com.    IN    A    240.65.180.195
pusohwca.cse.cqu.com.    IN    A    95.3.247.3
adbqscwp.cse.cqu.com.    IN    A    42.106.203.228
kitnslgf.cse.cqu.com.    IN    A    95.82.189.202
jmkonwxg.cse.cqu.com.    IN    A    190.141.164.234
lpujxqgn.cse.cqu.com.    IN    A    114.28.214.107
rypgjboa.cse.cqu.com.    IN    A    76.159.17.98
fqentrgk.cse.cqu.com.    IN    A    237.253.169.61
hmdyfune.cse.cqu.com.    IN    A    185.145.181.150
xfvsomwc.cse.cqu.com.    IN    A    26.100.83.94
rbqxpuea.cse.cqu.com.    IN    A    170.55.150.33
uetqokxg.cse.cqu.com.    IN    A    188.242.209.76
oheswplf.cse.cqu.com.    IN    A    43.10.139.112
qympluir.cse.cqu.com.    IN    A    173.198.126.240
vlrehtxp.cse.cqu.com.    IN    A    159.235.131.54
fvodheub.cse.cqu.com.    IN    A    152.121.129.186
lfasykvg.cse.cqu.com.    IN    A    205.215.174.77
fcsmnydv.cse.cqu.com.    IN    A    97.82.247.88
epkumvfj.cse.cqu.com.    IN    A    178.177.119.107
gscpbkrh.cse.cqu.com.    IN    A    202.123.240.208
scgefmpa.cse.cqu.com.    IN    A    145.44.24.225
khacmqfi.cse.cqu.com.    IN    A    188.246.33.4
rsejvdfk.cse.cqu.com.    IN    A    145.211.9.135
kmriwfvo.cse.cqu.com.    IN    A    165.86.165.240
rjxfyebp.cse.cqu.com.    IN    A    75.25.196.75
yumcbkde.cse.cqu.com.    IN    A    66.122.12.9
koydqxgr.cse.cqu.com.    IN    A    121.192.115.215
nswltvid.cse.cqu.com.    IN    A    116.3.248.179
jgqkaxwb.cse.cqu.com.    IN    A    38.10.55.200
ermbnfxt.cse.cqu.com.    IN    A    50.144.79.125
bivxtaew.cse.cqu.com.    IN    A    91.5.99.42
nyovwehc.cse.cqu.com.    IN    A    50.118.76.56
ajscuilv.cse.cqu.com.    IN    A    52.93.31.55
aisyqerw.cse.cqu.com.    IN    A    9.82.3.156
ugmwphqa.cse.cqu.com.    IN    A    23.77.120.106
ywhvcgbi.cse.cqu.com.    IN    A    42.218.132.167
pyhtojkg.cse.cqu.com.    IN    A    183.93.137.1
nsqbewrx.cse.cqu.com.    IN    A    53.19.143.237
afbthmdc.cse.cqu.com.    IN    A    220.11.58.166
ijylpomb.cse.cqu.com.    IN    A    162.132.162.57
gecbhxkj.cse.cqu.com.    IN    A    55.191.64.115
faswuhic.cse.cqu.com.    IN    A    189.71.228.2
akhmxegv.cse.cqu.com.    IN    A    127.31.115.219
bsmcfejg.cse.cqu.com.    IN    A    94.56.217.28
cejsrqgy.cse.cqu.com.    IN    A    17.138.92.252
wmxdlkcq.cse.cqu.com.    IN    A    97.205.235.192
fkxrhbqj.cse.cqu.com.    IN    A    240.170.127.232
lhfvbekx.cse.cqu.com.    IN    A    230.164.159.204
absertpo.cse.cqu.com.    IN    A    191.152.153.236
ugsaqkio.cse.cqu.com.    IN    A    197.26.223.229
pxtfvowm.cse.cqu.com.    IN    A    79.195.100.33
ljugrckq.cse.cqu.com.    IN    A    111.109.114.129
xilaykjp.cse.cqu.com.    IN    A    184.208.224.111
badwgtny.cse.cqu.com.    IN    A    208.221.80.195
pficnmko.cse.cqu.com.    IN    A    172.130.148.182
updfkrjb.cse.cqu.com.    IN    A    78.113.155.72
ujsvtaon.cse.cqu.com.    IN    A    9.146.142.155
krlhyqgv.cse.cqu.com.    IN    A    107.209.71.202
pblaugyf.cse.cqu.com.    IN    A    134.41.12.176
aepkblos.cse.cqu.com.    IN    A    112.93.85.207
ortaybhv.cse.cqu.com.    IN    A    240.196.12.67
kpnstoyu.cse.cqu.com.    IN    A    70.218.125.128
icblwxyg.cse.cqu.com.    IN    A    182.24.150.101
tedhbayl.cse.cqu.com.    IN    A    225.242.42.71
xvdchswo.cse.cqu.com.    IN    A    137.182.200.214
jnhqceva.cse.cqu.com.    IN    A    190.217.67.17
sydnteig.cse.cqu.com.    IN    A    145.192.229.0
ylvkpsjb.cse.cqu.com.    IN    A    19.60.85.57
tiubwmlq.cse.cqu.com.    IN    A    170.238.245.143
nsxqgcvf.cse.cqu.com.    IN    A    27.99.222.142
bmwaenrx.cse.cqu.com.    IN    A    191.219.172.104
bgmtvdno.cse.cqu.com.    IN    A    133.194.233.208
ylfjsbnt.cse.cqu.com.    IN    A    11.38.132.44
dxsfcyqh.cse.cqu.com.    IN    A    185.51.30.47
eujvwlym.cse.cqu.com.    IN    A    207.170.51.117
ovtaycer.cse.cqu.com.    IN    A    132.107.59.183
elwcsgvx.cse.cqu.com.    IN    A    189.237.221.156
jurvdcwb.cse.cqu.com.    IN    A    45.143.22.99
dxqpskof.cse.cqu.com.    IN    A    118.168.81.1
adbykcuq.cse.cqu.com.    IN    A    221.209.234.151
wcrlsjdg.cse.cqu.com.    IN    A    160.137.54.225
hanxfceg.cse.cqu.com.    IN    A    106.118.90.134
jxmigqcd.cse.cqu.com.    IN    A    181.214.211.22
gnwohiya.cse.cqu.com.    IN    A    226.76.149.199
wvsnieqy.cse.cqu.com.    IN    A    157.142.230.190
jhgctamk.cse.cqu.com.    IN    A    56.22.13.237
xehpofjc.cse.cqu.com.    IN    A    51.146.97.71
iowfcmtb.cse.cqu.com.    IN    A    150.94.36.59
xctwjhds.cse.cqu.com.    IN    A    249.60.224.230
lebqriyv.cse.cqu.com.    IN    A    255.148.119.186
bwgsltmo.cse.cqu.com.    IN    A    132.36.96.62
tijscfrk.cse.cqu.com.    IN    A    42.160.133.165
xjltvbum.cse.cqu.com.    IN    A    242.182.115.154
owryftbn.cse.cqu.com.    IN    A    176.29.251.255
twcgejfq.cse.cqu.com.    IN    A    214.30.189.205
slbvcqfu.cse.cqu.com.    IN    A    217.118.5.66
rkxhgpje.cse.cqu.com.    IN    A    136.140.111.191
vpyrfghw.cse.cqu.com.    IN    A    113.95.135.124
ocywhsij.cse.cqu.com.    IN    A    203.16.25.224
mtywcpqb.cse.cqu.com.    IN    A    82.134.131.245
tblxkmau.cse.cqu.com.    IN    A    109.165.202.174
ipaorved.cse.cqu.com.    IN    A    197.128.126.64
khexoprg.cse.cqu.com.    IN    A    177.98.93.136
dyiwaqom.cse.cqu.com.    IN    A    41.131.97.60
xoftjvem.cse.cqu.com.    IN    A    34.243.234.179
ncsjbptu.cse.cqu.com.    IN    A    162.38.218.145
ilqpahbs.cse.cqu.com.    IN    A    103.49.6.204
dirfagux.cse.cqu.com.    IN    A    224.138.21.156
pdmhbjce.cse.cqu.com.    IN    A    30.98.253.39
avncfdob.cse.cqu.com.    IN    A    78.200.15.174
uyhfgqvt.cse.cqu.com.    IN    A    219.58.32.47
ogbvlfct.cse.cqu.com.    IN    A    249.62.110.52
hsmeaqil.cse.cqu.com.    IN    A    90.26.247.196
ceoigqpu.cse.cqu.com.    IN    A    165.90.240.90
lwvufjkd.cse.cqu.com.    IN    A    194.59.8.16
mboxqagr.cse.cqu.com.    IN    A    154.93.136.59
pfmnckje.cse.cqu.com.    IN    A    36.161.253.94
cfngwihq.cse.cqu.com.    IN    A    106.215.174.100
uvmaphkx.cse.cqu.com.    IN    A    188.227.155.81
joraxpem.cse.cqu.com.    IN    A    163.169.153.125
vfeatriq.cse.cqu.com.    IN    A    161.95.134.142
owxgkfli.cse.cqu.com.    IN    A    107.52.170.153
odfvlqbg.cse.cqu.com.    IN    A    6.20.155.140
pkjtcqib.cse.cqu.com.    IN    A    227.150.14.113
fkmtwysc.cse.cqu.com.    IN    A    49.119.165.78
dniufbpe.cse.cqu.com.    IN    A    78.173.1.68
qsiudfrx.cse.cqu.com.    IN    A    7.209.69.133
wdxvbymq.cse.cqu.com.    IN    A    242.128.143.199
xvmlagbk.cse.cqu.com.    IN    A    197.58.212.86
qtckmbsx.cse.cqu.com.    IN    A    106.173.49.140
yltaojqe.cse.cqu.com.    IN    A    102.1.132.69
vqgxbwth.cse.cqu.com.    IN    A    216.139.124.0
nmtbeklo.cse.cqu.com.    IN    A    88.64.74.214
udbslwxr.cse.cqu.com.    IN    A    10.18.40.107
jurqnetp.cse.cqu.com.    IN    A    207.82.56.191
cbyodipt.cse.cqu.com.    IN    A    4.72.237.78
sduoakgw.cse.cqu.com.    IN    A    248.237.150.104
fioplvar.cse.cqu.com.    IN    A    249.237.177.244
laycvjgf.cse.cqu.com.    IN    A    51.201.226.200
fexakbuc.cse.cqu.com.    IN    A    2.201.42.211
nqvgewcm.cse.cqu.com.    IN    A    121.98.95.23
nmuktdjb.cse.cqu.com.    IN    A    130.237.22.87
efqxunsa.cse.cqu.com.    IN    A    218.205.7.123
weuaobgx.cse.cqu.com.    IN    A    81.98.80.125
qogrdcna.cse.cqu.com.    IN    A    134.6.122.211
rkdibvjo.cse.cqu.com.    IN    A    26.119.138.94
bnckopaq.cse.cqu.com.    IN    A    191.200.163.223
podagjtr.cse.cqu.com.    IN    A    45.155.3.208
pmkyjctr.cse.cqu.com.    IN    A    63.169.167.253
fysoqwrp.cse.cqu.com.    IN    A    20.182.173.172
ifdvncsj.cse.cqu.com.    IN    A    201.47.170.7
xkydsfng.cse.cqu.com.    IN    A    226.208.92.126
btevgsmj.cse.cqu.com.    IN    A    18.3.206.32
xdugfvnr.cse.cqu.com.    IN    A    29.136.68.112
dlrckgtq.cse.cqu.com.    IN    A    170.143.191.192
rxjmdque.cse.cqu.com.    IN    A    249.192.254.165
clwixgju.cse.cqu.com.    IN    A    251.7.247.124
blopkvne.cse.cqu.com.    IN    A    12.180.164.219
kbcvfsey.cse.cqu.com.    IN    A    251.158.67.136
gcifkvmb.cse.cqu.com.    IN    A    212.63.165.99
qijpugwx.cse.cqu.com.    IN    A    230.232.163.38
opefinls.cse.cqu.com.    IN    A    171.94.185.215
acrqwmyf.cse.cqu.com.    IN    A    190.156.33.36
jlyexnms.cse.cqu.com.    IN    A    224.58.241.229
rjokhvst.cse.cqu.com.    IN    A    88.240.213.20
pktjyuls.cse.cqu.com.    IN    A    181.158.86.97
nxsydckp.cse.cqu.com.    IN    A    167.106.80.54
svjtewrd.cse.cqu.com.    IN    A    222.165.44.122
fosuymqp.cse.cqu.com.    IN    A    231.117.23.116
mcslnarb.cse.cqu.com.    IN    A    162.21.147.205
mhlwncbp.cse.cqu.com.    IN    A    233.223.106.143
bmctajko.cse.cqu.com.    IN    A    227.26.104.28
eqnsltdu.cse.cqu.com.    IN    A    224.231.23.80
verjpfkg.cse.cqu.com.    IN    A    56.59.108.204
igbowmfx.cse.cqu.com.    IN    A    214.253.99.6
wfabjryl.cse.cqu.com.    IN    A    80.79.218.90
whgfeyjm.cse.cqu.com.    IN    A    17.177.226.57
winmvedp.cse.cqu.com.    IN    A    79.244.190.89
gpjoqtbu.cse.cqu.com.    IN    A    159.15.211.3
bpqanhkl.cse.cqu.com.    IN    A    10.150.171.60
hcbwlygm.cse.cqu.com.    IN    A    48.104.253.209
uyobjrld.cse.cqu.com.    IN    A    49.178.109.87
pxmesifl.cse.cqu.com.    IN    A    79.122.251.130
eriulwah.cse.cqu.com.    IN    A    47.250.36.8
rqkwtfjd.cse.cqu.com.    IN    A    108.232.211.34
vpsdhlmf.cse.cqu.com.    IN    A    36.53.210.237
qswjvcae.cse.cqu.com.    IN    A    158.147.66.140
xbivpsed.cse.cqu.com.    IN    A    249.131.206.47
uproxgsm.cse.cqu.com.    IN    A    248.20.41.171
kpughmwi.cse.cqu.com.    IN    A    85.205.80.7
pjxtyark.cse.cqu.com.    IN    A    92.26.197.56
ekiathmw.cse.cqu.com.    IN    A    152.254.14.83
wrvaexdh.cse.cqu.com.    IN    A    218.230.57.123
nlqfgjwe.cse.cqu.com.    IN    A    12.237.221.190
mdksxney.cse.cqu.com.    IN    A    26.11.227.36
ohmbpcsf.cse.cqu.com.    IN    A    211.94.53.23
dyprafcg.cse.cqu.com.    IN    A    176.73.41.248
xbsknjhd.cse.cqu.com.    IN    A    214.182.103.200
cioxntry.cse.cqu.com.    IN    A    203.240.20.24
novwgfrl.cse.cqu.com.    IN    A    231.22.138.48
bkwolund.cse.cqu.com.    IN    A    202.216.104.196
vyjomfcl.cse.cqu.com.    IN    A    163.166.200.123
ysbufrnt.cse.cqu.com.    IN    A    234.222.239.65
xktnqawl.cse.cqu.com.    IN    A    77.172.100.109
fjdkmhuc.cse.cqu.com.    IN    A    158.31.89.52
nsumbjrw.cse.cqu.com.    IN    A    56.49.0.207
osbrhmej.cse.cqu.com.    IN    A    188.52.35.90
orqnugbl.cse.cqu.com.    IN    A    164.252.34.50
fkhnwuxy.cse.cqu.com.    IN    A    17.69.112.15
iramchkj.cse.cqu.com.    IN    A    114.2.78.140
gxitkdon.cse.cqu.com.    IN    A    33.150.71.247
kvpuieba.cse.cqu.com.    IN    A    197.237.21.87
ayuilksr.cse.cqu.com.    IN    A    187.139.245.207
konxvacg.cse.cqu.com.    IN    A    135.248.45.235
pnsjqdwg.cse.cqu.com.    IN    A    185.249.46.44
drjyelpa.cse.cqu.com.    IN    A    229.207.178.28
sykxglpb.cse.cqu.com.    IN    A    192.223.241.150
ldkshfoa.cse.cqu.com.    IN    A    136.226.152.12
xgnmoury.cse.cqu.com.    IN    A    249.53.218.104
mxyefbjg.cse.cqu.com.    IN    A    20.182.5.45
lmnyudwx.cse.cqu.com.    IN    A    110.38.125.242
cagtwfer.cse.cqu.com.    IN    A    102.46.17.104
qtekgmax.cse.cqu.com.    IN    A    59.232.8.60
apbudfic.cse.cqu.com.    IN    A    234.58.31.101
skmeblht.cse.cqu.com.    IN    A    41.79.201.122
ywjvstmh.cse.cqu.com.    IN    A    242.143.114.28
cfolqpdy.cse.cqu.com.    IN    A    8.24.37.36
aqsjirmp.cse.cqu.com.    IN    A    176.216.179.213
rjkpdolw.cse.cqu.com.    IN    A    11.34.168.199
bphsgnvw.cse.cqu.com.    IN    A    6.83.213.54
stbavqwc.cse.cqu.com.    IN    A    6.198.186.200
etvadpin.cse.cqu.com.    IN    A    43.55.241.198
ixujgydo.cse.cqu.com.    IN    A    48.223.225.15
ghtukcwe.cse.cqu.com.    IN    A    140.232.109.123
yhgnvsam.cse.cqu.com.    IN    A    20.228.105.72
kwrjfbuq.cse.cqu.com.    IN    A    177.163.35.224
qgjvklrb.cse.cqu.com.    IN    A    10.33.82.221
swnjemdv.cse.cqu.com.    IN    A    60.110.87.52
qayfiowe.cse.cqu.com.    IN    A    92.200.210.156
mpuscbio.cse.cqu.com.    IN    A    205.148.187.68
sehymwvu.cse.cqu.com.    IN    A    106.59.244.102
bnolmapr.cse.cqu.com.    IN    A    180.147.112.225
nfpuskct.cse.cqu.com.    IN    A    190.134.187.226
fvaioegy.cse.cqu.com.    IN    A    144.102.103.98
heqmwvti.cse.cqu.com.    IN    A    64.121.6.3
uqjdxmvr.cse.cqu.com.    IN    A    37.168.109.177
piolxuaj.cse.cqu.com.    IN    A    69.85.190.44
bmroenst.cse.cqu.com.    IN    A    182.100.88.119
qranplgs.cse.cqu.com.    IN    A    83.219.239.135
dyuajoel.cse.cqu.com.    IN    A    132.3.142.131
fwvhjoer.cse.cqu.com.    IN    A    95.108.251.88
ovkmlbfh.cse.cqu.com.    IN    A    69.157.74.210
gjxmvkob.cse.cqu.com.    IN    A    128.126.61.157
elickybf.cse.cqu.com.    IN    A    89.51.165.166
muwyvxbq.cse.cqu.com.    IN    A    220.127.72.186
ktfgoebv.cse.cqu.com.    IN    A    235.197.143.149
dfqsbkcx.cse.cqu.com.    IN    A    215.0.8.195
dmqfctpa.cse.cqu.com.    IN    A    215.105.86.22
bpevtmon.cse.cqu.com.    IN    A    40.185.58.69
febramhu.cse.cqu.com.    IN    A    19.74.123.83
ngmoyqwc.cse.cqu.com.    IN    A    114.57.233.68
uawodsci.cse.cqu.com.    IN    A    124.112.168.170
tkonrclu.cse.cqu.com.    IN    A    194.120.64.37
lyvifbgo.cse.cqu.com.    IN    A    2.150.123.148
tqeirlkv.cse.cqu.com.    IN    A    242.188.160.230
nbeawuxt.cse.cqu.com.    IN    A    121.177.11.249
vdmoilwg.cse.cqu.com.    IN    A    175.140.151.30
gcbjdken.cse.cqu.com.    IN    A    236.84.191.23
lmuthapc.cse.cqu.com.    IN    A    140.232.245.150
rsoelkip.cse.cqu.com.    IN    A    179.178.208.182
qrpowhfn.cse.cqu.com.    IN    A    82.166.255.196
jfqsrxwd.cse.cqu.com.    IN    A    43.91.126.252
dmauspqe.cse.cqu.com.    IN    A    149.31.184.123
dmnkafgh.cse.cqu.com.    IN    A    82.33.165.108
cevumbij.cse.cqu.com.    IN    A    89.113.164.182
jcralmth.cse.cqu.com.    IN    A    46.70.213.135
axhmigpv.cse.cqu.com.    IN    A    71.202.46.247
ctxvgauf.cse.cqu.com.    IN    A    129.69.93.29
tearxyhk.cse.cqu.com.    IN    A    55.74.249.117
bgludoqn.cse.cqu.com.    IN    A    230.158.220.124
xpegsmor.cse.cqu.com.    IN    A    240.241.192.31
ftiegukm.cse.cqu.com.    IN    A    106.134.193.64
hnqolskf.cse.cqu.com.    IN    A    213.174.122.207
tksdeqxn.cse.cqu.com.    IN    A    121.228.212.210
ceuthwlm.cse.cqu.com.    IN    A    119.51.93.130
muagsbhx.cse.cqu.com.    IN    A    30.135.235.228
sqvodjct.cse.cqu.com.    IN    A    1.82.37.152
torbfnmj.cse.cqu.com.    IN    A    251.173.16.63
khganfuw.cse.cqu.com.    IN    A    35.157.106.31
dgktmyvw.cse.cqu.com.    IN    A    244.10.42.157
nvmqrsdx.cse.cqu.com.    IN    A    227.205.37.8
fhpukorc.cse.cqu.com.    IN    A    60.91.157.8
efaxocbg.cse.cqu.com.    IN    A    6.207.143.161
mwtygnab.cse.cqu.com.    IN    A    186.244.202.102
fheamsiu.cse.cqu.com.    IN    A    109.122.88.6
tpdghoku.cse.cqu.com.    IN    A    138.242.6.249
pgaqxdst.cse.cqu.com.    IN    A    143.180.104.85
ibkgrmcu.cse.cqu.com.    IN    A    204.182.106.207
hgjdwksc.cse.cqu.com.    IN    A    207.184.111.17
xyvfdtwa.cse.cqu.com.    IN    A    23.100.112.62
fnrgyuho.cse.cqu.com.    IN    A    54.65.100.244
hngydirt.cse.cqu.com.    IN    A    251.204.209.89
kclneofw.cse.cqu.com.    IN    A    152.227.253.112
omfcgnjl.cse.cqu.com.    IN    A    48.252.229.181
buprwglf.cse.cqu.com.    IN    A    251.100.199.193
xogtslkp.cse.cqu.com.    IN    A    19.84.63.127
pbsgjqhy.cse.cqu.com.    IN    A    194.4.243.153
xsarwfig.cse.cqu.com.    IN    A    58.106.205.18
qchmvynx.cse.cqu.com.    IN    A    180.105.110.235
ihqrkwbt.cse.cqu.com.    IN    A    209.191.230.130
bwfcipax.cse.cqu.com.    IN    A    90.153.39.218
dqoksiyj.cse.cqu.com.    IN    A    201.84.134.38
kjmqcwug.cse.cqu.com.    IN    A    121.102.239.186
qdmnsrao.cse.cqu.com.    IN    A    135.19.222.70
ujbmlape.cse.cqu.com.    IN    A    26.162.25.145
fcuegsqb.cse.cqu.com.    IN    A    90.39.216.141
qhcxtrwa.cse.cqu.com.    IN    A    215.146.69.231
wfnmjdia.cse.cqu.com.    IN    A    153.136.45.70
xcyrjifh.cse.cqu.com.    IN    A    244.101.163.87
agfjhxml.cse.cqu.com.    IN    A    20.191.222.165
blonckiy.cse.cqu.com.    IN    A    185.33.176.241
diyemfrn.cse.cqu.com.    IN    A    12.157.140.223
yrxiusfo.cse.cqu.com.    IN    A    86.157.155.241
ktmeqaxl.cse.cqu.com.    IN    A    144.247.81.167
vtaefwbh.cse.cqu.com.    IN    A    104.78.176.67
mvkuaefb.cse.cqu.com.    IN    A    56.104.159.189
xckvnlgw.cse.cqu.com.    IN    A    255.127.127.237
iyofswnj.cse.cqu.com.    IN    A    240.145.191.219
icsfmrda.cse.cqu.com.    IN    A    71.200.139.52
untbodgl.cse.cqu.com.    IN    A    138.93.52.66
sqthvwfo.cse.cqu.com.    IN    A    29.139.148.151
airmcefv.cse.cqu.com.    IN    A    35.213.113.123
tdvomnaq.cse.cqu.com.    IN    A    29.66.15.152
kcigluxv.cse.cqu.com.    IN    A    182.100.64.32
