pharm.whu.com.	14400	IN	SOA	ns1.pharm.whu.com. james.whu.edu. 19122302 14400 3600 2419200 14400
pharm.whu.com.		    IN	NS ns1.pharm.whu.com.
jxpgmbar.pharm.whu.com.  IN    A    155.95.109.58
plbxivyh.pharm.whu.com.  IN    A    173.12.197.175
dbijfrau.pharm.whu.com.  IN    A    226.19.219.174
fjkemrcb.pharm.whu.com.  IN    A    179.109.106.123
xoqtnahr.pharm.whu.com.  IN    A    165.85.101.90
kfxdutsj.pharm.whu.com.  IN    A    39.84.134.159
ovhjasdp.pharm.whu.com.  IN    A    196.75.206.168
imwqpnat.pharm.whu.com.  IN    A    115.189.85.73
ckgxqehj.pharm.whu.com.  IN    A    171.149.209.167
tqwdmxav.pharm.whu.com.  IN    A    251.81.73.109
eumaokpr.pharm.whu.com.  IN    A    170.169.129.58
cyxrvidl.pharm.whu.com.  IN    A    28.134.174.226
djcphixn.pharm.whu.com.  IN    A    129.21.238.210
atvkhobu.pharm.whu.com.  IN    A    102.111.209.7
uylswoap.pharm.whu.com.  IN    A    156.205.134.224
rosjifqh.pharm.whu.com.  IN    A    225.108.137.184
jbsfakyx.pharm.whu.com.  IN    A    243.213.8.60
qeoyugmr.pharm.whu.com.  IN    A    216.241.102.61
wjyperbx.pharm.whu.com.  IN    A    194.177.22.50
qfvysxot.pharm.whu.com.  IN    A    200.254.50.107
xpkfewvi.pharm.whu.com.  IN    A    191.145.65.13
nrwxpqsc.pharm.whu.com.  IN    A    58.253.127.215
bvoenscm.pharm.whu.com.  IN    A    115.90.139.121
ehvdfqpl.pharm.whu.com.  IN    A    219.118.142.190
qecxpoml.pharm.whu.com.  IN    A    46.140.37.82
hgfncatv.pharm.whu.com.  IN    A    85.137.67.10
xblanjew.pharm.whu.com.  IN    A    221.135.151.3
rxybhdcp.pharm.whu.com.  IN    A    220.180.188.41
hmvicadb.pharm.whu.com.  IN    A    70.163.209.25
bnphytre.pharm.whu.com.  IN    A    197.33.170.58
wcqdprxk.pharm.whu.com.  IN    A    132.38.13.54
ouhnbdxe.pharm.whu.com.  IN    A    75.216.139.252
lamchobs.pharm.whu.com.  IN    A    78.206.135.211
jkfygqsw.pharm.whu.com.  IN    A    155.83.115.184
rxqmtnus.pharm.whu.com.  IN    A    32.71.206.97
dotyhsur.pharm.whu.com.  IN    A    10.61.206.43
vgofipsc.pharm.whu.com.  IN    A    219.197.114.19
iraecjlq.pharm.whu.com.  IN    A    150.19.28.163
tfuhixcj.pharm.whu.com.  IN    A    245.54.19.255
pgmvflui.pharm.whu.com.  IN    A    221.109.96.198
mrkvugdw.pharm.whu.com.  IN    A    44.119.252.172
qlsmtbfo.pharm.whu.com.  IN    A    64.129.96.63
ykemwafj.pharm.whu.com.  IN    A    57.163.147.96
hnpcjyrf.pharm.whu.com.  IN    A    52.50.176.37
spxeumqh.pharm.whu.com.  IN    A    37.113.184.9
fgcuobah.pharm.whu.com.  IN    A    1.80.159.102
bknjdofw.pharm.whu.com.  IN    A    168.147.236.236
cltjkrvo.pharm.whu.com.  IN    A    9.38.245.249
ovhlnkqx.pharm.whu.com.  IN    A    95.192.164.168
qxpevbnw.pharm.whu.com.  IN    A    228.4.246.106
vnpkramb.pharm.whu.com.  IN    A    68.103.199.224
scelpjkn.pharm.whu.com.  IN    A    10.11.179.137
sumnawih.pharm.whu.com.  IN    A    45.46.2.13
hpfoqxyd.pharm.whu.com.  IN    A    133.79.63.190
fekmgtcv.pharm.whu.com.  IN    A    52.7.215.194
ojtmrsdn.pharm.whu.com.  IN    A    168.40.181.226
widkbsgu.pharm.whu.com.  IN    A    37.154.73.244
leacuxbd.pharm.whu.com.  IN    A    131.81.224.59
wvujhydp.pharm.whu.com.  IN    A    171.222.177.210
ftlekibv.pharm.whu.com.  IN    A    139.180.29.234
bhvkpoag.pharm.whu.com.  IN    A    124.10.119.214
qvlrmakg.pharm.whu.com.  IN    A    247.60.192.40
kuatlmsb.pharm.whu.com.  IN    A    54.73.92.34
vewrjlpc.pharm.whu.com.  IN    A    4.204.159.232
oxhdpsvq.pharm.whu.com.  IN    A    179.214.193.19
gfrhavij.pharm.whu.com.  IN    A    164.241.134.244
alfqidwj.pharm.whu.com.  IN    A    35.137.200.143
wodnckab.pharm.whu.com.  IN    A    86.243.42.72
qsvcumyb.pharm.whu.com.  IN    A    243.221.101.178
nkwgepyj.pharm.whu.com.  IN    A    12.196.151.73
rdjiwkht.pharm.whu.com.  IN    A    71.62.45.128
bifkxhty.pharm.whu.com.  IN    A    15.125.249.74
rulamocv.pharm.whu.com.  IN    A    195.190.38.18
gumpreja.pharm.whu.com.  IN    A    17.197.187.36
gspbhdrn.pharm.whu.com.  IN    A    209.233.97.74
pgkisdal.pharm.whu.com.  IN    A    180.204.32.122
yhtsdxoc.pharm.whu.com.  IN    A    69.114.204.27
rptkqfuc.pharm.whu.com.  IN    A    83.215.231.36
cyxinwrj.pharm.whu.com.  IN    A    97.28.200.29
meuirvkb.pharm.whu.com.  IN    A    190.34.168.14
neyrwjpf.pharm.whu.com.  IN    A    24.86.157.106
ktshlify.pharm.whu.com.  IN    A    54.91.130.241
qrafsibw.pharm.whu.com.  IN    A    93.181.232.168
ehsnbcfu.pharm.whu.com.  IN    A    57.8.1.86
kbiyagvo.pharm.whu.com.  IN    A    20.247.255.82
vdplcmof.pharm.whu.com.  IN    A    174.93.231.165
xtlmngce.pharm.whu.com.  IN    A    5.142.134.228
fiqrvoym.pharm.whu.com.  IN    A    11.26.15.135
jiqmpvfr.pharm.whu.com.  IN    A    151.217.209.214
sgaejfbk.pharm.whu.com.  IN    A    101.40.118.35
akldpqrn.pharm.whu.com.  IN    A    55.170.92.172
mkunjoie.pharm.whu.com.  IN    A    16.180.72.162
fmnechrg.pharm.whu.com.  IN    A    8.252.201.188
tbcuxdjn.pharm.whu.com.  IN    A    36.222.139.218
xvjowbys.pharm.whu.com.  IN    A    165.28.92.31
rjsbxnge.pharm.whu.com.  IN    A    104.108.162.46
otukpwng.pharm.whu.com.  IN    A    208.64.138.142
fgxoquil.pharm.whu.com.  IN    A    135.75.89.145
agisxpml.pharm.whu.com.  IN    A    178.116.189.223
qsxavnct.pharm.whu.com.  IN    A    245.76.2.83
qjkrvemx.pharm.whu.com.  IN    A    156.191.148.166
iowjxsvd.pharm.whu.com.  IN    A    117.254.241.222
mbckilgh.pharm.whu.com.  IN    A    68.95.135.81
uhnymavr.pharm.whu.com.  IN    A    66.236.97.226
cwrdvsjp.pharm.whu.com.  IN    A    167.248.248.236
yiewjqmc.pharm.whu.com.  IN    A    73.16.226.112
omerusgh.pharm.whu.com.  IN    A    36.186.234.221
wdxkognc.pharm.whu.com.  IN    A    22.217.194.232
acqtipym.pharm.whu.com.  IN    A    55.195.89.85
jgrvwbnf.pharm.whu.com.  IN    A    142.186.96.206
gtbcrpju.pharm.whu.com.  IN    A    170.152.183.122
txkidpub.pharm.whu.com.  IN    A    158.243.168.101
mqejhcyu.pharm.whu.com.  IN    A    245.40.248.110
lgtqhxje.pharm.whu.com.  IN    A    54.156.186.82
pjhgqrbu.pharm.whu.com.  IN    A    174.227.22.228
kudqgcns.pharm.whu.com.  IN    A    95.103.194.41
prlhtgfm.pharm.whu.com.  IN    A    145.1.116.166
ibewfyjm.pharm.whu.com.  IN    A    71.8.207.53
pcgmrxjk.pharm.whu.com.  IN    A    148.34.65.36
wenkjlqx.pharm.whu.com.  IN    A    16.216.1.107
jwonbrfc.pharm.whu.com.  IN    A    142.184.137.205
raiclmjt.pharm.whu.com.  IN    A    187.42.46.223
lqygvunt.pharm.whu.com.  IN    A    59.66.117.233
scqhalmy.pharm.whu.com.  IN    A    86.69.217.239
mqxwaegl.pharm.whu.com.  IN    A    2.11.125.141
ybnragst.pharm.whu.com.  IN    A    12.38.78.0
aukdixgp.pharm.whu.com.  IN    A    195.212.208.22
plkuvrjd.pharm.whu.com.  IN    A    153.233.90.125
txeajnqg.pharm.whu.com.  IN    A    188.172.123.105
wmfjhugb.pharm.whu.com.  IN    A    56.74.52.65
jhdyuovs.pharm.whu.com.  IN    A    61.177.156.51
msegjoah.pharm.whu.com.  IN    A    110.0.2.136
biqaojhf.pharm.whu.com.  IN    A    75.5.214.39
kngfmhbr.pharm.whu.com.  IN    A    153.164.174.154
eukndoqx.pharm.whu.com.  IN    A    122.78.132.119
rnmidvwt.pharm.whu.com.  IN    A    25.214.75.250
fxmpjnqo.pharm.whu.com.  IN    A    10.180.158.174
edgvysxb.pharm.whu.com.  IN    A    128.64.192.180
bdiksprt.pharm.whu.com.  IN    A    148.7.17.75
qrejvulo.pharm.whu.com.  IN    A    26.180.96.1
gbytwndm.pharm.whu.com.  IN    A    7.45.232.205
rowkhuab.pharm.whu.com.  IN    A    54.172.13.127
myoltcqp.pharm.whu.com.  IN    A    68.179.184.217
