sm.xmu.com.	14400	IN	SOA	ns1.sm.xmu.com. james.xmu.edu. 19122302 14400 3600 2419200 14400
sm.xmu.com.		    IN	NS ns1.sm.xmu.com.
emdbquop.sm.xmu.com.     IN    A    91.18.248.154
dityavcl.sm.xmu.com.     IN    A    184.91.66.63
fyxdcgne.sm.xmu.com.     IN    A    189.14.184.125
xqomaftb.sm.xmu.com.     IN    A    130.239.233.16
rsgynwvj.sm.xmu.com.     IN    A    56.44.226.234
cljuebsy.sm.xmu.com.     IN    A    0.236.48.41
hlygkpam.sm.xmu.com.     IN    A    174.155.225.62
wbiovhau.sm.xmu.com.     IN    A    13.213.59.221
tofkvlbi.sm.xmu.com.     IN    A    128.152.115.19
pylhbrtk.sm.xmu.com.     IN    A    208.48.82.142
twviakde.sm.xmu.com.     IN    A    62.102.132.120
mtgcwjaq.sm.xmu.com.     IN    A    208.114.190.115
aybrxcth.sm.xmu.com.     IN    A    241.133.126.224
tjesbfnc.sm.xmu.com.     IN    A    206.84.198.6
bjfhixun.sm.xmu.com.     IN    A    224.83.231.184
bcljntgf.sm.xmu.com.     IN    A    148.210.212.26
rxehlksa.sm.xmu.com.     IN    A    196.151.197.147
qwgmkyvf.sm.xmu.com.     IN    A    114.232.116.134
fcrihlud.sm.xmu.com.     IN    A    115.18.181.11
bkdtmvfn.sm.xmu.com.     IN    A    144.109.150.12
fpgnywsk.sm.xmu.com.     IN    A    77.236.205.21
ajlhkrim.sm.xmu.com.     IN    A    32.247.1.176
lmwthbyr.sm.xmu.com.     IN    A    20.44.239.175
ujgdtoxn.sm.xmu.com.     IN    A    41.14.171.92
enygqtah.sm.xmu.com.     IN    A    230.75.34.29
omybqung.sm.xmu.com.     IN    A    212.75.234.228
qdousfam.sm.xmu.com.     IN    A    147.11.77.0
tmfrcpka.sm.xmu.com.     IN    A    220.234.8.59
goilqtxp.sm.xmu.com.     IN    A    4.118.2.119
ytxqfcgm.sm.xmu.com.     IN    A    15.248.16.94
ntomekus.sm.xmu.com.     IN    A    25.149.18.140
untjkqco.sm.xmu.com.     IN    A    21.233.14.242
pvkadyno.sm.xmu.com.     IN    A    42.158.126.34
xqvyouat.sm.xmu.com.     IN    A    157.202.7.23
rkeavtjp.sm.xmu.com.     IN    A    251.102.67.105
cldkyfux.sm.xmu.com.     IN    A    78.167.34.35
guiswqlv.sm.xmu.com.     IN    A    198.222.135.240
sogqbxvd.sm.xmu.com.     IN    A    59.114.65.88
gvpdfuks.sm.xmu.com.     IN    A    182.102.27.248
twsfrecx.sm.xmu.com.     IN    A    79.84.166.199
kdymulhp.sm.xmu.com.     IN    A    157.177.90.216
ilhnbsqt.sm.xmu.com.     IN    A    85.204.175.200
ulhgisam.sm.xmu.com.     IN    A    94.5.158.230
hobavxud.sm.xmu.com.     IN    A    30.14.249.64
qcbdijfy.sm.xmu.com.     IN    A    189.130.157.57
jlmosvcq.sm.xmu.com.     IN    A    29.159.27.184
ugbqjacd.sm.xmu.com.     IN    A    69.89.171.118
lvxnupmo.sm.xmu.com.     IN    A    221.235.75.247
sehcfxlk.sm.xmu.com.     IN    A    165.152.19.185
pjuemynf.sm.xmu.com.     IN    A    157.49.220.94
kcjpufye.sm.xmu.com.     IN    A    242.240.209.105
ofswynbt.sm.xmu.com.     IN    A    139.245.91.95
tklybdmq.sm.xmu.com.     IN    A    109.148.115.167
aybgitdx.sm.xmu.com.     IN    A    167.190.176.81
enrwplmk.sm.xmu.com.     IN    A    246.228.187.12
joichyne.sm.xmu.com.     IN    A    96.209.10.186
jalchtxg.sm.xmu.com.     IN    A    132.49.157.83
gibkjnld.sm.xmu.com.     IN    A    114.165.195.249
yfhlmetx.sm.xmu.com.     IN    A    178.214.208.81
evptisox.sm.xmu.com.     IN    A    80.36.151.253
qwdjxmgf.sm.xmu.com.     IN    A    60.140.251.121
mvrtxqyg.sm.xmu.com.     IN    A    147.24.207.182
qslvigep.sm.xmu.com.     IN    A    246.227.136.114
oxrghlke.sm.xmu.com.     IN    A    132.111.233.94
rkbvufjt.sm.xmu.com.     IN    A    136.18.214.95
tgynxqfd.sm.xmu.com.     IN    A    26.124.226.57
pynosjbc.sm.xmu.com.     IN    A    125.54.103.103
hetqrjfw.sm.xmu.com.     IN    A    159.35.163.196
fsybdipj.sm.xmu.com.     IN    A    48.26.79.173
lniabcjr.sm.xmu.com.     IN    A    210.214.6.104
dqifkvjs.sm.xmu.com.     IN    A    223.107.25.189
kjyxmqvu.sm.xmu.com.     IN    A    213.108.42.72
jqkexmcd.sm.xmu.com.     IN    A    113.207.230.11
vdnpqhby.sm.xmu.com.     IN    A    8.241.209.144
wnlrevpx.sm.xmu.com.     IN    A    22.206.89.123
vdtmkfoj.sm.xmu.com.     IN    A    206.186.98.179
rsgcloyp.sm.xmu.com.     IN    A    152.229.126.60
cxfviqms.sm.xmu.com.     IN    A    61.172.211.170
iywcvhmg.sm.xmu.com.     IN    A    210.50.210.65
wpfyxktu.sm.xmu.com.     IN    A    145.196.186.123
ridwhvat.sm.xmu.com.     IN    A    136.4.205.146
asoyiwuv.sm.xmu.com.     IN    A    62.254.54.167
fkbmtjcg.sm.xmu.com.     IN    A    235.146.117.247
jeqlvhuf.sm.xmu.com.     IN    A    78.157.250.163
vlkwoibs.sm.xmu.com.     IN    A    38.27.163.187
fpsvtjqw.sm.xmu.com.     IN    A    104.44.18.196
upgsdqmx.sm.xmu.com.     IN    A    30.21.26.109
fwrbxqkm.sm.xmu.com.     IN    A    210.237.88.134
cjentpgf.sm.xmu.com.     IN    A    144.66.35.125
ghptumay.sm.xmu.com.     IN    A    225.249.81.22
dslfrknh.sm.xmu.com.     IN    A    27.111.158.203
uwilhdox.sm.xmu.com.     IN    A    9.108.220.11
kxeopdwv.sm.xmu.com.     IN    A    95.84.206.86
ohtjrvdc.sm.xmu.com.     IN    A    49.235.135.57
scmyneod.sm.xmu.com.     IN    A    244.34.52.127
xkpawhtc.sm.xmu.com.     IN    A    58.48.53.157
xluopijh.sm.xmu.com.     IN    A    38.96.57.75
regklnqo.sm.xmu.com.     IN    A    221.232.116.84
dbspxrig.sm.xmu.com.     IN    A    10.32.185.183
dnylgtsm.sm.xmu.com.     IN    A    33.230.235.212
kvaisuby.sm.xmu.com.     IN    A    34.32.201.188
xqeybutn.sm.xmu.com.     IN    A    218.159.119.209
eurbgwam.sm.xmu.com.     IN    A    238.142.57.114
krcuybls.sm.xmu.com.     IN    A    101.112.91.199
xtayjpoe.sm.xmu.com.     IN    A    234.26.4.74
ekhtsyix.sm.xmu.com.     IN    A    40.30.37.143
wiedbuxq.sm.xmu.com.     IN    A    152.251.120.122
bcjhadyk.sm.xmu.com.     IN    A    153.13.100.46
rxcuhais.sm.xmu.com.     IN    A    58.35.32.2
evbmyldi.sm.xmu.com.     IN    A    248.253.231.2
flgysbro.sm.xmu.com.     IN    A    222.31.91.255
nkdlwhfu.sm.xmu.com.     IN    A    131.194.224.212
hvqdiptn.sm.xmu.com.     IN    A    84.146.101.191
xhwijdpq.sm.xmu.com.     IN    A    121.117.125.25
lcwuryfk.sm.xmu.com.     IN    A    199.226.233.2
pnlagxeo.sm.xmu.com.     IN    A    115.22.139.154
bqxcysmk.sm.xmu.com.     IN    A    142.27.21.72
fjkrvuqh.sm.xmu.com.     IN    A    231.13.143.169
odjgvbqu.sm.xmu.com.     IN    A    169.160.50.76
qhygfblk.sm.xmu.com.     IN    A    52.156.133.248
cgmqtblw.sm.xmu.com.     IN    A    231.147.113.247
mgbircuf.sm.xmu.com.     IN    A    179.251.12.52
xntmlwko.sm.xmu.com.     IN    A    59.235.180.104
bjtsxkvg.sm.xmu.com.     IN    A    178.198.215.100
uptfdnqb.sm.xmu.com.     IN    A    140.207.84.80
mawujfvo.sm.xmu.com.     IN    A    1.120.177.28
hqycvnux.sm.xmu.com.     IN    A    16.3.240.55
ufspjhcx.sm.xmu.com.     IN    A    135.241.80.39
liqnswbx.sm.xmu.com.     IN    A    20.247.152.210
jskiulrt.sm.xmu.com.     IN    A    218.163.215.76
lfgcubta.sm.xmu.com.     IN    A    82.19.218.243
jeqkarmf.sm.xmu.com.     IN    A    6.220.44.154
odypvmjt.sm.xmu.com.     IN    A    58.73.219.179
mjgstdho.sm.xmu.com.     IN    A    183.28.228.116
ypndrxmi.sm.xmu.com.     IN    A    20.205.23.57
qmbudkfw.sm.xmu.com.     IN    A    126.63.140.206
fcdxhevq.sm.xmu.com.     IN    A    218.147.102.208
ucanojli.sm.xmu.com.     IN    A    126.46.22.10
mxhevjop.sm.xmu.com.     IN    A    208.47.232.68
chivjleb.sm.xmu.com.     IN    A    107.70.104.30
egsvqbup.sm.xmu.com.     IN    A    202.45.7.240
xnithjkm.sm.xmu.com.     IN    A    247.139.99.80
geoljcpd.sm.xmu.com.     IN    A    217.73.87.247
shwtyaeg.sm.xmu.com.     IN    A    216.197.69.195
skuxeqja.sm.xmu.com.     IN    A    203.149.16.52
qjsthmuw.sm.xmu.com.     IN    A    118.211.10.0
ptdxfgnu.sm.xmu.com.     IN    A    25.14.84.246
lfqveamj.sm.xmu.com.     IN    A    31.177.229.111
fjcmgpui.sm.xmu.com.     IN    A    126.71.185.58
fpgjbkrl.sm.xmu.com.     IN    A    182.73.201.145
dxrnebmh.sm.xmu.com.     IN    A    160.117.135.58
lsmarjof.sm.xmu.com.     IN    A    107.29.51.32
txrfwuyl.sm.xmu.com.     IN    A    186.235.147.160
khgfovma.sm.xmu.com.     IN    A    167.252.24.116
tluedfph.sm.xmu.com.     IN    A    95.109.172.205
elrmaokb.sm.xmu.com.     IN    A    253.115.201.174
nuvwosdr.sm.xmu.com.     IN    A    28.3.218.94
gsocnxdj.sm.xmu.com.     IN    A    252.216.106.219
bjqxktwl.sm.xmu.com.     IN    A    164.236.255.186
bucskiop.sm.xmu.com.     IN    A    95.140.157.148
sxynmkhe.sm.xmu.com.     IN    A    77.249.2.47
wcbkjuor.sm.xmu.com.     IN    A    61.67.191.184
fsoglqwi.sm.xmu.com.     IN    A    47.149.217.64
ndrluocb.sm.xmu.com.     IN    A    119.58.72.1
aqcjmylr.sm.xmu.com.     IN    A    208.85.80.145
qxwupogb.sm.xmu.com.     IN    A    57.194.210.168
kvgcrjud.sm.xmu.com.     IN    A    71.242.41.155
locitkma.sm.xmu.com.     IN    A    69.87.140.187
drhsyvca.sm.xmu.com.     IN    A    174.175.65.103
rpknlemh.sm.xmu.com.     IN    A    19.59.249.25
lswdvuco.sm.xmu.com.     IN    A    238.225.28.129
uxigrcdh.sm.xmu.com.     IN    A    175.238.109.168
jqabopdk.sm.xmu.com.     IN    A    23.162.225.58
qajroycu.sm.xmu.com.     IN    A    240.93.78.34
karxdbht.sm.xmu.com.     IN    A    114.172.85.68
uvntopgq.sm.xmu.com.     IN    A    116.147.221.169
nrhdwaqu.sm.xmu.com.     IN    A    194.175.224.240
dnqitbou.sm.xmu.com.     IN    A    240.73.87.103
rspimcxq.sm.xmu.com.     IN    A    214.130.187.17
feghknmv.sm.xmu.com.     IN    A    97.14.244.198
ahmwoelc.sm.xmu.com.     IN    A    138.56.42.148
hmbaqkyi.sm.xmu.com.     IN    A    94.128.162.3
gyiomlka.sm.xmu.com.     IN    A    164.105.238.157
vfwqdlou.sm.xmu.com.     IN    A    45.40.78.21
dplyrxkh.sm.xmu.com.     IN    A    25.54.6.113
iyfbodtn.sm.xmu.com.     IN    A    141.165.39.23
msloucwj.sm.xmu.com.     IN    A    195.36.1.193
gkfqsvyr.sm.xmu.com.     IN    A    8.219.210.77
utnlfadr.sm.xmu.com.     IN    A    243.187.127.33
opvntkfj.sm.xmu.com.     IN    A    115.81.73.169
plefvqhb.sm.xmu.com.     IN    A    73.60.9.183
hternwyj.sm.xmu.com.     IN    A    241.101.200.81
etufkvxg.sm.xmu.com.     IN    A    64.161.73.122
ejpqutia.sm.xmu.com.     IN    A    64.114.147.130
scnugdie.sm.xmu.com.     IN    A    52.16.90.243
chjdvnkw.sm.xmu.com.     IN    A    98.131.85.252
vsukmhjp.sm.xmu.com.     IN    A    88.234.247.46
cidfbohx.sm.xmu.com.     IN    A    92.180.0.157
fsomwdxh.sm.xmu.com.     IN    A    197.182.8.10
clbgjhiv.sm.xmu.com.     IN    A    160.60.238.192
soxeycqp.sm.xmu.com.     IN    A    41.138.8.228
yecwxsfd.sm.xmu.com.     IN    A    193.155.115.189
lcbksmej.sm.xmu.com.     IN    A    106.223.234.88
oduktfji.sm.xmu.com.     IN    A    211.206.17.189
kaevpijy.sm.xmu.com.     IN    A    53.14.192.6
namvylqh.sm.xmu.com.     IN    A    235.170.13.250
bhjfpkge.sm.xmu.com.     IN    A    85.3.5.224
oqgvscik.sm.xmu.com.     IN    A    59.35.88.156
pqncrfsl.sm.xmu.com.     IN    A    215.166.18.226
jxhwbikl.sm.xmu.com.     IN    A    67.98.126.73
cpvnxlqo.sm.xmu.com.     IN    A    10.145.101.25
uxvjwetr.sm.xmu.com.     IN    A    126.66.77.88
klasjcxw.sm.xmu.com.     IN    A    15.149.143.187
kbyiveqh.sm.xmu.com.     IN    A    201.47.19.222
stbkjwya.sm.xmu.com.     IN    A    90.60.181.107
jtehibdf.sm.xmu.com.     IN    A    20.2.242.20
truxdpqw.sm.xmu.com.     IN    A    249.39.94.254
msjuyxtc.sm.xmu.com.     IN    A    115.189.94.44
qkhxtrap.sm.xmu.com.     IN    A    132.30.203.91
vyrtxjdk.sm.xmu.com.     IN    A    80.42.234.202
ygvtslam.sm.xmu.com.     IN    A    177.126.5.142
vjubesmr.sm.xmu.com.     IN    A    143.25.30.130
xvyhefij.sm.xmu.com.     IN    A    174.216.167.101
pdxnboms.sm.xmu.com.     IN    A    138.139.86.32
roeycxtg.sm.xmu.com.     IN    A    6.65.17.104
hajwopnb.sm.xmu.com.     IN    A    158.60.63.120
nlvsfcwt.sm.xmu.com.     IN    A    66.252.216.149
rcqklpof.sm.xmu.com.     IN    A    239.240.158.42
uniaqckj.sm.xmu.com.     IN    A    44.224.236.190
hyromnql.sm.xmu.com.     IN    A    51.195.246.116
tkvjlpus.sm.xmu.com.     IN    A    224.76.19.53
xylfaitd.sm.xmu.com.     IN    A    68.224.175.132
kpfgleas.sm.xmu.com.     IN    A    198.29.129.242
eaxsbmly.sm.xmu.com.     IN    A    143.253.213.200
uckojfpr.sm.xmu.com.     IN    A    235.248.62.45
jbexrfcv.sm.xmu.com.     IN    A    116.109.177.97
jxvancgq.sm.xmu.com.     IN    A    44.170.240.85
ihfnxpca.sm.xmu.com.     IN    A    45.240.211.126
brcpfwns.sm.xmu.com.     IN    A    196.88.220.248
ntfaxchq.sm.xmu.com.     IN    A    126.34.4.231
dukfperg.sm.xmu.com.     IN    A    166.249.182.34
swtxdqcl.sm.xmu.com.     IN    A    144.123.241.134
vdjahuof.sm.xmu.com.     IN    A    203.119.171.36
vjuegtyk.sm.xmu.com.     IN    A    82.58.69.244
kfyrqwcp.sm.xmu.com.     IN    A    178.220.125.101
royewlbn.sm.xmu.com.     IN    A    230.43.71.233
