hyxt.whu.com.	14400	IN	SOA	ns1.hyxt.whu.com. james.whu.edu. 19122302 14400 3600 2419200 14400
hyxt.whu.com.		    IN	NS ns1.hyxt.whu.com.
peoschgk.hyxt.whu.com.   IN    A    27.167.190.28
ywjbvgmt.hyxt.whu.com.   IN    A    162.87.101.13
jgorfdct.hyxt.whu.com.   IN    A    47.164.19.48
tqvlfjoy.hyxt.whu.com.   IN    A    177.17.43.24
jsfvobdq.hyxt.whu.com.   IN    A    236.143.38.112
imnspxka.hyxt.whu.com.   IN    A    253.11.138.251
hvuqglnp.hyxt.whu.com.   IN    A    80.139.255.252
wgxltmuf.hyxt.whu.com.   IN    A    31.30.181.141
gxbjoyue.hyxt.whu.com.   IN    A    95.90.172.129
aghbrcdy.hyxt.whu.com.   IN    A    41.237.117.236
ctdmspjb.hyxt.whu.com.   IN    A    204.2.113.80
jleadoxi.hyxt.whu.com.   IN    A    93.80.131.54
acxpedvg.hyxt.whu.com.   IN    A    25.227.163.10
mxprdtwo.hyxt.whu.com.   IN    A    196.145.200.12
hwrkfbct.hyxt.whu.com.   IN    A    210.63.16.252
mxjetykr.hyxt.whu.com.   IN    A    233.136.170.137
kphvujtn.hyxt.whu.com.   IN    A    205.171.144.48
pamiyjcn.hyxt.whu.com.   IN    A    46.10.44.184
pljngmqt.hyxt.whu.com.   IN    A    175.163.205.136
sdyiateb.hyxt.whu.com.   IN    A    159.213.48.217
ynpbloef.hyxt.whu.com.   IN    A    31.89.183.97
fbdsuyxw.hyxt.whu.com.   IN    A    52.169.223.87
fasdmowg.hyxt.whu.com.   IN    A    72.208.30.15
uxdypfqo.hyxt.whu.com.   IN    A    64.154.250.246
hgtjlsyw.hyxt.whu.com.   IN    A    21.222.164.42
ygvoafht.hyxt.whu.com.   IN    A    177.199.217.213
gqvyhjrf.hyxt.whu.com.   IN    A    137.170.214.30
jqdenayc.hyxt.whu.com.   IN    A    12.14.28.117
axueshif.hyxt.whu.com.   IN    A    217.102.174.214
swdvhxep.hyxt.whu.com.   IN    A    199.91.72.92
saybqlfm.hyxt.whu.com.   IN    A    101.134.82.187
qgvwuhln.hyxt.whu.com.   IN    A    55.21.164.139
dtbsiugr.hyxt.whu.com.   IN    A    70.69.116.168
ksrwiqnd.hyxt.whu.com.   IN    A    109.206.89.252
dnxshupo.hyxt.whu.com.   IN    A    76.64.4.206
jnhwusfv.hyxt.whu.com.   IN    A    12.57.65.178
jlpamuio.hyxt.whu.com.   IN    A    251.203.255.85
pdynrvfi.hyxt.whu.com.   IN    A    237.207.148.216
rmqclhki.hyxt.whu.com.   IN    A    63.5.188.94
idapehsq.hyxt.whu.com.   IN    A    227.210.134.23
dmtfwsej.hyxt.whu.com.   IN    A    103.59.238.16
vocrteld.hyxt.whu.com.   IN    A    187.32.233.108
iaotrkyv.hyxt.whu.com.   IN    A    116.122.79.228
oktwcxam.hyxt.whu.com.   IN    A    238.239.203.23
oxbewrku.hyxt.whu.com.   IN    A    208.53.69.165
lmrkucai.hyxt.whu.com.   IN    A    37.201.99.65
myqhscvf.hyxt.whu.com.   IN    A    36.255.87.234
jwruckog.hyxt.whu.com.   IN    A    29.51.66.231
grcdufat.hyxt.whu.com.   IN    A    245.126.112.224
laqigckj.hyxt.whu.com.   IN    A    255.59.200.13
xoqeruds.hyxt.whu.com.   IN    A    134.18.0.103
ajfclteb.hyxt.whu.com.   IN    A    168.221.182.215
lfasotke.hyxt.whu.com.   IN    A    232.114.149.36
vojltgen.hyxt.whu.com.   IN    A    250.143.135.225
misxaunf.hyxt.whu.com.   IN    A    234.90.70.180
nbqycoir.hyxt.whu.com.   IN    A    203.137.88.119
mujtcrvn.hyxt.whu.com.   IN    A    96.168.174.77
afndqivt.hyxt.whu.com.   IN    A    155.138.6.79
fpuqcbjd.hyxt.whu.com.   IN    A    2.40.19.205
kforipqx.hyxt.whu.com.   IN    A    231.118.236.183
vqhtedsp.hyxt.whu.com.   IN    A    145.86.5.55
lmkeghwv.hyxt.whu.com.   IN    A    111.114.102.107
hawnrkxq.hyxt.whu.com.   IN    A    129.118.158.160
mvlefnui.hyxt.whu.com.   IN    A    70.147.191.115
oghmlrju.hyxt.whu.com.   IN    A    199.170.90.23
pvdleins.hyxt.whu.com.   IN    A    167.208.134.74
hcvmrsow.hyxt.whu.com.   IN    A    197.243.118.159
ydlnwacp.hyxt.whu.com.   IN    A    17.76.29.59
rdmlpyib.hyxt.whu.com.   IN    A    36.187.113.174
erxjdwyf.hyxt.whu.com.   IN    A    236.38.16.119
lkmedjbp.hyxt.whu.com.   IN    A    28.32.126.218
egdbmrkx.hyxt.whu.com.   IN    A    122.171.209.253
lpwnivyr.hyxt.whu.com.   IN    A    100.216.134.98
piovtqgr.hyxt.whu.com.   IN    A    160.139.181.228
ngqlofum.hyxt.whu.com.   IN    A    130.100.87.239
dhkotfej.hyxt.whu.com.   IN    A    208.69.170.31
wcbsmnxv.hyxt.whu.com.   IN    A    95.33.140.235
iogwbtld.hyxt.whu.com.   IN    A    22.7.143.242
rklaxhsn.hyxt.whu.com.   IN    A    50.92.121.119
iuvlhqxp.hyxt.whu.com.   IN    A    135.72.122.191
kflwyxvo.hyxt.whu.com.   IN    A    116.59.87.91
kepvodhu.hyxt.whu.com.   IN    A    254.18.183.23
vgdkuxes.hyxt.whu.com.   IN    A    142.49.211.46
bgilpwth.hyxt.whu.com.   IN    A    101.25.33.209
mnfyupwa.hyxt.whu.com.   IN    A    241.152.151.199
rtlmnfow.hyxt.whu.com.   IN    A    20.130.22.193
ikufhcrn.hyxt.whu.com.   IN    A    241.6.219.146
gvcundmx.hyxt.whu.com.   IN    A    111.51.165.35
ylhsjxiq.hyxt.whu.com.   IN    A    142.255.194.172
glutkrqc.hyxt.whu.com.   IN    A    151.116.141.215
lphecyxm.hyxt.whu.com.   IN    A    151.27.104.135
divmnlyj.hyxt.whu.com.   IN    A    179.220.161.120
wqthbvke.hyxt.whu.com.   IN    A    99.50.64.19
ynbdwoma.hyxt.whu.com.   IN    A    235.49.100.67
snjvifdg.hyxt.whu.com.   IN    A    81.172.68.186
oyjeugcl.hyxt.whu.com.   IN    A    47.14.7.213
oakymelh.hyxt.whu.com.   IN    A    188.134.113.198
ueiqhaxw.hyxt.whu.com.   IN    A    220.43.188.17
gnscbvpw.hyxt.whu.com.   IN    A    30.103.172.38
vprahnjc.hyxt.whu.com.   IN    A    196.75.173.168
griqwjen.hyxt.whu.com.   IN    A    93.248.116.195
xmpgseka.hyxt.whu.com.   IN    A    188.14.7.55
mkfejpqs.hyxt.whu.com.   IN    A    103.254.56.198
usdbrhey.hyxt.whu.com.   IN    A    28.180.128.212
vpcteoju.hyxt.whu.com.   IN    A    175.211.68.192
mqkefsgv.hyxt.whu.com.   IN    A    48.170.1.222
bnjfpxrw.hyxt.whu.com.   IN    A    6.153.45.169
tuprqwec.hyxt.whu.com.   IN    A    99.244.169.27
beidhxnw.hyxt.whu.com.   IN    A    237.59.94.25
wubghjqe.hyxt.whu.com.   IN    A    63.20.77.104
ahclfruq.hyxt.whu.com.   IN    A    240.42.127.97
rgpewutv.hyxt.whu.com.   IN    A    248.75.57.30
jlorhbgf.hyxt.whu.com.   IN    A    124.229.249.228
wxvtydoq.hyxt.whu.com.   IN    A    121.92.127.15
kylphqva.hyxt.whu.com.   IN    A    59.104.123.223
derojmba.hyxt.whu.com.   IN    A    7.13.58.254
xqkjyoea.hyxt.whu.com.   IN    A    185.54.161.246
jqdpgcvf.hyxt.whu.com.   IN    A    0.90.15.208
viquypnr.hyxt.whu.com.   IN    A    125.192.91.123
uilwmasf.hyxt.whu.com.   IN    A    159.110.18.129
kjrmduxp.hyxt.whu.com.   IN    A    233.174.239.206
orvxpybg.hyxt.whu.com.   IN    A    147.132.219.146
fsxqlwjb.hyxt.whu.com.   IN    A    148.79.203.47
qjeayxpr.hyxt.whu.com.   IN    A    178.245.231.65
hsltrdyk.hyxt.whu.com.   IN    A    248.255.14.2
qfcmopkw.hyxt.whu.com.   IN    A    241.60.171.201
ycpleafr.hyxt.whu.com.   IN    A    248.14.86.228
jqaoieku.hyxt.whu.com.   IN    A    184.161.89.200
quianhmc.hyxt.whu.com.   IN    A    147.94.70.45
mlsufqex.hyxt.whu.com.   IN    A    82.200.202.190
janetdxu.hyxt.whu.com.   IN    A    98.70.248.174
swlbecyq.hyxt.whu.com.   IN    A    152.153.138.22
lhrpqsfb.hyxt.whu.com.   IN    A    118.228.211.113
kahoqcfr.hyxt.whu.com.   IN    A    37.32.106.10
nsbprhia.hyxt.whu.com.   IN    A    153.115.177.188
feopdtkr.hyxt.whu.com.   IN    A    207.221.220.198
nfejalio.hyxt.whu.com.   IN    A    229.253.132.49
nasefrmg.hyxt.whu.com.   IN    A    195.61.194.200
vugyeawj.hyxt.whu.com.   IN    A    106.227.4.34
uchgbytm.hyxt.whu.com.   IN    A    2.103.144.20
lxubvmhr.hyxt.whu.com.   IN    A    138.202.64.60
hjknvyrg.hyxt.whu.com.   IN    A    38.182.149.64
qanxyfme.hyxt.whu.com.   IN    A    156.124.104.27
xhlgnycj.hyxt.whu.com.   IN    A    185.139.244.158
sydpunav.hyxt.whu.com.   IN    A    34.79.129.161
sgevwlty.hyxt.whu.com.   IN    A    158.204.89.185
etxjhnvm.hyxt.whu.com.   IN    A    253.40.36.160
iyflnbtu.hyxt.whu.com.   IN    A    174.119.203.43
svpexyko.hyxt.whu.com.   IN    A    39.197.18.77
gosendrf.hyxt.whu.com.   IN    A    209.123.68.71
kymbjvrp.hyxt.whu.com.   IN    A    142.250.129.149
uwecaynk.hyxt.whu.com.   IN    A    141.66.246.206
cukpwstv.hyxt.whu.com.   IN    A    99.18.148.110
cgnburwd.hyxt.whu.com.   IN    A    254.61.58.74
jsldmrox.hyxt.whu.com.   IN    A    57.213.226.163
njohbdyl.hyxt.whu.com.   IN    A    234.4.80.177
jbfcerwx.hyxt.whu.com.   IN    A    15.111.11.174
txfehpwm.hyxt.whu.com.   IN    A    217.205.249.175
scohtpav.hyxt.whu.com.   IN    A    2.139.137.169
enjxqbmk.hyxt.whu.com.   IN    A    145.207.38.183
hmqfcxnb.hyxt.whu.com.   IN    A    147.210.176.23
yprxvkcq.hyxt.whu.com.   IN    A    5.194.67.139
vnemhajc.hyxt.whu.com.   IN    A    144.65.135.218
vrbelmoi.hyxt.whu.com.   IN    A    236.6.184.145
mfvawjcn.hyxt.whu.com.   IN    A    75.90.43.238
tpignasq.hyxt.whu.com.   IN    A    194.33.119.226
rjsgvhml.hyxt.whu.com.   IN    A    68.173.225.27
ysqcwjao.hyxt.whu.com.   IN    A    56.212.59.3
aymxofsp.hyxt.whu.com.   IN    A    80.155.116.118
aqmysleu.hyxt.whu.com.   IN    A    111.128.76.125
ajcrfgpy.hyxt.whu.com.   IN    A    28.207.178.24
pxqysvei.hyxt.whu.com.   IN    A    207.209.138.120
yofqinst.hyxt.whu.com.   IN    A    53.78.162.77
btsxyfen.hyxt.whu.com.   IN    A    143.152.4.247
terdsjhx.hyxt.whu.com.   IN    A    231.237.181.239
utbmevqi.hyxt.whu.com.   IN    A    223.124.137.72
xdrgewts.hyxt.whu.com.   IN    A    49.184.244.70
omtfycgk.hyxt.whu.com.   IN    A    162.203.196.189
kaxelhpb.hyxt.whu.com.   IN    A    137.219.14.162
htofjpxi.hyxt.whu.com.   IN    A    52.18.179.76
jrayhkxv.hyxt.whu.com.   IN    A    188.238.147.10
juyqwlcx.hyxt.whu.com.   IN    A    2.19.89.94
ythmupvn.hyxt.whu.com.   IN    A    210.94.83.254
luvfpjcn.hyxt.whu.com.   IN    A    81.219.219.52
obgvtkjf.hyxt.whu.com.   IN    A    59.23.142.2
xduwacml.hyxt.whu.com.   IN    A    187.150.70.33
lsjxdbmq.hyxt.whu.com.   IN    A    252.212.41.86
cymrsbpl.hyxt.whu.com.   IN    A    49.199.244.233
yxvhblus.hyxt.whu.com.   IN    A    100.89.6.83
hcvqybla.hyxt.whu.com.   IN    A    205.246.230.238
hgodpcyq.hyxt.whu.com.   IN    A    141.225.116.8
icsxtwlo.hyxt.whu.com.   IN    A    79.30.115.178
iknhvrqf.hyxt.whu.com.   IN    A    36.66.215.178
rjlcedmn.hyxt.whu.com.   IN    A    113.5.112.255
oeqpmwal.hyxt.whu.com.   IN    A    113.113.74.172
ybncmrqk.hyxt.whu.com.   IN    A    50.178.48.57
wurbjpva.hyxt.whu.com.   IN    A    113.210.154.205
namcvkbi.hyxt.whu.com.   IN    A    247.112.74.112
iahrmoxc.hyxt.whu.com.   IN    A    94.158.207.54
ewptbcfd.hyxt.whu.com.   IN    A    138.206.7.148
ojdtvnhe.hyxt.whu.com.   IN    A    122.79.181.99
yxcwtvij.hyxt.whu.com.   IN    A    216.24.95.130
aetilkob.hyxt.whu.com.   IN    A    253.152.47.248
bqysiduw.hyxt.whu.com.   IN    A    125.83.19.17
oriksyfx.hyxt.whu.com.   IN    A    187.2.150.121
pjovhumx.hyxt.whu.com.   IN    A    142.126.138.145
brmkeylx.hyxt.whu.com.   IN    A    139.145.202.128
jbuvosfc.hyxt.whu.com.   IN    A    82.219.157.253
gsuvpfej.hyxt.whu.com.   IN    A    38.33.126.33
brnyiwgj.hyxt.whu.com.   IN    A    137.184.66.14
ymsvbhwt.hyxt.whu.com.   IN    A    152.29.33.172
yjnifdxc.hyxt.whu.com.   IN    A    116.200.19.243
phrlftbs.hyxt.whu.com.   IN    A    40.130.69.212
nybwkatr.hyxt.whu.com.   IN    A    252.87.178.45
tpuqwyni.hyxt.whu.com.   IN    A    127.210.64.85
vejsoaxm.hyxt.whu.com.   IN    A    188.208.31.105
qoruptdw.hyxt.whu.com.   IN    A    26.183.129.20
eaptlhno.hyxt.whu.com.   IN    A    5.208.218.247
qjfouryg.hyxt.whu.com.   IN    A    96.42.102.73
pxfwnchb.hyxt.whu.com.   IN    A    210.179.25.86
uvoawimg.hyxt.whu.com.   IN    A    58.165.76.236
uctqdnms.hyxt.whu.com.   IN    A    220.4.14.101
gyshdvew.hyxt.whu.com.   IN    A    210.15.127.230
vsxbwmce.hyxt.whu.com.   IN    A    126.132.18.198
yvirwapf.hyxt.whu.com.   IN    A    166.78.83.0
typmrxcw.hyxt.whu.com.   IN    A    224.207.122.225
erbgusiw.hyxt.whu.com.   IN    A    245.239.16.174
ihtrxcan.hyxt.whu.com.   IN    A    75.22.150.218
