www.whu.com. 	14400	IN	SOA	ns1.www.whu.com. james.whu.edu. 19122302 14400 3600 2419200 14400
www.whu.com.		    IN	NS ns1.www.whu.com.
mfnupkew.www.whu.com.    IN    A    247.250.50.239
kucpihjq.www.whu.com.    IN    A    116.197.79.76
qkvgfymw.www.whu.com.    IN    A    144.34.110.161
ygmthpju.www.whu.com.    IN    A    206.165.65.255
eixhgatl.www.whu.com.    IN    A    210.176.243.39
sckdwgmp.www.whu.com.    IN    A    243.143.178.229
pntmqhwd.www.whu.com.    IN    A    66.227.240.86
uxewhfvj.www.whu.com.    IN    A    241.251.141.40
wfjsmiru.www.whu.com.    IN    A    100.108.19.62
jpetwykh.www.whu.com.    IN    A    175.153.87.120
hwgudlxm.www.whu.com.    IN    A    15.116.90.144
slghjitk.www.whu.com.    IN    A    196.31.181.130
kqmcrabn.www.whu.com.    IN    A    180.126.85.91
fpoalewx.www.whu.com.    IN    A    179.99.95.57
cbepxqmd.www.whu.com.    IN    A    38.220.103.123
ktnmpugh.www.whu.com.    IN    A    255.18.246.175
sfwmbtuo.www.whu.com.    IN    A    241.206.50.10
kxwrbyfc.www.whu.com.    IN    A    43.15.123.4
gsipcdwf.www.whu.com.    IN    A    149.142.220.206
gscfjvie.www.whu.com.    IN    A    223.78.87.212
nfuymvhx.www.whu.com.    IN    A    115.42.103.124
owxihubd.www.whu.com.    IN    A    159.116.219.70
tihpdsrn.www.whu.com.    IN    A    113.51.30.35
qvjpurwx.www.whu.com.    IN    A    87.129.161.52
frxvdlwk.www.whu.com.    IN    A    212.83.212.26
ujtwgnfk.www.whu.com.    IN    A    24.48.70.176
uacrpfxl.www.whu.com.    IN    A    32.163.220.206
hadcglxr.www.whu.com.    IN    A    73.145.236.130
yscwpfet.www.whu.com.    IN    A    11.113.244.193
gmocstxd.www.whu.com.    IN    A    100.181.196.179
trbykcxn.www.whu.com.    IN    A    60.76.48.25
vgqeylkm.www.whu.com.    IN    A    55.239.209.216
ehdbrfnq.www.whu.com.    IN    A    129.217.50.86
hdulfjkt.www.whu.com.    IN    A    53.223.196.67
vtxlbnqk.www.whu.com.    IN    A    67.14.230.67
muxpsegy.www.whu.com.    IN    A    83.92.52.91
oqrutxsi.www.whu.com.    IN    A    50.199.76.184
lvypdrhn.www.whu.com.    IN    A    172.228.37.31
eorpndfm.www.whu.com.    IN    A    39.63.27.219
kvosjdbp.www.whu.com.    IN    A    250.232.219.83
hewtclpo.www.whu.com.    IN    A    234.151.166.54
tbxpohli.www.whu.com.    IN    A    226.119.6.205
eygsmhur.www.whu.com.    IN    A    112.125.112.251
gayfvxbe.www.whu.com.    IN    A    17.198.114.52
wclknqio.www.whu.com.    IN    A    0.88.230.48
htowsnxf.www.whu.com.    IN    A    117.14.152.11
tvyphbiu.www.whu.com.    IN    A    135.230.145.134
ubhxkigl.www.whu.com.    IN    A    54.23.81.49
lwksaocn.www.whu.com.    IN    A    118.243.22.166
altgnyxr.www.whu.com.    IN    A    144.115.23.74
wlpvextu.www.whu.com.    IN    A    241.146.208.152
guvtskin.www.whu.com.    IN    A    142.35.229.124
sdeybtil.www.whu.com.    IN    A    61.138.225.245
jmncwtqp.www.whu.com.    IN    A    8.247.166.198
iqnolsup.www.whu.com.    IN    A    110.88.239.89
oqgmwrxl.www.whu.com.    IN    A    221.98.139.0
anskrpjd.www.whu.com.    IN    A    207.121.253.113
doqhsimr.www.whu.com.    IN    A    41.26.199.153
kdhjrpgq.www.whu.com.    IN    A    173.36.20.252
yikjhcrv.www.whu.com.    IN    A    170.95.228.126
scpijuta.www.whu.com.    IN    A    247.148.66.24
huoiabex.www.whu.com.    IN    A    30.195.182.168
pqruvcho.www.whu.com.    IN    A    178.175.226.94
alsfcmri.www.whu.com.    IN    A    153.252.224.163
udanoyej.www.whu.com.    IN    A    192.34.29.190
comuhxbq.www.whu.com.    IN    A    83.176.231.47
atfidjgc.www.whu.com.    IN    A    18.125.95.117
duiaxsfm.www.whu.com.    IN    A    101.105.30.225
aecpsmth.www.whu.com.    IN    A    132.64.187.243
dmfhjgvt.www.whu.com.    IN    A    253.223.3.221
qfcjkdet.www.whu.com.    IN    A    183.236.233.200
hwyqbvmu.www.whu.com.    IN    A    28.84.140.118
rngmxoti.www.whu.com.    IN    A    54.243.46.54
qwkrolhv.www.whu.com.    IN    A    142.24.4.188
syriljqv.www.whu.com.    IN    A    249.180.66.186
oiceampd.www.whu.com.    IN    A    88.62.94.119
meykahtl.www.whu.com.    IN    A    45.151.49.126
tqendfjg.www.whu.com.    IN    A    248.189.198.75
fjexyaiq.www.whu.com.    IN    A    63.131.13.191
niomhrcj.www.whu.com.    IN    A    89.4.129.132
gcutkfal.www.whu.com.    IN    A    163.17.155.132
dqhrkljf.www.whu.com.    IN    A    186.231.132.4
kmgailec.www.whu.com.    IN    A    151.96.55.191
urgdwock.www.whu.com.    IN    A    31.172.188.33
sjermtix.www.whu.com.    IN    A    158.216.208.0
rnavfump.www.whu.com.    IN    A    55.75.75.164
huyepsno.www.whu.com.    IN    A    138.41.154.79
vsuwmbak.www.whu.com.    IN    A    64.205.15.136
jlfnktxs.www.whu.com.    IN    A    170.180.219.206
hptoqwnu.www.whu.com.    IN    A    40.150.47.58
dtklsoxv.www.whu.com.    IN    A    93.155.192.7
jgesctwm.www.whu.com.    IN    A    90.5.67.162
vxmedlqk.www.whu.com.    IN    A    126.32.113.167
cyrkipwj.www.whu.com.    IN    A    105.185.8.74
itwebpka.www.whu.com.    IN    A    112.111.23.59
ckldgqwr.www.whu.com.    IN    A    178.70.232.77
qatcvspb.www.whu.com.    IN    A    155.64.111.149
xoqknsvr.www.whu.com.    IN    A    8.123.165.210
qgvobrep.www.whu.com.    IN    A    76.60.159.178
ycwnlkbm.www.whu.com.    IN    A    234.145.192.120
xelnawtj.www.whu.com.    IN    A    156.173.79.31
svpmxifn.www.whu.com.    IN    A    66.227.78.244
jknetqcv.www.whu.com.    IN    A    207.96.73.61
dutqaokx.www.whu.com.    IN    A    63.72.151.205
lqntfrwe.www.whu.com.    IN    A    185.186.175.176
nlaehpio.www.whu.com.    IN    A    131.40.217.203
qiwgtuld.www.whu.com.    IN    A    230.208.169.130
tvmgncay.www.whu.com.    IN    A    172.36.101.225
vkebfdop.www.whu.com.    IN    A    18.6.229.143
axfhjywq.www.whu.com.    IN    A    142.177.141.130
pciqkuxe.www.whu.com.    IN    A    65.78.113.189
afndemsl.www.whu.com.    IN    A    74.74.80.127
ieqjrtmc.www.whu.com.    IN    A    204.191.155.86
dmlnecph.www.whu.com.    IN    A    148.7.35.164
mniwfxvq.www.whu.com.    IN    A    130.227.82.90
qludvbcx.www.whu.com.    IN    A    79.34.200.209
bnwkaqfl.www.whu.com.    IN    A    154.14.199.3
ufjyrlow.www.whu.com.    IN    A    162.215.97.226
vuyrdatl.www.whu.com.    IN    A    123.68.220.251
udfqnwrg.www.whu.com.    IN    A    179.189.234.215
vwdlfxms.www.whu.com.    IN    A    187.108.47.144
frjcgqvn.www.whu.com.    IN    A    40.90.221.95
pfydijub.www.whu.com.    IN    A    222.61.73.18
guskmleo.www.whu.com.    IN    A    252.30.163.242
csirphku.www.whu.com.    IN    A    188.29.118.183
otihqdmj.www.whu.com.    IN    A    156.198.197.55
ohtrcblm.www.whu.com.    IN    A    127.237.38.143
xquhfmjd.www.whu.com.    IN    A    173.216.7.187
ocwsyhrm.www.whu.com.    IN    A    149.176.191.192
hgdpvqei.www.whu.com.    IN    A    11.251.106.147
asfencho.www.whu.com.    IN    A    93.171.236.6
vnxopgue.www.whu.com.    IN    A    99.25.121.66
leuircmv.www.whu.com.    IN    A    210.117.168.82
cibgdesm.www.whu.com.    IN    A    78.158.117.187
enpmvbld.www.whu.com.    IN    A    148.15.148.182
edpuqhsy.www.whu.com.    IN    A    246.194.79.211
vyxgnhek.www.whu.com.    IN    A    60.235.37.5
tomiexsn.www.whu.com.    IN    A    116.35.168.192
pgtanhom.www.whu.com.    IN    A    50.113.227.34
ienjhtol.www.whu.com.    IN    A    132.201.164.197
qoerwvni.www.whu.com.    IN    A    42.121.84.214
lsnirdqf.www.whu.com.    IN    A    97.77.225.51
wlmqsihv.www.whu.com.    IN    A    44.230.90.76
keaoqlmu.www.whu.com.    IN    A    60.70.162.157
albkxnhs.www.whu.com.    IN    A    143.248.63.106
fetjsogc.www.whu.com.    IN    A    190.227.15.26
ligdkxvb.www.whu.com.    IN    A    23.129.39.91
ldvgcqou.www.whu.com.    IN    A    38.49.68.42
kbmexlpn.www.whu.com.    IN    A    29.233.67.149
olbrstwv.www.whu.com.    IN    A    233.244.209.146
yxevgaoq.www.whu.com.    IN    A    176.86.128.83
qryjuvnh.www.whu.com.    IN    A    95.40.248.3
ygijowab.www.whu.com.    IN    A    115.73.217.24
fjrbqaek.www.whu.com.    IN    A    177.100.78.160
pgkaqsdy.www.whu.com.    IN    A    8.197.72.153
lnhvuwbo.www.whu.com.    IN    A    175.95.118.156
patcymol.www.whu.com.    IN    A    250.196.168.46
hkablwuf.www.whu.com.    IN    A    214.37.102.219
jkmpuybo.www.whu.com.    IN    A    233.103.206.127
rbdtfuyn.www.whu.com.    IN    A    128.236.44.110
xrwgusjq.www.whu.com.    IN    A    173.211.251.139
tfpdsnov.www.whu.com.    IN    A    150.90.82.164
qnjsxhty.www.whu.com.    IN    A    120.210.191.83
vunaksfl.www.whu.com.    IN    A    76.164.224.89
qesrdtng.www.whu.com.    IN    A    178.74.167.203
lkghtbpd.www.whu.com.    IN    A    199.248.133.128
pyscdfwg.www.whu.com.    IN    A    169.139.95.167
sajbylip.www.whu.com.    IN    A    125.136.142.244
gywqslmd.www.whu.com.    IN    A    255.59.95.24
cnxfwqtd.www.whu.com.    IN    A    182.239.203.12
oladkshq.www.whu.com.    IN    A    109.118.101.11
mthjieyg.www.whu.com.    IN    A    43.14.114.32
qkgudwiy.www.whu.com.    IN    A    41.34.213.30
fbjrliom.www.whu.com.    IN    A    119.139.169.35
bwqroklf.www.whu.com.    IN    A    148.251.198.196
muasytpj.www.whu.com.    IN    A    228.83.83.254
pgfherxv.www.whu.com.    IN    A    216.218.169.132
pstywfoj.www.whu.com.    IN    A    209.33.168.107
lkecjqtx.www.whu.com.    IN    A    57.112.137.196
cmlvwxfa.www.whu.com.    IN    A    82.3.176.164
wtknmbdh.www.whu.com.    IN    A    140.198.8.61
ucwfliob.www.whu.com.    IN    A    78.27.7.77
jpoaiysd.www.whu.com.    IN    A    229.216.174.243
iwmjdpec.www.whu.com.    IN    A    169.29.95.84
vkecobxr.www.whu.com.    IN    A    157.48.142.173
gcmkwnbo.www.whu.com.    IN    A    222.235.146.80
wjdhtyql.www.whu.com.    IN    A    95.196.183.198
pxyvoufj.www.whu.com.    IN    A    127.137.44.0
qynpmoeu.www.whu.com.    IN    A    101.168.20.153
jtubsxre.www.whu.com.    IN    A    95.2.162.56
tvsuxmbr.www.whu.com.    IN    A    163.24.139.116
lfiyoxtc.www.whu.com.    IN    A    37.153.193.15
yigwhncm.www.whu.com.    IN    A    11.97.227.213
rqeambuo.www.whu.com.    IN    A    136.65.45.175
peawionm.www.whu.com.    IN    A    128.227.252.39
wycousrt.www.whu.com.    IN    A    73.13.84.146
itadsylm.www.whu.com.    IN    A    53.254.193.129
xfcroudn.www.whu.com.    IN    A    199.92.99.217
pcwivyft.www.whu.com.    IN    A    193.97.53.200
intjgbdc.www.whu.com.    IN    A    50.58.99.135
gibsuovr.www.whu.com.    IN    A    167.234.74.122
bnfjdhsl.www.whu.com.    IN    A    127.251.109.217
cflrkpoy.www.whu.com.    IN    A    32.225.165.189
buxcrqts.www.whu.com.    IN    A    160.100.96.241
lpgmvnrd.www.whu.com.    IN    A    178.231.38.195
fqhkwsjy.www.whu.com.    IN    A    240.148.65.88
vdoqcbhr.www.whu.com.    IN    A    112.111.174.167
ghusbjqc.www.whu.com.    IN    A    103.118.6.41
tcsluqkx.www.whu.com.    IN    A    21.198.9.180
fchubjgo.www.whu.com.    IN    A    162.49.203.94
jomynxpu.www.whu.com.    IN    A    1.168.186.164
lpdixavm.www.whu.com.    IN    A    208.4.190.70
htcygwms.www.whu.com.    IN    A    142.253.49.150
luxckwmv.www.whu.com.    IN    A    56.68.234.251
yltsgahn.www.whu.com.    IN    A    99.93.247.206
hogiyjev.www.whu.com.    IN    A    82.165.207.191
uakejvyi.www.whu.com.    IN    A    153.131.69.152
edtqrijk.www.whu.com.    IN    A    250.173.64.202
flwimdgn.www.whu.com.    IN    A    66.193.205.79
lycbgiwm.www.whu.com.    IN    A    212.148.143.113
gvcqusri.www.whu.com.    IN    A    8.154.213.146
ogurctwn.www.whu.com.    IN    A    238.65.165.12
jnxolriq.www.whu.com.    IN    A    151.242.178.140
sljtmbyr.www.whu.com.    IN    A    217.166.25.222
fmdskgen.www.whu.com.    IN    A    235.185.185.184
vrkunpxb.www.whu.com.    IN    A    187.69.112.15
hbnsilkf.www.whu.com.    IN    A    154.175.147.203
eudjkvro.www.whu.com.    IN    A    14.104.89.128
hxlnvbqg.www.whu.com.    IN    A    199.119.197.225
pgawrjtd.www.whu.com.    IN    A    74.99.207.25
sthwpmqg.www.whu.com.    IN    A    104.237.89.212
xptliykh.www.whu.com.    IN    A    84.131.111.149
ynqdgpux.www.whu.com.    IN    A    238.236.138.202
gmriowhy.www.whu.com.    IN    A    203.2.37.48
hkyetgxi.www.whu.com.    IN    A    58.128.144.118
mjceryso.www.whu.com.    IN    A    55.185.102.253
dmeovchk.www.whu.com.    IN    A    66.123.195.240
hkbleaqp.www.whu.com.    IN    A    202.192.49.208
xnsyjrpk.www.whu.com.    IN    A    234.149.198.255
ayolpebu.www.whu.com.    IN    A    162.89.228.161
jncxrvdq.www.whu.com.    IN    A    81.204.114.20
jyuldsek.www.whu.com.    IN    A    195.214.233.88
anrobetg.www.whu.com.    IN    A    32.255.44.75
vfxticdn.www.whu.com.    IN    A    66.151.19.139
jmroideg.www.whu.com.    IN    A    118.37.104.248
sroajhpu.www.whu.com.    IN    A    193.76.41.8
gadojiup.www.whu.com.    IN    A    90.202.23.44
hklqnajf.www.whu.com.    IN    A    20.10.61.157
hfwountl.www.whu.com.    IN    A    21.42.185.161
aukxtlnm.www.whu.com.    IN    A    40.170.125.208
qmcsyike.www.whu.com.    IN    A    110.230.179.13
snvdgmjw.www.whu.com.    IN    A    124.207.93.116
ltaxihym.www.whu.com.    IN    A    15.7.135.88
iwfqesor.www.whu.com.    IN    A    239.140.110.0
ratebmdn.www.whu.com.    IN    A    75.2.134.46
kedotilc.www.whu.com.    IN    A    50.54.45.187
scfpmoek.www.whu.com.    IN    A    78.65.176.228
ltbmwhyv.www.whu.com.    IN    A    105.126.205.154
wikgqsru.www.whu.com.    IN    A    127.154.106.82
dktoenpw.www.whu.com.    IN    A    134.0.11.50
wjisbgtq.www.whu.com.    IN    A    162.99.17.166
pgshcmbx.www.whu.com.    IN    A    217.149.181.20
ymdqhnos.www.whu.com.    IN    A    201.136.69.89
lcndhust.www.whu.com.    IN    A    42.163.182.48
poutcary.www.whu.com.    IN    A    100.120.163.194
sqmhgynd.www.whu.com.    IN    A    10.88.154.30
nohrbksx.www.whu.com.    IN    A    163.135.217.111
ghsbvkdq.www.whu.com.    IN    A    168.214.207.114
okvchpyw.www.whu.com.    IN    A    53.214.86.148
sltpmrje.www.whu.com.    IN    A    207.210.120.30
egathiso.www.whu.com.    IN    A    27.174.12.55
qsuyhwro.www.whu.com.    IN    A    107.69.31.222
qbjipdvg.www.whu.com.    IN    A    29.113.14.112
woxmpgru.www.whu.com.    IN    A    68.227.226.60
mlgptxin.www.whu.com.    IN    A    110.103.242.38
mpykdsqh.www.whu.com.    IN    A    242.166.190.134
dklsmqgw.www.whu.com.    IN    A    5.127.109.55
hxkbpyml.www.whu.com.    IN    A    138.255.229.236
etslgdho.www.whu.com.    IN    A    56.120.194.218
uxvyeibk.www.whu.com.    IN    A    80.204.65.201
gpnmtkxd.www.whu.com.    IN    A    158.154.1.130
wmcuohyi.www.whu.com.    IN    A    51.85.49.186
qnfrcmxi.www.whu.com.    IN    A    235.128.108.106
jcukqfgn.www.whu.com.    IN    A    149.112.102.64
raesmyut.www.whu.com.    IN    A    50.26.179.28
muptsyik.www.whu.com.    IN    A    137.91.151.100
xytmrfla.www.whu.com.    IN    A    146.180.141.29
iktqfsoe.www.whu.com.    IN    A    169.92.223.187
hkebxlpn.www.whu.com.    IN    A    163.3.249.217
cyvehlbp.www.whu.com.    IN    A    218.250.220.98
luqdsrja.www.whu.com.    IN    A    249.190.242.119
mltsaqou.www.whu.com.    IN    A    57.199.32.136
bodantuk.www.whu.com.    IN    A    47.46.249.8
aeysgcmj.www.whu.com.    IN    A    194.189.140.94
vsuflqxa.www.whu.com.    IN    A    247.192.192.192
tdlakewx.www.whu.com.    IN    A    201.127.3.145
nftqaolw.www.whu.com.    IN    A    51.66.112.145
usatheyo.www.whu.com.    IN    A    6.12.21.154
kgnxbadw.www.whu.com.    IN    A    213.0.70.220
gplraevt.www.whu.com.    IN    A    164.168.252.251
cgmferyq.www.whu.com.    IN    A    157.252.163.114
giwlrfpe.www.whu.com.    IN    A    59.171.154.206
iwubajln.www.whu.com.    IN    A    242.137.83.122
ljonecks.www.whu.com.    IN    A    242.199.160.61
ytisgvnm.www.whu.com.    IN    A    255.205.159.147
aumydpsg.www.whu.com.    IN    A    148.54.47.243
eqxijyuk.www.whu.com.    IN    A    131.1.60.139
kfexcadq.www.whu.com.    IN    A    95.59.87.63
mrkvpxoq.www.whu.com.    IN    A    165.254.15.97
albsvoxm.www.whu.com.    IN    A    253.51.203.185
rwbodavn.www.whu.com.    IN    A    185.98.107.113
gqhojerw.www.whu.com.    IN    A    222.111.180.139
diujonrt.www.whu.com.    IN    A    181.92.101.12
bloktpie.www.whu.com.    IN    A    56.115.105.251
pbmrevcn.www.whu.com.    IN    A    212.172.171.87
abxuytkl.www.whu.com.    IN    A    153.8.48.104
oamuhbts.www.whu.com.    IN    A    158.141.48.37
rtwmfvpn.www.whu.com.    IN    A    18.103.49.44
dcwkxnho.www.whu.com.    IN    A    105.113.117.10
ijypqdau.www.whu.com.    IN    A    205.186.94.110
yfgjvion.www.whu.com.    IN    A    155.26.44.173
iwgtvnlb.www.whu.com.    IN    A    234.121.138.106
sjufadio.www.whu.com.    IN    A    168.135.53.53
mqhbtcef.www.whu.com.    IN    A    132.235.9.96
saxqgyfw.www.whu.com.    IN    A    92.133.110.251
rjxgwthq.www.whu.com.    IN    A    150.126.32.121
upwgfobn.www.whu.com.    IN    A    210.48.94.158
pakuhdry.www.whu.com.    IN    A    116.252.136.65
fckyqega.www.whu.com.    IN    A    165.93.192.20
nwhsfxuv.www.whu.com.    IN    A    171.55.16.158
olfxbjqe.www.whu.com.    IN    A    152.252.55.234
iwxyueqn.www.whu.com.    IN    A    220.208.113.119
isxholra.www.whu.com.    IN    A    217.122.218.130
ekraqcxl.www.whu.com.    IN    A    245.174.5.165
ncekpmfa.www.whu.com.    IN    A    35.229.177.146
micohdjg.www.whu.com.    IN    A    136.239.176.188
qutfreyp.www.whu.com.    IN    A    145.230.174.86
vqbptlgo.www.whu.com.    IN    A    122.6.134.75
wulikjdn.www.whu.com.    IN    A    178.175.139.201
bmunpxlh.www.whu.com.    IN    A    78.96.159.194
wotpenhc.www.whu.com.    IN    A    93.49.174.126
jotecwbu.www.whu.com.    IN    A    13.22.161.236
modytafv.www.whu.com.    IN    A    204.224.243.246
nxokgiab.www.whu.com.    IN    A    97.192.56.52
boijtvge.www.whu.com.    IN    A    144.178.80.122
fleosqam.www.whu.com.    IN    A    163.178.215.146
bfetuxkh.www.whu.com.    IN    A    124.168.144.231
gdlrwahn.www.whu.com.    IN    A    53.13.179.5
yjfiwqal.www.whu.com.    IN    A    249.76.231.174
rjeocfdk.www.whu.com.    IN    A    90.81.52.53
ruygfjwn.www.whu.com.    IN    A    219.157.88.206
yfetkglo.www.whu.com.    IN    A    46.64.82.105
chtaqdoj.www.whu.com.    IN    A    208.242.196.228
blkprycd.www.whu.com.    IN    A    107.71.57.150
wqdhrupy.www.whu.com.    IN    A    187.9.169.5
diurjmfc.www.whu.com.    IN    A    60.84.56.53
dityhebv.www.whu.com.    IN    A    165.146.41.135
scbtomqd.www.whu.com.    IN    A    101.53.250.27
tceslxbv.www.whu.com.    IN    A    166.127.66.2
qkxedrtl.www.whu.com.    IN    A    182.78.6.68
jvwiyqrx.www.whu.com.    IN    A    9.82.63.21
qlgksvnr.www.whu.com.    IN    A    81.85.226.104
whkmfjqp.www.whu.com.    IN    A    117.126.36.60
rlkgjymx.www.whu.com.    IN    A    197.250.223.83
bucnsqpt.www.whu.com.    IN    A    176.0.251.83
akoeslhn.www.whu.com.    IN    A    49.32.116.126
qweahyfo.www.whu.com.    IN    A    116.25.126.216
fwiagrcu.www.whu.com.    IN    A    157.234.24.216
abwfvojl.www.whu.com.    IN    A    248.254.18.242
klxyajwq.www.whu.com.    IN    A    63.40.116.30
nqrdlfct.www.whu.com.    IN    A    83.33.108.26
kecljtoq.www.whu.com.    IN    A    172.161.232.174
rjnslgpc.www.whu.com.    IN    A    67.31.239.250
mkxtsvjg.www.whu.com.    IN    A    58.59.124.55
pwthsfei.www.whu.com.    IN    A    196.17.2.30
negxsqja.www.whu.com.    IN    A    3.21.25.80
ucsftwqk.www.whu.com.    IN    A    174.184.86.182
vunbowxk.www.whu.com.    IN    A    245.145.2.248
bmqufjln.www.whu.com.    IN    A    67.99.208.233
sxpinyca.www.whu.com.    IN    A    164.11.55.198
lfwuxpcr.www.whu.com.    IN    A    185.58.253.13
npgfdych.www.whu.com.    IN    A    90.135.240.237
ycpbtxqa.www.whu.com.    IN    A    237.167.47.10
qokcrlpt.www.whu.com.    IN    A    239.22.176.225
aqckgfys.www.whu.com.    IN    A    12.95.224.135
msofkera.www.whu.com.    IN    A    6.216.151.36
thpclbas.www.whu.com.    IN    A    200.189.115.10
pmcvblqs.www.whu.com.    IN    A    249.242.252.173
aslnhwgi.www.whu.com.    IN    A    193.20.206.59
sqjhcmpg.www.whu.com.    IN    A    50.170.57.215
hmypnsfc.www.whu.com.    IN    A    101.12.7.201
psrnxjao.www.whu.com.    IN    A    136.193.19.226
eshgicjo.www.whu.com.    IN    A    103.4.73.207
wjnyqklp.www.whu.com.    IN    A    148.253.199.219
yxauvkdb.www.whu.com.    IN    A    40.36.179.68
rbdpjwau.www.whu.com.    IN    A    13.17.147.240
untiolqr.www.whu.com.    IN    A    29.133.112.90
sfwegiox.www.whu.com.    IN    A    93.216.137.82
kgjvlaye.www.whu.com.    IN    A    5.47.25.43
xvisewdc.www.whu.com.    IN    A    156.59.140.10
xgeljtca.www.whu.com.    IN    A    87.214.81.36
qfkcsgpw.www.whu.com.    IN    A    9.188.151.51
iouwcjdt.www.whu.com.    IN    A    3.45.167.79
adfkpnhq.www.whu.com.    IN    A    193.58.112.13
wdtlriyo.www.whu.com.    IN    A    220.244.140.25
jwfsdtkq.www.whu.com.    IN    A    252.206.122.187
ackfyulv.www.whu.com.    IN    A    205.22.127.114
tnjohwam.www.whu.com.    IN    A    132.74.184.241
xtlwcofg.www.whu.com.    IN    A    132.59.31.167
ypsmqajk.www.whu.com.    IN    A    13.112.134.140
nypmrloi.www.whu.com.    IN    A    245.28.183.171
qlkeohaf.www.whu.com.    IN    A    254.201.134.4
fsiygxmu.www.whu.com.    IN    A    248.246.118.158
qnsvktio.www.whu.com.    IN    A    73.97.39.143
seuncpdf.www.whu.com.    IN    A    208.39.116.131
hyopblkn.www.whu.com.    IN    A    31.207.223.19
itbrhcyp.www.whu.com.    IN    A    106.201.22.140
umcvwgsh.www.whu.com.    IN    A    85.88.239.52
jfswpgdr.www.whu.com.    IN    A    102.105.250.34
nwjrkluy.www.whu.com.    IN    A    212.124.141.250
pnsrldio.www.whu.com.    IN    A    1.104.178.93
dprafhen.www.whu.com.    IN    A    237.181.219.150
lsydbrae.www.whu.com.    IN    A    142.171.62.164
tuxoqhci.www.whu.com.    IN    A    154.96.162.52
hnwodauc.www.whu.com.    IN    A    24.222.75.189
cnqsokbv.www.whu.com.    IN    A    122.117.130.229
jwvqpxca.www.whu.com.    IN    A    59.215.89.50
nyplqusf.www.whu.com.    IN    A    124.137.61.35
namwluyx.www.whu.com.    IN    A    152.64.5.188
qntscbex.www.whu.com.    IN    A    207.24.108.248
npykcjoa.www.whu.com.    IN    A    212.232.93.51
xiftslbr.www.whu.com.    IN    A    247.105.232.22
xuimjgyh.www.whu.com.    IN    A    121.52.188.229
osyjtaki.www.whu.com.    IN    A    21.38.4.55
hntjyklq.www.whu.com.    IN    A    189.213.151.59
wauxjlmi.www.whu.com.    IN    A    81.151.243.171
xbsamyrk.www.whu.com.    IN    A    196.7.104.175
dqomifxc.www.whu.com.    IN    A    42.22.172.172
npsjwqra.www.whu.com.    IN    A    47.172.129.210
oewarudc.www.whu.com.    IN    A    125.56.26.125
qcdjfsup.www.whu.com.    IN    A    153.7.243.207
tyburvij.www.whu.com.    IN    A    193.70.99.218
