; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR xmu.com. @ns2.xmu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.xmu.com. james.xmu.edu. 19122302 14400 3600 2419200 14400
xmu.com.			      14400 IN NS	ns1.xmu.com.
ns1.xmu.com.			      14400 IN A	10.166.21.12

www.xmu.com.		      14400 IN NS	ns1.www.xmu.com.
ns1.www.xmu.com.		      14400 IN A		10.166.21.13

informatics.xmu.com.		      14400 IN NS	ns1.informatics.xmu.com.
ns1.informatics.xmu.com.		      14400 IN A		10.166.21.14

sm.xmu.com.		      14400 IN NS	ns1.sm.xmu.com.
ns1.sm.xmu.com.		      14400 IN A		10.166.21.15

xmu.com.			      14400 IN MX	10 smtp.xmu.edu.
xmu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
fomrjyex.xmu.com.        IN    A    243.7.176.249
cqomnyvt.xmu.com.        IN    A    29.193.130.113
ygdkbhne.xmu.com.        IN    A    238.122.207.209
fdqbrslp.xmu.com.        IN    A    72.163.178.47
menrjkcg.xmu.com.        IN    A    152.197.238.152
fcdpeviq.xmu.com.        IN    A    157.147.158.245
tbmryovx.xmu.com.        IN    A    199.102.215.61
wahtqbjd.xmu.com.        IN    A    42.170.183.161
qdnysptf.xmu.com.        IN    A    233.211.232.216
pbnqmcxo.xmu.com.        IN    A    139.156.151.67
ktuypdnv.xmu.com.        IN    A    181.190.206.191
bpjvxmrw.xmu.com.        IN    A    65.38.46.195
iaehownr.xmu.com.        IN    A    181.84.254.6
pgncjlmd.xmu.com.        IN    A    91.120.185.160
duopyehs.xmu.com.        IN    A    201.116.209.121
ufmpvqxb.xmu.com.        IN    A    44.142.107.221
glfxhokr.xmu.com.        IN    A    76.148.206.61
lwbhqpdg.xmu.com.        IN    A    84.212.129.224
fanmhevy.xmu.com.        IN    A    56.97.246.104
okefivgs.xmu.com.        IN    A    172.74.22.224
rtaqpuxh.xmu.com.        IN    A    135.210.203.142
oekxiaph.xmu.com.        IN    A    211.99.243.171
raxmbfdu.xmu.com.        IN    A    40.6.8.199
mlefxniu.xmu.com.        IN    A    138.229.83.13
swqxojfl.xmu.com.        IN    A    99.158.108.197
wohltgbj.xmu.com.        IN    A    58.204.16.112
mwykoanv.xmu.com.        IN    A    179.79.20.18
hqbgusye.xmu.com.        IN    A    41.82.151.65
salitvkq.xmu.com.        IN    A    131.112.235.94
hijrwfov.xmu.com.        IN    A    229.11.126.142
sdykgimj.xmu.com.        IN    A    222.164.18.174
jqbegkhw.xmu.com.        IN    A    99.185.37.223
muaxcdby.xmu.com.        IN    A    68.43.170.127
cvubesdl.xmu.com.        IN    A    169.145.247.169
dmevrgwx.xmu.com.        IN    A    242.53.86.93
xlocngim.xmu.com.        IN    A    216.144.19.183
hnqvpxfl.xmu.com.        IN    A    30.55.34.149
mscftora.xmu.com.        IN    A    108.15.4.252
ensuykqh.xmu.com.        IN    A    21.43.88.32
ocmaelpv.xmu.com.        IN    A    230.94.87.201
nafeyuoc.xmu.com.        IN    A    179.244.170.197
ynimolvk.xmu.com.        IN    A    6.151.251.11
vsdpfaoi.xmu.com.        IN    A    100.104.38.234
wxmeuqpl.xmu.com.        IN    A    122.160.139.200
fmrbjtsn.xmu.com.        IN    A    148.194.26.98
ujabidth.xmu.com.        IN    A    210.246.246.109
vnamgecd.xmu.com.        IN    A    72.148.231.221
jokhwedt.xmu.com.        IN    A    164.60.81.93
dybwepti.xmu.com.        IN    A    238.126.73.62
vfkodheu.xmu.com.        IN    A    25.138.128.198
hrmycnpi.xmu.com.        IN    A    11.118.196.74
lumpwqvx.xmu.com.        IN    A    179.109.21.191
qdbycrio.xmu.com.        IN    A    144.157.234.113
dujqhyeg.xmu.com.        IN    A    0.115.96.164
gfhypwtc.xmu.com.        IN    A    55.35.158.123
xrukjawf.xmu.com.        IN    A    79.69.38.116
ymxkohbu.xmu.com.        IN    A    183.69.24.65
qfydgtcp.xmu.com.        IN    A    68.45.149.27
vdmsehti.xmu.com.        IN    A    77.92.69.249
dkqsegmr.xmu.com.        IN    A    142.10.10.242
obeprwjd.xmu.com.        IN    A    72.46.84.60
ctxyrbue.xmu.com.        IN    A    252.165.71.168
ikafjsrw.xmu.com.        IN    A    11.96.105.173
xeisrpjv.xmu.com.        IN    A    197.84.175.140
eydkcvrj.xmu.com.        IN    A    232.252.191.56
ecoilkqy.xmu.com.        IN    A    139.90.146.56
uepyinha.xmu.com.        IN    A    213.175.81.133
pihxmdlg.xmu.com.        IN    A    58.114.193.162
ghtsvcyq.xmu.com.        IN    A    249.171.16.156
xojcqhgd.xmu.com.        IN    A    181.163.48.51
cswmrpdl.xmu.com.        IN    A    233.223.108.215
mckoswhg.xmu.com.        IN    A    5.199.227.150
rwnsxvhd.xmu.com.        IN    A    158.177.252.65
pkavntdg.xmu.com.        IN    A    127.175.0.194
bpkwufsl.xmu.com.        IN    A    179.255.251.131
iuxwfbkl.xmu.com.        IN    A    91.93.193.146
sbpyejln.xmu.com.        IN    A    229.246.78.224
fpjisbox.xmu.com.        IN    A    210.92.133.165
ktcripvo.xmu.com.        IN    A    117.218.142.47
onguevsh.xmu.com.        IN    A    78.132.182.121
ebcsvwnu.xmu.com.        IN    A    145.56.138.223
aeynbcdt.xmu.com.        IN    A    127.135.207.205
pjvcusof.xmu.com.        IN    A    115.9.222.96
jehkxbqu.xmu.com.        IN    A    187.246.146.65
jwqaguyf.xmu.com.        IN    A    247.246.11.170
tqbrkfil.xmu.com.        IN    A    122.44.89.77
tympgucv.xmu.com.        IN    A    65.137.212.11
smluakcf.xmu.com.        IN    A    248.221.77.9
hklgesju.xmu.com.        IN    A    161.236.87.163
xyemnvgj.xmu.com.        IN    A    50.9.250.70
jyhtsori.xmu.com.        IN    A    216.104.250.108
fpxnwake.xmu.com.        IN    A    204.195.47.238
dcsiarjf.xmu.com.        IN    A    36.89.245.154
xykhbgvl.xmu.com.        IN    A    148.4.246.150
lpjbkdwx.xmu.com.        IN    A    189.46.135.159
kswujqge.xmu.com.        IN    A    218.89.16.17
bvpjidkg.xmu.com.        IN    A    76.50.140.1
viqybakf.xmu.com.        IN    A    89.241.177.11
cmniradq.xmu.com.        IN    A    252.80.50.122
ablgcjqw.xmu.com.        IN    A    192.65.51.154
vdwcfroe.xmu.com.        IN    A    194.45.204.29
iyjlvcnq.xmu.com.        IN    A    38.53.233.53
gfvkjpcn.xmu.com.        IN    A    145.203.121.137
gbmuredw.xmu.com.        IN    A    186.171.19.120
tiusorex.xmu.com.        IN    A    102.186.26.103
hlxbousp.xmu.com.        IN    A    212.156.59.219
itlgskan.xmu.com.        IN    A    100.197.85.14
lawxhtvq.xmu.com.        IN    A    56.171.160.255
bxagicps.xmu.com.        IN    A    76.196.85.34
gmcoktax.xmu.com.        IN    A    81.141.60.118
awekqntb.xmu.com.        IN    A    138.161.18.7
xjsgflca.xmu.com.        IN    A    0.45.30.127
fcpkobul.xmu.com.        IN    A    192.227.221.135
scxqemhk.xmu.com.        IN    A    161.158.101.142
cjswrlhb.xmu.com.        IN    A    18.183.254.215
pgrnives.xmu.com.        IN    A    170.23.190.164
elovqgxi.xmu.com.        IN    A    123.165.40.146
sfeuaqxp.xmu.com.        IN    A    60.176.237.224
bghpdqvt.xmu.com.        IN    A    176.238.227.122
ursyxave.xmu.com.        IN    A    240.5.213.129
dnwlghmy.xmu.com.        IN    A    215.165.137.91
xjfqneks.xmu.com.        IN    A    54.215.20.249
qdabhtvs.xmu.com.        IN    A    122.162.41.50
ldvunqow.xmu.com.        IN    A    187.214.101.43
xjhwptkd.xmu.com.        IN    A    188.65.9.168
thndscbm.xmu.com.        IN    A    157.202.70.22
nfvmteob.xmu.com.        IN    A    75.160.92.26
dfobnwiq.xmu.com.        IN    A    216.163.199.211
pwxchydn.xmu.com.        IN    A    61.163.150.90
isglpcrv.xmu.com.        IN    A    172.233.27.201
tdyqhgos.xmu.com.        IN    A    9.95.194.37
ehxkbsny.xmu.com.        IN    A    63.95.22.106
axyebwlg.xmu.com.        IN    A    17.165.234.174
keyfvrbw.xmu.com.        IN    A    204.10.15.115
epuorchm.xmu.com.        IN    A    168.131.220.151
qbeproys.xmu.com.        IN    A    240.30.163.128
hrsfxoig.xmu.com.        IN    A    218.66.158.236
nkbsygcj.xmu.com.        IN    A    172.221.160.68
knegsyqd.xmu.com.        IN    A    15.143.74.139
ncoglydj.xmu.com.        IN    A    66.127.19.216
tindfvkp.xmu.com.        IN    A    161.5.125.180
ariqkpjd.xmu.com.        IN    A    239.7.97.246
dpcsvtul.xmu.com.        IN    A    126.255.255.116
quyhvocn.xmu.com.        IN    A    46.62.213.230
rfdnpxci.xmu.com.        IN    A    202.162.228.170
oukfabyl.xmu.com.        IN    A    21.97.179.233
teynwfuo.xmu.com.        IN    A    230.250.167.83
fobgaurq.xmu.com.        IN    A    248.132.66.159
ognqdlfu.xmu.com.        IN    A    226.200.32.184
mlowdjya.xmu.com.        IN    A    29.201.39.166
gdhbpyto.xmu.com.        IN    A    225.229.206.247
xunoidbk.xmu.com.        IN    A    221.127.179.232
wctogxfn.xmu.com.        IN    A    112.108.33.76
nhroqgmk.xmu.com.        IN    A    2.57.74.185
msvcyxka.xmu.com.        IN    A    209.95.160.20
thenibsp.xmu.com.        IN    A    88.221.3.49
afvhusbj.xmu.com.        IN    A    80.228.191.178
gfhmklbj.xmu.com.        IN    A    182.104.229.14
fjprwgxa.xmu.com.        IN    A    246.115.190.56
dwvjlnei.xmu.com.        IN    A    42.22.105.148
xjyhkqoc.xmu.com.        IN    A    33.165.216.85
wxgncvrj.xmu.com.        IN    A    41.45.204.154
jifbclgx.xmu.com.        IN    A    255.238.163.108
gjkqlmud.xmu.com.        IN    A    36.26.98.42
wcfjnyvd.xmu.com.        IN    A    153.47.114.201
jrohcnte.xmu.com.        IN    A    62.114.59.157
ineqkhtu.xmu.com.        IN    A    143.20.153.203
cpmilyeb.xmu.com.        IN    A    243.226.255.19
vjoaexgk.xmu.com.        IN    A    202.122.157.66
qfxakiyp.xmu.com.        IN    A    81.157.175.243
bnvadwko.xmu.com.        IN    A    45.145.86.37
hkcafsdq.xmu.com.        IN    A    97.240.115.143
glescadb.xmu.com.        IN    A    137.135.168.102
wvoyrjke.xmu.com.        IN    A    167.221.190.24
lkiomqux.xmu.com.        IN    A    152.236.52.222
bwikmdpu.xmu.com.        IN    A    10.61.9.2
hrjyvqex.xmu.com.        IN    A    28.171.229.114
lowpqknh.xmu.com.        IN    A    130.73.229.240
fuwayoed.xmu.com.        IN    A    1.37.168.203
debhglur.xmu.com.        IN    A    110.104.18.27
lymsbrqd.xmu.com.        IN    A    200.140.193.138
rvloaedq.xmu.com.        IN    A    43.38.110.223
qmgdevwj.xmu.com.        IN    A    7.92.128.31
boqcldah.xmu.com.        IN    A    180.206.71.105
qcifrgxy.xmu.com.        IN    A    206.54.197.138
xqdyphua.xmu.com.        IN    A    145.20.255.185
gdfjlxem.xmu.com.        IN    A    245.68.173.161
fvxujyts.xmu.com.        IN    A    247.243.30.129
apqjebtl.xmu.com.        IN    A    79.26.16.242
jhsfvoub.xmu.com.        IN    A    253.12.28.45
hcmfwlyj.xmu.com.        IN    A    128.171.35.192
sqyciowd.xmu.com.        IN    A    36.43.36.119
fkbjoldy.xmu.com.        IN    A    115.239.19.251
whebymol.xmu.com.        IN    A    73.3.162.187
eumsgtbp.xmu.com.        IN    A    252.230.39.204
gyvoslmb.xmu.com.        IN    A    105.99.153.72
dlnbyxkr.xmu.com.        IN    A    17.236.2.65
ebcfaqlr.xmu.com.        IN    A    225.179.237.175
minvowlf.xmu.com.        IN    A    72.91.197.15
igkhpjou.xmu.com.        IN    A    210.71.44.149
ueqwfinr.xmu.com.        IN    A    114.189.98.136
yrsqxgvb.xmu.com.        IN    A    39.168.89.255
lewpvcqf.xmu.com.        IN    A    122.197.88.208
xcmorksu.xmu.com.        IN    A    216.227.108.223
wfdjmbne.xmu.com.        IN    A    60.47.234.70
vowumila.xmu.com.        IN    A    84.12.49.156
teolhnky.xmu.com.        IN    A    179.53.227.115
regncvwf.xmu.com.        IN    A    245.174.230.186
udfacorg.xmu.com.        IN    A    196.3.98.173
pgboscjm.xmu.com.        IN    A    232.163.244.218
vjgywlqa.xmu.com.        IN    A    111.148.178.166
gedbjpni.xmu.com.        IN    A    97.190.212.83
yumfiprn.xmu.com.        IN    A    10.225.73.223
mjbqxytp.xmu.com.        IN    A    176.253.166.53
lmxfhejk.xmu.com.        IN    A    57.115.165.230
xdecsgnj.xmu.com.        IN    A    112.213.47.165
mwqvrtfp.xmu.com.        IN    A    42.22.227.82
ucihfjpn.xmu.com.        IN    A    54.238.227.166
pvkfaxdq.xmu.com.        IN    A    205.114.0.231
qkcpewyg.xmu.com.        IN    A    101.3.78.26
emckyvht.xmu.com.        IN    A    80.108.119.135
wslekdoq.xmu.com.        IN    A    11.109.95.6
xjweruhd.xmu.com.        IN    A    65.173.13.160
umrfkwxd.xmu.com.        IN    A    151.140.147.159
ltrnqmod.xmu.com.        IN    A    239.183.141.119
fvdbumqs.xmu.com.        IN    A    50.39.144.113
hasprbdm.xmu.com.        IN    A    46.201.211.178
kcdwibgf.xmu.com.        IN    A    62.143.62.116
chfgujtw.xmu.com.        IN    A    232.60.7.245
jethmosc.xmu.com.        IN    A    237.191.85.49
tlfapyqk.xmu.com.        IN    A    35.122.115.214
gbiktlqm.xmu.com.        IN    A    222.11.63.119
ujbnlfkh.xmu.com.        IN    A    174.14.93.89
ojipcvsb.xmu.com.        IN    A    147.196.39.207
eqmcgwna.xmu.com.        IN    A    76.67.208.153
hdoericl.xmu.com.        IN    A    124.138.234.169
dmoevaqc.xmu.com.        IN    A    176.236.224.194
njwqvixb.xmu.com.        IN    A    114.241.26.128
ulhndxak.xmu.com.        IN    A    114.50.252.50
ircepqfb.xmu.com.        IN    A    233.114.163.213
mpihfovw.xmu.com.        IN    A    107.14.155.50
wgatsvbn.xmu.com.        IN    A    16.108.225.86
vtngycrf.xmu.com.        IN    A    206.87.184.124
oimbxjch.xmu.com.        IN    A    203.24.116.251
imuxebhn.xmu.com.        IN    A    138.212.27.135
vslnjuor.xmu.com.        IN    A    142.222.178.45
ihmfwqau.xmu.com.        IN    A    225.14.132.18
ajtmkdnw.xmu.com.        IN    A    5.232.80.140
jqrneacy.xmu.com.        IN    A    115.103.223.84
fumeiylc.xmu.com.        IN    A    227.238.122.201
snjkrlbm.xmu.com.        IN    A    246.188.237.104
axyufbhk.xmu.com.        IN    A    50.4.19.167
knmdouve.xmu.com.        IN    A    63.205.235.245
asenyqpx.xmu.com.        IN    A    152.126.23.151
hfsidxnk.xmu.com.        IN    A    208.69.158.227
auknxobg.xmu.com.        IN    A    242.249.165.208
xykbimta.xmu.com.        IN    A    109.28.28.206
jekdshxb.xmu.com.        IN    A    101.29.202.4
qdlsfrck.xmu.com.        IN    A    36.87.85.206
uglcrsmk.xmu.com.        IN    A    82.66.200.145
vtrdimkf.xmu.com.        IN    A    57.22.136.195
osmkijwt.xmu.com.        IN    A    114.176.194.127
gcxylusw.xmu.com.        IN    A    246.137.208.105
qcnheujp.xmu.com.        IN    A    116.177.57.160
lbupmgvs.xmu.com.        IN    A    176.14.181.108
fwtgbado.xmu.com.        IN    A    167.241.190.46
hvduoxij.xmu.com.        IN    A    243.33.98.175
cqmwjsio.xmu.com.        IN    A    100.107.163.211
vauyqtgf.xmu.com.        IN    A    195.118.53.10
royivhwe.xmu.com.        IN    A    121.93.176.44
byxkrjnv.xmu.com.        IN    A    95.22.8.8
xhldcojp.xmu.com.        IN    A    186.181.69.206
jafkqhui.xmu.com.        IN    A    51.175.55.32
aijtlwqb.xmu.com.        IN    A    140.15.251.157
styiqaow.xmu.com.        IN    A    37.140.119.138
cynlxmej.xmu.com.        IN    A    246.88.53.132
ymghqdrp.xmu.com.        IN    A    68.76.157.221
vtacpugo.xmu.com.        IN    A    71.54.239.112
mwfcltke.xmu.com.        IN    A    159.124.40.235
smhxtydb.xmu.com.        IN    A    81.135.202.120
tfsmcxhp.xmu.com.        IN    A    41.236.131.11
jgpqxmly.xmu.com.        IN    A    93.179.224.0
edgkrfxb.xmu.com.        IN    A    181.94.240.101
crhxelbn.xmu.com.        IN    A    26.243.120.24
xkmbgqic.xmu.com.        IN    A    12.30.33.172
joiqlbyr.xmu.com.        IN    A    106.104.142.162
ciedvhkt.xmu.com.        IN    A    106.78.91.184
jslockwq.xmu.com.        IN    A    159.212.59.186
qgniakvo.xmu.com.        IN    A    163.195.152.168
ybrinkgs.xmu.com.        IN    A    147.60.130.248
bruhwqsj.xmu.com.        IN    A    183.43.159.226
fudwaylb.xmu.com.        IN    A    101.144.14.30
wgfdiaxj.xmu.com.        IN    A    39.32.198.178
lwjkormb.xmu.com.        IN    A    254.137.82.157
rcqvyigw.xmu.com.        IN    A    232.164.60.3
erhwydom.xmu.com.        IN    A    84.187.53.21
bxhpofkr.xmu.com.        IN    A    221.40.237.173
mdbaroph.xmu.com.        IN    A    245.33.211.199
xohalufp.xmu.com.        IN    A    44.127.29.81
mfardpkl.xmu.com.        IN    A    120.154.107.160
soerptva.xmu.com.        IN    A    29.200.100.72
guklypmh.xmu.com.        IN    A    186.13.20.11
wlaesjux.xmu.com.        IN    A    82.150.42.63
otflypud.xmu.com.        IN    A    227.234.84.214
lmdkprfi.xmu.com.        IN    A    87.137.181.11
meivgajd.xmu.com.        IN    A    202.246.107.222
xnchjsfv.xmu.com.        IN    A    229.40.247.231
odekainb.xmu.com.        IN    A    187.0.23.126
rhkejfgq.xmu.com.        IN    A    95.193.75.89
vgknpjil.xmu.com.        IN    A    204.129.220.248
wolqirkx.xmu.com.        IN    A    248.72.191.249
yptrmalc.xmu.com.        IN    A    123.169.225.13
gvmfuhwd.xmu.com.        IN    A    74.178.155.132
wegurixo.xmu.com.        IN    A    149.22.20.157
uwdfgbat.xmu.com.        IN    A    128.244.71.99
xthqjbdg.xmu.com.        IN    A    192.59.81.223
sevprckq.xmu.com.        IN    A    177.47.168.220
nxivqugd.xmu.com.        IN    A    113.142.75.232
mvroxajs.xmu.com.        IN    A    202.149.29.40
votrnfbg.xmu.com.        IN    A    55.235.142.176
sbvuxknm.xmu.com.        IN    A    219.58.184.203
koftwrgq.xmu.com.        IN    A    184.248.3.162
lmftbyan.xmu.com.        IN    A    228.101.128.48
ihxoewap.xmu.com.        IN    A    74.228.179.131
vblyoxhp.xmu.com.        IN    A    117.101.196.198
eljbcgna.xmu.com.        IN    A    194.187.119.212
ucxlovjw.xmu.com.        IN    A    76.34.204.167
qeragbkt.xmu.com.        IN    A    214.151.180.236
puofdxnw.xmu.com.        IN    A    109.14.62.249
bxohwsfm.xmu.com.        IN    A    226.121.119.30
armjhovf.xmu.com.        IN    A    54.185.185.149
jskqblwe.xmu.com.        IN    A    148.175.195.19
ublicovf.xmu.com.        IN    A    162.152.10.163
ytcxpgqe.xmu.com.        IN    A    224.249.250.13
crhobsta.xmu.com.        IN    A    128.27.82.18
ykatwops.xmu.com.        IN    A    23.206.51.83
suorhwab.xmu.com.        IN    A    1.209.242.124
vrktfxqj.xmu.com.        IN    A    234.109.69.28
yvpancqt.xmu.com.        IN    A    188.209.61.46
hednvqsc.xmu.com.        IN    A    98.11.167.254
byvqkcea.xmu.com.        IN    A    245.193.231.33
cnymwpjq.xmu.com.        IN    A    205.59.127.142
chelkrdf.xmu.com.        IN    A    8.58.91.212
defqpjwu.xmu.com.        IN    A    212.81.189.75
shawtfby.xmu.com.        IN    A    118.50.95.142
tqibghrn.xmu.com.        IN    A    58.152.139.143
efipybhj.xmu.com.        IN    A    27.56.192.161
dukqapxe.xmu.com.        IN    A    192.146.250.100
ilwyxrvu.xmu.com.        IN    A    8.68.249.152
xhntpboq.xmu.com.        IN    A    246.115.100.47
uixqdhwr.xmu.com.        IN    A    93.42.227.126
qlybuosv.xmu.com.        IN    A    208.31.35.253
uodnmrqx.xmu.com.        IN    A    89.32.57.26
yjxpgmnv.xmu.com.        IN    A    194.10.7.58
qvodwjha.xmu.com.        IN    A    154.108.53.29
vnojsmdh.xmu.com.        IN    A    6.76.69.128
ulersfac.xmu.com.        IN    A    85.241.147.157
oxbrdinv.xmu.com.        IN    A    105.159.87.22
eobuictq.xmu.com.        IN    A    39.182.219.220
churvant.xmu.com.        IN    A    232.57.165.141
tshcjeod.xmu.com.        IN    A    250.18.181.58
rwkjgqpf.xmu.com.        IN    A    154.26.24.176
nsucgqld.xmu.com.        IN    A    56.73.13.222
xwyvbgeh.xmu.com.        IN    A    247.48.39.38
cdserbxq.xmu.com.        IN    A    69.78.254.20
myifoajs.xmu.com.        IN    A    59.221.226.96
rxyfwqal.xmu.com.        IN    A    13.185.142.112
kownsvmf.xmu.com.        IN    A    109.49.101.147
wbhujycl.xmu.com.        IN    A    129.113.84.80
gltiwraq.xmu.com.        IN    A    81.82.162.199
dgkuotsf.xmu.com.        IN    A    88.136.137.88
qawmtvus.xmu.com.        IN    A    156.80.216.28
npwqbguh.xmu.com.        IN    A    53.103.1.248
adhqjrew.xmu.com.        IN    A    249.7.255.57
haurpxjn.xmu.com.        IN    A    243.23.176.107
svwoyxtg.xmu.com.        IN    A    40.217.35.59
fnudqexc.xmu.com.        IN    A    60.124.221.110
ghcmrfln.xmu.com.        IN    A    177.197.43.194
mspgtboq.xmu.com.        IN    A    216.72.247.41
uhbmsiwf.xmu.com.        IN    A    8.57.244.135
kpfuacwl.xmu.com.        IN    A    125.248.8.51
mpqovstu.xmu.com.        IN    A    114.117.179.98
kqisvheb.xmu.com.        IN    A    62.218.201.68
ylbqjcdr.xmu.com.        IN    A    141.154.228.87
jniehmfc.xmu.com.        IN    A    137.108.173.56
artpixvk.xmu.com.        IN    A    62.229.169.203
dnxuwqjg.xmu.com.        IN    A    26.194.218.34
rgyltmoc.xmu.com.        IN    A    205.206.92.243
pgiovnbd.xmu.com.        IN    A    151.213.66.232
qwaiouxn.xmu.com.        IN    A    237.141.170.181
jiatrcvq.xmu.com.        IN    A    2.142.114.102
ingvylux.xmu.com.        IN    A    209.93.52.5
fiukqbne.xmu.com.        IN    A    201.210.193.126
gdjsnakx.xmu.com.        IN    A    96.187.112.193
ilmtbhue.xmu.com.        IN    A    234.220.2.197
iafldpoe.xmu.com.        IN    A    153.169.129.78
nwkdbqcx.xmu.com.        IN    A    48.59.214.89
kyfgsvhq.xmu.com.        IN    A    131.219.116.127
upkchlsy.xmu.com.        IN    A    22.172.240.71
almvodbk.xmu.com.        IN    A    96.203.222.158
dienrqsl.xmu.com.        IN    A    33.172.212.175
wmrykdhe.xmu.com.        IN    A    147.33.28.251
fmrhyodq.xmu.com.        IN    A    13.146.205.102
tnfygokr.xmu.com.        IN    A    114.162.128.98
wufcdbix.xmu.com.        IN    A    80.219.42.2
