xw.lzu.com.	14400	IN	SOA	ns1.xw.lzu.com. james.lzu.edu. 19122302 14400 3600 2419200 14400
xw.lzu.com.		    IN	NS ns1.xw.lzu.com.
hkqungyv.xw.lzu.com.     IN    A    205.125.60.76
lyverkjo.xw.lzu.com.     IN    A    38.118.218.52
wlejcumn.xw.lzu.com.     IN    A    60.230.208.17
chtoijqn.xw.lzu.com.     IN    A    101.141.155.187
eybgcoxd.xw.lzu.com.     IN    A    95.185.140.172
ymukxrjd.xw.lzu.com.     IN    A    54.13.241.116
qrtbxeoc.xw.lzu.com.     IN    A    52.148.204.150
jldtoure.xw.lzu.com.     IN    A    22.22.84.223
untriosx.xw.lzu.com.     IN    A    227.97.228.85
ujnsgtpy.xw.lzu.com.     IN    A    43.20.101.108
dpnqejhv.xw.lzu.com.     IN    A    176.28.220.211
gjiwvlpy.xw.lzu.com.     IN    A    1.82.41.178
hxykjnaw.xw.lzu.com.     IN    A    118.36.130.8
hmytadfg.xw.lzu.com.     IN    A    144.129.28.223
iuvdrxbm.xw.lzu.com.     IN    A    243.6.144.224
qsmhfjpw.xw.lzu.com.     IN    A    13.209.23.77
cgsjiqed.xw.lzu.com.     IN    A    10.206.253.211
dkiyjslp.xw.lzu.com.     IN    A    178.202.39.17
hpvemwnc.xw.lzu.com.     IN    A    7.34.214.54
khedswqx.xw.lzu.com.     IN    A    205.100.2.200
bwtyqfkv.xw.lzu.com.     IN    A    131.46.153.107
piysjxle.xw.lzu.com.     IN    A    78.45.102.145
sjpyuadx.xw.lzu.com.     IN    A    72.201.184.132
jeyqsimu.xw.lzu.com.     IN    A    18.177.122.254
gpekydvs.xw.lzu.com.     IN    A    254.45.249.157
ukhobvfw.xw.lzu.com.     IN    A    233.35.167.111
tdvihwgm.xw.lzu.com.     IN    A    201.20.206.83
mqjfbyia.xw.lzu.com.     IN    A    81.176.247.122
pnsodugy.xw.lzu.com.     IN    A    120.38.17.168
venfauyq.xw.lzu.com.     IN    A    170.248.146.227
dlrphukf.xw.lzu.com.     IN    A    234.88.254.179
nrpiyshv.xw.lzu.com.     IN    A    139.58.104.151
rycgowqh.xw.lzu.com.     IN    A    62.90.142.61
hjvclsof.xw.lzu.com.     IN    A    74.253.187.104
bqcmyioa.xw.lzu.com.     IN    A    79.167.114.250
txvagqwn.xw.lzu.com.     IN    A    107.115.160.102
ihwgslna.xw.lzu.com.     IN    A    254.242.94.40
idsalwmb.xw.lzu.com.     IN    A    199.52.19.224
xdojnhkp.xw.lzu.com.     IN    A    249.0.79.168
fgwxdijq.xw.lzu.com.     IN    A    137.205.240.219
hqnkcvjs.xw.lzu.com.     IN    A    212.4.228.118
reypknqb.xw.lzu.com.     IN    A    32.8.48.10
cnbsdejw.xw.lzu.com.     IN    A    214.26.17.236
cdyvlrau.xw.lzu.com.     IN    A    7.60.212.192
lmjiasuv.xw.lzu.com.     IN    A    141.210.239.212
ncvyupad.xw.lzu.com.     IN    A    231.169.76.106
dkaxbomy.xw.lzu.com.     IN    A    227.173.25.20
tfvibylk.xw.lzu.com.     IN    A    178.1.217.241
sejdrvwc.xw.lzu.com.     IN    A    94.164.60.39
gndpxcky.xw.lzu.com.     IN    A    1.199.218.82
hojrwmqc.xw.lzu.com.     IN    A    157.38.155.134
gswyeluo.xw.lzu.com.     IN    A    135.241.228.250
cupjngrv.xw.lzu.com.     IN    A    80.146.211.62
mvdbahgy.xw.lzu.com.     IN    A    230.17.73.37
luvmgcsf.xw.lzu.com.     IN    A    62.153.211.211
qwiyuedx.xw.lzu.com.     IN    A    155.203.102.139
bupijsvn.xw.lzu.com.     IN    A    151.75.18.192
twgyfquc.xw.lzu.com.     IN    A    252.125.4.126
hqxlwpfn.xw.lzu.com.     IN    A    117.51.97.26
fcvqdxow.xw.lzu.com.     IN    A    151.253.57.110
mhgnaqsp.xw.lzu.com.     IN    A    135.82.211.63
bifoysnx.xw.lzu.com.     IN    A    135.83.208.224
etlrcsuq.xw.lzu.com.     IN    A    40.196.213.102
cahmidbn.xw.lzu.com.     IN    A    157.163.116.245
hknwjfys.xw.lzu.com.     IN    A    205.159.33.153
limxkdrs.xw.lzu.com.     IN    A    130.246.3.172
yfnidxwp.xw.lzu.com.     IN    A    72.184.214.138
qlbcevdh.xw.lzu.com.     IN    A    162.1.226.199
hsktiypo.xw.lzu.com.     IN    A    36.89.11.34
nyrhpfje.xw.lzu.com.     IN    A    110.103.164.19
sbdltyia.xw.lzu.com.     IN    A    20.93.201.35
wqhfcsvt.xw.lzu.com.     IN    A    37.174.251.131
uktgwxym.xw.lzu.com.     IN    A    205.183.113.117
xhoiaptj.xw.lzu.com.     IN    A    101.81.4.236
wfqxmtpd.xw.lzu.com.     IN    A    99.188.51.53
rxbvjptq.xw.lzu.com.     IN    A    44.64.243.223
gibofmch.xw.lzu.com.     IN    A    37.240.99.64
motufcqv.xw.lzu.com.     IN    A    252.34.148.129
wihntemk.xw.lzu.com.     IN    A    181.98.162.161
csbtyepr.xw.lzu.com.     IN    A    247.67.127.121
qeruixmo.xw.lzu.com.     IN    A    135.17.61.234
igvxpuyd.xw.lzu.com.     IN    A    118.108.175.172
nqwgtbjr.xw.lzu.com.     IN    A    200.198.228.134
hbeamxkd.xw.lzu.com.     IN    A    73.176.202.94
fehjsung.xw.lzu.com.     IN    A    53.86.18.73
snpjketw.xw.lzu.com.     IN    A    49.15.132.172
fxchwrae.xw.lzu.com.     IN    A    170.200.236.219
sbofmlaw.xw.lzu.com.     IN    A    227.237.24.116
andcmpby.xw.lzu.com.     IN    A    217.16.119.64
umrxqhsa.xw.lzu.com.     IN    A    241.47.195.235
ulqrakht.xw.lzu.com.     IN    A    78.93.35.235
pvjhwngt.xw.lzu.com.     IN    A    253.164.104.215
xhgspvar.xw.lzu.com.     IN    A    122.169.49.90
jmdtyvhs.xw.lzu.com.     IN    A    24.154.67.105
pcqgauje.xw.lzu.com.     IN    A    74.117.116.222
htslbvcn.xw.lzu.com.     IN    A    165.254.126.176
vxlcawut.xw.lzu.com.     IN    A    84.2.153.192
ymlrwaux.xw.lzu.com.     IN    A    13.139.31.55
euhabvoj.xw.lzu.com.     IN    A    25.70.53.36
anlqvpeo.xw.lzu.com.     IN    A    123.136.131.247
kvwqfbdx.xw.lzu.com.     IN    A    114.111.225.190
ckagixnp.xw.lzu.com.     IN    A    210.93.254.72
vafwqetj.xw.lzu.com.     IN    A    31.178.57.110
kwntylum.xw.lzu.com.     IN    A    126.207.13.13
ivalqujw.xw.lzu.com.     IN    A    7.209.194.215
ndyoruvg.xw.lzu.com.     IN    A    202.99.156.178
eghtwlbo.xw.lzu.com.     IN    A    177.118.63.248
tmljhkqg.xw.lzu.com.     IN    A    222.84.66.234
ngkimqpf.xw.lzu.com.     IN    A    97.206.135.96
ifwxkjul.xw.lzu.com.     IN    A    7.254.6.167
ywfqsnix.xw.lzu.com.     IN    A    102.226.115.195
sxukcmbj.xw.lzu.com.     IN    A    14.92.107.161
chprkidw.xw.lzu.com.     IN    A    180.90.141.69
bgxvpdaw.xw.lzu.com.     IN    A    56.68.60.229
ciburgey.xw.lzu.com.     IN    A    23.102.235.192
fyshtlbi.xw.lzu.com.     IN    A    24.17.20.152
uykvrosx.xw.lzu.com.     IN    A    61.248.142.199
radioxys.xw.lzu.com.     IN    A    227.124.194.128
ivosnmba.xw.lzu.com.     IN    A    176.106.67.123
jqlhwome.xw.lzu.com.     IN    A    159.78.77.59
qvawkrso.xw.lzu.com.     IN    A    86.210.167.62
hnekytvp.xw.lzu.com.     IN    A    59.232.213.65
ndsqapum.xw.lzu.com.     IN    A    249.78.149.47
yuhocplw.xw.lzu.com.     IN    A    71.112.28.87
jsmnkudg.xw.lzu.com.     IN    A    199.121.61.100
taqwjgco.xw.lzu.com.     IN    A    198.125.47.97
mltahnpc.xw.lzu.com.     IN    A    153.209.190.195
dwoasrux.xw.lzu.com.     IN    A    96.108.159.30
yqfvuctr.xw.lzu.com.     IN    A    27.0.237.146
vxadrksb.xw.lzu.com.     IN    A    160.126.77.64
tycpldae.xw.lzu.com.     IN    A    151.122.27.220
njcmwvyq.xw.lzu.com.     IN    A    56.35.135.198
uxjgotne.xw.lzu.com.     IN    A    117.199.95.129
brxtukyh.xw.lzu.com.     IN    A    25.245.28.252
upecafkq.xw.lzu.com.     IN    A    138.151.104.240
ekcvrnid.xw.lzu.com.     IN    A    97.84.1.241
skqonelx.xw.lzu.com.     IN    A    164.153.139.143
twrxjspi.xw.lzu.com.     IN    A    211.96.88.125
nowsyvph.xw.lzu.com.     IN    A    70.187.207.218
ekatjowp.xw.lzu.com.     IN    A    138.120.133.174
agwylxcu.xw.lzu.com.     IN    A    11.39.248.17
bamkyfgl.xw.lzu.com.     IN    A    18.5.124.83
ywtdnrgv.xw.lzu.com.     IN    A    205.232.91.107
lrkqdfoy.xw.lzu.com.     IN    A    215.255.64.119
xgkhtjpy.xw.lzu.com.     IN    A    184.210.124.243
lqiujekd.xw.lzu.com.     IN    A    234.165.130.152
sijxoqlh.xw.lzu.com.     IN    A    83.252.95.186
ouiyntxb.xw.lzu.com.     IN    A    217.122.60.84
aqdetwmv.xw.lzu.com.     IN    A    185.109.28.158
ertmxkys.xw.lzu.com.     IN    A    199.180.123.205
ueaojvnt.xw.lzu.com.     IN    A    110.102.136.127
iutqovhy.xw.lzu.com.     IN    A    197.60.13.141
bqtekrcp.xw.lzu.com.     IN    A    145.45.48.45
cplvwiby.xw.lzu.com.     IN    A    131.200.70.61
avoskmid.xw.lzu.com.     IN    A    69.134.105.215
yagkcdpr.xw.lzu.com.     IN    A    11.41.199.176
tcpnevag.xw.lzu.com.     IN    A    33.40.51.76
sbnfaule.xw.lzu.com.     IN    A    114.78.75.135
xdagfwkb.xw.lzu.com.     IN    A    133.8.31.116
ipqdxnra.xw.lzu.com.     IN    A    222.235.182.117
rcostvfq.xw.lzu.com.     IN    A    198.3.173.200
iogjywpr.xw.lzu.com.     IN    A    135.197.183.34
gelpyukf.xw.lzu.com.     IN    A    93.186.223.203
upyxeqto.xw.lzu.com.     IN    A    176.136.48.197
icouaqnf.xw.lzu.com.     IN    A    101.245.104.170
bjcelifp.xw.lzu.com.     IN    A    63.58.176.157
hvgmwern.xw.lzu.com.     IN    A    32.103.173.46
xuiflven.xw.lzu.com.     IN    A    130.58.189.5
mjurvawy.xw.lzu.com.     IN    A    82.18.155.49
fqlwmjoy.xw.lzu.com.     IN    A    32.96.73.44
xhoukepl.xw.lzu.com.     IN    A    154.11.170.79
jlnrsbgc.xw.lzu.com.     IN    A    71.185.113.15
rcowpmla.xw.lzu.com.     IN    A    177.183.122.9
txflacwu.xw.lzu.com.     IN    A    182.129.50.136
fkieonrb.xw.lzu.com.     IN    A    76.148.36.93
glnaejuc.xw.lzu.com.     IN    A    154.188.65.95
yumhfqtv.xw.lzu.com.     IN    A    217.101.34.7
jrsikpbt.xw.lzu.com.     IN    A    103.239.91.140
wgjfbhop.xw.lzu.com.     IN    A    61.101.210.246
krcpsduv.xw.lzu.com.     IN    A    48.33.185.16
ulxbckqi.xw.lzu.com.     IN    A    77.173.241.218
pdskofym.xw.lzu.com.     IN    A    197.255.112.52
ibgfrlnm.xw.lzu.com.     IN    A    175.41.94.197
fmynisae.xw.lzu.com.     IN    A    9.72.25.216
hcnjmlbd.xw.lzu.com.     IN    A    108.188.54.19
poqvbriu.xw.lzu.com.     IN    A    19.44.128.111
jvgmhesy.xw.lzu.com.     IN    A    88.127.196.222
ywrxgalk.xw.lzu.com.     IN    A    114.221.101.206
qawxiroj.xw.lzu.com.     IN    A    83.208.188.194
yodgcvni.xw.lzu.com.     IN    A    212.196.231.224
ihbyrmkn.xw.lzu.com.     IN    A    203.63.31.150
bnmkqihu.xw.lzu.com.     IN    A    76.240.148.131
axfywrms.xw.lzu.com.     IN    A    109.130.41.33
wpjlmxef.xw.lzu.com.     IN    A    250.249.154.166
jrutsxed.xw.lzu.com.     IN    A    229.80.100.48
opefrhtq.xw.lzu.com.     IN    A    221.232.207.240
arpybxth.xw.lzu.com.     IN    A    89.131.174.202
vqtchouk.xw.lzu.com.     IN    A    109.235.133.145
wlxhtgni.xw.lzu.com.     IN    A    191.15.3.41
uvfrlmwa.xw.lzu.com.     IN    A    17.18.104.231
tbmcfywx.xw.lzu.com.     IN    A    247.12.195.19
nweiuqls.xw.lzu.com.     IN    A    225.222.43.127
eqsvthbu.xw.lzu.com.     IN    A    175.111.198.198
wbytekgu.xw.lzu.com.     IN    A    220.18.179.161
wtgcyedj.xw.lzu.com.     IN    A    193.22.108.1
orfpuikj.xw.lzu.com.     IN    A    223.8.7.104
khuvnsty.xw.lzu.com.     IN    A    211.61.10.231
nscfqewi.xw.lzu.com.     IN    A    63.102.98.174
jcgwnixb.xw.lzu.com.     IN    A    172.124.93.65
iqrlxfuk.xw.lzu.com.     IN    A    124.109.70.227
jygqoahw.xw.lzu.com.     IN    A    169.121.0.38
enjwgplv.xw.lzu.com.     IN    A    0.59.29.147
vrbfcogm.xw.lzu.com.     IN    A    95.178.143.114
aogwcidu.xw.lzu.com.     IN    A    60.175.210.236
amxoiypk.xw.lzu.com.     IN    A    116.83.158.124
ohvijtua.xw.lzu.com.     IN    A    26.222.112.71
waiqyelb.xw.lzu.com.     IN    A    24.73.62.185
sxjfidnr.xw.lzu.com.     IN    A    138.111.220.189
tugrbjma.xw.lzu.com.     IN    A    158.21.125.7
seuilywx.xw.lzu.com.     IN    A    174.2.177.73
yimxurfb.xw.lzu.com.     IN    A    160.69.217.62
ndlywbuq.xw.lzu.com.     IN    A    224.218.183.135
hxyanusw.xw.lzu.com.     IN    A    50.79.123.47
havxifpo.xw.lzu.com.     IN    A    231.27.111.157
bgqlvexa.xw.lzu.com.     IN    A    86.122.96.229
ygsaedbv.xw.lzu.com.     IN    A    129.4.25.137
dvpgfoyk.xw.lzu.com.     IN    A    117.206.71.122
ghsuoydl.xw.lzu.com.     IN    A    208.185.50.153
bvhofdcu.xw.lzu.com.     IN    A    105.115.144.102
dbpulniv.xw.lzu.com.     IN    A    203.61.219.241
ymtbjwcl.xw.lzu.com.     IN    A    255.73.191.98
fgkruavn.xw.lzu.com.     IN    A    143.96.253.83
ywirsvxt.xw.lzu.com.     IN    A    47.119.187.194
qispvacn.xw.lzu.com.     IN    A    125.197.28.68
bfpwrgjk.xw.lzu.com.     IN    A    64.167.75.221
lortifeq.xw.lzu.com.     IN    A    103.129.37.126
sofcwhnm.xw.lzu.com.     IN    A    164.224.1.130
ynmwpgsk.xw.lzu.com.     IN    A    231.132.190.224
hncmuitb.xw.lzu.com.     IN    A    82.227.225.202
crlsvtgh.xw.lzu.com.     IN    A    147.215.8.234
mcevoarh.xw.lzu.com.     IN    A    89.128.238.184
xlwerind.xw.lzu.com.     IN    A    1.49.92.93
ujslxptk.xw.lzu.com.     IN    A    205.61.135.196
mkibytaq.xw.lzu.com.     IN    A    36.75.20.222
nxtfqpwh.xw.lzu.com.     IN    A    162.21.249.130
ukmgsntf.xw.lzu.com.     IN    A    166.93.125.192
xjgiwpma.xw.lzu.com.     IN    A    207.12.142.249
qxtpemnr.xw.lzu.com.     IN    A    55.4.246.46
fdechjrg.xw.lzu.com.     IN    A    68.17.152.163
bmtyjvwr.xw.lzu.com.     IN    A    125.161.137.211
jfiabkso.xw.lzu.com.     IN    A    131.137.36.148
ahocbiuy.xw.lzu.com.     IN    A    211.57.193.129
wubisgdy.xw.lzu.com.     IN    A    46.9.226.144
ldmvoxie.xw.lzu.com.     IN    A    36.247.246.246
hvkxjnrt.xw.lzu.com.     IN    A    150.244.14.177
uesobvnt.xw.lzu.com.     IN    A    21.162.46.56
olgfibdp.xw.lzu.com.     IN    A    252.230.34.53
gxjdamuv.xw.lzu.com.     IN    A    176.219.170.154
fcdaymxr.xw.lzu.com.     IN    A    165.36.117.221
bhyqvaod.xw.lzu.com.     IN    A    65.247.170.79
wkfybsvg.xw.lzu.com.     IN    A    2.163.197.164
fhiarywx.xw.lzu.com.     IN    A    205.166.214.55
bwinjqho.xw.lzu.com.     IN    A    186.146.44.135
qwvbhelu.xw.lzu.com.     IN    A    8.61.103.69
bxnwtpha.xw.lzu.com.     IN    A    196.17.92.173
qcfjwxyl.xw.lzu.com.     IN    A    161.232.93.137
aogehjuv.xw.lzu.com.     IN    A    104.246.98.58
keajxfio.xw.lzu.com.     IN    A    112.134.231.90
qapinwsj.xw.lzu.com.     IN    A    81.88.65.178
pgofwajq.xw.lzu.com.     IN    A    221.150.173.185
djxahtbc.xw.lzu.com.     IN    A    179.218.12.220
nghrymfx.xw.lzu.com.     IN    A    150.121.84.194
tgirlqnk.xw.lzu.com.     IN    A    72.155.24.144
pxlhcuwj.xw.lzu.com.     IN    A    18.157.92.10
xkejcbuq.xw.lzu.com.     IN    A    179.19.149.189
vgoxwtjy.xw.lzu.com.     IN    A    76.247.95.47
eobvjcrn.xw.lzu.com.     IN    A    114.81.188.199
acsbndvh.xw.lzu.com.     IN    A    24.17.41.109
rmwfiqjp.xw.lzu.com.     IN    A    175.42.100.179
uaxytidv.xw.lzu.com.     IN    A    232.112.159.203
rbxdoawj.xw.lzu.com.     IN    A    140.187.157.18
inbeokhs.xw.lzu.com.     IN    A    102.156.140.120
eyrjwmqs.xw.lzu.com.     IN    A    114.29.169.228
dhgnbtsk.xw.lzu.com.     IN    A    101.208.163.149
bawctlkv.xw.lzu.com.     IN    A    242.3.33.247
puhgswiq.xw.lzu.com.     IN    A    17.85.88.123
nxvtcdhw.xw.lzu.com.     IN    A    89.136.50.117
rimyunxt.xw.lzu.com.     IN    A    202.78.183.146
hwkgpmxe.xw.lzu.com.     IN    A    192.37.149.149
bocnrkva.xw.lzu.com.     IN    A    74.141.22.12
uvgflxts.xw.lzu.com.     IN    A    37.117.218.169
kjlaiuto.xw.lzu.com.     IN    A    29.218.178.132
nfuwexha.xw.lzu.com.     IN    A    147.242.240.9
uciolksf.xw.lzu.com.     IN    A    143.39.191.215
tqnuplxw.xw.lzu.com.     IN    A    194.134.136.40
motqfwgu.xw.lzu.com.     IN    A    52.42.236.82
rbwpkdjn.xw.lzu.com.     IN    A    170.206.44.82
ltehgjbq.xw.lzu.com.     IN    A    161.174.35.158
mpvdowct.xw.lzu.com.     IN    A    110.149.161.127
xskplvcn.xw.lzu.com.     IN    A    146.64.237.26
hasnxbgo.xw.lzu.com.     IN    A    39.184.123.211
cnfdvtwk.xw.lzu.com.     IN    A    140.120.110.89
eqdjamgp.xw.lzu.com.     IN    A    190.195.122.198
kabjevyq.xw.lzu.com.     IN    A    248.215.42.87
prtoxjan.xw.lzu.com.     IN    A    144.254.61.201
pobxnhlf.xw.lzu.com.     IN    A    77.190.107.130
abeliqcd.xw.lzu.com.     IN    A    176.158.65.47
yvcptuxq.xw.lzu.com.     IN    A    236.67.109.84
jdkptvch.xw.lzu.com.     IN    A    84.109.195.165
tbacjmor.xw.lzu.com.     IN    A    92.1.210.140
yeknvmba.xw.lzu.com.     IN    A    187.173.183.4
xuibvjyk.xw.lzu.com.     IN    A    167.29.97.201
rpshoiwe.xw.lzu.com.     IN    A    120.5.77.91
xlmofruk.xw.lzu.com.     IN    A    185.141.108.190
pwmsduht.xw.lzu.com.     IN    A    231.55.33.154
dmnxrtcv.xw.lzu.com.     IN    A    247.167.121.155
wmbiypqu.xw.lzu.com.     IN    A    237.53.20.33
mfinyqoh.xw.lzu.com.     IN    A    133.140.50.227
qnryhcsp.xw.lzu.com.     IN    A    155.198.175.249
kfjuovsg.xw.lzu.com.     IN    A    33.83.197.205
wtxhlupc.xw.lzu.com.     IN    A    101.43.67.90
cvnqoaub.xw.lzu.com.     IN    A    48.63.63.116
epjngwvb.xw.lzu.com.     IN    A    70.137.253.100
smcleruw.xw.lzu.com.     IN    A    148.17.27.214
tyegjkcw.xw.lzu.com.     IN    A    96.77.219.43
awbsmrdu.xw.lzu.com.     IN    A    231.186.83.171
rpwuycli.xw.lzu.com.     IN    A    101.105.184.72
rijygovl.xw.lzu.com.     IN    A    158.84.216.183
hbuswlak.xw.lzu.com.     IN    A    170.144.204.9
vuhaogpy.xw.lzu.com.     IN    A    29.247.59.247
pvrmugce.xw.lzu.com.     IN    A    25.241.199.81
acswvlfb.xw.lzu.com.     IN    A    101.141.210.17
bqvelsgo.xw.lzu.com.     IN    A    154.80.41.196
chsvmkxw.xw.lzu.com.     IN    A    230.173.34.191
qjhwscie.xw.lzu.com.     IN    A    158.121.219.167
olavukeh.xw.lzu.com.     IN    A    9.117.226.161
mociaxth.xw.lzu.com.     IN    A    158.148.228.89
unoxlwqr.xw.lzu.com.     IN    A    147.223.60.128
hbgdjvac.xw.lzu.com.     IN    A    190.252.105.128
cdgnilxh.xw.lzu.com.     IN    A    64.204.1.239
htjdqifr.xw.lzu.com.     IN    A    233.76.214.61
hxajebud.xw.lzu.com.     IN    A    51.218.244.193
bslipewq.xw.lzu.com.     IN    A    226.133.188.83
kiraxgep.xw.lzu.com.     IN    A    46.98.65.56
rmdqltkf.xw.lzu.com.     IN    A    98.4.225.60
rdblhekp.xw.lzu.com.     IN    A    75.143.76.212
oynpmexg.xw.lzu.com.     IN    A    229.43.56.51
dswrpxma.xw.lzu.com.     IN    A    42.152.12.0
dcybvswj.xw.lzu.com.     IN    A    247.0.92.251
dfumybhg.xw.lzu.com.     IN    A    81.49.34.211
unldmpag.xw.lzu.com.     IN    A    128.153.111.148
xrilqptc.xw.lzu.com.     IN    A    50.93.81.147
mjfxplsn.xw.lzu.com.     IN    A    56.193.8.16
afhdutsx.xw.lzu.com.     IN    A    199.121.207.89
itkgusqv.xw.lzu.com.     IN    A    79.166.29.97
swcjkfnh.xw.lzu.com.     IN    A    242.241.227.166
kbcrnymf.xw.lzu.com.     IN    A    20.59.10.196
eykfrjqs.xw.lzu.com.     IN    A    175.165.137.18
dwoybgca.xw.lzu.com.     IN    A    193.170.69.79
jifbpmla.xw.lzu.com.     IN    A    207.122.56.39
gdlnawmt.xw.lzu.com.     IN    A    217.185.183.178
qvhoblen.xw.lzu.com.     IN    A    74.6.69.96
ydoicubr.xw.lzu.com.     IN    A    89.138.164.97
abrkycuj.xw.lzu.com.     IN    A    38.64.220.144
xcakstih.xw.lzu.com.     IN    A    30.24.142.180
ycxvnber.xw.lzu.com.     IN    A    111.116.172.98
ghpirmdx.xw.lzu.com.     IN    A    23.75.102.10
qysdobai.xw.lzu.com.     IN    A    88.43.249.11
rhtnsvcg.xw.lzu.com.     IN    A    227.117.201.148
dauowtbl.xw.lzu.com.     IN    A    179.114.47.170
ixwcjdgl.xw.lzu.com.     IN    A    109.210.197.209
noughwai.xw.lzu.com.     IN    A    181.34.18.82
vmwbinpu.xw.lzu.com.     IN    A    35.170.56.248
snetixgq.xw.lzu.com.     IN    A    194.107.178.65
ixequahc.xw.lzu.com.     IN    A    176.105.169.48
xwcqshkf.xw.lzu.com.     IN    A    69.189.247.160
tdqpyear.xw.lzu.com.     IN    A    78.137.213.71
nqhckuat.xw.lzu.com.     IN    A    202.92.41.207
oivslxyq.xw.lzu.com.     IN    A    27.251.247.104
lofnmeis.xw.lzu.com.     IN    A    82.221.97.242
ayblmpio.xw.lzu.com.     IN    A    193.237.80.204
rokpjlst.xw.lzu.com.     IN    A    217.162.63.174
pmovarxy.xw.lzu.com.     IN    A    62.162.205.179
hgjsetau.xw.lzu.com.     IN    A    109.94.114.46
ghdxyobe.xw.lzu.com.     IN    A    164.253.117.24
dpmaeriv.xw.lzu.com.     IN    A    91.11.175.129
rjdebpgk.xw.lzu.com.     IN    A    207.48.79.31
gdrxomks.xw.lzu.com.     IN    A    215.186.127.221
iwbnrguy.xw.lzu.com.     IN    A    165.113.133.142
englsird.xw.lzu.com.     IN    A    215.185.113.81
