; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR cqu.com. @ns2.cqu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.cqu.com. james.cqu.edu. 19122302 14400 3600 2419200 14400
cqu.com.			      14400 IN NS	ns1.cqu.com.
ns1.cqu.com.			      14400 IN A	10.166.21.15

www.cqu.com.		      14400 IN NS	ns1.www.cqu.com.
ns1.www.cqu.com.		      14400 IN A		10.166.21.12

sci.cqu.com.		      14400 IN NS	ns1.sci.cqu.com.
ns1.sci.cqu.com.		      14400 IN A		10.166.21.13

cse.cqu.com.		      14400 IN NS	ns1.cse.cqu.com.
ns1.cse.cqu.com.		      14400 IN A		10.166.21.14

cqu.com.			      14400 IN MX	10 csetp.cqu.edu.
cqu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
twxerkuv.cqu.com.        IN    A    48.64.110.213
tmnsckal.cqu.com.        IN    A    168.39.131.254
atvnjsrm.cqu.com.        IN    A    7.6.189.248
opyqwvfg.cqu.com.        IN    A    108.172.133.252
hxiocbqv.cqu.com.        IN    A    29.158.53.69
kdushbgc.cqu.com.        IN    A    147.40.249.213
kgrfmdib.cqu.com.        IN    A    149.66.49.20
hxvypnqc.cqu.com.        IN    A    139.72.195.199
qefmphso.cqu.com.        IN    A    148.140.243.234
eivlksdm.cqu.com.        IN    A    9.13.29.15
rtfvlpud.cqu.com.        IN    A    134.224.116.42
qrshuidg.cqu.com.        IN    A    76.161.103.79
bsktuwgj.cqu.com.        IN    A    254.162.94.92
jgahqklw.cqu.com.        IN    A    210.156.103.115
bsflonja.cqu.com.        IN    A    76.46.80.55
wiujaqtk.cqu.com.        IN    A    209.164.90.143
ujhwmxba.cqu.com.        IN    A    253.96.167.11
uhipjaso.cqu.com.        IN    A    182.125.38.75
ctajqvou.cqu.com.        IN    A    169.179.230.9
tihosnux.cqu.com.        IN    A    206.64.152.120
qalsvycr.cqu.com.        IN    A    246.74.244.134
aqsvlnfb.cqu.com.        IN    A    23.160.215.104
qfiutpoj.cqu.com.        IN    A    145.13.219.225
jwehiary.cqu.com.        IN    A    51.12.251.114
oaewpunk.cqu.com.        IN    A    80.100.249.73
haunoplj.cqu.com.        IN    A    52.227.243.134
rctmxqfd.cqu.com.        IN    A    208.175.129.207
cmgeqdku.cqu.com.        IN    A    109.115.50.28
vgsbjqxn.cqu.com.        IN    A    12.90.42.144
wujvoidf.cqu.com.        IN    A    237.101.23.46
avjcifob.cqu.com.        IN    A    200.184.167.244
fnkaxicq.cqu.com.        IN    A    246.40.74.76
reptgdmu.cqu.com.        IN    A    56.213.132.156
dkswhxto.cqu.com.        IN    A    99.154.75.73
tfxolqrm.cqu.com.        IN    A    201.6.117.15
tbyspdlc.cqu.com.        IN    A    201.152.117.238
ptdgbqrs.cqu.com.        IN    A    100.230.5.9
pktgvobc.cqu.com.        IN    A    219.187.141.222
uavrhcix.cqu.com.        IN    A    133.79.185.23
rduypbas.cqu.com.        IN    A    0.233.246.146
pywoifub.cqu.com.        IN    A    91.79.244.118
rloxfhjv.cqu.com.        IN    A    53.228.100.94
ixurckva.cqu.com.        IN    A    29.34.61.115
mfpedktc.cqu.com.        IN    A    49.171.173.120
awuijnyp.cqu.com.        IN    A    16.205.233.226
wralfxet.cqu.com.        IN    A    25.220.131.255
uokacdxn.cqu.com.        IN    A    166.77.34.204
usdbmyte.cqu.com.        IN    A    208.206.12.113
pthuscvr.cqu.com.        IN    A    31.230.162.229
hwpnykru.cqu.com.        IN    A    186.149.226.132
epivcyuo.cqu.com.        IN    A    142.37.194.251
sjhwptgk.cqu.com.        IN    A    118.20.70.247
qykviohm.cqu.com.        IN    A    27.216.246.100
ahxpgfkr.cqu.com.        IN    A    235.231.224.133
lgafemri.cqu.com.        IN    A    54.205.202.151
bqpdhlje.cqu.com.        IN    A    200.12.136.24
lorygjve.cqu.com.        IN    A    231.65.43.97
ghsnlemd.cqu.com.        IN    A    109.248.90.153
glbicywx.cqu.com.        IN    A    86.101.208.58
gpqxsmcb.cqu.com.        IN    A    195.184.181.253
amgbipxf.cqu.com.        IN    A    183.191.112.58
cprntqgj.cqu.com.        IN    A    122.77.196.159
esidugyc.cqu.com.        IN    A    141.90.115.192
acupblye.cqu.com.        IN    A    74.25.61.157
jdfvabhx.cqu.com.        IN    A    131.213.41.123
vxceplqh.cqu.com.        IN    A    216.83.159.96
lrackfpo.cqu.com.        IN    A    128.126.184.226
jovywdqk.cqu.com.        IN    A    198.21.253.72
rfugsmix.cqu.com.        IN    A    108.149.28.155
dihvqpkc.cqu.com.        IN    A    205.39.169.159
uqpbfrcw.cqu.com.        IN    A    57.19.133.87
hbrtjolv.cqu.com.        IN    A    67.153.250.254
ilnaymtb.cqu.com.        IN    A    74.5.131.253
vkfuibtl.cqu.com.        IN    A    243.217.249.86
cdjwpsle.cqu.com.        IN    A    162.81.219.120
akcgwber.cqu.com.        IN    A    221.219.96.28
oyqebmrs.cqu.com.        IN    A    230.72.116.156
wgledqyp.cqu.com.        IN    A    85.181.227.221
saneyimx.cqu.com.        IN    A    113.38.25.74
ysabmueg.cqu.com.        IN    A    201.97.139.105
kjtqmeir.cqu.com.        IN    A    164.72.52.188
tlhusaqn.cqu.com.        IN    A    35.194.217.40
digrsklj.cqu.com.        IN    A    108.23.239.171
ydihwklr.cqu.com.        IN    A    61.72.181.143
wveqrbfd.cqu.com.        IN    A    31.221.42.123
uqylajpw.cqu.com.        IN    A    159.81.112.244
anfmkhtc.cqu.com.        IN    A    243.79.153.246
wbmpxofs.cqu.com.        IN    A    131.163.246.20
qkwfxliy.cqu.com.        IN    A    205.102.158.229
eluqjpwh.cqu.com.        IN    A    251.21.145.163
ugytnalj.cqu.com.        IN    A    198.85.197.33
cwupntok.cqu.com.        IN    A    32.47.76.43
xjynhtpa.cqu.com.        IN    A    28.63.68.208
njvipyof.cqu.com.        IN    A    90.170.60.254
pqsnvgwd.cqu.com.        IN    A    43.159.116.0
aeovdxrm.cqu.com.        IN    A    20.208.253.126
cywlansj.cqu.com.        IN    A    35.134.129.210
lejqykxd.cqu.com.        IN    A    28.229.55.87
rmtpqjow.cqu.com.        IN    A    157.16.23.112
wnsutfjo.cqu.com.        IN    A    81.50.174.87
osqkreuj.cqu.com.        IN    A    172.224.87.254
ieobnvkf.cqu.com.        IN    A    89.31.201.99
qdehgjpl.cqu.com.        IN    A    45.78.196.28
dmbrftnj.cqu.com.        IN    A    74.131.137.102
vaowlmjq.cqu.com.        IN    A    59.19.64.44
ytmilorf.cqu.com.        IN    A    100.48.211.163
npoudklr.cqu.com.        IN    A    140.27.230.251
smblayfc.cqu.com.        IN    A    16.247.186.98
qeuybatp.cqu.com.        IN    A    239.74.183.195
lcmgqsoj.cqu.com.        IN    A    163.205.60.3
gjmboxac.cqu.com.        IN    A    98.82.90.127
qxkydpma.cqu.com.        IN    A    18.98.217.213
tkbroceu.cqu.com.        IN    A    22.126.130.5
ndcykmuj.cqu.com.        IN    A    88.74.34.121
xnlertmb.cqu.com.        IN    A    179.215.1.154
efrnujbk.cqu.com.        IN    A    50.4.156.50
pikyxsbn.cqu.com.        IN    A    147.160.85.199
sjfriobk.cqu.com.        IN    A    58.60.14.158
xvfhsogb.cqu.com.        IN    A    32.194.57.197
unexgkoq.cqu.com.        IN    A    51.247.89.93
clnyvfet.cqu.com.        IN    A    190.229.255.40
oufdsnmx.cqu.com.        IN    A    21.7.44.99
wkxeftuv.cqu.com.        IN    A    185.22.255.206
vtroyenk.cqu.com.        IN    A    156.195.3.133
wkopnvsl.cqu.com.        IN    A    171.52.122.52
undemvxa.cqu.com.        IN    A    246.105.142.98
nhygtsbk.cqu.com.        IN    A    113.88.71.39
metjsxhc.cqu.com.        IN    A    144.108.18.248
aqmnltbu.cqu.com.        IN    A    224.12.145.160
gtcyhkpi.cqu.com.        IN    A    18.70.29.79
ruxkcnhy.cqu.com.        IN    A    57.83.125.69
rwixathu.cqu.com.        IN    A    45.54.221.2
mrksugch.cqu.com.        IN    A    183.165.74.238
cxkutfdj.cqu.com.        IN    A    145.112.125.250
vscruepo.cqu.com.        IN    A    10.146.182.69
pboaesjw.cqu.com.        IN    A    26.189.85.42
lionjmxv.cqu.com.        IN    A    68.69.8.249
oecudmiw.cqu.com.        IN    A    53.198.182.238
khlcsrnt.cqu.com.        IN    A    173.173.59.153
acromgkw.cqu.com.        IN    A    80.195.214.173
rglbictj.cqu.com.        IN    A    144.248.211.107
vmbplgdc.cqu.com.        IN    A    231.225.180.44
bcgasvdj.cqu.com.        IN    A    59.198.152.142
eiftykbn.cqu.com.        IN    A    72.243.175.217
hecvkpui.cqu.com.        IN    A    27.152.179.207
trokqpja.cqu.com.        IN    A    143.163.49.233
rlyuwpmh.cqu.com.        IN    A    208.39.225.185
mncplhqe.cqu.com.        IN    A    107.217.138.103
gesacyfn.cqu.com.        IN    A    59.184.153.72
kxcimhtl.cqu.com.        IN    A    30.48.220.241
ktrimanp.cqu.com.        IN    A    75.34.146.74
mcuawgsi.cqu.com.        IN    A    37.234.225.226
wydjvock.cqu.com.        IN    A    165.88.211.183
lrfpvkxh.cqu.com.        IN    A    172.236.241.139
yeoprlkh.cqu.com.        IN    A    33.190.197.173
iqcotpgk.cqu.com.        IN    A    86.12.82.180
mrnjxhbk.cqu.com.        IN    A    166.230.213.3
wyfbsahu.cqu.com.        IN    A    161.204.72.145
hibdkoyu.cqu.com.        IN    A    194.190.2.108
eqiturxc.cqu.com.        IN    A    87.46.9.140
inodytqj.cqu.com.        IN    A    170.66.241.14
keosigru.cqu.com.        IN    A    203.245.89.181
emgihduo.cqu.com.        IN    A    208.129.179.159
fuytnjvi.cqu.com.        IN    A    230.24.190.75
fwidjqog.cqu.com.        IN    A    123.227.121.185
xvmeocrt.cqu.com.        IN    A    200.164.17.89
tdbxiemr.cqu.com.        IN    A    56.70.199.46
ehfqigko.cqu.com.        IN    A    52.254.74.185
rnaqpsfd.cqu.com.        IN    A    241.203.121.249
dovbguae.cqu.com.        IN    A    116.180.253.187
fuktgamr.cqu.com.        IN    A    244.140.201.43
gltkhpws.cqu.com.        IN    A    7.44.84.20
yeridlxc.cqu.com.        IN    A    76.56.205.212
ghvmsxcd.cqu.com.        IN    A    143.217.20.141
oswrvine.cqu.com.        IN    A    33.124.160.8
lnhsgdbp.cqu.com.        IN    A    10.38.76.179
rxvlniso.cqu.com.        IN    A    45.80.123.173
lmaqebip.cqu.com.        IN    A    153.141.231.157
wloycqkt.cqu.com.        IN    A    15.91.67.96
symnoldc.cqu.com.        IN    A    10.105.178.48
gckaxnqj.cqu.com.        IN    A    11.108.224.55
mxpungfb.cqu.com.        IN    A    81.143.170.183
vrxbhwym.cqu.com.        IN    A    108.5.218.87
vsxqhknl.cqu.com.        IN    A    176.253.185.175
iudqnkbx.cqu.com.        IN    A    237.60.194.176
gudohcqn.cqu.com.        IN    A    17.51.26.43
ephkcmoi.cqu.com.        IN    A    30.138.236.164
rncpvlqa.cqu.com.        IN    A    29.7.207.137
bamksvqd.cqu.com.        IN    A    69.29.179.9
rweftkvn.cqu.com.        IN    A    229.123.37.158
xhrytdlv.cqu.com.        IN    A    149.201.109.43
sburlexn.cqu.com.        IN    A    33.200.127.154
ogkavxwf.cqu.com.        IN    A    119.139.106.35
sonwpxqh.cqu.com.        IN    A    206.113.210.186
hvdbglmu.cqu.com.        IN    A    0.105.193.178
avnqlxsw.cqu.com.        IN    A    32.199.60.2
kbmjcfwy.cqu.com.        IN    A    206.35.208.167
pofsjawx.cqu.com.        IN    A    22.205.117.83
pixvwahk.cqu.com.        IN    A    163.48.120.227
vedsmcbr.cqu.com.        IN    A    234.235.237.244
vyheqcid.cqu.com.        IN    A    186.39.143.138
ymbcfhva.cqu.com.        IN    A    169.63.227.106
rcnutejv.cqu.com.        IN    A    65.97.13.196
knbeidap.cqu.com.        IN    A    238.181.141.131
wfdbvcta.cqu.com.        IN    A    97.195.184.219
nqsildtp.cqu.com.        IN    A    112.201.201.211
fnoceiym.cqu.com.        IN    A    236.16.60.207
kmloxagy.cqu.com.        IN    A    107.247.26.81
jvfcnxik.cqu.com.        IN    A    115.30.250.195
tfwkovpm.cqu.com.        IN    A    99.61.2.15
dflrnxsi.cqu.com.        IN    A    189.160.69.111
hplyvqjg.cqu.com.        IN    A    201.128.5.191
ouvbygjc.cqu.com.        IN    A    160.19.103.167
txdiksvm.cqu.com.        IN    A    46.125.131.3
jbpcrexg.cqu.com.        IN    A    251.15.225.66
kqcfvjyr.cqu.com.        IN    A    68.16.220.127
tbhewvyp.cqu.com.        IN    A    13.127.145.179
sghwotrl.cqu.com.        IN    A    139.104.7.86
mgcenpit.cqu.com.        IN    A    189.125.3.167
phgiloxm.cqu.com.        IN    A    84.180.30.243
aknjhvyb.cqu.com.        IN    A    35.28.182.109
rxmlpdsn.cqu.com.        IN    A    251.164.73.241
lmypsrkt.cqu.com.        IN    A    70.20.93.143
wqnbyloc.cqu.com.        IN    A    52.248.167.41
yoawvsqj.cqu.com.        IN    A    132.217.149.33
ncpjbsyt.cqu.com.        IN    A    252.118.87.203
phaqmfdr.cqu.com.        IN    A    78.173.14.3
gaxfbsyr.cqu.com.        IN    A    43.126.209.221
vqcuidbj.cqu.com.        IN    A    226.81.148.29
hgievcxn.cqu.com.        IN    A    86.26.43.94
jhlqsvoy.cqu.com.        IN    A    246.192.177.245
duclmbqg.cqu.com.        IN    A    21.186.127.134
nelqfjbv.cqu.com.        IN    A    31.100.126.123
qfekciur.cqu.com.        IN    A    147.197.148.71
sgjxfnkd.cqu.com.        IN    A    51.86.140.67
orcxgvye.cqu.com.        IN    A    139.144.41.205
knqcpsuj.cqu.com.        IN    A    227.95.150.193
gkpiweso.cqu.com.        IN    A    57.72.219.238
pswqrhkn.cqu.com.        IN    A    203.110.102.98
hweljqdi.cqu.com.        IN    A    159.123.69.147
ljakrygh.cqu.com.        IN    A    11.30.17.8
dntjhfgc.cqu.com.        IN    A    172.195.225.150
vdtflyeu.cqu.com.        IN    A    167.37.87.19
geovyiqw.cqu.com.        IN    A    95.7.90.88
mrhajfek.cqu.com.        IN    A    215.58.83.157
tqsyglje.cqu.com.        IN    A    244.171.50.50
hiyefmcv.cqu.com.        IN    A    207.31.161.226
ebwidkpu.cqu.com.        IN    A    164.253.173.186
jlhypieq.cqu.com.        IN    A    189.60.136.9
yjekmvbx.cqu.com.        IN    A    165.81.111.200
yfmrkhql.cqu.com.        IN    A    121.73.21.53
hoxfqdvn.cqu.com.        IN    A    45.18.252.97
dnycsxij.cqu.com.        IN    A    38.241.58.181
irpsyeht.cqu.com.        IN    A    136.36.162.48
jygarinx.cqu.com.        IN    A    249.196.220.138
ioafcthk.cqu.com.        IN    A    144.186.172.186
mauosfex.cqu.com.        IN    A    70.232.157.31
uriabjxs.cqu.com.        IN    A    203.12.95.109
wcsivodp.cqu.com.        IN    A    207.120.190.116
cyiobdju.cqu.com.        IN    A    252.94.207.194
vifgkuat.cqu.com.        IN    A    95.26.166.2
mnjbyuel.cqu.com.        IN    A    40.35.91.221
rhxekmvc.cqu.com.        IN    A    42.235.74.119
vebagqty.cqu.com.        IN    A    6.184.164.97
srjmyugl.cqu.com.        IN    A    53.23.3.196
qyhesjwx.cqu.com.        IN    A    191.161.69.58
msfpgvyk.cqu.com.        IN    A    243.115.76.93
mabtcqvw.cqu.com.        IN    A    124.98.43.66
ficurmlh.cqu.com.        IN    A    255.52.148.67
qkopnajx.cqu.com.        IN    A    154.155.104.80
kdqetpgb.cqu.com.        IN    A    103.83.170.80
rpobjuef.cqu.com.        IN    A    138.156.191.47
albkjpxh.cqu.com.        IN    A    175.196.174.166
ihrnpwld.cqu.com.        IN    A    130.1.2.222
qgeparvi.cqu.com.        IN    A    88.175.55.234
vnlkfucs.cqu.com.        IN    A    45.238.141.115
unhroijg.cqu.com.        IN    A    23.158.112.31
xyqsuovi.cqu.com.        IN    A    175.251.251.61
foxahmry.cqu.com.        IN    A    228.125.167.92
keunsvwm.cqu.com.        IN    A    249.196.6.137
bdeunkjv.cqu.com.        IN    A    110.234.115.115
katypshq.cqu.com.        IN    A    57.135.23.242
qamkhcnr.cqu.com.        IN    A    15.126.163.147
qmuevixd.cqu.com.        IN    A    25.33.82.188
iclgpfhr.cqu.com.        IN    A    58.213.146.247
cwjhvimu.cqu.com.        IN    A    111.180.243.108
plmgirey.cqu.com.        IN    A    205.209.42.228
vfiybcnj.cqu.com.        IN    A    58.11.33.195
nbqycisr.cqu.com.        IN    A    136.58.93.237
badvowug.cqu.com.        IN    A    203.150.218.166
mclfenvk.cqu.com.        IN    A    74.62.80.90
bfmjqgkp.cqu.com.        IN    A    147.176.102.129
cbryvsmt.cqu.com.        IN    A    54.172.59.249
kadgpmsb.cqu.com.        IN    A    33.39.98.184
pmcxhwiv.cqu.com.        IN    A    157.216.70.7
xbvnepkm.cqu.com.        IN    A    222.87.188.253
rpqsoidj.cqu.com.        IN    A    50.38.108.12
mqdnjxob.cqu.com.        IN    A    31.159.182.82
aunvtsgh.cqu.com.        IN    A    32.222.177.151
quebkhfl.cqu.com.        IN    A    119.120.213.223
tsnrelpg.cqu.com.        IN    A    115.238.84.135
hvrlockg.cqu.com.        IN    A    68.31.234.246
blkeywnm.cqu.com.        IN    A    38.68.235.224
kgipqywb.cqu.com.        IN    A    178.135.190.241
xniltemg.cqu.com.        IN    A    203.134.33.234
crqpiuos.cqu.com.        IN    A    148.171.168.104
fehpkram.cqu.com.        IN    A    196.149.129.67
wxpekair.cqu.com.        IN    A    228.239.0.227
tkyahoxr.cqu.com.        IN    A    20.150.110.168
wnvdfuoj.cqu.com.        IN    A    211.5.73.38
kogctjhb.cqu.com.        IN    A    16.13.103.173
bhnswryu.cqu.com.        IN    A    106.163.167.41
eylbukno.cqu.com.        IN    A    112.147.103.172
ltnhwxcq.cqu.com.        IN    A    198.152.6.61
nhstorlu.cqu.com.        IN    A    215.58.87.99
wqimhrpu.cqu.com.        IN    A    27.140.134.166
wmtufsxa.cqu.com.        IN    A    176.252.28.233
ohtcypae.cqu.com.        IN    A    114.142.12.39
yghxulmj.cqu.com.        IN    A    45.66.7.220
pujcgnek.cqu.com.        IN    A    24.107.230.92
cawrmyoj.cqu.com.        IN    A    187.200.217.159
mjloxkrn.cqu.com.        IN    A    113.230.87.114
tehxyovk.cqu.com.        IN    A    176.86.130.63
txndlubk.cqu.com.        IN    A    92.189.0.17
irnmayep.cqu.com.        IN    A    108.50.58.13
xkvtymcw.cqu.com.        IN    A    4.93.11.31
ywflptim.cqu.com.        IN    A    221.165.36.204
icxstqrg.cqu.com.        IN    A    210.121.8.87
bhsikvfw.cqu.com.        IN    A    71.108.12.214
efypmlng.cqu.com.        IN    A    237.147.116.31
nxlsjehp.cqu.com.        IN    A    55.141.92.22
healkbyx.cqu.com.        IN    A    174.41.97.174
cvlkihfe.cqu.com.        IN    A    87.250.47.150
gvkdeahl.cqu.com.        IN    A    140.88.145.79
yqbrgdxl.cqu.com.        IN    A    235.6.190.219
urahwxpb.cqu.com.        IN    A    15.166.83.220
hgrsodku.cqu.com.        IN    A    156.47.244.80
vrfqcxli.cqu.com.        IN    A    98.195.240.152
gojdbfvw.cqu.com.        IN    A    203.38.91.103
dtnrlkyj.cqu.com.        IN    A    229.40.62.235
vwgoinly.cqu.com.        IN    A    112.179.142.135
cjyemxan.cqu.com.        IN    A    166.42.134.242
eumpafvc.cqu.com.        IN    A    68.193.95.248
dciajxpt.cqu.com.        IN    A    72.16.0.5
gusnkicj.cqu.com.        IN    A    116.191.43.134
cjbmrdwu.cqu.com.        IN    A    121.154.246.171
golrdkui.cqu.com.        IN    A    230.31.25.242
rkijpual.cqu.com.        IN    A    45.38.218.132
ysueiokl.cqu.com.        IN    A    74.191.73.126
stklhwdu.cqu.com.        IN    A    200.225.50.186
vxcydqeu.cqu.com.        IN    A    68.131.255.184
tqxjroiw.cqu.com.        IN    A    84.172.175.120
ogvldesr.cqu.com.        IN    A    244.83.143.171
whrqselt.cqu.com.        IN    A    248.57.134.1
mopjnslb.cqu.com.        IN    A    57.62.81.223
rxpslmyj.cqu.com.        IN    A    102.115.147.191
ghsbwrpx.cqu.com.        IN    A    62.217.189.233
rwlbjuds.cqu.com.        IN    A    154.13.5.27
irxkblwd.cqu.com.        IN    A    26.252.97.136
gjytsmir.cqu.com.        IN    A    2.225.129.54
ypuhnaco.cqu.com.        IN    A    199.171.234.174
bwtgcrol.cqu.com.        IN    A    21.54.203.101
jabrimyl.cqu.com.        IN    A    144.99.119.208
abtlrihk.cqu.com.        IN    A    60.174.145.184
sjtnoacq.cqu.com.        IN    A    37.196.200.190
wxfmueqb.cqu.com.        IN    A    192.198.218.105
otwlcuvf.cqu.com.        IN    A    52.114.194.79
yuldnfbg.cqu.com.        IN    A    141.96.151.245
npjluqom.cqu.com.        IN    A    154.5.105.185
riejtkpc.cqu.com.        IN    A    246.146.155.142
cudlhemo.cqu.com.        IN    A    37.172.138.149
dgcrsoiv.cqu.com.        IN    A    78.166.94.70
ymvdorxe.cqu.com.        IN    A    23.104.175.174
cwnjxkam.cqu.com.        IN    A    53.66.240.216
wrcdgfsp.cqu.com.        IN    A    211.138.163.134
ektqculw.cqu.com.        IN    A    247.67.23.218
xrgebcaf.cqu.com.        IN    A    167.235.4.224
eaokrlnv.cqu.com.        IN    A    171.185.180.192
swnijhuk.cqu.com.        IN    A    46.176.64.78
vosdarwc.cqu.com.        IN    A    207.86.14.226
rltfwxhm.cqu.com.        IN    A    242.213.45.87
wlihrbta.cqu.com.        IN    A    94.117.176.87
hyqjufrp.cqu.com.        IN    A    65.101.177.53
wgubkycs.cqu.com.        IN    A    106.119.173.225
btwpjuev.cqu.com.        IN    A    66.65.81.215
twulordm.cqu.com.        IN    A    180.103.36.208
xkjwiqmt.cqu.com.        IN    A    219.128.212.71
uvqicxtp.cqu.com.        IN    A    73.198.58.54
ycrghnak.cqu.com.        IN    A    242.191.69.214
rtdxcgfe.cqu.com.        IN    A    200.194.193.229
bgfrmptk.cqu.com.        IN    A    103.212.95.21
ojfquyce.cqu.com.        IN    A    46.204.97.174
ulmghjvd.cqu.com.        IN    A    30.110.10.67
eamlcnyh.cqu.com.        IN    A    179.225.17.136
bjxckmao.cqu.com.        IN    A    176.33.93.236
carwhmnt.cqu.com.        IN    A    14.84.43.87
qswvulrn.cqu.com.        IN    A    16.182.118.147
mdfrqpei.cqu.com.        IN    A    140.136.186.59
yujnkqth.cqu.com.        IN    A    192.225.104.42
nqaucklo.cqu.com.        IN    A    220.213.201.227
abpdnlcr.cqu.com.        IN    A    68.172.119.13
knjsceyr.cqu.com.        IN    A    104.115.9.196
oulxdkvw.cqu.com.        IN    A    234.217.249.218
jcuigqpv.cqu.com.        IN    A    45.141.36.153
wlichknb.cqu.com.        IN    A    61.183.217.139
pmludrai.cqu.com.        IN    A    86.228.37.144
evbnohld.cqu.com.        IN    A    226.126.194.169
edyibjng.cqu.com.        IN    A    229.50.236.255
yihvuljf.cqu.com.        IN    A    33.25.241.187
osngvfly.cqu.com.        IN    A    119.43.203.114
nqrmfxij.cqu.com.        IN    A    109.149.221.250
euwnsgvd.cqu.com.        IN    A    145.160.43.100
aiboyqdp.cqu.com.        IN    A    160.133.229.95
vrngbjam.cqu.com.        IN    A    250.126.238.9
rowexadv.cqu.com.        IN    A    101.89.102.171
cpevsqbj.cqu.com.        IN    A    158.55.214.237
whfpbnxj.cqu.com.        IN    A    233.188.209.135
rdasplni.cqu.com.        IN    A    38.72.155.36
brodslmj.cqu.com.        IN    A    183.97.203.6
qchatgru.cqu.com.        IN    A    21.12.174.161
mjpohbcl.cqu.com.        IN    A    78.128.113.121
klwmjxui.cqu.com.        IN    A    178.127.61.230
ctldfnhg.cqu.com.        IN    A    234.18.113.31
ubtcikpq.cqu.com.        IN    A    68.18.112.182
pvarnucf.cqu.com.        IN    A    100.35.46.164
wflvrxuk.cqu.com.        IN    A    62.73.235.53
iubrqaxc.cqu.com.        IN    A    23.41.173.49
mpnjwaeq.cqu.com.        IN    A    142.131.113.148
vpigsljx.cqu.com.        IN    A    88.155.74.7
xhaqdclf.cqu.com.        IN    A    25.214.153.2
nehocukv.cqu.com.        IN    A    143.164.237.64
gqnmauds.cqu.com.        IN    A    73.207.243.176
kidhlobp.cqu.com.        IN    A    145.221.141.9
ftagjxep.cqu.com.        IN    A    253.139.82.132
rtoacuip.cqu.com.        IN    A    114.216.229.23
oscrxfgd.cqu.com.        IN    A    243.82.145.250
gksjtmci.cqu.com.        IN    A    57.68.246.176
evxskoaq.cqu.com.        IN    A    15.236.151.16
dfecalwj.cqu.com.        IN    A    84.141.158.20
gbvnquxm.cqu.com.        IN    A    74.157.161.229
buyprelh.cqu.com.        IN    A    117.82.183.115
wgulheax.cqu.com.        IN    A    73.89.199.47
vqidghkw.cqu.com.        IN    A    52.190.0.55
imdyvetb.cqu.com.        IN    A    243.135.254.242
bjkxmrih.cqu.com.        IN    A    165.234.78.20
tevmkwpr.cqu.com.        IN    A    71.24.150.68
gkuixvlt.cqu.com.        IN    A    224.28.234.10
gsulepwv.cqu.com.        IN    A    59.70.3.213
emsfclao.cqu.com.        IN    A    75.231.179.244
ywhjqonf.cqu.com.        IN    A    209.170.241.129
aoehbdjm.cqu.com.        IN    A    133.186.171.246
gweyknca.cqu.com.        IN    A    20.205.249.147
