www.xmu.com. 	14400	IN	SOA	ns1.www.xmu.com. james.xmu.edu. 19122302 14400 3600 2419200 14400
www.xmu.com.		    IN	NS ns1.www.xmu.com.
jsfkuoqp.www.xmu.com.    IN    A    53.225.201.36
povxgtjq.www.xmu.com.    IN    A    38.198.203.225
nhsidckr.www.xmu.com.    IN    A    131.78.3.177
fxmyctbd.www.xmu.com.    IN    A    240.10.66.205
uwjbfdgk.www.xmu.com.    IN    A    182.128.254.134
ejdonrpb.www.xmu.com.    IN    A    240.79.209.95
aycufljv.www.xmu.com.    IN    A    240.102.227.230
ltpwjfch.www.xmu.com.    IN    A    146.253.192.157
vudwynot.www.xmu.com.    IN    A    223.121.244.201
kcnevtsi.www.xmu.com.    IN    A    74.178.103.251
jvbsdtye.www.xmu.com.    IN    A    186.34.96.136
ehsadwuk.www.xmu.com.    IN    A    71.181.197.53
tafuvyrh.www.xmu.com.    IN    A    92.118.10.210
ivhnupce.www.xmu.com.    IN    A    220.40.235.18
gitdevfb.www.xmu.com.    IN    A    94.224.212.96
astpbmri.www.xmu.com.    IN    A    218.237.93.102
obvtgyca.www.xmu.com.    IN    A    145.121.35.10
fuerlxqp.www.xmu.com.    IN    A    52.40.134.202
vkftplom.www.xmu.com.    IN    A    36.167.101.154
optsxbrc.www.xmu.com.    IN    A    144.114.137.133
acmxpsre.www.xmu.com.    IN    A    44.15.32.110
jcoekifl.www.xmu.com.    IN    A    184.216.74.190
vtnehkig.www.xmu.com.    IN    A    120.130.134.106
frgvmyux.www.xmu.com.    IN    A    39.82.127.52
lyqsjixf.www.xmu.com.    IN    A    67.35.140.6
bgujhfos.www.xmu.com.    IN    A    4.90.156.118
nldbicxo.www.xmu.com.    IN    A    81.47.46.104
xcderfau.www.xmu.com.    IN    A    34.104.77.97
wmungihk.www.xmu.com.    IN    A    123.54.190.177
ofwcaqsp.www.xmu.com.    IN    A    26.190.68.193
cfylsotq.www.xmu.com.    IN    A    88.191.8.146
aitxwgjb.www.xmu.com.    IN    A    179.72.208.218
ihdjxtrb.www.xmu.com.    IN    A    20.29.94.13
ntemvgsj.www.xmu.com.    IN    A    199.249.211.161
dfxontps.www.xmu.com.    IN    A    93.239.61.113
vwnputds.www.xmu.com.    IN    A    53.248.157.195
sdpkoryv.www.xmu.com.    IN    A    203.14.212.243
dwplshur.www.xmu.com.    IN    A    138.138.100.6
qndhysbf.www.xmu.com.    IN    A    204.139.231.218
lkpgdret.www.xmu.com.    IN    A    188.248.253.248
nvdlisru.www.xmu.com.    IN    A    177.41.216.111
xkpdicub.www.xmu.com.    IN    A    237.200.95.89
yhkeribq.www.xmu.com.    IN    A    164.55.216.56
fnyojqph.www.xmu.com.    IN    A    210.18.146.150
jugactkd.www.xmu.com.    IN    A    142.88.141.46
jkprtglq.www.xmu.com.    IN    A    152.242.94.94
calxjbkm.www.xmu.com.    IN    A    125.208.6.95
ghdlapcf.www.xmu.com.    IN    A    81.95.89.240
khexypdl.www.xmu.com.    IN    A    81.97.39.123
nmfwjsek.www.xmu.com.    IN    A    174.140.104.121
mduxrwgt.www.xmu.com.    IN    A    6.252.210.30
ilehujap.www.xmu.com.    IN    A    193.62.4.225
lisoceqh.www.xmu.com.    IN    A    161.164.37.56
noyujqwl.www.xmu.com.    IN    A    165.178.34.223
qwlabrhx.www.xmu.com.    IN    A    12.119.228.113
asqhtfpb.www.xmu.com.    IN    A    171.65.118.23
kyelvqbg.www.xmu.com.    IN    A    219.19.53.105
nmukvywx.www.xmu.com.    IN    A    17.227.154.255
aydgivub.www.xmu.com.    IN    A    10.90.50.114
jmvbylnf.www.xmu.com.    IN    A    116.226.24.62
ikclveqs.www.xmu.com.    IN    A    142.188.113.4
cdysfbxh.www.xmu.com.    IN    A    206.62.82.129
tcugkyer.www.xmu.com.    IN    A    13.91.129.128
efvrbwnc.www.xmu.com.    IN    A    140.42.193.46
jfkbegla.www.xmu.com.    IN    A    153.96.58.35
rnxymfvo.www.xmu.com.    IN    A    53.199.188.116
lfymdwnp.www.xmu.com.    IN    A    230.204.183.200
sjfwkelu.www.xmu.com.    IN    A    140.194.127.4
oswbvaxd.www.xmu.com.    IN    A    110.119.229.179
teuixnqa.www.xmu.com.    IN    A    31.68.10.122
uftqowdn.www.xmu.com.    IN    A    187.106.26.5
uhronikw.www.xmu.com.    IN    A    93.73.167.19
pbcvmfli.www.xmu.com.    IN    A    243.186.10.211
wqyuscir.www.xmu.com.    IN    A    239.41.6.186
kwaycgef.www.xmu.com.    IN    A    216.172.121.24
wsprlmfj.www.xmu.com.    IN    A    44.97.197.51
qnisctpe.www.xmu.com.    IN    A    194.185.195.234
nasliydx.www.xmu.com.    IN    A    106.38.135.120
hjqmgdsy.www.xmu.com.    IN    A    121.43.59.155
ktvsbpno.www.xmu.com.    IN    A    53.157.84.3
vdjlacnb.www.xmu.com.    IN    A    226.103.152.101
rfkmegqo.www.xmu.com.    IN    A    219.90.86.70
ianlxrej.www.xmu.com.    IN    A    191.250.196.171
edrlgjku.www.xmu.com.    IN    A    147.235.204.254
exbcughm.www.xmu.com.    IN    A    15.76.90.137
vkjbnqlh.www.xmu.com.    IN    A    53.12.224.202
xtifmnbp.www.xmu.com.    IN    A    255.41.36.215
smfnvojx.www.xmu.com.    IN    A    95.52.29.112
nmswjrec.www.xmu.com.    IN    A    164.103.148.132
wqtgircj.www.xmu.com.    IN    A    133.70.76.87
khwpsdcj.www.xmu.com.    IN    A    181.233.210.197
nugescty.www.xmu.com.    IN    A    153.8.247.74
hvticsjr.www.xmu.com.    IN    A    110.79.99.231
gfpvdmno.www.xmu.com.    IN    A    123.109.151.16
roumcjbi.www.xmu.com.    IN    A    115.205.5.93
dhneftax.www.xmu.com.    IN    A    80.249.89.0
qounyeki.www.xmu.com.    IN    A    238.102.96.35
phqdjxck.www.xmu.com.    IN    A    219.228.203.149
jaulkqvc.www.xmu.com.    IN    A    149.165.121.66
sfvmkrte.www.xmu.com.    IN    A    227.38.220.218
vhfstmry.www.xmu.com.    IN    A    42.74.26.243
ibgqlsmc.www.xmu.com.    IN    A    46.130.54.232
fhpdbmox.www.xmu.com.    IN    A    80.232.216.194
gbywhukc.www.xmu.com.    IN    A    82.252.24.5
rljwusph.www.xmu.com.    IN    A    243.242.1.173
vwukelfd.www.xmu.com.    IN    A    78.76.91.18
gwlvrquy.www.xmu.com.    IN    A    133.203.255.172
xayfidgt.www.xmu.com.    IN    A    201.46.198.109
wtkuabiy.www.xmu.com.    IN    A    175.150.134.240
nxqdlpuf.www.xmu.com.    IN    A    195.160.90.22
lucangmi.www.xmu.com.    IN    A    134.211.168.86
uwalqpjv.www.xmu.com.    IN    A    173.220.156.74
xohmwavt.www.xmu.com.    IN    A    255.102.11.151
cijfusnb.www.xmu.com.    IN    A    109.192.250.27
wmlapjry.www.xmu.com.    IN    A    32.218.94.86
hrunxlay.www.xmu.com.    IN    A    146.13.64.109
pejdsbam.www.xmu.com.    IN    A    125.238.16.211
msvdphur.www.xmu.com.    IN    A    134.182.105.183
xpwefsgv.www.xmu.com.    IN    A    0.177.153.159
qdnspbkc.www.xmu.com.    IN    A    15.127.19.104
vwulymkb.www.xmu.com.    IN    A    62.20.147.199
lygfqujs.www.xmu.com.    IN    A    44.97.231.187
wglbkjtn.www.xmu.com.    IN    A    121.138.230.209
rklanhdx.www.xmu.com.    IN    A    210.28.36.247
xphoiynd.www.xmu.com.    IN    A    191.47.35.118
pavtcldb.www.xmu.com.    IN    A    215.104.163.163
qlakndyh.www.xmu.com.    IN    A    212.145.102.79
sodlijxw.www.xmu.com.    IN    A    227.140.216.143
opirqtsj.www.xmu.com.    IN    A    63.250.188.207
yvrulsgq.www.xmu.com.    IN    A    102.23.194.124
yjnmhxgo.www.xmu.com.    IN    A    165.136.140.73
lhtgnbxq.www.xmu.com.    IN    A    68.178.26.104
lfhmubsq.www.xmu.com.    IN    A    108.215.55.70
skyqwhtl.www.xmu.com.    IN    A    163.195.55.246
axsomiub.www.xmu.com.    IN    A    97.223.98.93
vcaxushq.www.xmu.com.    IN    A    116.198.28.100
egmfuotr.www.xmu.com.    IN    A    84.187.9.253
biuyfpce.www.xmu.com.    IN    A    174.181.32.16
navudtxi.www.xmu.com.    IN    A    226.133.105.116
vunocakw.www.xmu.com.    IN    A    63.33.208.70
wklqymna.www.xmu.com.    IN    A    243.33.63.189
lqengdos.www.xmu.com.    IN    A    142.25.220.217
hqtpoukg.www.xmu.com.    IN    A    18.130.147.128
gcdoexmj.www.xmu.com.    IN    A    219.216.170.170
ncptoray.www.xmu.com.    IN    A    0.26.90.53
udeviqpm.www.xmu.com.    IN    A    236.72.248.108
xdefyvnj.www.xmu.com.    IN    A    154.186.36.228
xulhqwif.www.xmu.com.    IN    A    148.77.245.22
kdwjspma.www.xmu.com.    IN    A    184.123.206.142
cvtlbone.www.xmu.com.    IN    A    151.248.243.90
lmawisjg.www.xmu.com.    IN    A    91.218.41.229
tqyagirv.www.xmu.com.    IN    A    63.134.214.138
hqyvpfed.www.xmu.com.    IN    A    75.3.126.183
ylvridtw.www.xmu.com.    IN    A    229.149.247.129
gcoefaid.www.xmu.com.    IN    A    33.167.177.74
iojqstfy.www.xmu.com.    IN    A    175.233.7.127
ogtewicx.www.xmu.com.    IN    A    66.242.70.230
twngyljm.www.xmu.com.    IN    A    200.171.49.69
wqdcgouj.www.xmu.com.    IN    A    202.39.16.148
jhoapyqc.www.xmu.com.    IN    A    186.33.121.155
aukmphqv.www.xmu.com.    IN    A    20.154.22.179
wkuahvlb.www.xmu.com.    IN    A    234.101.84.40
ybnujdof.www.xmu.com.    IN    A    6.53.195.110
pdbqgkhc.www.xmu.com.    IN    A    88.104.198.141
dhruanyg.www.xmu.com.    IN    A    35.181.189.228
hcdbrval.www.xmu.com.    IN    A    105.161.155.41
pbitofec.www.xmu.com.    IN    A    204.162.242.203
torymcps.www.xmu.com.    IN    A    117.118.163.2
jcyvxfae.www.xmu.com.    IN    A    101.185.122.98
isboqeyn.www.xmu.com.    IN    A    164.250.1.108
coghnsik.www.xmu.com.    IN    A    36.163.34.17
oehvpjdn.www.xmu.com.    IN    A    203.96.219.249
xkvptdcn.www.xmu.com.    IN    A    128.116.39.112
bohvjylc.www.xmu.com.    IN    A    18.2.196.66
ogxanefj.www.xmu.com.    IN    A    136.67.240.183
hpvlytmk.www.xmu.com.    IN    A    255.243.0.179
pomlgsbf.www.xmu.com.    IN    A    42.78.233.60
tknbrlcm.www.xmu.com.    IN    A    51.87.241.16
gucqoesw.www.xmu.com.    IN    A    51.66.88.141
urlvhpej.www.xmu.com.    IN    A    109.73.62.71
moyrtdwu.www.xmu.com.    IN    A    205.135.39.90
rvfinpxh.www.xmu.com.    IN    A    140.105.166.209
kbyotqjd.www.xmu.com.    IN    A    6.96.12.141
xwfvjpyi.www.xmu.com.    IN    A    193.254.16.140
cgeiodjn.www.xmu.com.    IN    A    211.250.36.38
fvnkhxoq.www.xmu.com.    IN    A    175.216.251.111
gwednxuq.www.xmu.com.    IN    A    166.78.95.170
ptwqkcvg.www.xmu.com.    IN    A    104.90.71.159
katejyln.www.xmu.com.    IN    A    53.26.190.188
duklaqvs.www.xmu.com.    IN    A    86.201.203.91
bfiwlvtm.www.xmu.com.    IN    A    248.208.27.228
nmqpkeaj.www.xmu.com.    IN    A    153.227.87.186
odiasqkl.www.xmu.com.    IN    A    146.235.33.217
jmqntosp.www.xmu.com.    IN    A    99.36.219.236
ncgyawqe.www.xmu.com.    IN    A    35.106.133.17
kwcirqbm.www.xmu.com.    IN    A    65.251.67.106
emopryhw.www.xmu.com.    IN    A    172.184.146.130
hemtlynq.www.xmu.com.    IN    A    144.59.20.185
qhxribod.www.xmu.com.    IN    A    38.90.245.215
thkpervn.www.xmu.com.    IN    A    107.43.236.87
pfiencut.www.xmu.com.    IN    A    189.234.8.227
xpslgtud.www.xmu.com.    IN    A    66.124.234.247
hqcintgw.www.xmu.com.    IN    A    164.193.199.247
kbdaicnw.www.xmu.com.    IN    A    253.12.250.192
krygbxfd.www.xmu.com.    IN    A    46.188.204.193
qsenaijo.www.xmu.com.    IN    A    101.63.31.199
ahtdmfgu.www.xmu.com.    IN    A    195.230.104.179
hbxmguvn.www.xmu.com.    IN    A    174.163.209.105
iwhvfjan.www.xmu.com.    IN    A    80.123.47.146
pxglwenc.www.xmu.com.    IN    A    140.66.182.85
ociusdak.www.xmu.com.    IN    A    51.58.220.195
noerguqb.www.xmu.com.    IN    A    9.107.125.93
disbgltf.www.xmu.com.    IN    A    67.156.27.253
guwjnxmr.www.xmu.com.    IN    A    166.25.89.182
uoypxact.www.xmu.com.    IN    A    13.101.14.50
qpynkvbo.www.xmu.com.    IN    A    80.173.73.194
csayxjud.www.xmu.com.    IN    A    76.149.201.38
ytnuslhj.www.xmu.com.    IN    A    173.114.190.216
mplqxdsv.www.xmu.com.    IN    A    45.249.143.156
ixdkwhej.www.xmu.com.    IN    A    6.105.51.169
fivebmhu.www.xmu.com.    IN    A    11.65.29.42
gnuwotle.www.xmu.com.    IN    A    192.42.7.209
fngidujb.www.xmu.com.    IN    A    86.130.66.132
thxnfeda.www.xmu.com.    IN    A    122.218.156.64
mydasuvl.www.xmu.com.    IN    A    199.31.1.20
vcauflrs.www.xmu.com.    IN    A    240.6.219.102
otakjqpf.www.xmu.com.    IN    A    118.88.253.67
dmfybvqi.www.xmu.com.    IN    A    166.231.232.185
rfuwkcaq.www.xmu.com.    IN    A    162.1.127.1
prtobgmc.www.xmu.com.    IN    A    117.78.48.113
hiaemvuy.www.xmu.com.    IN    A    226.83.170.25
omyjkgph.www.xmu.com.    IN    A    134.229.249.171
txgjnlrp.www.xmu.com.    IN    A    34.32.161.216
yauwxikq.www.xmu.com.    IN    A    102.46.48.103
ampwcxvf.www.xmu.com.    IN    A    4.120.96.129
driclnas.www.xmu.com.    IN    A    87.213.144.154
empdcygk.www.xmu.com.    IN    A    185.214.33.220
kjmhitex.www.xmu.com.    IN    A    221.248.229.48
tvkwbjdq.www.xmu.com.    IN    A    35.9.223.163
oasdtvui.www.xmu.com.    IN    A    111.184.142.128
sfidwnqb.www.xmu.com.    IN    A    56.28.184.82
lfichank.www.xmu.com.    IN    A    53.235.22.166
mdulcfbg.www.xmu.com.    IN    A    37.201.43.43
mglvfhks.www.xmu.com.    IN    A    237.142.155.158
syviaguq.www.xmu.com.    IN    A    91.17.138.151
kcjqsnde.www.xmu.com.    IN    A    33.135.141.25
jyvcnfke.www.xmu.com.    IN    A    87.217.234.218
pbnsrfgm.www.xmu.com.    IN    A    216.60.158.128
fnjsowyr.www.xmu.com.    IN    A    205.18.30.29
arcsdmpy.www.xmu.com.    IN    A    54.156.228.224
iyapwhrm.www.xmu.com.    IN    A    132.7.64.198
icvagfjl.www.xmu.com.    IN    A    235.107.49.226
ceandlbj.www.xmu.com.    IN    A    211.37.210.98
yxocisdf.www.xmu.com.    IN    A    111.175.107.90
axctlwry.www.xmu.com.    IN    A    244.237.156.167
fwxcmdva.www.xmu.com.    IN    A    219.55.140.206
fsuahlmg.www.xmu.com.    IN    A    240.211.118.109
xyiualoq.www.xmu.com.    IN    A    99.92.37.106
vjhaolsf.www.xmu.com.    IN    A    12.220.194.77
thrcgaub.www.xmu.com.    IN    A    132.49.197.167
losqbpje.www.xmu.com.    IN    A    126.74.34.182
pvihysdx.www.xmu.com.    IN    A    75.30.62.12
nxotfglq.www.xmu.com.    IN    A    27.196.130.3
slvwgfka.www.xmu.com.    IN    A    190.88.211.183
xmqaghki.www.xmu.com.    IN    A    160.189.197.171
umgnpyos.www.xmu.com.    IN    A    79.6.122.34
cfqjxesk.www.xmu.com.    IN    A    195.10.172.206
gwlouypt.www.xmu.com.    IN    A    254.143.134.194
dkvpqgbm.www.xmu.com.    IN    A    118.123.213.16
xkhobali.www.xmu.com.    IN    A    159.213.232.150
tvydqwiu.www.xmu.com.    IN    A    183.24.77.165
bonyfqkg.www.xmu.com.    IN    A    174.244.31.152
wfqyagcl.www.xmu.com.    IN    A    151.216.149.88
clvxbjtg.www.xmu.com.    IN    A    135.127.55.74
rbgvopdy.www.xmu.com.    IN    A    37.73.73.184
mtpunegk.www.xmu.com.    IN    A    133.41.165.18
limfpevc.www.xmu.com.    IN    A    73.234.16.17
yxwrgjnp.www.xmu.com.    IN    A    30.252.232.240
muahfkty.www.xmu.com.    IN    A    129.62.98.224
jqpxvhde.www.xmu.com.    IN    A    130.81.181.8
wjlgdpqy.www.xmu.com.    IN    A    173.68.244.8
eugpqmxw.www.xmu.com.    IN    A    132.151.93.125
xylgcpsm.www.xmu.com.    IN    A    33.47.156.227
xjhcyufl.www.xmu.com.    IN    A    168.148.170.62
laxsopjn.www.xmu.com.    IN    A    221.108.237.70
jvedrfoh.www.xmu.com.    IN    A    153.45.215.122
ygtmvpcd.www.xmu.com.    IN    A    139.67.219.7
tfbjiuop.www.xmu.com.    IN    A    186.65.240.43
okxucysn.www.xmu.com.    IN    A    87.192.73.228
dxsfeuhq.www.xmu.com.    IN    A    246.205.224.28
tcxebfrl.www.xmu.com.    IN    A    107.184.132.77
xofwcysr.www.xmu.com.    IN    A    199.107.68.34
itbqvpwf.www.xmu.com.    IN    A    146.31.51.47
craksfqm.www.xmu.com.    IN    A    127.80.109.187
gnjaivxh.www.xmu.com.    IN    A    248.47.168.33
eagbnchl.www.xmu.com.    IN    A    182.147.211.75
ahdpcwnl.www.xmu.com.    IN    A    234.187.48.73
ejhwiqlg.www.xmu.com.    IN    A    220.156.204.116
cnoiuvml.www.xmu.com.    IN    A    115.213.109.81
gibhsemy.www.xmu.com.    IN    A    237.38.35.124
ydtlepcf.www.xmu.com.    IN    A    64.252.25.22
jnlbxemh.www.xmu.com.    IN    A    34.224.155.138
bvgnyqki.www.xmu.com.    IN    A    27.198.4.205
iypngowd.www.xmu.com.    IN    A    135.162.33.247
jqregwnu.www.xmu.com.    IN    A    146.142.79.111
vlcurpds.www.xmu.com.    IN    A    239.61.233.68
cvuseary.www.xmu.com.    IN    A    164.10.2.66
xhiwnpqv.www.xmu.com.    IN    A    36.190.46.110
mwxqhrat.www.xmu.com.    IN    A    214.150.126.33
adxpfyub.www.xmu.com.    IN    A    70.140.206.35
fqtkgxuo.www.xmu.com.    IN    A    223.59.181.41
xavjwikf.www.xmu.com.    IN    A    217.64.158.137
ofsutnwx.www.xmu.com.    IN    A    236.139.2.175
eowkmrib.www.xmu.com.    IN    A    204.108.56.140
ajdbsfnx.www.xmu.com.    IN    A    249.91.62.162
ukidcvot.www.xmu.com.    IN    A    49.33.97.38
wmynhrqa.www.xmu.com.    IN    A    224.239.19.73
lkdpoqjh.www.xmu.com.    IN    A    208.101.150.196
lnasedhc.www.xmu.com.    IN    A    142.191.161.173
delbqnyw.www.xmu.com.    IN    A    205.47.58.105
buyfhjgt.www.xmu.com.    IN    A    161.132.157.60
bdnhmrli.www.xmu.com.    IN    A    223.138.5.131
hygtvqls.www.xmu.com.    IN    A    242.133.247.247
lnuakvwi.www.xmu.com.    IN    A    57.127.3.57
xgqenmpc.www.xmu.com.    IN    A    131.29.206.207
slrpoaky.www.xmu.com.    IN    A    135.114.232.42
korxcnwl.www.xmu.com.    IN    A    144.127.150.169
vsmaxbjh.www.xmu.com.    IN    A    53.19.164.233
opsvhxau.www.xmu.com.    IN    A    224.0.199.63
tksfnpxw.www.xmu.com.    IN    A    147.210.66.143
lyshkbpw.www.xmu.com.    IN    A    182.96.169.41
ndegofpy.www.xmu.com.    IN    A    115.82.34.70
quyrtmxw.www.xmu.com.    IN    A    117.100.101.217
iwhjbtqx.www.xmu.com.    IN    A    85.63.245.250
rvshmjqk.www.xmu.com.    IN    A    96.117.74.205
ykdfposg.www.xmu.com.    IN    A    203.234.162.38
fxikbmur.www.xmu.com.    IN    A    25.50.42.107
topaufqx.www.xmu.com.    IN    A    177.76.112.236
wxvubeoh.www.xmu.com.    IN    A    199.199.255.201
wtdqybnm.www.xmu.com.    IN    A    2.201.104.46
duiayhqs.www.xmu.com.    IN    A    166.68.167.114
nvwucegy.www.xmu.com.    IN    A    9.175.10.143
wcrytnbq.www.xmu.com.    IN    A    189.247.42.242
hypwvkan.www.xmu.com.    IN    A    146.158.143.225
dngmvoxb.www.xmu.com.    IN    A    151.182.82.151
fdxolbkt.www.xmu.com.    IN    A    12.118.50.61
gklsxpwa.www.xmu.com.    IN    A    207.92.6.2
magupeok.www.xmu.com.    IN    A    210.186.68.88
kajytcgs.www.xmu.com.    IN    A    103.32.76.58
fgbxaqry.www.xmu.com.    IN    A    127.255.236.151
xrovujtd.www.xmu.com.    IN    A    201.138.0.143
txdqfmca.www.xmu.com.    IN    A    4.160.49.249
drcygxlo.www.xmu.com.    IN    A    210.52.36.125
eijrqvyh.www.xmu.com.    IN    A    120.96.32.24
amqkpict.www.xmu.com.    IN    A    218.102.232.142
casvxdti.www.xmu.com.    IN    A    88.129.108.129
utsnpvgw.www.xmu.com.    IN    A    251.176.23.224
xwgvtpbc.www.xmu.com.    IN    A    69.102.98.120
urqcptxv.www.xmu.com.    IN    A    48.214.252.83
ytcwvdjg.www.xmu.com.    IN    A    88.153.189.224
ckmurnhv.www.xmu.com.    IN    A    243.30.54.222
iqsourbk.www.xmu.com.    IN    A    114.100.82.255
dhlrsvix.www.xmu.com.    IN    A    102.215.203.68
fwogrqdy.www.xmu.com.    IN    A    12.223.193.173
gieyqwtd.www.xmu.com.    IN    A    95.114.163.185
nbysatrw.www.xmu.com.    IN    A    178.42.247.254
oxnygima.www.xmu.com.    IN    A    123.217.81.46
hqencuag.www.xmu.com.    IN    A    43.182.251.226
hlpucost.www.xmu.com.    IN    A    251.116.40.233
jhxfdrtb.www.xmu.com.    IN    A    108.9.195.200
fdyquain.www.xmu.com.    IN    A    221.139.92.240
hycrvxbs.www.xmu.com.    IN    A    224.142.132.134
cldjmsht.www.xmu.com.    IN    A    189.46.221.135
bfoisjuk.www.xmu.com.    IN    A    23.65.199.64
xedlwcmp.www.xmu.com.    IN    A    74.73.59.99
lktbwvyf.www.xmu.com.    IN    A    17.60.72.37
fgotpjel.www.xmu.com.    IN    A    25.193.111.52
rjqvkhli.www.xmu.com.    IN    A    29.142.101.136
esyrkcnl.www.xmu.com.    IN    A    95.220.183.61
ilurdemn.www.xmu.com.    IN    A    222.204.175.34
wflbtniu.www.xmu.com.    IN    A    112.193.195.207
bsldvqap.www.xmu.com.    IN    A    111.1.43.18
begntpwj.www.xmu.com.    IN    A    23.3.6.91
vlchnaws.www.xmu.com.    IN    A    187.52.216.52
acubgkwe.www.xmu.com.    IN    A    142.12.134.189
cobiajtw.www.xmu.com.    IN    A    3.174.239.8
twvdckib.www.xmu.com.    IN    A    177.131.44.240
itvgxwja.www.xmu.com.    IN    A    117.138.211.247
rqhpault.www.xmu.com.    IN    A    114.247.205.253
lwxegvku.www.xmu.com.    IN    A    50.180.180.62
gxakftbr.www.xmu.com.    IN    A    114.104.116.236
mvatebsd.www.xmu.com.    IN    A    248.10.96.20
xbjasygh.www.xmu.com.    IN    A    56.199.59.11
ftscdvgl.www.xmu.com.    IN    A    162.93.213.170
obcdjhfv.www.xmu.com.    IN    A    207.22.180.17
xfdbqnig.www.xmu.com.    IN    A    224.76.13.205
ifbpmdnw.www.xmu.com.    IN    A    242.121.246.55
lugnstrx.www.xmu.com.    IN    A    184.237.94.154
byklhxvi.www.xmu.com.    IN    A    5.22.156.174
qcmwshig.www.xmu.com.    IN    A    236.205.138.36
kyhxlrqo.www.xmu.com.    IN    A    202.41.66.99
fdxhgknm.www.xmu.com.    IN    A    168.106.69.68
qwoumcsg.www.xmu.com.    IN    A    80.115.120.221
dnjpemua.www.xmu.com.    IN    A    22.31.42.251
hkuwpivd.www.xmu.com.    IN    A    80.139.24.114
tvabchye.www.xmu.com.    IN    A    158.68.174.219
bnkvmagp.www.xmu.com.    IN    A    102.198.40.3
dhsugkro.www.xmu.com.    IN    A    205.190.234.150
gqbeormp.www.xmu.com.    IN    A    244.32.131.82
lifevdws.www.xmu.com.    IN    A    253.140.9.23
thqaixwc.www.xmu.com.    IN    A    8.82.230.84
vcntqksf.www.xmu.com.    IN    A    48.8.112.15
ylwcqsmi.www.xmu.com.    IN    A    5.148.155.62
cdhnovle.www.xmu.com.    IN    A    230.175.210.133
brxlktep.www.xmu.com.    IN    A    68.154.33.150
berwstcp.www.xmu.com.    IN    A    18.196.146.210
rpyslmkc.www.xmu.com.    IN    A    167.42.244.35
rdeiwafq.www.xmu.com.    IN    A    146.156.46.94
csvptkaj.www.xmu.com.    IN    A    207.132.71.133
qhdljfgy.www.xmu.com.    IN    A    212.191.186.54
acqhgwxk.www.xmu.com.    IN    A    132.118.242.54
kqgomhei.www.xmu.com.    IN    A    103.86.37.107
rgadijnf.www.xmu.com.    IN    A    81.185.128.141
fvpiyxkl.www.xmu.com.    IN    A    253.60.205.134
hdwcxkmy.www.xmu.com.    IN    A    113.139.163.140
npyeqvwl.www.xmu.com.    IN    A    97.253.110.163
fkyjrbdq.www.xmu.com.    IN    A    193.236.83.184
knumhfdq.www.xmu.com.    IN    A    70.82.225.52
gmcdkxfw.www.xmu.com.    IN    A    216.193.58.167
lpfoihsj.www.xmu.com.    IN    A    102.221.28.51
doguqmpj.www.xmu.com.    IN    A    24.177.9.177
aprntglx.www.xmu.com.    IN    A    71.22.185.103
oykxegih.www.xmu.com.    IN    A    212.148.163.219
fvidngcb.www.xmu.com.    IN    A    49.163.15.39
