; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR tju.com. @ns2.tju.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.tju.com. james.tju.edu. 19122302 14400 3600 2419200 14400
tju.com.			      14400 IN NS	ns1.tju.com.
ns1.tju.com.			      14400 IN A	10.166.21.13

www.tju.com.		      14400 IN NS	ns1.www.tju.com.
ns1.www.tju.com.		      14400 IN A		10.166.21.14

science.tju.com.		      14400 IN NS	ns1.science.tju.com.
ns1.science.tju.com.		      14400 IN A		10.166.21.15

arch.tju.com.		      14400 IN NS	ns1.arch.tju.com.
ns1.arch.tju.com.		      14400 IN A		10.166.21.12

tju.com.			      14400 IN MX	10 archtp.tju.edu.
tju.com.			      14400 IN TXT	"v=spf1 a mx ~all"
lmeogcth.tju.com.        IN    A    62.114.172.31
dyjlsqpi.tju.com.        IN    A    248.101.170.160
dceysxvr.tju.com.        IN    A    231.43.103.59
xcvmdfua.tju.com.        IN    A    244.0.39.91
dmyuosar.tju.com.        IN    A    99.247.229.180
ihgqbmna.tju.com.        IN    A    176.19.93.97
sycihvow.tju.com.        IN    A    173.126.191.236
ifpuxlqa.tju.com.        IN    A    32.22.140.169
ukamhipc.tju.com.        IN    A    196.249.132.162
mekiaqth.tju.com.        IN    A    18.179.252.44
tefogjvu.tju.com.        IN    A    5.78.217.171
vacfunod.tju.com.        IN    A    137.173.156.19
kxfjrmyu.tju.com.        IN    A    39.9.111.109
glkdjxmr.tju.com.        IN    A    77.33.50.46
oecfhvst.tju.com.        IN    A    224.237.41.216
bctdixmv.tju.com.        IN    A    143.255.249.128
usvfpadn.tju.com.        IN    A    90.159.9.43
mhxqnioe.tju.com.        IN    A    48.114.177.27
xufahwgo.tju.com.        IN    A    212.103.213.98
sejokipb.tju.com.        IN    A    88.178.26.0
lqmwanfv.tju.com.        IN    A    213.101.215.22
mufsjkwx.tju.com.        IN    A    168.70.213.12
stviewoq.tju.com.        IN    A    127.184.153.231
pnaiuctf.tju.com.        IN    A    100.203.94.198
ndberhou.tju.com.        IN    A    200.25.163.212
dfotgkpi.tju.com.        IN    A    142.217.24.42
dnigypsh.tju.com.        IN    A    28.168.16.14
clbmhndu.tju.com.        IN    A    200.48.143.147
xwparvmo.tju.com.        IN    A    54.129.199.153
avuythqi.tju.com.        IN    A    81.141.54.184
ckuvbwph.tju.com.        IN    A    36.37.14.191
qjrbvuxl.tju.com.        IN    A    113.113.135.158
uwknexqs.tju.com.        IN    A    229.68.110.208
aejibrwh.tju.com.        IN    A    78.245.230.212
mewilcoh.tju.com.        IN    A    171.230.19.183
rlupdneo.tju.com.        IN    A    127.82.139.112
woxygivj.tju.com.        IN    A    200.157.217.157
wqgscjve.tju.com.        IN    A    43.60.151.234
jenbyhml.tju.com.        IN    A    100.170.155.143
dgrcepqj.tju.com.        IN    A    43.3.102.20
htamvjrc.tju.com.        IN    A    60.8.123.164
yqctoale.tju.com.        IN    A    68.83.122.3
twrcylhn.tju.com.        IN    A    248.34.163.176
neqcloyt.tju.com.        IN    A    235.135.102.196
kcopjwhg.tju.com.        IN    A    158.55.222.95
smvuqfgk.tju.com.        IN    A    57.75.218.172
gnudplma.tju.com.        IN    A    121.100.152.245
egmolvsx.tju.com.        IN    A    212.94.246.25
eypunoth.tju.com.        IN    A    164.253.70.229
kmlbarvy.tju.com.        IN    A    101.204.88.67
kbvrmosa.tju.com.        IN    A    149.5.6.240
qymtldni.tju.com.        IN    A    132.18.134.250
vxldgcqj.tju.com.        IN    A    161.19.35.201
wkiphvlo.tju.com.        IN    A    248.74.50.145
aloxupns.tju.com.        IN    A    228.141.155.67
vafowmnt.tju.com.        IN    A    86.146.67.180
frdcbvgk.tju.com.        IN    A    31.123.120.187
cfkmdghn.tju.com.        IN    A    152.116.211.231
puwtmfvj.tju.com.        IN    A    198.58.55.3
yvcmpija.tju.com.        IN    A    184.189.4.173
wetacdub.tju.com.        IN    A    78.125.9.157
hgsjvuad.tju.com.        IN    A    27.222.62.244
incleqfb.tju.com.        IN    A    109.44.175.167
afouyjbx.tju.com.        IN    A    65.121.30.67
qrltnaci.tju.com.        IN    A    212.220.252.161
vnkoeutc.tju.com.        IN    A    119.27.210.146
hopnysrm.tju.com.        IN    A    102.76.145.153
mgktqerp.tju.com.        IN    A    42.199.183.39
xfywjuqr.tju.com.        IN    A    168.89.144.208
tsjafvop.tju.com.        IN    A    120.28.127.44
eqdvhxna.tju.com.        IN    A    169.98.123.114
osajmuhk.tju.com.        IN    A    8.74.201.87
olxcbjat.tju.com.        IN    A    33.185.19.97
anflteco.tju.com.        IN    A    215.215.52.17
tlbgxafr.tju.com.        IN    A    14.127.12.51
yfmujdkb.tju.com.        IN    A    90.132.96.136
ubtgofis.tju.com.        IN    A    27.184.109.105
lvfbrnhe.tju.com.        IN    A    33.111.28.195
mefijonh.tju.com.        IN    A    34.11.198.226
oplhauik.tju.com.        IN    A    141.159.243.1
jwbtxdlm.tju.com.        IN    A    80.47.222.77
gpakehxs.tju.com.        IN    A    148.61.229.56
nqftckdu.tju.com.        IN    A    225.149.123.108
ibslekog.tju.com.        IN    A    168.13.126.104
rnjmwfsd.tju.com.        IN    A    37.183.208.30
mubkdagf.tju.com.        IN    A    142.142.40.69
umoikdqr.tju.com.        IN    A    218.73.204.59
itmyfach.tju.com.        IN    A    42.214.9.147
qeptculx.tju.com.        IN    A    14.93.78.192
wnvbgqaf.tju.com.        IN    A    67.97.124.94
uctqhoxr.tju.com.        IN    A    24.6.133.232
rveylqbw.tju.com.        IN    A    119.234.69.196
tpjfdovr.tju.com.        IN    A    42.246.238.218
fkpbudeg.tju.com.        IN    A    7.7.202.61
trgxnpby.tju.com.        IN    A    127.181.203.100
wilmrhxs.tju.com.        IN    A    30.116.38.38
hwnervcs.tju.com.        IN    A    29.41.31.109
cqowdglb.tju.com.        IN    A    35.185.185.33
iancpgwy.tju.com.        IN    A    170.131.146.70
lxohdtir.tju.com.        IN    A    170.13.34.54
nmtbhify.tju.com.        IN    A    50.113.178.63
rapxfdej.tju.com.        IN    A    19.42.70.206
jmrgkxdy.tju.com.        IN    A    37.225.40.117
gilutdvm.tju.com.        IN    A    167.63.37.12
cfmawtgd.tju.com.        IN    A    224.7.98.162
ejqkwcva.tju.com.        IN    A    10.146.135.210
mlrgwbot.tju.com.        IN    A    179.75.48.11
hxdtfgyv.tju.com.        IN    A    147.85.59.230
emqfrgwc.tju.com.        IN    A    145.135.44.118
yhwfguve.tju.com.        IN    A    40.11.170.241
fqtklxwr.tju.com.        IN    A    158.137.105.135
gwfinera.tju.com.        IN    A    31.173.114.165
ecmlqphj.tju.com.        IN    A    9.252.90.118
mahgjuly.tju.com.        IN    A    102.103.41.183
wjkvxinl.tju.com.        IN    A    202.97.248.220
niwchysg.tju.com.        IN    A    41.125.129.220
oxntadie.tju.com.        IN    A    33.194.186.171
gsrxloea.tju.com.        IN    A    138.184.180.255
sborwyfq.tju.com.        IN    A    84.215.86.163
ivtagykq.tju.com.        IN    A    228.2.215.16
tqsfwlke.tju.com.        IN    A    40.255.107.251
feakyorg.tju.com.        IN    A    69.200.103.51
fwmptgnl.tju.com.        IN    A    80.74.235.143
jlcsnedx.tju.com.        IN    A    132.112.205.66
idctpufy.tju.com.        IN    A    103.11.56.68
bxcwteya.tju.com.        IN    A    35.140.135.79
imcrkleh.tju.com.        IN    A    120.140.168.86
lmfknjwb.tju.com.        IN    A    13.145.21.130
kxefwrbn.tju.com.        IN    A    189.85.86.148
clbormwd.tju.com.        IN    A    207.164.81.17
vigfurja.tju.com.        IN    A    243.221.180.253
lgtemack.tju.com.        IN    A    2.206.136.68
uoatpknr.tju.com.        IN    A    178.74.108.87
xgabluew.tju.com.        IN    A    131.112.225.237
vnqjksug.tju.com.        IN    A    108.176.68.121
qomgunsl.tju.com.        IN    A    215.190.125.68
qyrptjus.tju.com.        IN    A    187.189.238.54
bxmrfdeq.tju.com.        IN    A    66.24.51.82
nuwcmgpf.tju.com.        IN    A    202.238.164.10
gplnvbty.tju.com.        IN    A    244.90.46.192
fhemkpdo.tju.com.        IN    A    181.118.9.96
okdnuxlw.tju.com.        IN    A    153.0.217.186
imwforku.tju.com.        IN    A    118.60.112.42
xsjldpre.tju.com.        IN    A    112.192.101.55
jeliorvd.tju.com.        IN    A    25.173.144.131
jexobilk.tju.com.        IN    A    247.192.20.79
tudaejyf.tju.com.        IN    A    221.76.122.85
xeqomrhf.tju.com.        IN    A    44.231.248.216
mtuwhxyp.tju.com.        IN    A    120.145.37.202
iuvcdghw.tju.com.        IN    A    90.250.165.11
xlajwrkf.tju.com.        IN    A    12.50.84.238
gxcuetry.tju.com.        IN    A    173.180.201.68
jpucwgev.tju.com.        IN    A    17.102.188.50
vohumwte.tju.com.        IN    A    126.49.55.211
jbfakuwg.tju.com.        IN    A    32.79.90.197
jkdcrpgw.tju.com.        IN    A    134.7.64.0
hwemfopc.tju.com.        IN    A    187.184.93.178
hpmlkavj.tju.com.        IN    A    204.73.145.172
exutnosb.tju.com.        IN    A    95.50.154.33
dthjipql.tju.com.        IN    A    205.46.90.64
lfcpivob.tju.com.        IN    A    40.127.137.23
pvwrleoq.tju.com.        IN    A    121.255.189.88
vciqweuo.tju.com.        IN    A    64.96.2.36
ejcypwxd.tju.com.        IN    A    152.79.153.35
clqvmshy.tju.com.        IN    A    15.20.184.79
cjbumdfa.tju.com.        IN    A    174.116.43.181
rfaeivdo.tju.com.        IN    A    61.214.26.140
gwnhfevq.tju.com.        IN    A    111.214.71.124
xbrwmsye.tju.com.        IN    A    133.202.179.130
ivkoegwa.tju.com.        IN    A    89.7.104.47
jtprfnca.tju.com.        IN    A    110.9.147.200
vefmwybq.tju.com.        IN    A    117.32.117.90
kvyrojcm.tju.com.        IN    A    179.166.252.1
oeghqnlf.tju.com.        IN    A    226.82.232.107
ykpeacfn.tju.com.        IN    A    120.179.230.202
fldcauek.tju.com.        IN    A    126.227.11.33
tyciagrq.tju.com.        IN    A    65.4.119.78
qhfxyepj.tju.com.        IN    A    251.203.52.101
btnuvhws.tju.com.        IN    A    14.84.59.120
mafrvniw.tju.com.        IN    A    107.24.132.43
wkqdesyo.tju.com.        IN    A    80.152.67.6
paoxtcyv.tju.com.        IN    A    184.78.13.196
oiulrfyq.tju.com.        IN    A    95.57.152.44
ntimehdq.tju.com.        IN    A    135.107.83.46
ivfnktbh.tju.com.        IN    A    36.223.7.20
igwrfash.tju.com.        IN    A    100.8.222.103
revukpyx.tju.com.        IN    A    162.160.56.44
rijxyqhn.tju.com.        IN    A    198.208.48.0
iecdlgjt.tju.com.        IN    A    201.167.1.253
felhtxku.tju.com.        IN    A    76.106.255.52
swraoced.tju.com.        IN    A    34.162.136.153
msxfnrji.tju.com.        IN    A    140.10.34.163
ocegmhxn.tju.com.        IN    A    81.237.250.56
fpuljear.tju.com.        IN    A    21.154.26.57
eymwdjvs.tju.com.        IN    A    161.153.166.163
vbfrdxtm.tju.com.        IN    A    67.118.188.22
fhilpxvt.tju.com.        IN    A    28.226.136.26
pmqetjlf.tju.com.        IN    A    244.54.172.61
xckdlrav.tju.com.        IN    A    143.213.196.159
kawhxvmj.tju.com.        IN    A    197.144.177.23
msytkeho.tju.com.        IN    A    78.185.51.234
jdvfoixe.tju.com.        IN    A    24.151.115.187
nbsjdyah.tju.com.        IN    A    131.140.147.40
ynmifalc.tju.com.        IN    A    22.62.251.84
