; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR shu.com. @ns2.shu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.shu.com. james.shu.edu. 19122302 14400 3600 2419200 14400
shu.com.			      14400 IN NS	ns1.shu.com.
ns1.shu.com.			      14400 IN A	10.166.21.15

www.shu.com.		      14400 IN NS	ns1.www.shu.com.
ns1.www.shu.com.		      14400 IN A		10.166.21.12

ai.shu.com.		      14400 IN NS	ns1.ai.shu.com.
ns1.ai.shu.com.		      14400 IN A		10.166.21.13

sociology.shu.com.		      14400 IN NS	ns1.sociology.shu.com.
ns1.sociology.shu.com.		      14400 IN A		10.166.21.14

shu.com.			      14400 IN MX	10 sociologytp.shu.edu.
shu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
lyxpfism.shu.com.        IN    A    10.3.83.197
jdrgefbw.shu.com.        IN    A    191.94.182.39
jwyglfti.shu.com.        IN    A    243.223.3.120
wkjcpgav.shu.com.        IN    A    140.58.225.248
ohvkgmxd.shu.com.        IN    A    5.161.50.70
kgdqyrsj.shu.com.        IN    A    103.85.181.171
bjvrlkdm.shu.com.        IN    A    27.30.43.248
ulpnvaeg.shu.com.        IN    A    188.61.215.174
ogaweklr.shu.com.        IN    A    214.202.80.112
imrswgcn.shu.com.        IN    A    5.233.58.81
wmgiuyxb.shu.com.        IN    A    138.241.74.61
ykoiswae.shu.com.        IN    A    119.136.113.253
ljtwcgys.shu.com.        IN    A    183.244.68.204
emotrdnq.shu.com.        IN    A    64.184.56.150
kafhwirb.shu.com.        IN    A    132.235.222.16
pqrecaxb.shu.com.        IN    A    157.238.98.134
yreltwkh.shu.com.        IN    A    205.29.162.79
mpqnchwl.shu.com.        IN    A    63.51.40.126
ghftpqnx.shu.com.        IN    A    168.155.61.71
hpqkiwcs.shu.com.        IN    A    61.121.205.171
lytmhoap.shu.com.        IN    A    13.129.22.89
snwqbjuy.shu.com.        IN    A    242.47.119.75
rsohfkpm.shu.com.        IN    A    200.157.129.255
wlokfbsh.shu.com.        IN    A    193.34.252.75
teraihwc.shu.com.        IN    A    128.109.220.72
rvlcmtux.shu.com.        IN    A    133.230.103.205
kojmrbuq.shu.com.        IN    A    99.149.124.178
oadlknyi.shu.com.        IN    A    149.24.243.189
sfvowqhu.shu.com.        IN    A    73.84.125.48
qaduythe.shu.com.        IN    A    82.6.11.212
ythkqamc.shu.com.        IN    A    233.147.134.162
bgioanhs.shu.com.        IN    A    215.215.1.173
svajinmd.shu.com.        IN    A    186.221.39.224
jtrqndvg.shu.com.        IN    A    46.112.120.76
atvnlfrm.shu.com.        IN    A    92.141.165.20
quraebvd.shu.com.        IN    A    116.26.96.220
qxhvysot.shu.com.        IN    A    199.215.179.126
cqfotivp.shu.com.        IN    A    87.37.40.93
qftkrhap.shu.com.        IN    A    23.45.46.165
qkfubdec.shu.com.        IN    A    229.82.193.119
cokvatjn.shu.com.        IN    A    52.186.97.220
lrbynhpj.shu.com.        IN    A    99.237.142.190
mwhufvcb.shu.com.        IN    A    243.80.9.10
ikalymrv.shu.com.        IN    A    52.189.123.129
ektvrmqi.shu.com.        IN    A    147.25.70.190
sidmhept.shu.com.        IN    A    254.29.105.135
mvbudrwa.shu.com.        IN    A    105.130.70.161
rbdxpgnt.shu.com.        IN    A    139.116.174.193
cyuwlrxj.shu.com.        IN    A    133.46.198.221
tecimsgr.shu.com.        IN    A    247.144.224.42
ponhlmdq.shu.com.        IN    A    192.93.46.95
idfgnhbj.shu.com.        IN    A    45.142.52.154
rayigbwf.shu.com.        IN    A    196.187.165.97
falmnqrx.shu.com.        IN    A    188.184.198.214
ovpryidw.shu.com.        IN    A    142.84.122.229
gdsqnuav.shu.com.        IN    A    228.178.41.241
yuisxcnj.shu.com.        IN    A    241.107.109.241
qwedpskc.shu.com.        IN    A    181.193.81.202
ylfonkad.shu.com.        IN    A    30.74.100.12
kbviyplq.shu.com.        IN    A    129.215.165.149
mjxvrclh.shu.com.        IN    A    68.187.240.24
rqmuschf.shu.com.        IN    A    223.54.53.179
rvstglwd.shu.com.        IN    A    74.149.201.232
krnspqim.shu.com.        IN    A    194.203.224.66
plumkqvf.shu.com.        IN    A    68.226.20.213
wtpikumc.shu.com.        IN    A    147.59.135.151
nfydecxw.shu.com.        IN    A    49.149.250.39
tfdrhpmu.shu.com.        IN    A    154.8.91.183
oearcjly.shu.com.        IN    A    35.85.161.132
ipyuogje.shu.com.        IN    A    174.62.60.157
jthnbqcg.shu.com.        IN    A    47.156.183.21
humfwori.shu.com.        IN    A    191.146.113.206
eodlwiyu.shu.com.        IN    A    124.78.96.141
drvkaies.shu.com.        IN    A    216.192.34.66
ldvonekw.shu.com.        IN    A    46.96.149.101
ecshavyq.shu.com.        IN    A    212.33.126.225
docjblap.shu.com.        IN    A    140.114.195.120
efsuwtkv.shu.com.        IN    A    86.12.233.221
xcjqkwpm.shu.com.        IN    A    114.123.102.234
ajytdrpi.shu.com.        IN    A    130.20.105.223
yqaxpnbc.shu.com.        IN    A    50.179.131.43
nxtcufjm.shu.com.        IN    A    175.250.117.223
bramoqcf.shu.com.        IN    A    172.242.21.145
gyfjihqs.shu.com.        IN    A    113.192.170.113
vfbjoxdp.shu.com.        IN    A    192.97.122.200
ynmxtpdi.shu.com.        IN    A    241.56.111.46
aievtryc.shu.com.        IN    A    43.208.4.173
bjdnkfui.shu.com.        IN    A    250.85.64.110
yipumgjk.shu.com.        IN    A    198.168.193.145
hbmlyaeq.shu.com.        IN    A    230.149.229.105
mourineg.shu.com.        IN    A    180.145.43.174
snplcgwk.shu.com.        IN    A    144.158.29.213
tojnaqrl.shu.com.        IN    A    30.26.152.209
arlmwtce.shu.com.        IN    A    91.65.98.254
chxpqetf.shu.com.        IN    A    158.121.110.58
qphlwktm.shu.com.        IN    A    8.83.159.21
vjgnwoat.shu.com.        IN    A    191.195.189.216
gxhvjnfy.shu.com.        IN    A    77.48.178.171
qxljmbfd.shu.com.        IN    A    201.217.37.117
wtivfkyn.shu.com.        IN    A    37.80.84.15
ajiwqxoy.shu.com.        IN    A    207.2.47.59
xksahwfe.shu.com.        IN    A    63.158.20.178
mvpfjktr.shu.com.        IN    A    166.197.230.187
oufncejh.shu.com.        IN    A    183.98.45.210
vdfogicn.shu.com.        IN    A    33.200.51.134
kbasutmh.shu.com.        IN    A    80.254.66.197
exdmygko.shu.com.        IN    A    40.90.82.107
ebqnlkcd.shu.com.        IN    A    143.247.252.10
ougetdxb.shu.com.        IN    A    134.206.12.213
syxlgnmk.shu.com.        IN    A    167.143.91.247
nrwlmckv.shu.com.        IN    A    88.146.179.31
wxufyhvk.shu.com.        IN    A    159.106.190.33
vgandpyi.shu.com.        IN    A    21.44.86.176
yrsajpen.shu.com.        IN    A    24.8.95.69
wxihtlan.shu.com.        IN    A    56.166.215.68
ibupgywd.shu.com.        IN    A    226.68.208.217
ralcknux.shu.com.        IN    A    54.105.131.183
evytcqgl.shu.com.        IN    A    68.161.193.86
fhupbcoy.shu.com.        IN    A    187.37.219.83
xyfgcvuo.shu.com.        IN    A    87.20.181.204
qodkextb.shu.com.        IN    A    233.215.168.154
vwudmhjf.shu.com.        IN    A    215.247.59.215
ldgxreum.shu.com.        IN    A    220.46.236.33
gpeaxurb.shu.com.        IN    A    238.224.232.102
kjgefmor.shu.com.        IN    A    113.104.226.242
bprqtjyu.shu.com.        IN    A    112.223.120.138
veqrshfk.shu.com.        IN    A    45.46.245.47
fxcnmsrj.shu.com.        IN    A    198.216.245.141
rbhiecwf.shu.com.        IN    A    148.142.230.209
oiredyhb.shu.com.        IN    A    247.251.42.13
blevnjtk.shu.com.        IN    A    29.61.185.231
fwcbieou.shu.com.        IN    A    43.69.123.127
rxlikujo.shu.com.        IN    A    154.100.193.236
arwpcmut.shu.com.        IN    A    13.165.11.195
tcyrqbnp.shu.com.        IN    A    4.117.218.194
fokjhtyq.shu.com.        IN    A    57.190.34.114
xbcqjdpv.shu.com.        IN    A    88.166.122.83
agderksy.shu.com.        IN    A    163.10.158.241
hceiustp.shu.com.        IN    A    7.83.159.39
ovypsntc.shu.com.        IN    A    108.130.106.65
juhfyrpd.shu.com.        IN    A    184.196.51.75
apkumnel.shu.com.        IN    A    46.196.80.185
xjgdchpi.shu.com.        IN    A    239.59.151.97
ghqvrxjt.shu.com.        IN    A    2.101.151.19
gdtvxsuh.shu.com.        IN    A    187.100.123.127
hnecyqpt.shu.com.        IN    A    214.94.237.114
gjesoktm.shu.com.        IN    A    125.252.197.53
vbkyouds.shu.com.        IN    A    182.10.146.121
ktjgdpiu.shu.com.        IN    A    136.234.225.255
wsorckpx.shu.com.        IN    A    93.39.121.69
aopqfbjh.shu.com.        IN    A    214.211.12.42
dcxtrkya.shu.com.        IN    A    75.100.234.90
peytnsho.shu.com.        IN    A    206.221.225.156
yfnwtcje.shu.com.        IN    A    31.31.237.180
opqrfaey.shu.com.        IN    A    167.224.229.71
kgywdubt.shu.com.        IN    A    117.191.165.150
biwxdmfl.shu.com.        IN    A    54.103.244.2
oapcxsei.shu.com.        IN    A    209.96.224.109
dytaorwh.shu.com.        IN    A    203.218.62.234
ibuxerhs.shu.com.        IN    A    179.100.96.110
sphvbdnc.shu.com.        IN    A    237.204.46.2
qneymodk.shu.com.        IN    A    21.77.61.219
tmeifjdv.shu.com.        IN    A    74.26.95.58
amysolqk.shu.com.        IN    A    10.221.34.113
asbfpumw.shu.com.        IN    A    176.21.99.53
qhrmwkoj.shu.com.        IN    A    220.52.112.238
duwviflk.shu.com.        IN    A    74.217.201.57
gkyhebmt.shu.com.        IN    A    11.247.165.234
hptxidlm.shu.com.        IN    A    113.153.5.58
sbpyhqfr.shu.com.        IN    A    211.194.220.6
gsiptnxb.shu.com.        IN    A    142.96.53.50
eyvnqrcb.shu.com.        IN    A    164.221.104.82
hjvebsic.shu.com.        IN    A    118.123.117.100
bsmiughl.shu.com.        IN    A    65.122.63.33
pixnmlud.shu.com.        IN    A    213.35.39.109
mdstvhky.shu.com.        IN    A    121.169.128.241
yxgpfqal.shu.com.        IN    A    75.72.53.179
fcvhdklm.shu.com.        IN    A    191.168.206.86
nevchldm.shu.com.        IN    A    66.181.64.102
aftemrgp.shu.com.        IN    A    241.110.195.8
hkliaobu.shu.com.        IN    A    223.26.103.200
midehorq.shu.com.        IN    A    156.62.36.20
lmgxojif.shu.com.        IN    A    34.183.84.114
xvomcgwn.shu.com.        IN    A    89.68.164.45
bfrjxcgm.shu.com.        IN    A    196.226.214.191
wgdakbvq.shu.com.        IN    A    48.172.191.214
tvyrmhpi.shu.com.        IN    A    137.130.181.60
iwxnudhy.shu.com.        IN    A    67.133.24.213
chksbran.shu.com.        IN    A    232.193.145.27
opiyhrjq.shu.com.        IN    A    134.153.226.80
kpalvnyo.shu.com.        IN    A    73.193.157.123
hvnixtfo.shu.com.        IN    A    100.139.21.102
nwsxkegt.shu.com.        IN    A    12.179.158.57
gfptjksr.shu.com.        IN    A    47.198.180.89
cueiowqj.shu.com.        IN    A    7.214.214.79
wlonqeim.shu.com.        IN    A    146.214.19.248
mqrfjvki.shu.com.        IN    A    248.142.179.222
dtpnyrme.shu.com.        IN    A    59.237.90.41
bkxdgvir.shu.com.        IN    A    108.15.208.101
xajwnltr.shu.com.        IN    A    129.121.231.113
jluvdoyh.shu.com.        IN    A    179.159.213.130
pcfqsonl.shu.com.        IN    A    16.109.111.8
yquwcfjh.shu.com.        IN    A    255.9.160.81
gkyomqws.shu.com.        IN    A    9.169.69.127
atcgsqjn.shu.com.        IN    A    107.170.163.153
ytpiduhb.shu.com.        IN    A    209.110.230.174
vsydioac.shu.com.        IN    A    115.137.241.44
xgfcqkpw.shu.com.        IN    A    102.47.99.65
rvwdceio.shu.com.        IN    A    11.230.220.244
ylrwexsp.shu.com.        IN    A    217.110.249.203
acuxvmwd.shu.com.        IN    A    108.125.23.246
omufwypa.shu.com.        IN    A    41.184.150.180
aqnlejhv.shu.com.        IN    A    7.118.7.180
egqnyfkh.shu.com.        IN    A    18.196.41.125
gecvqkni.shu.com.        IN    A    156.20.126.211
kmegptsw.shu.com.        IN    A    70.189.73.213
myjwntef.shu.com.        IN    A    146.94.145.236
pjwegxma.shu.com.        IN    A    239.73.244.72
hloyebjt.shu.com.        IN    A    223.53.254.73
tlpbgycf.shu.com.        IN    A    171.213.100.88
lpkugqwm.shu.com.        IN    A    29.194.43.23
dopefcnj.shu.com.        IN    A    133.183.21.178
jceitfhu.shu.com.        IN    A    13.35.126.76
quwxkjrl.shu.com.        IN    A    60.112.152.244
qwnxljoi.shu.com.        IN    A    29.208.120.122
dgxhlyrs.shu.com.        IN    A    125.122.218.65
qawjmilp.shu.com.        IN    A    197.86.35.157
xckenjgr.shu.com.        IN    A    53.87.156.211
mdacnrjq.shu.com.        IN    A    0.68.241.3
idtxlsqb.shu.com.        IN    A    103.215.57.21
ydxklcbq.shu.com.        IN    A    108.25.25.126
vmqpfwhl.shu.com.        IN    A    67.169.220.224
smhywkdf.shu.com.        IN    A    132.5.76.174
dheroqpg.shu.com.        IN    A    111.150.55.254
delatuso.shu.com.        IN    A    76.158.86.136
mqtcpdfy.shu.com.        IN    A    146.6.17.181
esdujbvg.shu.com.        IN    A    48.229.20.190
pkduimns.shu.com.        IN    A    174.170.130.140
mdvjtpke.shu.com.        IN    A    231.67.163.128
bpckxqoj.shu.com.        IN    A    33.165.176.240
tmhjvqdf.shu.com.        IN    A    8.236.182.12
xiahnlts.shu.com.        IN    A    96.69.74.140
uikrywph.shu.com.        IN    A    14.220.8.64
enyxtjwk.shu.com.        IN    A    35.193.225.133
bkgqrhvt.shu.com.        IN    A    163.78.178.164
hkpwvnge.shu.com.        IN    A    14.177.173.123
erhbcsap.shu.com.        IN    A    130.161.32.226
ebqvnola.shu.com.        IN    A    102.251.105.150
bkutdwlv.shu.com.        IN    A    137.23.42.246
kxuchgwt.shu.com.        IN    A    116.218.230.172
gopwdqui.shu.com.        IN    A    169.210.120.143
sxgwocpd.shu.com.        IN    A    86.239.173.136
ylwvrjcd.shu.com.        IN    A    117.97.154.40
nostwjeh.shu.com.        IN    A    84.177.153.152
unwgorqd.shu.com.        IN    A    147.128.58.159
wypokhvu.shu.com.        IN    A    162.94.125.210
hipkmtab.shu.com.        IN    A    225.29.201.198
dubxhkiy.shu.com.        IN    A    243.170.83.37
lkymfbsd.shu.com.        IN    A    242.84.206.21
yfxmcudj.shu.com.        IN    A    105.164.236.64
mdolpanr.shu.com.        IN    A    232.181.26.91
nbhpyvsl.shu.com.        IN    A    85.83.46.254
cqieavhm.shu.com.        IN    A    62.15.29.251
dsjqnugt.shu.com.        IN    A    158.65.115.37
molgqcwt.shu.com.        IN    A    236.140.166.127
ekxfslto.shu.com.        IN    A    34.61.155.8
eujkhsvw.shu.com.        IN    A    35.230.201.184
imyasrcb.shu.com.        IN    A    64.40.190.98
wukbhlar.shu.com.        IN    A    156.53.175.119
ritslxcj.shu.com.        IN    A    159.23.214.89
pnvoqtjh.shu.com.        IN    A    121.199.248.21
kwsdcjea.shu.com.        IN    A    38.152.50.89
ykolwhcm.shu.com.        IN    A    174.91.7.36
pmacqfve.shu.com.        IN    A    171.160.2.218
texirvjd.shu.com.        IN    A    99.225.137.224
hybwlqkx.shu.com.        IN    A    180.179.94.42
prwxtyhd.shu.com.        IN    A    172.51.121.56
wojaknpr.shu.com.        IN    A    146.51.35.72
adecqokb.shu.com.        IN    A    188.242.100.240
oenhpkqg.shu.com.        IN    A    61.48.108.124
otdfivwr.shu.com.        IN    A    75.238.81.59
jbmyerti.shu.com.        IN    A    69.69.213.143
fdprmnwk.shu.com.        IN    A    92.26.180.206
qfldjtph.shu.com.        IN    A    87.79.147.9
olgdawbq.shu.com.        IN    A    187.142.226.51
gkfblvcx.shu.com.        IN    A    120.114.137.61
hqogwija.shu.com.        IN    A    154.129.165.211
lxoacjwv.shu.com.        IN    A    126.255.61.185
rgvhatpk.shu.com.        IN    A    108.109.91.80
hwuxjlgo.shu.com.        IN    A    64.244.14.34
yapohcwg.shu.com.        IN    A    36.51.10.65
wvsymftj.shu.com.        IN    A    183.1.171.41
myxcofel.shu.com.        IN    A    152.143.205.165
idrmhkat.shu.com.        IN    A    2.255.174.227
thmulerv.shu.com.        IN    A    134.241.154.224
mxvaqonb.shu.com.        IN    A    243.145.8.115
redpnytg.shu.com.        IN    A    83.5.19.165
fxputnjc.shu.com.        IN    A    231.158.233.75
tjsaunwi.shu.com.        IN    A    131.253.65.247
betxchoq.shu.com.        IN    A    158.115.92.88
ljeiakqy.shu.com.        IN    A    114.153.19.160
edmaupjf.shu.com.        IN    A    123.81.210.179
mkwfvcuj.shu.com.        IN    A    25.123.246.115
eyfoxntr.shu.com.        IN    A    233.208.14.204
dgfmhoju.shu.com.        IN    A    147.233.38.57
edfnbsyl.shu.com.        IN    A    169.27.0.189
iqbnxtul.shu.com.        IN    A    42.35.94.245
okhaxrdc.shu.com.        IN    A    26.42.170.53
tabxcklh.shu.com.        IN    A    35.110.167.75
jctnrdah.shu.com.        IN    A    122.61.151.20
bovmatpk.shu.com.        IN    A    193.144.20.16
jsxpufte.shu.com.        IN    A    62.166.246.147
cjrhspvg.shu.com.        IN    A    71.253.113.186
eaxdtnmb.shu.com.        IN    A    39.253.234.55
vobqlgfa.shu.com.        IN    A    229.192.77.13
iopxqnyc.shu.com.        IN    A    198.29.153.50
hdclapku.shu.com.        IN    A    8.72.50.6
ktwuqecp.shu.com.        IN    A    134.174.88.17
ajinrqtd.shu.com.        IN    A    177.217.45.58
xikbeyof.shu.com.        IN    A    78.242.4.173
fxuyapqb.shu.com.        IN    A    51.34.45.33
cmfiedqu.shu.com.        IN    A    150.194.182.248
bdsorvia.shu.com.        IN    A    227.100.185.200
ygmqlaur.shu.com.        IN    A    118.41.45.59
indxsypv.shu.com.        IN    A    176.188.187.239
mjhdkgop.shu.com.        IN    A    49.167.142.86
nvbxifhy.shu.com.        IN    A    6.155.103.230
wnjqyrsp.shu.com.        IN    A    210.88.233.75
kevocpfj.shu.com.        IN    A    12.230.112.136
dfkmraeu.shu.com.        IN    A    151.4.246.178
vnjtlhcu.shu.com.        IN    A    27.69.249.57
yovwnuta.shu.com.        IN    A    183.212.47.192
edrgfikj.shu.com.        IN    A    163.117.0.252
qotdfrmu.shu.com.        IN    A    42.240.168.145
jkvomhnx.shu.com.        IN    A    253.137.102.169
iesxndmr.shu.com.        IN    A    148.67.96.62
evtwhslq.shu.com.        IN    A    66.31.251.31
xdtcigly.shu.com.        IN    A    53.108.161.240
omhjnuta.shu.com.        IN    A    238.96.249.162
gqtonypw.shu.com.        IN    A    243.146.11.160
afgoxeur.shu.com.        IN    A    166.132.93.223
holixpvq.shu.com.        IN    A    155.246.190.193
sqdujvyl.shu.com.        IN    A    161.92.102.158
skmiclbq.shu.com.        IN    A    52.249.225.46
ysknuxft.shu.com.        IN    A    120.47.49.16
rjuhqkiv.shu.com.        IN    A    37.40.30.98
hifsxkvt.shu.com.        IN    A    111.61.190.183
meydwolx.shu.com.        IN    A    172.154.191.165
wvxumtbn.shu.com.        IN    A    158.18.89.248
byhevrof.shu.com.        IN    A    127.9.51.143
votuaqxr.shu.com.        IN    A    108.143.57.90
hqnujopf.shu.com.        IN    A    154.193.194.93
njaoebsq.shu.com.        IN    A    67.225.23.207
mepckgod.shu.com.        IN    A    1.57.7.114
gfuxhydm.shu.com.        IN    A    137.28.43.93
xlforhgd.shu.com.        IN    A    231.194.189.210
acfdleun.shu.com.        IN    A    80.53.78.28
opbxrymh.shu.com.        IN    A    36.142.78.81
ekwtnbsh.shu.com.        IN    A    92.75.197.139
mhapskej.shu.com.        IN    A    173.209.185.163
cpjtauhv.shu.com.        IN    A    73.121.28.217
dupbmcof.shu.com.        IN    A    202.203.205.226
obnevfky.shu.com.        IN    A    217.105.169.97
pkaenlji.shu.com.        IN    A    166.116.8.155
hdyunfrl.shu.com.        IN    A    1.38.119.181
edngwapu.shu.com.        IN    A    215.237.22.65
gtlwhyje.shu.com.        IN    A    45.157.194.183
tgeycfdn.shu.com.        IN    A    97.119.9.59
jhukmsbv.shu.com.        IN    A    17.251.206.80
crvmuigy.shu.com.        IN    A    48.70.51.4
vrjpmfyw.shu.com.        IN    A    102.197.207.129
mkrstyhx.shu.com.        IN    A    149.8.22.254
pyrsahki.shu.com.        IN    A    69.203.172.89
quxglcvo.shu.com.        IN    A    1.202.5.18
rnacigtk.shu.com.        IN    A    254.38.200.35
beismypk.shu.com.        IN    A    157.80.40.0
fcnlhseq.shu.com.        IN    A    61.89.176.127
vwfnpyqm.shu.com.        IN    A    144.50.114.241
afckdumx.shu.com.        IN    A    32.80.49.223
uqawtplv.shu.com.        IN    A    64.149.232.106
jrtlqcvi.shu.com.        IN    A    217.17.51.12
tmjrhusv.shu.com.        IN    A    81.107.34.165
gulvwnyh.shu.com.        IN    A    2.66.9.107
pulhvjkr.shu.com.        IN    A    185.11.110.28
empfrkih.shu.com.        IN    A    242.158.35.109
veoksrjh.shu.com.        IN    A    146.39.23.46
xyapdnur.shu.com.        IN    A    66.110.67.119
bxtvgenr.shu.com.        IN    A    96.2.24.94
ineuotfx.shu.com.        IN    A    132.90.160.119
ofuirktv.shu.com.        IN    A    222.83.105.46
aymiwvsp.shu.com.        IN    A    197.248.188.106
ytojwvbd.shu.com.        IN    A    15.102.9.243
gjfkwdsu.shu.com.        IN    A    69.255.142.164
nthrolvd.shu.com.        IN    A    60.78.76.185
xpjrfgbs.shu.com.        IN    A    176.64.217.128
hdonxbcg.shu.com.        IN    A    112.187.165.163
dwnkatop.shu.com.        IN    A    147.235.49.26
lpfmvjny.shu.com.        IN    A    69.237.111.157
fpcvlmjs.shu.com.        IN    A    53.200.97.121
pkmnxedr.shu.com.        IN    A    151.127.242.107
qilcwngt.shu.com.        IN    A    140.220.227.0
otuqhlfb.shu.com.        IN    A    80.159.192.138
gpndlbjy.shu.com.        IN    A    45.247.198.95
rpsclwnu.shu.com.        IN    A    220.96.248.116
kbvwfpjc.shu.com.        IN    A    69.102.214.167
nrlofxqi.shu.com.        IN    A    80.169.12.229
avbloteh.shu.com.        IN    A    245.72.157.132
kdbivncl.shu.com.        IN    A    217.242.157.165
oyvrhqic.shu.com.        IN    A    89.40.80.12
bjakfrhg.shu.com.        IN    A    44.133.131.223
pjvrscqe.shu.com.        IN    A    156.254.193.149
vufpnmal.shu.com.        IN    A    22.74.192.239
nfmjbtso.shu.com.        IN    A    86.93.10.136
nbmhwkvd.shu.com.        IN    A    252.6.56.71
idxflwec.shu.com.        IN    A    231.185.174.16
duqohitw.shu.com.        IN    A    201.145.53.112
jwudxphn.shu.com.        IN    A    65.215.64.91
frckeutl.shu.com.        IN    A    44.10.53.22
ywoqjbtk.shu.com.        IN    A    64.198.63.131
xktwmpis.shu.com.        IN    A    115.26.152.252
tngipcxu.shu.com.        IN    A    178.146.144.123
vjfwrsut.shu.com.        IN    A    101.14.85.234
ipojnslv.shu.com.        IN    A    166.129.184.16
bwjdyctr.shu.com.        IN    A    243.33.164.103
egqnbskd.shu.com.        IN    A    128.34.15.137
fepuvkyt.shu.com.        IN    A    67.33.130.157
jkcopsqg.shu.com.        IN    A    249.50.4.57
cveburyn.shu.com.        IN    A    239.137.116.197
qbongalx.shu.com.        IN    A    7.72.21.128
aijfvlym.shu.com.        IN    A    204.173.103.121
yhnmabfe.shu.com.        IN    A    105.78.162.222
xcrnpqgb.shu.com.        IN    A    176.164.196.133
omktlusq.shu.com.        IN    A    53.167.92.40
wvtsanrq.shu.com.        IN    A    53.8.249.30
tbsjlqxk.shu.com.        IN    A    112.208.222.175
ylidctva.shu.com.        IN    A    169.238.157.241
jhnqklwv.shu.com.        IN    A    248.53.29.161
ihatrmxj.shu.com.        IN    A    31.115.236.106
hlieuwjn.shu.com.        IN    A    112.149.93.255
qemlsown.shu.com.        IN    A    183.248.176.26
mhrlktvc.shu.com.        IN    A    233.65.209.147
iagdbkvw.shu.com.        IN    A    206.140.6.91
dmpukhtg.shu.com.        IN    A    178.235.138.84
kbwsrcvn.shu.com.        IN    A    235.156.74.37
xqoubknt.shu.com.        IN    A    1.143.202.199
pobkwixs.shu.com.        IN    A    34.200.76.140
