www.pku.com. 	14400	IN	SOA	ns1.www.pku.com. james.pku.edu. 19122302 14400 3600 2419200 14400
www.pku.com.		    IN	NS ns1.www.pku.com.
xlygshfj.www.pku.com.    IN    A    237.105.210.221
ovlytqag.www.pku.com.    IN    A    77.246.234.166
cpwunagb.www.pku.com.    IN    A    135.56.189.160
fcatmdyr.www.pku.com.    IN    A    19.33.70.123
vpqitesd.www.pku.com.    IN    A    239.176.203.12
ydpvgtbm.www.pku.com.    IN    A    234.209.215.219
bwpnqhlo.www.pku.com.    IN    A    217.25.235.137
quoytbkg.www.pku.com.    IN    A    146.181.151.255
msnfogkv.www.pku.com.    IN    A    166.26.50.33
cgdmxuwr.www.pku.com.    IN    A    157.198.190.138
ykmpucvj.www.pku.com.    IN    A    143.74.249.251
pgamvwnh.www.pku.com.    IN    A    195.76.226.146
psuayqcf.www.pku.com.    IN    A    120.7.112.118
kfdstxan.www.pku.com.    IN    A    94.225.99.183
xoghjnmy.www.pku.com.    IN    A    145.169.146.220
ishdqola.www.pku.com.    IN    A    39.172.71.115
jlnreick.www.pku.com.    IN    A    147.210.113.203
uhikplgw.www.pku.com.    IN    A    48.84.63.123
btwvnjix.www.pku.com.    IN    A    16.216.173.10
mxvqlpik.www.pku.com.    IN    A    134.98.164.253
xcfwmrkn.www.pku.com.    IN    A    10.220.59.21
wmngdtkb.www.pku.com.    IN    A    72.65.129.121
avijrkpd.www.pku.com.    IN    A    62.219.96.79
otslrunc.www.pku.com.    IN    A    200.50.23.101
ybfmrsgx.www.pku.com.    IN    A    64.211.45.21
tkwyluoi.www.pku.com.    IN    A    195.185.251.168
yqmafogw.www.pku.com.    IN    A    90.0.82.231
elvunhjg.www.pku.com.    IN    A    53.37.182.128
whurgkcq.www.pku.com.    IN    A    132.229.149.200
edsqjhui.www.pku.com.    IN    A    159.194.54.28
pqmjxuag.www.pku.com.    IN    A    183.151.63.23
wqhgevmu.www.pku.com.    IN    A    253.224.104.35
bldfqnor.www.pku.com.    IN    A    104.100.176.130
piolvxen.www.pku.com.    IN    A    68.104.154.25
pfrstmlb.www.pku.com.    IN    A    154.90.239.239
yljqnwch.www.pku.com.    IN    A    215.241.206.74
cfutqmxa.www.pku.com.    IN    A    214.228.93.60
ovefswyn.www.pku.com.    IN    A    240.202.97.125
obsytqvl.www.pku.com.    IN    A    194.187.32.48
hcnqbdjl.www.pku.com.    IN    A    171.13.83.206
qkfbpexi.www.pku.com.    IN    A    247.54.58.52
qhvxwelu.www.pku.com.    IN    A    249.74.160.8
oxrbinqd.www.pku.com.    IN    A    195.253.99.175
gaqcrvjx.www.pku.com.    IN    A    216.37.173.178
ymvaudcx.www.pku.com.    IN    A    23.23.76.178
egafojki.www.pku.com.    IN    A    89.223.40.123
ekutigfx.www.pku.com.    IN    A    64.130.19.66
ywxidfng.www.pku.com.    IN    A    233.99.94.83
mebkygjo.www.pku.com.    IN    A    65.62.1.99
kchpyrdo.www.pku.com.    IN    A    142.109.185.229
cvgqrydm.www.pku.com.    IN    A    147.51.4.247
gktmxrdo.www.pku.com.    IN    A    239.40.162.224
vkjopwra.www.pku.com.    IN    A    203.166.254.10
txagkdiw.www.pku.com.    IN    A    185.57.166.88
thwsbdie.www.pku.com.    IN    A    178.223.6.43
tqrcxugh.www.pku.com.    IN    A    72.146.153.58
iqpncwhb.www.pku.com.    IN    A    11.126.1.254
oufdgwhx.www.pku.com.    IN    A    142.48.5.201
pcntrleb.www.pku.com.    IN    A    252.18.0.157
ukfcvgsb.www.pku.com.    IN    A    97.200.91.149
vimeclbj.www.pku.com.    IN    A    7.27.148.226
qmthoewu.www.pku.com.    IN    A    193.113.61.97
slgvxqkc.www.pku.com.    IN    A    136.54.125.168
fxmnvtsh.www.pku.com.    IN    A    94.169.140.128
nlohquyf.www.pku.com.    IN    A    0.81.44.114
hrvyqmns.www.pku.com.    IN    A    133.234.207.21
gyihrcak.www.pku.com.    IN    A    96.228.183.34
fmvgoxwc.www.pku.com.    IN    A    103.106.110.57
gmtnklip.www.pku.com.    IN    A    170.81.176.0
jgqdlwvf.www.pku.com.    IN    A    70.193.63.147
whrgpusq.www.pku.com.    IN    A    249.150.189.62
speunojb.www.pku.com.    IN    A    117.121.236.119
oemyivfs.www.pku.com.    IN    A    195.50.93.236
awnfscul.www.pku.com.    IN    A    222.238.104.113
wbhgtcrk.www.pku.com.    IN    A    116.147.86.185
xpkucwmf.www.pku.com.    IN    A    134.21.197.22
fjvrbyes.www.pku.com.    IN    A    152.218.180.33
fiwqbknx.www.pku.com.    IN    A    254.51.192.7
jkmqtxif.www.pku.com.    IN    A    23.11.234.125
qjlnchkd.www.pku.com.    IN    A    69.46.243.238
nckvagrw.www.pku.com.    IN    A    19.76.253.114
dmalxogu.www.pku.com.    IN    A    246.169.144.102
tlkiphoe.www.pku.com.    IN    A    215.119.180.51
sjcpnoyw.www.pku.com.    IN    A    83.206.16.140
ageucwsl.www.pku.com.    IN    A    202.28.27.95
mbtciakj.www.pku.com.    IN    A    96.66.109.36
adlxvmhn.www.pku.com.    IN    A    87.238.37.13
ruondjcx.www.pku.com.    IN    A    85.2.90.123
jtoaxhyr.www.pku.com.    IN    A    84.111.23.89
foenmlbd.www.pku.com.    IN    A    134.40.77.146
iwxhnlub.www.pku.com.    IN    A    205.57.23.250
fciowtks.www.pku.com.    IN    A    174.178.185.33
odwlgfav.www.pku.com.    IN    A    3.38.25.68
nxkouifl.www.pku.com.    IN    A    208.221.245.199
abkoquvj.www.pku.com.    IN    A    1.10.202.16
ltrkcgwa.www.pku.com.    IN    A    224.167.215.67
siaoxtmc.www.pku.com.    IN    A    198.127.130.172
aorsmjxt.www.pku.com.    IN    A    247.234.0.173
rsxnptwy.www.pku.com.    IN    A    73.5.65.142
oldtycmf.www.pku.com.    IN    A    102.170.157.250
dpyxtuov.www.pku.com.    IN    A    153.143.175.141
pgxsenqc.www.pku.com.    IN    A    51.127.90.14
knbqther.www.pku.com.    IN    A    101.14.226.188
ldwbiroq.www.pku.com.    IN    A    216.154.147.130
vdouankh.www.pku.com.    IN    A    212.218.34.141
uravsihw.www.pku.com.    IN    A    224.204.245.6
ioxlabgy.www.pku.com.    IN    A    77.22.194.235
kbaqjdrm.www.pku.com.    IN    A    26.91.251.62
xtdcpaug.www.pku.com.    IN    A    114.189.150.26
ypvmoajs.www.pku.com.    IN    A    8.49.38.25
ljyqwnbp.www.pku.com.    IN    A    238.242.228.138
jbvrcieo.www.pku.com.    IN    A    170.21.116.29
loyjsvhx.www.pku.com.    IN    A    187.253.3.81
jwsqnetb.www.pku.com.    IN    A    90.25.149.136
oirvmeyu.www.pku.com.    IN    A    116.35.101.185
solxqphr.www.pku.com.    IN    A    150.222.236.128
lkujcafp.www.pku.com.    IN    A    147.112.203.151
akvwyobp.www.pku.com.    IN    A    234.153.53.151
gvwarcfd.www.pku.com.    IN    A    219.32.27.154
qejdmcwa.www.pku.com.    IN    A    199.7.124.202
aenqfvls.www.pku.com.    IN    A    78.155.212.234
xpfwgrlh.www.pku.com.    IN    A    237.239.23.48
hwxkyrqd.www.pku.com.    IN    A    205.231.67.173
bwdxgrci.www.pku.com.    IN    A    197.179.243.47
ckevsqua.www.pku.com.    IN    A    107.78.28.217
aofbqevw.www.pku.com.    IN    A    219.225.193.52
asqhpfdi.www.pku.com.    IN    A    245.157.21.206
xwkpbvld.www.pku.com.    IN    A    40.95.60.13
uwynhxbv.www.pku.com.    IN    A    90.29.12.86
oynvpjte.www.pku.com.    IN    A    46.167.110.164
jefrsqwd.www.pku.com.    IN    A    195.242.187.178
vntiurxj.www.pku.com.    IN    A    12.76.190.230
boyidmec.www.pku.com.    IN    A    56.185.44.38
qhgsjkdv.www.pku.com.    IN    A    56.192.104.157
gfvjxbsp.www.pku.com.    IN    A    174.255.35.129
ewxyhcro.www.pku.com.    IN    A    32.104.91.244
qmyakbho.www.pku.com.    IN    A    116.177.37.242
vtywhmdc.www.pku.com.    IN    A    208.128.199.43
apuhsywv.www.pku.com.    IN    A    143.68.171.210
yesdwmpi.www.pku.com.    IN    A    96.25.237.111
gbxiwoml.www.pku.com.    IN    A    196.2.137.243
wkrloepm.www.pku.com.    IN    A    4.85.222.185
tdnovjkb.www.pku.com.    IN    A    89.2.75.133
rvayelhk.www.pku.com.    IN    A    29.167.69.97
fiqclwjd.www.pku.com.    IN    A    235.51.28.224
lypxfqhd.www.pku.com.    IN    A    41.133.36.230
pfkyuaen.www.pku.com.    IN    A    252.44.98.88
whkalueb.www.pku.com.    IN    A    45.141.234.181
drysfnhu.www.pku.com.    IN    A    73.52.93.224
cnrjlhqm.www.pku.com.    IN    A    132.144.98.220
tkfcjxqg.www.pku.com.    IN    A    183.44.48.85
sugxyrqp.www.pku.com.    IN    A    3.137.204.71
gohafnbu.www.pku.com.    IN    A    15.48.193.193
qpfsjicv.www.pku.com.    IN    A    164.86.214.192
bdhfijgu.www.pku.com.    IN    A    128.201.82.141
rqntcxlv.www.pku.com.    IN    A    132.77.164.142
bxrlnwgo.www.pku.com.    IN    A    158.124.224.233
gmxudeoj.www.pku.com.    IN    A    1.176.253.172
tfovbnhs.www.pku.com.    IN    A    145.84.171.24
vqxkafbn.www.pku.com.    IN    A    234.48.192.255
gvweobja.www.pku.com.    IN    A    104.15.245.243
wgnthvsi.www.pku.com.    IN    A    54.9.180.58
bhijodnq.www.pku.com.    IN    A    217.61.41.26
cikjfpgl.www.pku.com.    IN    A    74.187.89.68
qsiftmgx.www.pku.com.    IN    A    215.116.254.47
sxaydlwj.www.pku.com.    IN    A    12.33.174.188
wrhsnbko.www.pku.com.    IN    A    134.250.143.121
ksidbevq.www.pku.com.    IN    A    197.165.98.42
djephsyg.www.pku.com.    IN    A    135.216.126.89
tqmdgfiu.www.pku.com.    IN    A    217.31.92.102
ibwhlfup.www.pku.com.    IN    A    172.73.110.141
rijawhxo.www.pku.com.    IN    A    122.179.83.69
ktpcgxfn.www.pku.com.    IN    A    110.207.200.187
uwhnsoya.www.pku.com.    IN    A    53.141.27.112
rimxuvay.www.pku.com.    IN    A    156.65.86.203
efuismco.www.pku.com.    IN    A    206.170.89.72
dfovwbtl.www.pku.com.    IN    A    81.84.169.69
svponxit.www.pku.com.    IN    A    162.6.154.113
nxuheylp.www.pku.com.    IN    A    192.171.14.45
vhnexqgb.www.pku.com.    IN    A    213.196.171.90
tdyblxsr.www.pku.com.    IN    A    233.247.160.164
xvlcayku.www.pku.com.    IN    A    137.95.36.228
tdpjxlho.www.pku.com.    IN    A    93.74.43.59
jlwpcknb.www.pku.com.    IN    A    23.174.217.15
niwyljeg.www.pku.com.    IN    A    217.189.181.87
tslqgbjf.www.pku.com.    IN    A    215.81.163.171
vftwojky.www.pku.com.    IN    A    41.75.86.68
ptknmifv.www.pku.com.    IN    A    131.161.131.24
nsmgtojr.www.pku.com.    IN    A    240.72.207.57
npqoxtsk.www.pku.com.    IN    A    188.59.251.210
naqldpcv.www.pku.com.    IN    A    225.158.213.17
owsudhxi.www.pku.com.    IN    A    17.2.251.136
sgcxkody.www.pku.com.    IN    A    69.69.43.228
fipdwnsm.www.pku.com.    IN    A    133.77.225.33
locwhpym.www.pku.com.    IN    A    69.209.139.252
gavfdbuw.www.pku.com.    IN    A    146.178.79.186
kilcexbu.www.pku.com.    IN    A    66.176.144.187
gmkawphr.www.pku.com.    IN    A    212.105.91.99
dnoasftg.www.pku.com.    IN    A    14.79.34.79
ksuwpgjy.www.pku.com.    IN    A    63.230.101.68
kjbcfqvt.www.pku.com.    IN    A    72.236.88.165
idjcombw.www.pku.com.    IN    A    103.174.31.222
ncwxgyql.www.pku.com.    IN    A    193.45.187.57
lhgniufm.www.pku.com.    IN    A    119.132.209.202
fcvorejq.www.pku.com.    IN    A    12.124.131.242
mdowpteq.www.pku.com.    IN    A    156.125.19.195
fxwdkulj.www.pku.com.    IN    A    203.134.191.173
foxktwde.www.pku.com.    IN    A    130.203.245.175
alfogdsy.www.pku.com.    IN    A    123.103.226.87
qvyclski.www.pku.com.    IN    A    149.223.50.209
qitjdogp.www.pku.com.    IN    A    108.161.172.145
vdintgkb.www.pku.com.    IN    A    83.210.100.225
vsrqyjti.www.pku.com.    IN    A    117.122.250.56
gohtrxwe.www.pku.com.    IN    A    96.139.91.217
gnocfvdy.www.pku.com.    IN    A    99.53.102.206
odpyjqxn.www.pku.com.    IN    A    58.24.142.73
vhrkeaxl.www.pku.com.    IN    A    75.13.75.111
ovijdhqp.www.pku.com.    IN    A    35.54.215.173
mecnvtwy.www.pku.com.    IN    A    122.76.25.64
rfhvlqcy.www.pku.com.    IN    A    4.222.161.178
wpxumica.www.pku.com.    IN    A    118.238.244.220
bnrkyeud.www.pku.com.    IN    A    47.4.47.195
kobdnagh.www.pku.com.    IN    A    233.73.172.236
vpchqdst.www.pku.com.    IN    A    25.246.119.14
ovliyrtq.www.pku.com.    IN    A    96.132.250.112
mswdljcq.www.pku.com.    IN    A    44.17.157.179
bjqnkiur.www.pku.com.    IN    A    145.255.226.41
gvescrqj.www.pku.com.    IN    A    250.140.209.144
oghceytp.www.pku.com.    IN    A    215.73.61.142
gvsfapuy.www.pku.com.    IN    A    149.35.88.139
tjbsnrom.www.pku.com.    IN    A    164.211.134.126
johygfkp.www.pku.com.    IN    A    197.241.152.1
hgbjaxie.www.pku.com.    IN    A    215.150.148.131
hmlcrdsq.www.pku.com.    IN    A    159.138.3.23
fromdshq.www.pku.com.    IN    A    55.128.195.242
umxsyjan.www.pku.com.    IN    A    115.248.93.88
seflxwgn.www.pku.com.    IN    A    247.132.68.164
tusexgqc.www.pku.com.    IN    A    230.80.99.71
kwodipfe.www.pku.com.    IN    A    91.238.204.17
nmojpsdr.www.pku.com.    IN    A    238.175.33.147
xrysldma.www.pku.com.    IN    A    213.60.73.254
igtbcyeq.www.pku.com.    IN    A    244.107.247.193
sevkwuox.www.pku.com.    IN    A    15.109.207.19
iktwgcvd.www.pku.com.    IN    A    19.106.12.150
fspvuobc.www.pku.com.    IN    A    88.111.254.30
wstkfqco.www.pku.com.    IN    A    43.41.140.167
mtckpeiu.www.pku.com.    IN    A    24.106.124.247
ktloribe.www.pku.com.    IN    A    170.112.60.164
tjikauhy.www.pku.com.    IN    A    205.202.29.56
cbdltefu.www.pku.com.    IN    A    171.217.107.207
kyhcvamp.www.pku.com.    IN    A    165.29.84.232
sgdkhvjf.www.pku.com.    IN    A    67.188.241.54
hsxygoia.www.pku.com.    IN    A    231.162.75.13
aqowbetu.www.pku.com.    IN    A    4.67.234.172
tgusmcel.www.pku.com.    IN    A    75.63.111.67
vbyguolj.www.pku.com.    IN    A    216.181.52.108
tuayvqpn.www.pku.com.    IN    A    87.31.144.34
krqximuw.www.pku.com.    IN    A    24.161.232.98
hqxewmao.www.pku.com.    IN    A    58.53.66.129
hrfngdjt.www.pku.com.    IN    A    16.253.3.188
kacsnyit.www.pku.com.    IN    A    155.180.191.44
bkdegoxj.www.pku.com.    IN    A    124.49.173.198
nwmvpags.www.pku.com.    IN    A    138.184.221.241
mrudxehf.www.pku.com.    IN    A    90.34.211.249
jrgvucef.www.pku.com.    IN    A    207.38.239.98
jvmkbeha.www.pku.com.    IN    A    126.250.13.129
wcbiguql.www.pku.com.    IN    A    45.128.43.123
ehpojdln.www.pku.com.    IN    A    222.12.62.54
aqcsjhie.www.pku.com.    IN    A    35.91.8.2
dcirjhys.www.pku.com.    IN    A    227.39.10.90
rqvkmdnc.www.pku.com.    IN    A    106.241.28.233
fkliwqvb.www.pku.com.    IN    A    135.236.115.143
teajcqyk.www.pku.com.    IN    A    41.15.244.248
hksifbdm.www.pku.com.    IN    A    200.94.110.40
udqecalm.www.pku.com.    IN    A    38.235.81.15
eklgvwca.www.pku.com.    IN    A    10.114.53.156
pklrfheu.www.pku.com.    IN    A    150.71.202.8
eiuyrhba.www.pku.com.    IN    A    32.10.56.32
faweqsvk.www.pku.com.    IN    A    233.176.130.244
bhgadimn.www.pku.com.    IN    A    225.141.152.191
ekndvjfo.www.pku.com.    IN    A    206.113.177.134
nbkvgfir.www.pku.com.    IN    A    231.242.115.3
itneolsa.www.pku.com.    IN    A    4.116.181.82
nhwvidfj.www.pku.com.    IN    A    182.78.202.146
qvgcospx.www.pku.com.    IN    A    104.224.210.46
kbsfrpyc.www.pku.com.    IN    A    132.66.93.7
foydecta.www.pku.com.    IN    A    31.31.204.192
ljrewops.www.pku.com.    IN    A    39.50.246.51
jxphngdv.www.pku.com.    IN    A    17.102.229.67
oljnamec.www.pku.com.    IN    A    230.99.194.95
pvutbrfi.www.pku.com.    IN    A    253.28.169.239
blupnvwf.www.pku.com.    IN    A    0.31.41.239
tlohsgnq.www.pku.com.    IN    A    105.253.97.129
eqomptkd.www.pku.com.    IN    A    113.253.127.45
kgtsurow.www.pku.com.    IN    A    16.170.155.16
vbhuxwnl.www.pku.com.    IN    A    111.183.114.126
hicpxfms.www.pku.com.    IN    A    198.198.88.120
vwlupanj.www.pku.com.    IN    A    218.120.153.36
lbgpyawi.www.pku.com.    IN    A    141.164.44.101
kymporeu.www.pku.com.    IN    A    45.216.15.17
fqgomatl.www.pku.com.    IN    A    191.208.241.128
xusydpav.www.pku.com.    IN    A    180.30.108.154
jhnyecbv.www.pku.com.    IN    A    253.221.229.43
skvcrquh.www.pku.com.    IN    A    146.69.162.209
yphjtaof.www.pku.com.    IN    A    192.184.100.143
pertxawb.www.pku.com.    IN    A    167.206.127.141
mhvgaloe.www.pku.com.    IN    A    104.157.182.198
ayqluvwh.www.pku.com.    IN    A    192.149.1.74
tjuqdiep.www.pku.com.    IN    A    176.133.179.229
ofkygcte.www.pku.com.    IN    A    215.106.125.31
bmcuewrg.www.pku.com.    IN    A    5.81.191.142
epyajswd.www.pku.com.    IN    A    36.19.236.1
xrjlhgkv.www.pku.com.    IN    A    188.188.153.61
axiyqvtc.www.pku.com.    IN    A    8.3.46.100
ctosfdxv.www.pku.com.    IN    A    95.103.30.218
jfdhsatv.www.pku.com.    IN    A    97.103.82.83
workjsgb.www.pku.com.    IN    A    13.9.118.34
digjquow.www.pku.com.    IN    A    202.200.11.27
wobvlesi.www.pku.com.    IN    A    145.40.136.88
xlyenfvj.www.pku.com.    IN    A    4.169.199.214
nugvkolb.www.pku.com.    IN    A    160.102.254.11
ceywxipb.www.pku.com.    IN    A    218.201.213.229
xvofwpic.www.pku.com.    IN    A    9.230.68.171
xfjmlyeu.www.pku.com.    IN    A    165.190.124.27
yimswfjn.www.pku.com.    IN    A    68.157.202.190
pgxeqkaf.www.pku.com.    IN    A    64.238.17.175
fudtcvgi.www.pku.com.    IN    A    155.122.1.231
ibqkspfl.www.pku.com.    IN    A    33.37.194.153
orwxdcqk.www.pku.com.    IN    A    159.225.91.66
rilxskht.www.pku.com.    IN    A    202.238.81.96
fiwophnr.www.pku.com.    IN    A    35.191.135.74
bfgmyrdv.www.pku.com.    IN    A    154.134.143.170
mujiblnt.www.pku.com.    IN    A    234.63.234.220
qiojcnrm.www.pku.com.    IN    A    189.204.222.81
ngtvkyio.www.pku.com.    IN    A    30.157.127.24
embnqskw.www.pku.com.    IN    A    225.42.226.162
bajcsplf.www.pku.com.    IN    A    37.207.96.77
lvsyoabq.www.pku.com.    IN    A    220.171.165.107
wdcbrpfi.www.pku.com.    IN    A    16.247.219.143
simcgbnx.www.pku.com.    IN    A    2.64.62.183
jsbdwcxn.www.pku.com.    IN    A    71.228.116.78
rwbixygq.www.pku.com.    IN    A    195.175.132.3
quflwoev.www.pku.com.    IN    A    5.184.42.255
djcyialp.www.pku.com.    IN    A    117.176.165.133
xibdjrnl.www.pku.com.    IN    A    248.150.12.134
wgvyjunp.www.pku.com.    IN    A    64.86.123.115
cglhusxy.www.pku.com.    IN    A    27.229.49.123
udtxkpmq.www.pku.com.    IN    A    167.160.244.178
nidamlgv.www.pku.com.    IN    A    229.139.139.92
cupkwvml.www.pku.com.    IN    A    245.204.136.167
fihlusxy.www.pku.com.    IN    A    101.231.105.161
uabpslqv.www.pku.com.    IN    A    120.192.88.60
xydksqwe.www.pku.com.    IN    A    39.77.109.174
ndamkpef.www.pku.com.    IN    A    5.242.93.198
hwrmlfsc.www.pku.com.    IN    A    120.192.104.166
psjaorbh.www.pku.com.    IN    A    125.106.157.0
gxebajhu.www.pku.com.    IN    A    238.16.122.89
vxsulryi.www.pku.com.    IN    A    81.224.232.164
pamgthby.www.pku.com.    IN    A    211.84.60.254
ijlnpgks.www.pku.com.    IN    A    20.221.124.193
mvhgqocb.www.pku.com.    IN    A    239.204.8.189
sxrvbqaj.www.pku.com.    IN    A    146.230.195.2
uraocjkq.www.pku.com.    IN    A    242.204.224.175
sukgbaqw.www.pku.com.    IN    A    221.107.34.211
fmxvthlo.www.pku.com.    IN    A    3.164.242.11
ahqlwgci.www.pku.com.    IN    A    104.107.76.229
idsujcho.www.pku.com.    IN    A    231.114.15.144
sfytwulc.www.pku.com.    IN    A    33.153.117.4
jrsfwemo.www.pku.com.    IN    A    1.145.162.88
aojgtvdw.www.pku.com.    IN    A    51.221.10.125
otpbxnsg.www.pku.com.    IN    A    178.95.214.153
jpvkfdyu.www.pku.com.    IN    A    198.250.37.15
byvfnrej.www.pku.com.    IN    A    228.248.117.230
vbnskdua.www.pku.com.    IN    A    153.183.225.80
slafxpjb.www.pku.com.    IN    A    107.6.225.150
yeatirvf.www.pku.com.    IN    A    88.41.80.71
dpnakeql.www.pku.com.    IN    A    158.167.228.56
wxjokgdm.www.pku.com.    IN    A    94.196.3.193
rbwxfavj.www.pku.com.    IN    A    67.64.104.57
cpvkmlaw.www.pku.com.    IN    A    201.8.97.117
gvpcxtrj.www.pku.com.    IN    A    236.254.50.94
mirkxneq.www.pku.com.    IN    A    33.10.7.233
wtlhkgps.www.pku.com.    IN    A    145.52.118.154
ulcayjef.www.pku.com.    IN    A    4.2.78.48
infabpcg.www.pku.com.    IN    A    107.222.151.130
oktjfvcw.www.pku.com.    IN    A    133.47.136.169
avbcnejw.www.pku.com.    IN    A    134.97.149.232
vglabyhc.www.pku.com.    IN    A    47.175.79.192
sqatlbvr.www.pku.com.    IN    A    213.144.172.166
ycfruesp.www.pku.com.    IN    A    92.64.156.206
vynxbhdp.www.pku.com.    IN    A    147.12.119.18
engiarwp.www.pku.com.    IN    A    22.168.154.208
sgfpqerx.www.pku.com.    IN    A    151.62.199.239
jvsnkygw.www.pku.com.    IN    A    170.115.76.103
hdfisxqt.www.pku.com.    IN    A    28.17.215.177
oescnbgj.www.pku.com.    IN    A    130.191.135.18
beoxvcsu.www.pku.com.    IN    A    117.54.57.168
gtydvjkn.www.pku.com.    IN    A    165.37.100.51
pkyctuej.www.pku.com.    IN    A    173.212.237.247
hqtagyrd.www.pku.com.    IN    A    96.15.62.145
hcgpiyub.www.pku.com.    IN    A    181.197.53.120
jdklmcie.www.pku.com.    IN    A    166.166.72.46
iwfjpqyg.www.pku.com.    IN    A    88.222.143.164
qfdxpwhy.www.pku.com.    IN    A    3.154.80.103
icpkarwt.www.pku.com.    IN    A    186.59.70.109
cpxknbrt.www.pku.com.    IN    A    112.92.111.46
wqoinpel.www.pku.com.    IN    A    105.36.234.243
ekivwnpg.www.pku.com.    IN    A    166.178.117.70
heatwmou.www.pku.com.    IN    A    146.54.167.34
jgkdfwum.www.pku.com.    IN    A    193.189.208.233
epticjsh.www.pku.com.    IN    A    185.218.237.247
uyvcxjal.www.pku.com.    IN    A    136.185.23.37
sbfarqvp.www.pku.com.    IN    A    129.161.171.247
jvrkfxdl.www.pku.com.    IN    A    179.127.181.232
dosfipqj.www.pku.com.    IN    A    38.174.114.25
wmsanbck.www.pku.com.    IN    A    241.135.216.96
rmlegctq.www.pku.com.    IN    A    219.59.58.171
ysvhlcin.www.pku.com.    IN    A    198.143.195.219
rvjnlxgd.www.pku.com.    IN    A    19.154.56.64
ldybhkgf.www.pku.com.    IN    A    160.159.155.75
kdtehfpw.www.pku.com.    IN    A    46.3.58.59
acmyqtvn.www.pku.com.    IN    A    175.244.44.201
fcekjuvw.www.pku.com.    IN    A    224.134.212.124
kqvijewx.www.pku.com.    IN    A    243.11.108.38
ylipxfdu.www.pku.com.    IN    A    37.100.240.195
pnywbodx.www.pku.com.    IN    A    116.220.4.194
wlnsxtoj.www.pku.com.    IN    A    193.150.225.79
hypocwtl.www.pku.com.    IN    A    45.29.127.154
sxouvjky.www.pku.com.    IN    A    122.153.240.63
adrobvle.www.pku.com.    IN    A    114.214.180.207
cagdymwh.www.pku.com.    IN    A    190.136.217.221
osxikgpe.www.pku.com.    IN    A    183.172.21.222
tqjhedog.www.pku.com.    IN    A    225.148.15.127
grsnyqpe.www.pku.com.    IN    A    49.16.214.242
olnhjgqs.www.pku.com.    IN    A    32.206.94.193
eikyfdph.www.pku.com.    IN    A    22.91.180.25
afgxmjln.www.pku.com.    IN    A    174.5.178.181
fjuondsc.www.pku.com.    IN    A    144.114.185.42
