; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR lzu.com. @ns2.lzu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.lzu.com. james.lzu.edu. 19122302 14400 3600 2419200 14400
lzu.com.			      14400 IN NS	ns1.lzu.com.
ns1.lzu.com.			      14400 IN A	10.166.21.12

www.lzu.com.		      14400 IN NS	ns1.www.lzu.com.
ns1.www.lzu.com.		      14400 IN A		10.166.21.13

xw.lzu.com.		      14400 IN NS	ns1.xw.lzu.com.
ns1.xw.lzu.com.		      14400 IN A		10.166.21.14

zheshexi.lzu.com.		      14400 IN NS	ns1.zheshexi.lzu.com.
ns1.zheshexi.lzu.com.		      14400 IN A		10.166.21.15

lzu.com.			      14400 IN MX	10 zheshexitp.lzu.edu.
lzu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
syoulibq.lzu.com.        IN    A    250.66.173.179
vpdmcjfh.lzu.com.        IN    A    191.206.116.9
bxrtuqow.lzu.com.        IN    A    82.8.235.13
mhukfedo.lzu.com.        IN    A    78.134.74.3
lkebcisg.lzu.com.        IN    A    113.181.158.247
lghrxmsk.lzu.com.        IN    A    194.133.230.249
qdjneati.lzu.com.        IN    A    186.103.174.119
whmqdvkx.lzu.com.        IN    A    1.164.192.135
iyfaktvd.lzu.com.        IN    A    232.0.201.62
xfismlwu.lzu.com.        IN    A    0.198.4.69
dfpogwxq.lzu.com.        IN    A    36.163.95.152
kxvurtql.lzu.com.        IN    A    54.102.147.147
psbjemqg.lzu.com.        IN    A    137.104.203.86
cqokrpfy.lzu.com.        IN    A    206.49.222.28
uymajldg.lzu.com.        IN    A    56.130.76.101
lijryvuh.lzu.com.        IN    A    83.158.248.31
kyoaevdw.lzu.com.        IN    A    58.42.23.59
bqgcdeul.lzu.com.        IN    A    146.120.82.89
xstchjlr.lzu.com.        IN    A    21.96.255.45
vkwsujeq.lzu.com.        IN    A    58.64.58.234
bydmxcqk.lzu.com.        IN    A    248.194.217.17
ikxystqe.lzu.com.        IN    A    38.47.95.195
svanbqyg.lzu.com.        IN    A    163.77.182.133
sdbhrgfa.lzu.com.        IN    A    204.53.187.117
uxohgfep.lzu.com.        IN    A    123.239.220.166
gdlcstpu.lzu.com.        IN    A    49.165.23.244
vauxbget.lzu.com.        IN    A    224.110.218.2
hylrwpbd.lzu.com.        IN    A    7.1.182.143
eguphqfk.lzu.com.        IN    A    176.63.179.63
lpxsouqg.lzu.com.        IN    A    209.124.221.94
phakinuq.lzu.com.        IN    A    23.83.46.15
jwsduinv.lzu.com.        IN    A    49.184.46.148
gpckshym.lzu.com.        IN    A    74.181.139.252
dhqsxtfm.lzu.com.        IN    A    121.254.119.54
whjmpbvf.lzu.com.        IN    A    49.204.45.45
ksjrvuhm.lzu.com.        IN    A    76.232.43.186
ivnuhalt.lzu.com.        IN    A    106.131.192.191
hnbsulyk.lzu.com.        IN    A    22.91.67.180
sbqoietv.lzu.com.        IN    A    63.216.60.48
qetaipsr.lzu.com.        IN    A    82.26.222.12
atolksne.lzu.com.        IN    A    11.247.198.70
apbrownl.lzu.com.        IN    A    200.55.105.200
pkuoatgs.lzu.com.        IN    A    175.176.126.243
ipqbxhtj.lzu.com.        IN    A    157.24.246.44
ofjltiuc.lzu.com.        IN    A    58.228.16.7
ftyucgjb.lzu.com.        IN    A    193.213.220.4
cudexorh.lzu.com.        IN    A    164.132.117.85
vnheosqm.lzu.com.        IN    A    126.231.53.13
tablneoc.lzu.com.        IN    A    101.9.54.254
gsapfjit.lzu.com.        IN    A    129.120.140.220
mprclfxw.lzu.com.        IN    A    198.17.227.239
nfpcriah.lzu.com.        IN    A    109.166.194.193
lphsugmt.lzu.com.        IN    A    100.249.147.78
agtubpor.lzu.com.        IN    A    4.31.215.157
herdqxvc.lzu.com.        IN    A    209.143.241.109
mrcdskvt.lzu.com.        IN    A    73.185.191.50
vcyjfgik.lzu.com.        IN    A    72.76.64.61
kxhgrqev.lzu.com.        IN    A    134.104.61.23
ofakcnpr.lzu.com.        IN    A    43.64.241.73
ymvudqph.lzu.com.        IN    A    248.122.0.53
bvrguaqk.lzu.com.        IN    A    118.166.61.5
qypioten.lzu.com.        IN    A    12.42.122.191
ljdosurn.lzu.com.        IN    A    124.230.212.101
dyxsefbp.lzu.com.        IN    A    126.232.186.55
mcxevhna.lzu.com.        IN    A    252.74.215.213
srlmoaei.lzu.com.        IN    A    246.82.22.49
tpseiouw.lzu.com.        IN    A    59.117.3.238
pujyabnk.lzu.com.        IN    A    176.229.228.22
wrbvqpog.lzu.com.        IN    A    141.254.193.171
rmutpyjc.lzu.com.        IN    A    176.52.159.73
sqdkhxma.lzu.com.        IN    A    249.55.146.197
xmjrvldp.lzu.com.        IN    A    71.37.169.143
bqavgeim.lzu.com.        IN    A    117.227.23.144
yreohqxs.lzu.com.        IN    A    29.184.17.154
dtvwgnci.lzu.com.        IN    A    188.137.98.124
sydmwaht.lzu.com.        IN    A    68.115.180.17
bhifnuep.lzu.com.        IN    A    151.172.1.119
srbjgpnl.lzu.com.        IN    A    85.98.222.21
fjorcwlq.lzu.com.        IN    A    243.82.178.42
scenoybj.lzu.com.        IN    A    196.246.59.47
sowxadng.lzu.com.        IN    A    238.27.191.175
xmanfwvr.lzu.com.        IN    A    22.199.0.69
sidyxvqh.lzu.com.        IN    A    7.81.139.162
vcwqdrsh.lzu.com.        IN    A    13.136.68.100
qrxsvoeh.lzu.com.        IN    A    230.127.69.242
wfqmjpgt.lzu.com.        IN    A    163.167.21.110
whterbpc.lzu.com.        IN    A    61.68.203.29
jeplrvfo.lzu.com.        IN    A    199.53.129.200
wdmguqer.lzu.com.        IN    A    116.62.109.57
rsymxgfe.lzu.com.        IN    A    220.165.127.73
edcvhqgf.lzu.com.        IN    A    71.190.144.97
xohsaife.lzu.com.        IN    A    11.21.91.127
idflqycm.lzu.com.        IN    A    116.61.86.41
jrsfboew.lzu.com.        IN    A    49.122.223.194
pfmrhyjw.lzu.com.        IN    A    14.27.99.85
mfxbjlqo.lzu.com.        IN    A    127.68.244.17
wkpdibvs.lzu.com.        IN    A    130.179.205.138
jytriepo.lzu.com.        IN    A    10.132.194.3
rcqnsjlf.lzu.com.        IN    A    19.245.210.192
vtyfeqwd.lzu.com.        IN    A    81.242.192.3
ftidwrok.lzu.com.        IN    A    90.184.101.227
twfbydie.lzu.com.        IN    A    113.230.120.183
woxfaypg.lzu.com.        IN    A    144.224.95.210
yaqcsueg.lzu.com.        IN    A    49.201.206.172
cwibmjun.lzu.com.        IN    A    201.145.128.90
ujcgdfln.lzu.com.        IN    A    170.41.234.144
omcxqtue.lzu.com.        IN    A    119.43.204.173
ihdrkwbs.lzu.com.        IN    A    215.190.227.209
uatpnwxk.lzu.com.        IN    A    94.255.193.111
acovbnri.lzu.com.        IN    A    81.254.151.115
qhkctrbf.lzu.com.        IN    A    87.212.254.26
cyrdqanh.lzu.com.        IN    A    52.119.47.45
ochraxud.lzu.com.        IN    A    115.93.31.19
qwiskjtd.lzu.com.        IN    A    112.195.227.56
ocfinvjh.lzu.com.        IN    A    243.150.205.119
ejamuhik.lzu.com.        IN    A    228.72.83.49
hnlfdvxg.lzu.com.        IN    A    34.135.195.0
gdqnubjw.lzu.com.        IN    A    38.254.58.106
hvonyqai.lzu.com.        IN    A    204.111.48.12
rjbcoiqh.lzu.com.        IN    A    33.100.84.158
ewgmjacu.lzu.com.        IN    A    207.206.5.58
qdxlcesh.lzu.com.        IN    A    98.36.60.83
sordpvql.lzu.com.        IN    A    94.82.175.250
mqfedxiv.lzu.com.        IN    A    90.4.46.219
scdtnouv.lzu.com.        IN    A    72.237.111.121
twqjmygl.lzu.com.        IN    A    237.178.157.102
oaedfpxm.lzu.com.        IN    A    152.178.47.72
ushbgjxe.lzu.com.        IN    A    177.83.64.234
nsfxurve.lzu.com.        IN    A    242.245.13.177
rmayoqud.lzu.com.        IN    A    119.76.223.246
brwajveo.lzu.com.        IN    A    61.5.157.153
jxudgkyh.lzu.com.        IN    A    111.35.56.124
jwbsfhym.lzu.com.        IN    A    99.197.93.191
kfneqbjc.lzu.com.        IN    A    30.123.2.20
qcuoxvjb.lzu.com.        IN    A    243.155.99.181
bjufwcrl.lzu.com.        IN    A    186.3.235.72
muphsatv.lzu.com.        IN    A    239.21.44.151
iedatbjw.lzu.com.        IN    A    220.43.18.34
jqgmevrs.lzu.com.        IN    A    193.0.12.109
ewjxfkbc.lzu.com.        IN    A    22.93.37.208
yoihwqrd.lzu.com.        IN    A    196.75.92.129
bevhxrak.lzu.com.        IN    A    93.107.53.136
mpwqkhyl.lzu.com.        IN    A    135.233.173.163
jcfiuokd.lzu.com.        IN    A    35.37.121.72
egupjmth.lzu.com.        IN    A    52.84.166.30
ueoyjrmf.lzu.com.        IN    A    58.225.233.190
nkfirmjb.lzu.com.        IN    A    222.248.194.58
yuwtpkif.lzu.com.        IN    A    212.55.120.6
sqbeuagj.lzu.com.        IN    A    216.203.249.52
bypcauqd.lzu.com.        IN    A    60.179.135.55
lpuwfkyx.lzu.com.        IN    A    99.85.243.61
uhejsmkt.lzu.com.        IN    A    126.245.253.67
glniauob.lzu.com.        IN    A    177.66.147.123
sractqkp.lzu.com.        IN    A    225.59.101.33
nlhfgcsr.lzu.com.        IN    A    215.7.228.202
ysgadhle.lzu.com.        IN    A    162.32.78.118
sxjoinmu.lzu.com.        IN    A    98.132.250.45
egcniqlp.lzu.com.        IN    A    213.155.235.77
fmljgybw.lzu.com.        IN    A    118.166.29.123
bmfxqhdt.lzu.com.        IN    A    195.204.130.125
ndofpthx.lzu.com.        IN    A    100.120.138.57
nadxegqs.lzu.com.        IN    A    31.107.91.63
gkhlmept.lzu.com.        IN    A    68.153.113.223
gofyevbs.lzu.com.        IN    A    94.92.75.141
qmnjfcxb.lzu.com.        IN    A    154.198.57.41
mfgoqndk.lzu.com.        IN    A    48.142.14.33
vidabokf.lzu.com.        IN    A    226.9.97.28
jwxsnvdq.lzu.com.        IN    A    55.71.56.115
bytnlchm.lzu.com.        IN    A    123.200.253.78
nciurjgp.lzu.com.        IN    A    220.41.235.165
ibvehlku.lzu.com.        IN    A    151.154.124.128
lowpgnbt.lzu.com.        IN    A    144.199.76.203
ldshmuan.lzu.com.        IN    A    77.120.107.163
hrsfkanc.lzu.com.        IN    A    210.141.236.75
whpovgqc.lzu.com.        IN    A    212.57.243.148
flokaqwr.lzu.com.        IN    A    247.132.209.49
uqgtnokf.lzu.com.        IN    A    136.249.165.34
cerlnodm.lzu.com.        IN    A    182.124.108.20
ablcoury.lzu.com.        IN    A    119.16.54.144
ngyerqpt.lzu.com.        IN    A    218.204.162.184
jxqdshyn.lzu.com.        IN    A    240.245.175.116
itbvfwul.lzu.com.        IN    A    194.234.102.8
odfanblh.lzu.com.        IN    A    13.178.219.43
nrcfixvh.lzu.com.        IN    A    114.54.28.229
dajtxbri.lzu.com.        IN    A    89.136.29.124
cbwapqfo.lzu.com.        IN    A    184.123.15.142
vtibcsjg.lzu.com.        IN    A    164.87.195.47
mduinokg.lzu.com.        IN    A    91.77.178.91
mqevghtc.lzu.com.        IN    A    185.183.36.125
wcvfjntd.lzu.com.        IN    A    99.209.142.47
avrdbfkt.lzu.com.        IN    A    222.4.81.114
qtaehocs.lzu.com.        IN    A    53.226.56.18
vxjprlqb.lzu.com.        IN    A    142.112.195.134
fvplhaso.lzu.com.        IN    A    135.108.89.179
dabtvnhy.lzu.com.        IN    A    204.139.226.54
tsmbncuo.lzu.com.        IN    A    104.102.75.90
qprkyjts.lzu.com.        IN    A    95.15.149.59
upvdinas.lzu.com.        IN    A    13.72.144.179
sdvabrom.lzu.com.        IN    A    79.83.106.135
jkxmngws.lzu.com.        IN    A    232.34.26.186
rtbihxme.lzu.com.        IN    A    26.96.74.52
njkrtyix.lzu.com.        IN    A    162.231.71.139
leamghuc.lzu.com.        IN    A    125.238.172.5
uyvdembt.lzu.com.        IN    A    29.78.110.107
ipnqoxlb.lzu.com.        IN    A    143.137.110.33
ypwjkoqe.lzu.com.        IN    A    73.139.12.98
dwfrclkb.lzu.com.        IN    A    66.133.189.90
xvrhutdc.lzu.com.        IN    A    15.129.215.86
ajnebdrm.lzu.com.        IN    A    247.20.132.244
cxeubksy.lzu.com.        IN    A    75.142.249.17
fcpqondj.lzu.com.        IN    A    208.37.32.153
wkxvgfhb.lzu.com.        IN    A    46.168.14.176
jkecybwf.lzu.com.        IN    A    188.252.183.198
ngwvuxbq.lzu.com.        IN    A    24.175.205.202
dmihpyba.lzu.com.        IN    A    236.129.68.21
ykftleqi.lzu.com.        IN    A    158.252.100.137
gpodkels.lzu.com.        IN    A    60.192.188.33
cnspgdfh.lzu.com.        IN    A    54.106.239.151
fvjhkosb.lzu.com.        IN    A    120.1.131.105
hivynbgt.lzu.com.        IN    A    177.27.82.28
unalfbqp.lzu.com.        IN    A    75.14.251.63
leofqrwc.lzu.com.        IN    A    43.7.201.101
ajvmpunw.lzu.com.        IN    A    152.16.189.86
pjukodfn.lzu.com.        IN    A    214.13.36.217
xivomrcw.lzu.com.        IN    A    20.30.113.229
skhaplwn.lzu.com.        IN    A    134.9.116.219
uncgdvaw.lzu.com.        IN    A    42.132.42.238
qcplxjae.lzu.com.        IN    A    207.19.149.197
cintgoaj.lzu.com.        IN    A    116.176.241.82
asprvcoi.lzu.com.        IN    A    241.46.127.232
jckdpoyr.lzu.com.        IN    A    131.163.31.94
kngidsqj.lzu.com.        IN    A    193.32.34.72
ypcabevs.lzu.com.        IN    A    27.130.42.117
ayknxfdv.lzu.com.        IN    A    42.41.55.161
rasgixvl.lzu.com.        IN    A    125.216.213.121
ysqgftxn.lzu.com.        IN    A    215.86.97.116
blymjsdw.lzu.com.        IN    A    25.145.131.39
sbevlwjd.lzu.com.        IN    A    236.28.85.217
jqenbfgm.lzu.com.        IN    A    45.55.113.93
lrosquex.lzu.com.        IN    A    177.117.201.119
yemgpobv.lzu.com.        IN    A    231.247.201.156
afhkgvmu.lzu.com.        IN    A    41.196.25.190
nekrfvpi.lzu.com.        IN    A    63.73.134.24
otkgpjye.lzu.com.        IN    A    253.94.184.17
xcljndsq.lzu.com.        IN    A    28.60.36.1
qwycshbo.lzu.com.        IN    A    208.83.31.73
rmqkgwlb.lzu.com.        IN    A    243.110.44.98
kvxysmdw.lzu.com.        IN    A    57.102.58.16
lqpdgeuk.lzu.com.        IN    A    137.168.98.236
qkfbamgv.lzu.com.        IN    A    43.107.184.92
ynhxruvi.lzu.com.        IN    A    207.98.167.91
wujsifkd.lzu.com.        IN    A    44.119.5.39
eildcnfs.lzu.com.        IN    A    159.72.69.157
vwfkejuq.lzu.com.        IN    A    154.243.87.217
xdwicqnl.lzu.com.        IN    A    26.50.57.45
spukvhjc.lzu.com.        IN    A    77.178.174.209
nchjavix.lzu.com.        IN    A    157.107.65.85
ofwyvhix.lzu.com.        IN    A    191.7.243.108
xqefpgty.lzu.com.        IN    A    137.52.17.66
anfiuorw.lzu.com.        IN    A    177.171.201.187
bhasoxyq.lzu.com.        IN    A    250.106.199.210
avjiytcs.lzu.com.        IN    A    83.217.104.218
fetkhdxj.lzu.com.        IN    A    98.39.32.219
ovwuikmt.lzu.com.        IN    A    78.108.143.145
jvgyrqtn.lzu.com.        IN    A    30.17.135.176
sbawmpqr.lzu.com.        IN    A    226.189.246.237
gquoyskt.lzu.com.        IN    A    165.145.254.27
nwmxrlqd.lzu.com.        IN    A    131.114.106.183
hobqpvyj.lzu.com.        IN    A    105.233.11.103
omdwkvar.lzu.com.        IN    A    176.69.226.237
rueqkpav.lzu.com.        IN    A    202.165.74.86
aqyutvlp.lzu.com.        IN    A    129.61.41.113
xjacnsud.lzu.com.        IN    A    244.35.131.196
ayswdlvm.lzu.com.        IN    A    237.212.53.51
ntohdpkr.lzu.com.        IN    A    114.128.93.210
wqmvcyjf.lzu.com.        IN    A    180.199.18.52
bqycfusj.lzu.com.        IN    A    154.33.71.211
eygpixqr.lzu.com.        IN    A    111.194.242.133
hinkwjmu.lzu.com.        IN    A    83.20.71.37
ukmrjbac.lzu.com.        IN    A    41.105.128.224
kadptveb.lzu.com.        IN    A    34.159.25.133
mgtnocjl.lzu.com.        IN    A    47.138.158.224
mjsfhulg.lzu.com.        IN    A    14.77.133.235
uqvgdwsn.lzu.com.        IN    A    227.190.23.109
ycxagbjr.lzu.com.        IN    A    131.99.156.55
mxvfgoqj.lzu.com.        IN    A    192.95.232.67
inuxjoet.lzu.com.        IN    A    16.83.164.199
rqicnxwg.lzu.com.        IN    A    205.148.147.166
vueskaij.lzu.com.        IN    A    184.1.10.22
wkgfeiul.lzu.com.        IN    A    102.9.9.73
cvshflba.lzu.com.        IN    A    255.32.100.231
focnkswg.lzu.com.        IN    A    156.0.149.180
xvoplsim.lzu.com.        IN    A    22.199.123.69
weifnakg.lzu.com.        IN    A    58.238.193.11
dtofmxpq.lzu.com.        IN    A    75.84.35.27
rspjbtcf.lzu.com.        IN    A    71.245.55.160
admbnqsg.lzu.com.        IN    A    186.141.250.225
lsuboryd.lzu.com.        IN    A    160.2.65.82
ijvdehka.lzu.com.        IN    A    180.50.2.7
rgkcqihl.lzu.com.        IN    A    45.163.208.69
ktgphaij.lzu.com.        IN    A    120.217.197.4
pnvkstdw.lzu.com.        IN    A    219.126.82.191
rvfcgpwx.lzu.com.        IN    A    186.69.99.180
yqfotkxb.lzu.com.        IN    A    138.51.12.228
rthwqdmx.lzu.com.        IN    A    70.234.157.73
rkmapbln.lzu.com.        IN    A    17.168.106.222
miubglvr.lzu.com.        IN    A    122.240.61.78
eauqomry.lzu.com.        IN    A    164.80.72.55
afsjnikb.lzu.com.        IN    A    230.18.166.141
oqmuwetp.lzu.com.        IN    A    90.148.14.210
esncwrtk.lzu.com.        IN    A    243.27.166.183
atgdlxrb.lzu.com.        IN    A    189.4.177.160
bvcqruxk.lzu.com.        IN    A    33.148.56.231
nygcxhew.lzu.com.        IN    A    246.69.60.218
txrmpdyi.lzu.com.        IN    A    25.90.46.216
npcmwyit.lzu.com.        IN    A    146.93.232.207
blamkfdx.lzu.com.        IN    A    176.116.189.126
jmdutpln.lzu.com.        IN    A    82.163.204.44
gmecopxf.lzu.com.        IN    A    101.136.201.179
qfuxjchy.lzu.com.        IN    A    240.20.32.63
upjnoskd.lzu.com.        IN    A    179.234.144.190
yijtqaue.lzu.com.        IN    A    98.229.252.69
hofiypja.lzu.com.        IN    A    53.64.133.201
jeqdbrfg.lzu.com.        IN    A    161.230.146.215
enwsiycd.lzu.com.        IN    A    112.75.235.16
pfocmtaq.lzu.com.        IN    A    86.3.212.133
dlbuwmsf.lzu.com.        IN    A    238.232.205.104
kabthejq.lzu.com.        IN    A    51.109.32.117
hdpyoisx.lzu.com.        IN    A    133.254.15.44
ukycbjhi.lzu.com.        IN    A    78.148.135.162
ifnqedlr.lzu.com.        IN    A    57.114.184.51
boxyqwjf.lzu.com.        IN    A    90.248.57.10
jomduvtq.lzu.com.        IN    A    81.73.223.130
vpcfmkgx.lzu.com.        IN    A    136.102.196.228
rwxaupdq.lzu.com.        IN    A    231.20.241.12
vetjsdfr.lzu.com.        IN    A    14.66.149.75
yhruxtwk.lzu.com.        IN    A    125.104.103.159
psilxtoe.lzu.com.        IN    A    186.135.46.220
tanqslev.lzu.com.        IN    A    253.175.239.239
istrymlx.lzu.com.        IN    A    58.6.125.96
rbmegsfj.lzu.com.        IN    A    237.39.140.129
vndbxgpq.lzu.com.        IN    A    165.161.74.48
qjykalwi.lzu.com.        IN    A    126.44.177.226
lkpheifa.lzu.com.        IN    A    250.254.61.99
uvogmtln.lzu.com.        IN    A    95.161.121.102
jsnaoufr.lzu.com.        IN    A    205.27.9.5
dagbxpvw.lzu.com.        IN    A    115.221.143.146
tglsbhdj.lzu.com.        IN    A    158.218.105.168
fleqbyth.lzu.com.        IN    A    177.206.214.65
obydnkcs.lzu.com.        IN    A    59.93.81.173
pjqfuxyt.lzu.com.        IN    A    193.254.129.69
cmsqyiot.lzu.com.        IN    A    227.145.13.159
gxowybvs.lzu.com.        IN    A    14.137.44.64
fxnriovd.lzu.com.        IN    A    119.22.224.183
olsceyqr.lzu.com.        IN    A    125.221.103.182
idhvpabf.lzu.com.        IN    A    34.186.39.252
xykroqtf.lzu.com.        IN    A    240.191.113.84
ewhycgts.lzu.com.        IN    A    233.174.124.123
xihaqufb.lzu.com.        IN    A    250.237.38.221
hjuingcv.lzu.com.        IN    A    184.15.14.133
pxocvesi.lzu.com.        IN    A    137.242.251.116
jwhqiekr.lzu.com.        IN    A    13.114.221.249
latfnwqx.lzu.com.        IN    A    222.166.58.57
gsvqycxa.lzu.com.        IN    A    182.51.134.54
frxyituj.lzu.com.        IN    A    29.246.120.124
jmtyckxn.lzu.com.        IN    A    24.69.16.199
mbjcfewa.lzu.com.        IN    A    222.235.97.23
bpwmqdeu.lzu.com.        IN    A    170.209.40.154
efiwbxdr.lzu.com.        IN    A    171.197.202.98
bvrxathp.lzu.com.        IN    A    143.114.199.152
qlgnpwdr.lzu.com.        IN    A    67.35.2.50
urdbslph.lzu.com.        IN    A    253.69.40.171
mgodtlbe.lzu.com.        IN    A    37.217.155.195
wfsgmdya.lzu.com.        IN    A    15.0.168.157
wodkpeli.lzu.com.        IN    A    255.208.147.255
eupiyjrg.lzu.com.        IN    A    150.72.26.108
dbwormca.lzu.com.        IN    A    214.231.10.1
ahlwjrue.lzu.com.        IN    A    45.14.34.6
nbjmgwop.lzu.com.        IN    A    208.136.161.203
mjhpscva.lzu.com.        IN    A    110.239.225.151
bswuvqmk.lzu.com.        IN    A    119.31.197.216
eghxfyil.lzu.com.        IN    A    72.245.114.241
vkpahtgc.lzu.com.        IN    A    9.19.203.218
svweochm.lzu.com.        IN    A    89.8.45.193
gsqavndj.lzu.com.        IN    A    89.12.241.192
eluwdstf.lzu.com.        IN    A    102.223.185.207
yuwasvoe.lzu.com.        IN    A    235.140.2.112
grwydlmc.lzu.com.        IN    A    139.213.38.211
pdibrjlo.lzu.com.        IN    A    99.249.24.66
gjrkasco.lzu.com.        IN    A    59.43.61.243
thlbpmed.lzu.com.        IN    A    125.69.232.13
qcknfvup.lzu.com.        IN    A    42.88.159.246
uhgseqpr.lzu.com.        IN    A    142.143.86.23
wurgcoye.lzu.com.        IN    A    216.12.198.218
mxpfthub.lzu.com.        IN    A    48.136.68.147
ejpornaf.lzu.com.        IN    A    169.171.253.241
qwydvahm.lzu.com.        IN    A    88.12.0.247
rubnmyce.lzu.com.        IN    A    137.192.91.224
gdklxrmt.lzu.com.        IN    A    241.6.244.162
wsoqbrfg.lzu.com.        IN    A    84.125.248.252
xhedntil.lzu.com.        IN    A    37.40.154.101
rynkltfg.lzu.com.        IN    A    154.120.114.130
cqwymaig.lzu.com.        IN    A    206.251.195.193
ohdefapk.lzu.com.        IN    A    233.3.44.188
nxtgjubr.lzu.com.        IN    A    61.151.103.195
funkeslm.lzu.com.        IN    A    58.66.227.235
udxwgeob.lzu.com.        IN    A    32.9.170.35
psoevhct.lzu.com.        IN    A    9.252.127.62
jahqtpdc.lzu.com.        IN    A    90.216.149.146
crfvjmow.lzu.com.        IN    A    98.119.116.12
ahvtygds.lzu.com.        IN    A    212.173.153.197
osfrcjie.lzu.com.        IN    A    135.185.152.103
qmitdanb.lzu.com.        IN    A    92.230.87.169
osidmatv.lzu.com.        IN    A    51.163.1.19
oykihpjq.lzu.com.        IN    A    248.96.115.187
udaohlst.lzu.com.        IN    A    83.137.68.90
pgiodshu.lzu.com.        IN    A    220.30.92.148
ulnbakfh.lzu.com.        IN    A    2.12.159.187
pvnmhbgq.lzu.com.        IN    A    24.145.39.234
xukrlmvo.lzu.com.        IN    A    177.157.3.14
qxcodiva.lzu.com.        IN    A    191.34.19.234
mupfixdo.lzu.com.        IN    A    204.44.86.56
yefwxlkp.lzu.com.        IN    A    71.217.135.52
ekviqwac.lzu.com.        IN    A    59.78.216.141
nktpwhxd.lzu.com.        IN    A    149.75.101.136
yportilk.lzu.com.        IN    A    74.128.155.93
msjckxhe.lzu.com.        IN    A    29.57.11.242
swfqjglo.lzu.com.        IN    A    20.6.45.184
qsroxhie.lzu.com.        IN    A    114.225.50.225
iufoarpb.lzu.com.        IN    A    118.123.210.246
ukcxtqso.lzu.com.        IN    A    128.124.119.154
rxlikjos.lzu.com.        IN    A    216.9.246.178
kfmsyeac.lzu.com.        IN    A    95.220.5.35
dijyprfa.lzu.com.        IN    A    66.210.24.74
dcqexory.lzu.com.        IN    A    24.98.221.154
smajphic.lzu.com.        IN    A    62.85.247.185
tkcsdprj.lzu.com.        IN    A    86.196.91.165
hejawupd.lzu.com.        IN    A    1.168.58.144
qdpjbunm.lzu.com.        IN    A    32.121.83.59
gxwtelka.lzu.com.        IN    A    18.131.106.93
ghsaftvy.lzu.com.        IN    A    231.36.59.230
afkgmivl.lzu.com.        IN    A    70.133.59.216
dxenyato.lzu.com.        IN    A    125.19.203.146
iwbotamh.lzu.com.        IN    A    196.116.22.114
pbmkinau.lzu.com.        IN    A    172.46.171.69
wlypqmdr.lzu.com.        IN    A    244.3.117.7
ginmhlvw.lzu.com.        IN    A    50.3.191.202
nrhpkexv.lzu.com.        IN    A    112.44.135.84
wxroahmf.lzu.com.        IN    A    37.14.216.233
lckbpyan.lzu.com.        IN    A    63.250.219.225
glmxorjh.lzu.com.        IN    A    117.109.152.71
xvehlkyf.lzu.com.        IN    A    123.45.236.163
efdpokqy.lzu.com.        IN    A    196.166.102.143
