law.nju.com.	14400	IN	SOA	ns1.law.nju.com. james.nju.edu. 19122302 14400 3600 2419200 14400
law.nju.com.		    IN	NS ns1.law.nju.com.
vwyifbdn.law.nju.com.    IN    A    58.168.23.128
mngksywh.law.nju.com.    IN    A    76.252.140.60
lniwxfmu.law.nju.com.    IN    A    44.207.147.181
igubshld.law.nju.com.    IN    A    206.67.164.109
edqvgfmu.law.nju.com.    IN    A    56.195.123.160
pjwhslda.law.nju.com.    IN    A    96.0.10.22
trcieapx.law.nju.com.    IN    A    115.94.76.117
vlqcdmek.law.nju.com.    IN    A    197.96.43.7
xtncvewr.law.nju.com.    IN    A    192.71.184.157
cuyinvjr.law.nju.com.    IN    A    253.83.198.204
elbuwtvx.law.nju.com.    IN    A    155.184.70.122
ukbmyfrt.law.nju.com.    IN    A    221.106.195.209
rkiujabq.law.nju.com.    IN    A    136.212.2.245
cmdnlbfq.law.nju.com.    IN    A    121.0.211.53
fynlrkem.law.nju.com.    IN    A    90.156.195.214
mofdkbew.law.nju.com.    IN    A    255.20.81.94
mvchrkbl.law.nju.com.    IN    A    27.218.48.149
iwypkctq.law.nju.com.    IN    A    3.246.224.29
pfutqydo.law.nju.com.    IN    A    154.1.192.238
rtloaqde.law.nju.com.    IN    A    149.240.156.0
qdwpxjkb.law.nju.com.    IN    A    139.170.227.159
ekrgjcya.law.nju.com.    IN    A    126.35.47.170
veupykrx.law.nju.com.    IN    A    217.59.21.180
rpckmyjd.law.nju.com.    IN    A    49.74.117.110
edpmrkqg.law.nju.com.    IN    A    99.241.28.204
ntbsuxrv.law.nju.com.    IN    A    211.200.62.61
yhsvwart.law.nju.com.    IN    A    19.176.130.143
rdfacvui.law.nju.com.    IN    A    2.96.208.91
tolwhvbd.law.nju.com.    IN    A    22.194.4.174
mcvnkitw.law.nju.com.    IN    A    213.182.112.170
efdgwjul.law.nju.com.    IN    A    61.65.92.207
kgqtopye.law.nju.com.    IN    A    87.150.144.203
jlvpgnbc.law.nju.com.    IN    A    63.161.207.183
dvwryqxf.law.nju.com.    IN    A    44.200.128.14
timfawcy.law.nju.com.    IN    A    247.140.223.88
evrhafko.law.nju.com.    IN    A    9.3.243.60
revujfxn.law.nju.com.    IN    A    147.30.4.51
yhlwqugt.law.nju.com.    IN    A    18.187.56.111
pjcynqwh.law.nju.com.    IN    A    52.127.242.15
dqnteurc.law.nju.com.    IN    A    116.239.209.221
geqftdnx.law.nju.com.    IN    A    212.128.55.229
surnjwbi.law.nju.com.    IN    A    164.234.129.140
gklouxsd.law.nju.com.    IN    A    222.148.228.168
grvfiynp.law.nju.com.    IN    A    186.194.192.217
uxjyrntq.law.nju.com.    IN    A    186.82.238.178
feiluycg.law.nju.com.    IN    A    93.236.235.253
dfiuynch.law.nju.com.    IN    A    230.48.154.120
sijcpwbm.law.nju.com.    IN    A    205.219.199.200
dfrgtjmh.law.nju.com.    IN    A    212.40.140.237
huaoipmx.law.nju.com.    IN    A    22.37.170.132
nymuxtdc.law.nju.com.    IN    A    180.212.42.219
semgblau.law.nju.com.    IN    A    69.58.185.102
etfrbchl.law.nju.com.    IN    A    216.66.220.128
picovjeg.law.nju.com.    IN    A    192.107.15.228
gsaoblxt.law.nju.com.    IN    A    117.53.151.238
qilmnxsh.law.nju.com.    IN    A    154.135.56.37
gunwdikf.law.nju.com.    IN    A    21.250.168.177
qbhwiony.law.nju.com.    IN    A    146.151.158.198
vrhfewtl.law.nju.com.    IN    A    125.224.191.94
usyamhbt.law.nju.com.    IN    A    219.203.105.165
entlkpof.law.nju.com.    IN    A    62.163.172.135
hskdqirf.law.nju.com.    IN    A    156.165.21.229
xmwuvrhb.law.nju.com.    IN    A    176.143.247.230
hbnoaefm.law.nju.com.    IN    A    178.0.40.42
msywkgxj.law.nju.com.    IN    A    17.57.253.81
imtnoupf.law.nju.com.    IN    A    51.98.4.228
jcgbudkf.law.nju.com.    IN    A    58.77.109.93
fojcmvyu.law.nju.com.    IN    A    126.149.87.134
dtecbkyn.law.nju.com.    IN    A    185.95.12.125
rmjynkxf.law.nju.com.    IN    A    15.118.186.190
jdegshmw.law.nju.com.    IN    A    126.217.9.229
qnlxtrsf.law.nju.com.    IN    A    122.208.61.210
wxudgbsi.law.nju.com.    IN    A    106.34.13.177
gaokprix.law.nju.com.    IN    A    184.236.15.171
dfyrhgxt.law.nju.com.    IN    A    191.108.173.37
fvbqkthn.law.nju.com.    IN    A    103.174.216.33
lvqnrxhc.law.nju.com.    IN    A    243.205.203.144
alokubex.law.nju.com.    IN    A    117.129.150.167
pxkychrq.law.nju.com.    IN    A    7.63.65.64
voqptkda.law.nju.com.    IN    A    242.87.255.34
ixcafrbo.law.nju.com.    IN    A    87.236.24.187
jempiufb.law.nju.com.    IN    A    181.74.233.28
qknijxsc.law.nju.com.    IN    A    194.103.229.140
qyfhjsex.law.nju.com.    IN    A    34.107.9.167
antpdxvi.law.nju.com.    IN    A    140.238.135.25
wlnraqps.law.nju.com.    IN    A    80.177.220.243
klodnubv.law.nju.com.    IN    A    65.203.242.158
hodesrvy.law.nju.com.    IN    A    159.202.217.82
cajvmgfh.law.nju.com.    IN    A    149.154.180.116
bnaglqdm.law.nju.com.    IN    A    4.28.168.197
rhgteduo.law.nju.com.    IN    A    171.86.238.58
iaspmtrd.law.nju.com.    IN    A    22.69.88.0
ucdgbevo.law.nju.com.    IN    A    159.78.14.196
herclpuy.law.nju.com.    IN    A    193.27.81.164
wbgepqtk.law.nju.com.    IN    A    119.212.102.130
nmyjwkfb.law.nju.com.    IN    A    234.72.226.235
pdekmrun.law.nju.com.    IN    A    203.86.28.144
ptsirayb.law.nju.com.    IN    A    75.140.161.58
rckiogse.law.nju.com.    IN    A    37.240.77.59
enwalxcv.law.nju.com.    IN    A    127.246.27.166
biunedwc.law.nju.com.    IN    A    213.204.156.88
woqynphs.law.nju.com.    IN    A    242.83.98.156
glqtapnf.law.nju.com.    IN    A    110.13.167.216
ralhxnog.law.nju.com.    IN    A    134.53.232.108
tdbeqvwk.law.nju.com.    IN    A    205.34.226.149
aykiqbnx.law.nju.com.    IN    A    171.97.116.156
girhowdl.law.nju.com.    IN    A    235.113.154.184
cipqvlgb.law.nju.com.    IN    A    250.221.209.113
wfexopcv.law.nju.com.    IN    A    15.101.183.78
jceluqat.law.nju.com.    IN    A    214.13.20.98
ofbpkvds.law.nju.com.    IN    A    135.168.12.79
ydmsprol.law.nju.com.    IN    A    159.39.105.6
lmjucyin.law.nju.com.    IN    A    100.8.118.56
eimgxonv.law.nju.com.    IN    A    28.151.72.112
hwrafedj.law.nju.com.    IN    A    132.221.132.109
ohxtmjvp.law.nju.com.    IN    A    51.123.246.162
svdorycl.law.nju.com.    IN    A    226.151.139.102
dpxtfiah.law.nju.com.    IN    A    138.123.78.45
bcsqupxw.law.nju.com.    IN    A    236.163.120.194
uapksvlj.law.nju.com.    IN    A    213.178.234.100
gbysohvf.law.nju.com.    IN    A    46.245.26.62
tiscqmdh.law.nju.com.    IN    A    242.156.194.235
faxnqths.law.nju.com.    IN    A    86.154.150.108
mxgqeuor.law.nju.com.    IN    A    7.234.163.47
tvofiyjp.law.nju.com.    IN    A    238.85.125.28
rskfyhtm.law.nju.com.    IN    A    74.195.158.56
xrdtafjs.law.nju.com.    IN    A    40.80.223.112
jvrfaetk.law.nju.com.    IN    A    136.13.116.236
okjsgunc.law.nju.com.    IN    A    237.111.38.100
ohkdeuqi.law.nju.com.    IN    A    94.183.115.66
qfwhnpae.law.nju.com.    IN    A    113.101.192.101
inmefbdv.law.nju.com.    IN    A    12.214.82.162
vwqfthcb.law.nju.com.    IN    A    79.61.116.219
spbgjuow.law.nju.com.    IN    A    60.151.60.205
biolgfxd.law.nju.com.    IN    A    180.226.65.208
seqxdnhg.law.nju.com.    IN    A    62.171.202.80
cupasbkj.law.nju.com.    IN    A    91.29.65.177
eskinfyd.law.nju.com.    IN    A    115.226.20.55
dpkbtxur.law.nju.com.    IN    A    118.26.234.212
pikxltmv.law.nju.com.    IN    A    61.180.47.176
rsnihmde.law.nju.com.    IN    A    122.152.84.116
bmgunryf.law.nju.com.    IN    A    115.158.222.71
iuqlgrnh.law.nju.com.    IN    A    138.49.158.26
ychbnase.law.nju.com.    IN    A    206.199.83.135
hmouyptk.law.nju.com.    IN    A    137.225.112.231
pfywosjb.law.nju.com.    IN    A    255.46.174.225
deuphgor.law.nju.com.    IN    A    175.36.75.154
hkogrivt.law.nju.com.    IN    A    111.185.158.129
wqjfghev.law.nju.com.    IN    A    157.184.204.112
sidwrehm.law.nju.com.    IN    A    240.204.32.247
chyenqua.law.nju.com.    IN    A    33.7.186.252
oluvignd.law.nju.com.    IN    A    212.201.215.149
gxymwlsv.law.nju.com.    IN    A    232.49.131.99
jibmuhyn.law.nju.com.    IN    A    171.203.97.237
xclujkdp.law.nju.com.    IN    A    108.109.65.168
cwgldfxj.law.nju.com.    IN    A    143.11.96.50
tgyonlrc.law.nju.com.    IN    A    96.63.109.157
eqitgklj.law.nju.com.    IN    A    109.232.42.150
kjchoqag.law.nju.com.    IN    A    136.47.72.135
wsjvyrfb.law.nju.com.    IN    A    127.155.11.92
pomtjyqk.law.nju.com.    IN    A    32.158.70.34
rpwyhxuj.law.nju.com.    IN    A    157.70.38.160
unblmpsy.law.nju.com.    IN    A    47.201.122.69
taoqcmev.law.nju.com.    IN    A    9.32.202.112
uwqdphlf.law.nju.com.    IN    A    229.145.255.137
nywvuxoc.law.nju.com.    IN    A    211.11.119.37
qfsacivh.law.nju.com.    IN    A    34.5.125.160
fsgeuika.law.nju.com.    IN    A    89.83.6.227
dopywxhq.law.nju.com.    IN    A    122.209.174.81
fsdbmacj.law.nju.com.    IN    A    26.252.154.4
ykiahtlv.law.nju.com.    IN    A    213.122.42.227
xcmutjsh.law.nju.com.    IN    A    27.171.170.64
lvxdrowe.law.nju.com.    IN    A    188.234.47.15
axesbtjy.law.nju.com.    IN    A    195.140.16.157
lsengamb.law.nju.com.    IN    A    1.46.55.120
slwfehai.law.nju.com.    IN    A    95.25.32.181
mkqwxylp.law.nju.com.    IN    A    170.120.213.130
naljfpqk.law.nju.com.    IN    A    177.238.152.174
vtqolwky.law.nju.com.    IN    A    242.28.108.83
oaxghint.law.nju.com.    IN    A    72.190.28.155
qksirypa.law.nju.com.    IN    A    102.207.132.42
nowehxby.law.nju.com.    IN    A    107.240.218.5
ovqrjngh.law.nju.com.    IN    A    206.134.131.251
vidbcypn.law.nju.com.    IN    A    37.138.235.43
cwambqhp.law.nju.com.    IN    A    110.229.89.186
fdpyqgjs.law.nju.com.    IN    A    15.57.74.184
uojvateg.law.nju.com.    IN    A    13.116.172.104
ovtysklf.law.nju.com.    IN    A    103.132.35.80
trqsnpxl.law.nju.com.    IN    A    246.249.239.202
gnjkcbay.law.nju.com.    IN    A    8.232.191.132
elmaqshk.law.nju.com.    IN    A    242.200.109.191
kmyjlubg.law.nju.com.    IN    A    104.177.151.99
rmkgxaiw.law.nju.com.    IN    A    6.26.25.95
cwopgfyj.law.nju.com.    IN    A    154.35.249.173
buhqsgck.law.nju.com.    IN    A    29.167.241.156
lnarptdm.law.nju.com.    IN    A    115.117.210.178
lpkgqaev.law.nju.com.    IN    A    41.133.76.76
xljwvtys.law.nju.com.    IN    A    227.43.27.209
qawvuxgr.law.nju.com.    IN    A    122.22.255.144
bthefknr.law.nju.com.    IN    A    223.154.153.207
rfiyoeqh.law.nju.com.    IN    A    58.10.60.159
asywtnhu.law.nju.com.    IN    A    189.205.158.189
ocefvqjs.law.nju.com.    IN    A    40.71.163.232
dnlbexhv.law.nju.com.    IN    A    110.199.80.5
xqremodt.law.nju.com.    IN    A    170.246.62.239
qmtbflri.law.nju.com.    IN    A    238.170.15.203
cserwdnp.law.nju.com.    IN    A    222.253.57.44
qwxadjle.law.nju.com.    IN    A    212.123.142.75
gnqplric.law.nju.com.    IN    A    72.24.81.13
nxuickmb.law.nju.com.    IN    A    240.43.8.231
iwldjkbv.law.nju.com.    IN    A    92.243.68.136
opkharid.law.nju.com.    IN    A    255.200.76.109
hnpubawo.law.nju.com.    IN    A    126.4.17.168
sfidvexw.law.nju.com.    IN    A    198.87.103.181
bswtcyda.law.nju.com.    IN    A    3.124.245.19
fwrcytie.law.nju.com.    IN    A    254.224.155.52
mnagpruc.law.nju.com.    IN    A    185.128.201.22
ishjkcrb.law.nju.com.    IN    A    136.58.167.71
vqcfdeor.law.nju.com.    IN    A    196.124.91.139
nhyfmxoq.law.nju.com.    IN    A    245.2.220.209
atypswbl.law.nju.com.    IN    A    77.137.240.171
rqtodkuf.law.nju.com.    IN    A    250.181.107.33
rjwempug.law.nju.com.    IN    A    173.104.3.129
mrclyvaq.law.nju.com.    IN    A    85.176.95.102
lendrfti.law.nju.com.    IN    A    74.189.74.25
nawdmhst.law.nju.com.    IN    A    39.193.54.15
jvoeuxis.law.nju.com.    IN    A    176.141.155.131
hljtoyiv.law.nju.com.    IN    A    18.108.15.204
lbcwfqtd.law.nju.com.    IN    A    91.231.237.114
gksxhail.law.nju.com.    IN    A    27.76.61.201
uvogjiaf.law.nju.com.    IN    A    196.125.113.151
xmpeswcb.law.nju.com.    IN    A    85.47.168.128
lipuxdjm.law.nju.com.    IN    A    138.213.37.230
dxtpelkn.law.nju.com.    IN    A    48.221.253.127
gunolvmc.law.nju.com.    IN    A    236.166.23.5
folpqbcg.law.nju.com.    IN    A    82.197.195.94
ldfqksyo.law.nju.com.    IN    A    240.235.87.8
fhsbjlpr.law.nju.com.    IN    A    120.229.225.254
vbypkuxw.law.nju.com.    IN    A    160.172.81.168
ifentbva.law.nju.com.    IN    A    212.148.52.164
tnjklawb.law.nju.com.    IN    A    75.116.120.3
kcrgtbuf.law.nju.com.    IN    A    242.58.181.164
ojbkglxp.law.nju.com.    IN    A    175.135.97.110
tnwmsoci.law.nju.com.    IN    A    16.42.219.30
yrvdbxmu.law.nju.com.    IN    A    109.136.30.117
ltgrdixf.law.nju.com.    IN    A    160.59.20.71
ctsudygv.law.nju.com.    IN    A    12.150.151.236
tshfpmac.law.nju.com.    IN    A    254.9.242.91
dijcasuw.law.nju.com.    IN    A    122.106.103.234
rbftspje.law.nju.com.    IN    A    200.79.118.133
otadipjx.law.nju.com.    IN    A    166.133.113.117
eihpycrx.law.nju.com.    IN    A    6.253.186.50
kxiuanch.law.nju.com.    IN    A    229.148.162.228
klfebqnc.law.nju.com.    IN    A    151.191.42.34
ftlvuhgj.law.nju.com.    IN    A    79.31.154.141
iwnrmvgf.law.nju.com.    IN    A    144.6.4.173
akjcdyqb.law.nju.com.    IN    A    145.249.210.1
vdiwukxq.law.nju.com.    IN    A    8.52.184.112
xufsicem.law.nju.com.    IN    A    194.71.27.175
pevsigtr.law.nju.com.    IN    A    74.118.233.96
tqjvkgys.law.nju.com.    IN    A    202.155.88.68
xkdfnryc.law.nju.com.    IN    A    115.208.32.212
eafoyjhx.law.nju.com.    IN    A    164.148.119.215
jkaidsqp.law.nju.com.    IN    A    115.44.248.118
fuomvhel.law.nju.com.    IN    A    20.82.211.217
oneqhxbw.law.nju.com.    IN    A    123.86.173.111
hrljvbyq.law.nju.com.    IN    A    48.70.153.188
nfxpbcus.law.nju.com.    IN    A    65.91.123.60
hcdfgpit.law.nju.com.    IN    A    235.91.165.43
gnohcbqu.law.nju.com.    IN    A    38.235.24.218
slcxnqwt.law.nju.com.    IN    A    120.119.240.238
tipckmag.law.nju.com.    IN    A    144.167.207.21
qptxiduo.law.nju.com.    IN    A    27.248.32.186
hpdysirw.law.nju.com.    IN    A    255.72.142.65
jbdalyce.law.nju.com.    IN    A    35.135.202.94
grtsdypk.law.nju.com.    IN    A    148.26.83.83
ohwacevp.law.nju.com.    IN    A    38.118.2.120
gafncwls.law.nju.com.    IN    A    229.71.64.17
iavrmgwy.law.nju.com.    IN    A    237.174.174.60
qcfksdai.law.nju.com.    IN    A    8.137.121.246
khibmylw.law.nju.com.    IN    A    248.46.160.200
kyjqrcvx.law.nju.com.    IN    A    107.24.102.46
vueiphgx.law.nju.com.    IN    A    137.58.152.159
mvarxlhb.law.nju.com.    IN    A    42.92.226.116
pdyqowrt.law.nju.com.    IN    A    224.112.72.74
ywsxgdno.law.nju.com.    IN    A    1.159.104.79
klxheodf.law.nju.com.    IN    A    149.164.202.12
mwycoael.law.nju.com.    IN    A    6.161.87.1
vimltyan.law.nju.com.    IN    A    190.63.91.179
dkqrjgia.law.nju.com.    IN    A    131.63.3.73
emdiwyat.law.nju.com.    IN    A    234.80.226.92
kqnbrehw.law.nju.com.    IN    A    53.135.103.197
gsruvhcy.law.nju.com.    IN    A    241.47.234.172
xywlvnfc.law.nju.com.    IN    A    110.7.160.59
yelqcdav.law.nju.com.    IN    A    201.95.33.252
isbulcva.law.nju.com.    IN    A    45.211.116.61
ohdanfgb.law.nju.com.    IN    A    11.140.166.246
fcquiamk.law.nju.com.    IN    A    250.111.170.138
ichxpvmd.law.nju.com.    IN    A    119.38.72.139
aqvujkcg.law.nju.com.    IN    A    85.107.83.151
jputgmib.law.nju.com.    IN    A    120.19.161.91
rfvhliux.law.nju.com.    IN    A    226.57.173.109
kedfarip.law.nju.com.    IN    A    235.228.28.46
slpyhruo.law.nju.com.    IN    A    248.175.214.232
ehysxvkf.law.nju.com.    IN    A    17.140.10.255
kmjirfsh.law.nju.com.    IN    A    6.122.193.102
wximfroh.law.nju.com.    IN    A    89.113.209.241
mgdflnio.law.nju.com.    IN    A    188.211.191.199
fqoecvna.law.nju.com.    IN    A    210.193.30.133
qgcfbpkx.law.nju.com.    IN    A    181.34.167.124
erphvxcm.law.nju.com.    IN    A    237.231.94.69
fmxhilob.law.nju.com.    IN    A    166.199.79.134
nwjylxma.law.nju.com.    IN    A    48.231.8.130
rxpnawmj.law.nju.com.    IN    A    193.37.222.161
kmjrfdgv.law.nju.com.    IN    A    115.208.3.7
wepfagct.law.nju.com.    IN    A    95.107.59.100
pdwvnmiq.law.nju.com.    IN    A    82.37.46.29
fwcavhom.law.nju.com.    IN    A    142.36.217.138
aptuqjvw.law.nju.com.    IN    A    1.28.206.204
ciwskprm.law.nju.com.    IN    A    1.132.68.223
wifnredm.law.nju.com.    IN    A    235.188.104.60
hayuxpvb.law.nju.com.    IN    A    21.239.111.222
vjkgtody.law.nju.com.    IN    A    225.152.41.76
dqlfvnjx.law.nju.com.    IN    A    171.71.84.149
mvhbinrp.law.nju.com.    IN    A    139.87.94.239
xvplgosc.law.nju.com.    IN    A    230.67.193.136
fjoeyalu.law.nju.com.    IN    A    82.213.176.170
yjnisamd.law.nju.com.    IN    A    184.32.215.138
hyawtqip.law.nju.com.    IN    A    244.223.152.40
oevdlmws.law.nju.com.    IN    A    133.230.164.120
jaiqogbd.law.nju.com.    IN    A    34.86.118.178
ntesbicu.law.nju.com.    IN    A    141.200.239.5
aicwdqrk.law.nju.com.    IN    A    37.132.33.225
seaitcdp.law.nju.com.    IN    A    200.212.155.8
mqtgrfaj.law.nju.com.    IN    A    107.250.7.140
tomuybls.law.nju.com.    IN    A    247.46.235.109
ckvjduab.law.nju.com.    IN    A    61.226.152.61
gdfcalwp.law.nju.com.    IN    A    188.41.72.97
bwlmpoxe.law.nju.com.    IN    A    228.117.189.61
ebhukcqf.law.nju.com.    IN    A    174.222.250.155
mcjuflpx.law.nju.com.    IN    A    171.104.25.32
wfmtsjia.law.nju.com.    IN    A    127.80.191.132
erfvnjgp.law.nju.com.    IN    A    22.229.144.188
glbukpnc.law.nju.com.    IN    A    228.140.112.22
ejuhksvo.law.nju.com.    IN    A    210.83.190.211
sbljpygx.law.nju.com.    IN    A    55.135.45.120
hndjwgax.law.nju.com.    IN    A    45.152.173.253
whmjxups.law.nju.com.    IN    A    40.17.238.85
hsxkpuwl.law.nju.com.    IN    A    106.169.71.170
vlchroyd.law.nju.com.    IN    A    33.158.253.162
coauwksq.law.nju.com.    IN    A    137.160.31.100
yljdwrbg.law.nju.com.    IN    A    60.208.31.52
sdrgcomv.law.nju.com.    IN    A    81.139.154.219
jwplxqsn.law.nju.com.    IN    A    184.85.70.93
jwtbpfyr.law.nju.com.    IN    A    189.19.173.92
dcwvsphg.law.nju.com.    IN    A    113.66.12.6
ptqrmvlw.law.nju.com.    IN    A    247.5.228.203
ohqrtpem.law.nju.com.    IN    A    140.107.99.243
ipgakdrm.law.nju.com.    IN    A    123.76.210.173
adgbfuwk.law.nju.com.    IN    A    115.44.154.84
fcoghdse.law.nju.com.    IN    A    244.204.218.160
ypgfwhmb.law.nju.com.    IN    A    176.242.62.37
thrsgeil.law.nju.com.    IN    A    214.222.152.137
ejamxncy.law.nju.com.    IN    A    248.40.85.15
dqkbjyop.law.nju.com.    IN    A    140.192.162.137
flxbwesq.law.nju.com.    IN    A    112.120.117.115
qvpnkyeo.law.nju.com.    IN    A    8.100.143.151
iyfvognr.law.nju.com.    IN    A    15.85.117.140
wsycqvlb.law.nju.com.    IN    A    193.90.238.27
vahmlptj.law.nju.com.    IN    A    14.171.69.244
bpmeqahl.law.nju.com.    IN    A    9.203.83.106
dsxebwrf.law.nju.com.    IN    A    85.168.71.138
uoqcbsvr.law.nju.com.    IN    A    105.234.72.111
piregdyv.law.nju.com.    IN    A    154.227.212.135
aqrkvfcu.law.nju.com.    IN    A    106.166.179.65
