; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR pku.com. @ns2.pku.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.pku.com. james.pku.edu. 19122302 14400 3600 2419200 14400
pku.com.			      14400 IN NS	ns1.pku.com.
ns1.pku.com.			      14400 IN A	10.166.21.14

www.pku.com.		      14400 IN NS	ns1.www.pku.com.
ns1.www.pku.com.		      14400 IN A		10.166.21.15

math.pku.com.		      14400 IN NS	ns1.math.pku.com.
ns1.math.pku.com.		      14400 IN A		10.166.21.12

hist.pku.com.		      14400 IN NS	ns1.hist.pku.com.
ns1.hist.pku.com.		      14400 IN A		10.166.21.13

pku.com.			      14400 IN MX	10 histtp.pku.edu.
pku.com.			      14400 IN TXT	"v=spf1 a mx ~all"
rqajwbuc.pku.com.        IN    A    5.253.178.8
crtavqsy.pku.com.        IN    A    88.121.35.172
xhltowqe.pku.com.        IN    A    38.231.233.123
vsqiuhwo.pku.com.        IN    A    210.113.116.123
kjsyilhw.pku.com.        IN    A    11.54.94.129
tgqwnjux.pku.com.        IN    A    163.74.118.7
emrutcsg.pku.com.        IN    A    39.227.108.48
nvrlgofq.pku.com.        IN    A    99.52.236.123
qcvedksm.pku.com.        IN    A    51.253.201.177
tupmwvgr.pku.com.        IN    A    244.133.236.183
ogkyavxs.pku.com.        IN    A    46.198.114.120
usehnypx.pku.com.        IN    A    21.112.116.215
wilxcdgk.pku.com.        IN    A    185.23.208.253
wsrgxvqt.pku.com.        IN    A    143.71.101.33
cwohdblx.pku.com.        IN    A    142.122.240.56
sthlpgxi.pku.com.        IN    A    156.56.223.250
claqtfmp.pku.com.        IN    A    170.93.187.125
kjthfugn.pku.com.        IN    A    13.149.26.165
gxawrtlq.pku.com.        IN    A    160.189.233.115
fogxbely.pku.com.        IN    A    137.117.183.90
lhfvepao.pku.com.        IN    A    16.82.172.11
bxaowtvm.pku.com.        IN    A    175.95.201.20
akvscyqp.pku.com.        IN    A    89.143.139.82
idcutynl.pku.com.        IN    A    71.25.13.102
rwjklaqg.pku.com.        IN    A    77.127.3.113
tgueiyph.pku.com.        IN    A    51.161.5.75
jyfovstc.pku.com.        IN    A    70.114.124.20
porykxlw.pku.com.        IN    A    37.2.136.204
caxbptdr.pku.com.        IN    A    48.55.175.165
pkoumthb.pku.com.        IN    A    27.213.253.150
abselind.pku.com.        IN    A    118.146.6.146
vabyfwlo.pku.com.        IN    A    140.29.168.253
emjsxnrf.pku.com.        IN    A    55.61.45.52
xytpolbn.pku.com.        IN    A    54.121.211.127
yidqwubo.pku.com.        IN    A    25.158.85.220
oqgjwmli.pku.com.        IN    A    176.156.229.158
efjltkoc.pku.com.        IN    A    246.59.58.156
upytcneq.pku.com.        IN    A    37.93.229.223
bmjleqxg.pku.com.        IN    A    86.246.209.199
dberwgft.pku.com.        IN    A    201.223.195.245
iojftuyd.pku.com.        IN    A    48.153.90.189
xrkothyl.pku.com.        IN    A    222.184.184.100
rjiednwy.pku.com.        IN    A    67.18.18.164
onpqjdrf.pku.com.        IN    A    249.207.85.81
teqvacgs.pku.com.        IN    A    20.149.35.249
tduofibr.pku.com.        IN    A    223.89.94.124
uxftivjw.pku.com.        IN    A    16.60.155.79
lmiawoxu.pku.com.        IN    A    72.243.158.224
awpxnmgc.pku.com.        IN    A    144.165.97.133
horankds.pku.com.        IN    A    199.28.241.46
smwpnqua.pku.com.        IN    A    24.248.77.252
oksptehi.pku.com.        IN    A    80.128.67.74
pejsumhf.pku.com.        IN    A    98.65.210.10
ntrfiqhe.pku.com.        IN    A    80.230.45.96
fawexnid.pku.com.        IN    A    166.174.149.42
fdqmjkov.pku.com.        IN    A    198.11.129.235
baqlmyns.pku.com.        IN    A    127.180.124.209
ngpvrtfh.pku.com.        IN    A    89.242.2.238
jvstmouf.pku.com.        IN    A    89.148.31.126
vybrxwlo.pku.com.        IN    A    188.224.77.62
yoqbepai.pku.com.        IN    A    252.221.201.235
gxtpyouv.pku.com.        IN    A    164.199.172.241
ainwdlky.pku.com.        IN    A    119.136.115.69
qosebvac.pku.com.        IN    A    94.150.25.199
qsdblchn.pku.com.        IN    A    80.89.228.163
skcmfohd.pku.com.        IN    A    164.33.214.85
berymqkn.pku.com.        IN    A    48.66.39.149
wrfapkos.pku.com.        IN    A    82.138.54.13
bvtpmagq.pku.com.        IN    A    248.237.110.65
nkoaixvc.pku.com.        IN    A    163.214.253.155
tecsgqao.pku.com.        IN    A    241.177.43.24
oiwpshut.pku.com.        IN    A    40.217.61.98
nlrwfsce.pku.com.        IN    A    104.49.80.48
twyhlbci.pku.com.        IN    A    126.187.54.206
xyancmeo.pku.com.        IN    A    68.166.241.242
cpixnldf.pku.com.        IN    A    142.62.84.123
xtvnodrj.pku.com.        IN    A    11.238.241.74
otpylbqa.pku.com.        IN    A    186.22.19.98
snbavqoi.pku.com.        IN    A    213.254.91.225
pvbtuqhy.pku.com.        IN    A    94.253.19.94
nkhmgias.pku.com.        IN    A    215.239.103.134
rnueywot.pku.com.        IN    A    187.193.69.69
faengucd.pku.com.        IN    A    127.47.66.128
sedampnq.pku.com.        IN    A    19.221.244.105
lthwrbsg.pku.com.        IN    A    234.225.105.228
iqcvjrxh.pku.com.        IN    A    37.182.76.226
uyrwdegq.pku.com.        IN    A    74.128.94.226
txcypjnd.pku.com.        IN    A    69.87.130.224
yxsonuab.pku.com.        IN    A    126.188.201.209
cibrmhwd.pku.com.        IN    A    128.40.190.185
afoebugs.pku.com.        IN    A    114.100.188.65
pxgowsfq.pku.com.        IN    A    106.85.22.23
ocaxplhi.pku.com.        IN    A    83.148.99.198
ediltpxf.pku.com.        IN    A    177.155.162.224
cepiwlfg.pku.com.        IN    A    48.1.129.70
bypiekmf.pku.com.        IN    A    215.101.2.57
dinqumyj.pku.com.        IN    A    79.190.252.18
tsbphrly.pku.com.        IN    A    83.32.163.94
apnhdcrt.pku.com.        IN    A    58.18.34.176
ngbchvjy.pku.com.        IN    A    53.172.133.97
byemhvdw.pku.com.        IN    A    173.202.67.59
gtpibemh.pku.com.        IN    A    22.12.197.178
dqolchyk.pku.com.        IN    A    215.16.80.80
lrqgsecf.pku.com.        IN    A    190.174.26.182
fynackgd.pku.com.        IN    A    168.60.100.36
uqsorinb.pku.com.        IN    A    192.157.115.38
tyvbhfro.pku.com.        IN    A    29.18.226.205
jcifubon.pku.com.        IN    A    95.119.114.32
klghsmwy.pku.com.        IN    A    64.10.18.254
txsehjia.pku.com.        IN    A    183.255.188.140
cprsdwly.pku.com.        IN    A    13.3.12.88
gvcijult.pku.com.        IN    A    151.38.116.77
fbjnuxmk.pku.com.        IN    A    12.209.203.72
aidfctsx.pku.com.        IN    A    245.4.137.240
nqsdrpkf.pku.com.        IN    A    116.25.152.232
ugwcvmpy.pku.com.        IN    A    253.17.12.103
evmwktps.pku.com.        IN    A    178.136.207.138
jumkxhqa.pku.com.        IN    A    8.30.51.236
gihaujsl.pku.com.        IN    A    185.172.79.0
oyiwltxu.pku.com.        IN    A    211.168.125.2
yiuvmkqs.pku.com.        IN    A    18.35.26.32
yesgkcmp.pku.com.        IN    A    155.143.64.113
bplqneds.pku.com.        IN    A    108.171.158.59
obnmyxfk.pku.com.        IN    A    181.233.178.2
crqlxmop.pku.com.        IN    A    232.60.170.237
iudpmahs.pku.com.        IN    A    194.90.8.45
qignahxj.pku.com.        IN    A    67.137.140.216
trqhdmgw.pku.com.        IN    A    103.124.139.0
koxqhdra.pku.com.        IN    A    40.100.113.120
ojvqunpd.pku.com.        IN    A    213.92.49.190
eixnuwgq.pku.com.        IN    A    141.246.253.113
hudkjweo.pku.com.        IN    A    220.46.49.173
jygmlrcu.pku.com.        IN    A    78.146.255.3
wvtfplox.pku.com.        IN    A    144.243.74.225
rwyvbujg.pku.com.        IN    A    208.74.47.43
nqtwsvmd.pku.com.        IN    A    62.66.229.250
roetaixd.pku.com.        IN    A    39.132.54.119
wceopyav.pku.com.        IN    A    248.185.242.220
bspliofv.pku.com.        IN    A    178.155.67.241
veqbydmp.pku.com.        IN    A    213.225.209.34
ledgfkxa.pku.com.        IN    A    11.120.190.150
iuydrame.pku.com.        IN    A    37.222.134.112
kxrvjnmy.pku.com.        IN    A    133.85.54.175
tghfnqov.pku.com.        IN    A    228.108.12.125
fvipowka.pku.com.        IN    A    174.139.221.75
vscpxibf.pku.com.        IN    A    119.136.214.149
feiqkoar.pku.com.        IN    A    75.152.117.117
ojgtsena.pku.com.        IN    A    136.176.18.24
jxpmstir.pku.com.        IN    A    159.73.155.40
anhqvucb.pku.com.        IN    A    41.108.124.238
soxtbyci.pku.com.        IN    A    144.214.226.139
niktvqaw.pku.com.        IN    A    205.90.243.232
robcedwt.pku.com.        IN    A    83.230.164.148
ktxrfqjd.pku.com.        IN    A    166.105.83.53
anjohvgf.pku.com.        IN    A    143.246.52.253
erwvioly.pku.com.        IN    A    127.162.155.158
xfjpisgv.pku.com.        IN    A    171.1.232.241
yhbmlwiv.pku.com.        IN    A    54.249.167.176
joidtrwu.pku.com.        IN    A    218.98.218.220
ufgrdtqw.pku.com.        IN    A    174.26.100.179
foqghxdy.pku.com.        IN    A    169.168.12.9
uekjbvst.pku.com.        IN    A    182.250.226.120
oxmtweyj.pku.com.        IN    A    44.90.153.82
qfbeklnp.pku.com.        IN    A    4.36.52.151
epsrnxkg.pku.com.        IN    A    76.12.84.82
yweqlxdj.pku.com.        IN    A    54.7.194.89
pjbqtadh.pku.com.        IN    A    169.234.15.50
fbcxlmej.pku.com.        IN    A    205.168.76.230
rcotamhk.pku.com.        IN    A    240.209.38.151
jaengrhm.pku.com.        IN    A    144.190.199.99
xtricoyf.pku.com.        IN    A    92.179.173.137
kcgwjabv.pku.com.        IN    A    180.99.12.108
uephxlfq.pku.com.        IN    A    210.92.241.137
xfpurmwt.pku.com.        IN    A    30.173.95.145
jprcvdqm.pku.com.        IN    A    203.249.142.211
ijalcupb.pku.com.        IN    A    81.146.12.193
lumcfpje.pku.com.        IN    A    103.11.100.4
lmyxnvpu.pku.com.        IN    A    10.235.222.60
tpxcdayi.pku.com.        IN    A    86.183.25.205
yfdkltpm.pku.com.        IN    A    11.136.52.17
ntkfbwsa.pku.com.        IN    A    162.129.216.21
weocgari.pku.com.        IN    A    86.37.161.211
bprletqk.pku.com.        IN    A    222.84.199.98
euwoqags.pku.com.        IN    A    233.4.235.7
odfsmlcw.pku.com.        IN    A    196.225.19.100
uhqyoisf.pku.com.        IN    A    43.49.37.7
tgrupqaw.pku.com.        IN    A    86.239.143.20
nyulkseb.pku.com.        IN    A    247.212.226.195
mtipvysk.pku.com.        IN    A    168.146.146.67
ksvxlbur.pku.com.        IN    A    87.190.12.165
tplxkgwc.pku.com.        IN    A    182.173.208.157
aulhxcjv.pku.com.        IN    A    140.97.113.171
bxnkcgjh.pku.com.        IN    A    27.51.90.139
ofiehrkl.pku.com.        IN    A    22.158.15.72
xjgrmpdq.pku.com.        IN    A    113.124.143.120
mvregjxw.pku.com.        IN    A    31.143.34.161
ioqhewvr.pku.com.        IN    A    12.120.88.49
mhsvdric.pku.com.        IN    A    243.6.10.145
hqpetoim.pku.com.        IN    A    0.107.209.227
aycdesft.pku.com.        IN    A    249.213.44.96
ehqkgvwc.pku.com.        IN    A    222.98.56.93
qlnchuvi.pku.com.        IN    A    122.227.32.138
pxiejqcg.pku.com.        IN    A    108.30.8.175
yiqocwhn.pku.com.        IN    A    146.180.111.11
vitlwqka.pku.com.        IN    A    81.234.47.223
nxeficdt.pku.com.        IN    A    111.29.11.119
efndvpqc.pku.com.        IN    A    33.58.111.14
bthxiodv.pku.com.        IN    A    89.81.75.116
nyorqedb.pku.com.        IN    A    152.139.230.111
svbjynpr.pku.com.        IN    A    113.167.154.201
ltqhknwa.pku.com.        IN    A    103.61.183.234
uixoedqk.pku.com.        IN    A    5.216.42.94
qoryaldn.pku.com.        IN    A    85.13.162.134
pqhavnye.pku.com.        IN    A    187.17.128.30
vqhbesdk.pku.com.        IN    A    201.19.227.154
orveibfy.pku.com.        IN    A    6.103.250.100
ugriavyt.pku.com.        IN    A    44.145.243.128
ugyistjk.pku.com.        IN    A    100.117.146.23
pjkuohcq.pku.com.        IN    A    15.242.88.201
cxwshrua.pku.com.        IN    A    118.54.227.25
dchsiobt.pku.com.        IN    A    105.255.223.166
rktmsndl.pku.com.        IN    A    33.140.246.147
uvrtgcli.pku.com.        IN    A    252.86.70.26
teujwadc.pku.com.        IN    A    88.201.100.146
bqlafvdx.pku.com.        IN    A    20.77.215.60
vnujdbkl.pku.com.        IN    A    134.155.250.224
erkdwaiy.pku.com.        IN    A    11.206.96.223
nxjvklpi.pku.com.        IN    A    20.181.7.25
qcigrtke.pku.com.        IN    A    42.8.171.217
dowbnpsa.pku.com.        IN    A    29.243.186.58
iyjrpkgm.pku.com.        IN    A    120.70.223.133
evxbsmpy.pku.com.        IN    A    13.199.136.7
shrulgmd.pku.com.        IN    A    172.80.57.22
dopckaxr.pku.com.        IN    A    76.56.34.38
ochifsbj.pku.com.        IN    A    216.24.37.184
oyqrngkh.pku.com.        IN    A    104.10.27.174
wykhbteo.pku.com.        IN    A    11.3.212.202
faxhwdvr.pku.com.        IN    A    210.41.8.146
pvwusdco.pku.com.        IN    A    88.252.252.221
rxkelyap.pku.com.        IN    A    218.49.35.239
pnlcguxk.pku.com.        IN    A    209.245.2.115
bmsdekay.pku.com.        IN    A    64.130.3.178
atrkewmq.pku.com.        IN    A    135.67.225.185
ehldqxfa.pku.com.        IN    A    231.116.26.248
irfawdlu.pku.com.        IN    A    180.7.156.15
exwkqaus.pku.com.        IN    A    42.49.13.209
aiovnhmy.pku.com.        IN    A    22.175.0.232
esqavbng.pku.com.        IN    A    182.202.41.178
twpclodf.pku.com.        IN    A    163.241.46.138
ioghvase.pku.com.        IN    A    186.244.218.217
kcbevgou.pku.com.        IN    A    225.175.193.18
ojayiesx.pku.com.        IN    A    157.28.145.227
npakyxij.pku.com.        IN    A    69.241.61.82
rptambnq.pku.com.        IN    A    56.11.100.188
twmaknvd.pku.com.        IN    A    141.182.243.106
ycoefnjx.pku.com.        IN    A    230.127.66.22
cshguwxv.pku.com.        IN    A    220.51.175.204
yrtbqxag.pku.com.        IN    A    56.203.171.177
paqbywfd.pku.com.        IN    A    210.224.46.50
kgtrxyve.pku.com.        IN    A    128.16.10.40
qalgfjuc.pku.com.        IN    A    90.187.131.217
kslyghcd.pku.com.        IN    A    166.24.39.157
rjdgkhcy.pku.com.        IN    A    103.200.31.115
bqvxpmil.pku.com.        IN    A    218.19.50.103
tjbivgae.pku.com.        IN    A    95.147.169.33
pcosybqf.pku.com.        IN    A    138.212.141.143
vrfoknth.pku.com.        IN    A    85.104.128.161
xfhceyon.pku.com.        IN    A    105.191.103.33
uikrweoq.pku.com.        IN    A    108.240.154.228
ejybwtha.pku.com.        IN    A    167.2.98.192
hfwqmjdv.pku.com.        IN    A    169.100.178.250
foulejhm.pku.com.        IN    A    114.219.195.129
gifpwrox.pku.com.        IN    A    41.99.39.196
qavroimh.pku.com.        IN    A    23.21.144.68
djlxoirh.pku.com.        IN    A    250.82.101.236
cptlgbsn.pku.com.        IN    A    107.103.71.181
btyfpjam.pku.com.        IN    A    31.14.64.202
xbvceydt.pku.com.        IN    A    247.132.71.15
bxyrglnu.pku.com.        IN    A    15.173.35.39
liywbngp.pku.com.        IN    A    37.135.129.19
daguhyrf.pku.com.        IN    A    113.101.48.65
vqrpiomf.pku.com.        IN    A    94.90.177.81
kifqvtay.pku.com.        IN    A    60.232.172.48
efkglhnb.pku.com.        IN    A    58.201.137.249
hvywpcsl.pku.com.        IN    A    13.183.226.39
kjdoraiw.pku.com.        IN    A    250.250.9.143
roptlyfa.pku.com.        IN    A    115.169.216.175
yiowsvpj.pku.com.        IN    A    237.239.69.209
wgtadrhc.pku.com.        IN    A    105.148.72.69
vsjqwicb.pku.com.        IN    A    65.131.236.37
wejdgpuv.pku.com.        IN    A    207.65.148.234
plsmtjxr.pku.com.        IN    A    195.34.84.105
gwvdreku.pku.com.        IN    A    176.55.202.199
qaexpuro.pku.com.        IN    A    18.188.49.101
rxiqgpol.pku.com.        IN    A    94.124.188.116
xaurvnti.pku.com.        IN    A    11.226.1.94
hjkdmwop.pku.com.        IN    A    128.159.242.164
cngopafx.pku.com.        IN    A    204.28.176.226
fiduqamh.pku.com.        IN    A    45.155.113.138
boedylwa.pku.com.        IN    A    117.171.48.212
bswxhdnc.pku.com.        IN    A    228.107.188.27
quwefrgm.pku.com.        IN    A    117.134.166.79
ljvwsgkx.pku.com.        IN    A    220.71.91.100
htiufkax.pku.com.        IN    A    230.72.205.147
wirxebqh.pku.com.        IN    A    70.121.37.126
hjirlcds.pku.com.        IN    A    171.26.16.65
pfnlceom.pku.com.        IN    A    164.92.128.97
uktqmnoj.pku.com.        IN    A    207.81.21.78
vnbmxqsh.pku.com.        IN    A    221.87.105.190
pucsfxjb.pku.com.        IN    A    176.85.112.242
xnfmqupa.pku.com.        IN    A    241.118.142.62
ndeigumt.pku.com.        IN    A    46.113.6.254
hxieowar.pku.com.        IN    A    235.108.28.153
egscykar.pku.com.        IN    A    250.251.21.128
lgebhfkm.pku.com.        IN    A    81.220.15.159
xbeqhgic.pku.com.        IN    A    110.164.71.211
syxnujvb.pku.com.        IN    A    253.217.63.122
fvepsbqn.pku.com.        IN    A    203.155.135.180
rhgyblux.pku.com.        IN    A    79.96.25.232
ueynjmvf.pku.com.        IN    A    113.10.161.246
dpvioyxw.pku.com.        IN    A    149.89.26.231
ryoltxew.pku.com.        IN    A    97.143.188.56
auvwqpkx.pku.com.        IN    A    215.67.5.138
yjvaolnk.pku.com.        IN    A    176.198.103.121
dyoenmhx.pku.com.        IN    A    133.36.186.38
aduwhken.pku.com.        IN    A    142.70.236.44
rihwemfg.pku.com.        IN    A    225.166.225.81
ebjqamyr.pku.com.        IN    A    216.219.197.183
lxecpivh.pku.com.        IN    A    141.22.133.203
dkjnevso.pku.com.        IN    A    112.103.11.7
neumryvd.pku.com.        IN    A    160.186.179.221
yapktmxo.pku.com.        IN    A    84.253.88.253
wedylocn.pku.com.        IN    A    154.136.12.249
ovhtujwm.pku.com.        IN    A    19.175.98.240
edvhixpm.pku.com.        IN    A    110.42.43.9
tgepaumf.pku.com.        IN    A    237.160.88.179
vysljexg.pku.com.        IN    A    250.159.178.188
rofwvqga.pku.com.        IN    A    163.51.181.76
cutisflj.pku.com.        IN    A    170.22.118.254
cmyqpien.pku.com.        IN    A    247.235.119.164
ewdpkqjs.pku.com.        IN    A    72.7.205.70
groncfks.pku.com.        IN    A    1.237.45.109
cxtuplgi.pku.com.        IN    A    174.241.17.252
eyjfstkw.pku.com.        IN    A    52.147.151.197
qxilydeg.pku.com.        IN    A    1.148.179.137
ualhwcde.pku.com.        IN    A    69.185.98.206
onfqklsw.pku.com.        IN    A    138.57.206.115
vpxhuqae.pku.com.        IN    A    117.30.246.169
idsgvxqa.pku.com.        IN    A    38.249.109.75
qkfcoyxl.pku.com.        IN    A    76.189.194.16
yrjfptmo.pku.com.        IN    A    208.237.248.239
niqfuydb.pku.com.        IN    A    136.227.185.243
dbwkrcux.pku.com.        IN    A    182.129.180.197
inpheglu.pku.com.        IN    A    105.255.13.12
djrxfhso.pku.com.        IN    A    128.255.205.150
vyogwrmx.pku.com.        IN    A    133.161.221.225
pwkqlgus.pku.com.        IN    A    207.230.49.65
inobusek.pku.com.        IN    A    102.123.208.10
pjhtsbce.pku.com.        IN    A    4.175.168.44
bxndergy.pku.com.        IN    A    26.147.182.73
ngvishqa.pku.com.        IN    A    173.32.31.110
uhyntlmg.pku.com.        IN    A    173.208.151.251
pmdeuwkj.pku.com.        IN    A    88.210.124.60
rskfxvjm.pku.com.        IN    A    255.79.58.248
rpwgyifj.pku.com.        IN    A    241.35.207.213
ghieuckx.pku.com.        IN    A    219.205.30.233
gqvowbti.pku.com.        IN    A    24.165.241.74
mjwviyuf.pku.com.        IN    A    126.37.127.151
tepioulw.pku.com.        IN    A    76.239.203.23
nxsifmtq.pku.com.        IN    A    178.124.219.150
fcbtemhs.pku.com.        IN    A    94.145.102.31
sdktjpqv.pku.com.        IN    A    125.110.255.1
atbrdneo.pku.com.        IN    A    4.213.36.211
sfpglcbi.pku.com.        IN    A    2.164.215.83
qaslehjr.pku.com.        IN    A    34.221.212.77
smdgaxiv.pku.com.        IN    A    123.5.66.148
jslhobvd.pku.com.        IN    A    39.160.24.204
efnjarmb.pku.com.        IN    A    235.116.129.144
updetcjo.pku.com.        IN    A    172.37.235.171
lsnwkrhy.pku.com.        IN    A    199.232.175.77
lgfhvctn.pku.com.        IN    A    44.191.109.112
kftpaumc.pku.com.        IN    A    197.44.255.64
iovpwcns.pku.com.        IN    A    88.164.159.63
bmgustdw.pku.com.        IN    A    125.158.49.131
qiaghcjf.pku.com.        IN    A    101.221.138.68
ltnvpjhq.pku.com.        IN    A    151.167.40.19
emqwnvld.pku.com.        IN    A    95.63.104.140
nfkurmpi.pku.com.        IN    A    174.241.186.108
kbtrixgv.pku.com.        IN    A    154.82.135.33
qsxhoftn.pku.com.        IN    A    2.105.109.237
vikogycu.pku.com.        IN    A    186.10.123.157
brhitaxu.pku.com.        IN    A    63.172.217.166
pktcexgo.pku.com.        IN    A    192.28.253.205
drhusvek.pku.com.        IN    A    51.218.109.151
afjobrcv.pku.com.        IN    A    195.167.22.180
qvekyctx.pku.com.        IN    A    48.105.3.253
gpuswvrl.pku.com.        IN    A    101.85.234.43
cbqsjvgk.pku.com.        IN    A    93.209.18.198
ygioulhc.pku.com.        IN    A    96.71.46.185
eisagrmf.pku.com.        IN    A    20.46.110.114
lyxbhdwi.pku.com.        IN    A    134.99.120.182
uqimkgea.pku.com.        IN    A    85.193.127.222
brhpoyni.pku.com.        IN    A    252.225.206.110
rjwmtekl.pku.com.        IN    A    195.189.98.120
rsfepbxg.pku.com.        IN    A    26.7.41.88
opqyveat.pku.com.        IN    A    19.57.157.181
fbqhytrl.pku.com.        IN    A    96.250.131.159
xqmdugtb.pku.com.        IN    A    157.64.180.157
rbadylfo.pku.com.        IN    A    89.48.143.62
olcfwbks.pku.com.        IN    A    128.35.233.105
vmprcxel.pku.com.        IN    A    15.81.210.126
yglbjtfw.pku.com.        IN    A    17.194.202.72
wacymprq.pku.com.        IN    A    175.188.184.115
qjystvng.pku.com.        IN    A    67.138.46.137
grnskbyl.pku.com.        IN    A    35.73.152.137
wpvuacrn.pku.com.        IN    A    165.225.182.131
kcrsbuwe.pku.com.        IN    A    57.190.166.79
twfxnibr.pku.com.        IN    A    112.155.180.236
fbqjmurt.pku.com.        IN    A    36.152.242.251
qfncovag.pku.com.        IN    A    171.216.226.182
alwbgipq.pku.com.        IN    A    184.73.99.136
tvpuqnai.pku.com.        IN    A    123.147.43.53
jtcugwme.pku.com.        IN    A    95.211.158.126
ygrufvpc.pku.com.        IN    A    173.191.216.202
rsamycox.pku.com.        IN    A    25.183.114.107
ktewynuv.pku.com.        IN    A    215.30.15.22
eqtibwsv.pku.com.        IN    A    211.248.5.14
amcdqofs.pku.com.        IN    A    76.112.73.14
vqeubpyj.pku.com.        IN    A    103.170.255.190
lmaidnqr.pku.com.        IN    A    214.209.185.224
lfdstxkh.pku.com.        IN    A    253.151.61.52
txosgyqn.pku.com.        IN    A    235.110.137.234
jeltyiro.pku.com.        IN    A    118.207.154.48
vlqsdibw.pku.com.        IN    A    37.170.90.143
lkbefgyh.pku.com.        IN    A    236.35.34.139
nxgbvhid.pku.com.        IN    A    141.247.6.128
mfipoehu.pku.com.        IN    A    0.170.28.209
siohjrdl.pku.com.        IN    A    223.212.5.140
prkcmbfh.pku.com.        IN    A    67.158.75.172
ndlrmgoi.pku.com.        IN    A    164.241.23.61
jdfuyimg.pku.com.        IN    A    25.28.160.28
pkhgsiql.pku.com.        IN    A    224.83.67.189
samfiybu.pku.com.        IN    A    200.145.6.221
rblvdctg.pku.com.        IN    A    224.22.9.4
epbuvnjw.pku.com.        IN    A    154.41.54.246
hukbpwvr.pku.com.        IN    A    87.121.168.181
rftqindm.pku.com.        IN    A    14.6.147.106
dlyufeoa.pku.com.        IN    A    162.250.50.201
dixhbkrm.pku.com.        IN    A    128.70.91.206
lwmhjbqy.pku.com.        IN    A    211.65.14.207
janlkbud.pku.com.        IN    A    13.140.147.239
elsjpwfc.pku.com.        IN    A    161.76.70.210
nfcitueg.pku.com.        IN    A    226.89.162.240
tawxodlk.pku.com.        IN    A    105.218.33.135
tfaewcdg.pku.com.        IN    A    52.3.133.44
tjbparlg.pku.com.        IN    A    172.248.50.94
sxjfrlyw.pku.com.        IN    A    110.179.229.217
xhvmfnlw.pku.com.        IN    A    194.163.31.130
comirgfv.pku.com.        IN    A    73.125.219.13
hoyubtmq.pku.com.        IN    A    36.194.62.135
