www.nju.com. 	14400	IN	SOA	ns1.www.nju.com. james.nju.edu. 19122302 14400 3600 2419200 14400
www.nju.com.		    IN	NS ns1.www.nju.com.
rqhnjaeu.www.nju.com.    IN    A    98.9.252.84
fupmstkg.www.nju.com.    IN    A    83.147.174.5
okctafnv.www.nju.com.    IN    A    162.165.180.230
sqtibnop.www.nju.com.    IN    A    227.66.183.20
vnbxpjld.www.nju.com.    IN    A    253.189.254.67
kqoviajh.www.nju.com.    IN    A    248.141.53.57
ildwqkjg.www.nju.com.    IN    A    234.167.187.142
xdowvlgq.www.nju.com.    IN    A    11.44.50.49
orkjgxmq.www.nju.com.    IN    A    16.127.240.26
vwtefndi.www.nju.com.    IN    A    176.5.238.216
cnbsfxja.www.nju.com.    IN    A    40.181.248.144
gipekqoy.www.nju.com.    IN    A    151.165.86.199
lpcwmtrn.www.nju.com.    IN    A    16.175.210.37
lxycvgmn.www.nju.com.    IN    A    30.56.193.4
eurkapwg.www.nju.com.    IN    A    143.48.252.202
dopnaevr.www.nju.com.    IN    A    250.226.30.223
wpjtvcgs.www.nju.com.    IN    A    4.165.105.212
cmvthejp.www.nju.com.    IN    A    180.187.255.2
wjdbovkc.www.nju.com.    IN    A    181.179.164.77
amixjfnb.www.nju.com.    IN    A    71.163.236.189
uxktgalb.www.nju.com.    IN    A    158.209.246.63
svutdrjq.www.nju.com.    IN    A    217.9.3.165
xfodqvnm.www.nju.com.    IN    A    66.199.75.104
ispbtmye.www.nju.com.    IN    A    230.98.172.240
wouecdbf.www.nju.com.    IN    A    173.44.94.119
tgrdicmo.www.nju.com.    IN    A    191.159.55.88
eqjhwkod.www.nju.com.    IN    A    146.153.1.0
xgfhcynj.www.nju.com.    IN    A    232.52.141.8
ldpwktfm.www.nju.com.    IN    A    38.64.4.52
exfpdwbn.www.nju.com.    IN    A    122.180.241.170
dcpxubtr.www.nju.com.    IN    A    152.159.181.133
jnxdikqp.www.nju.com.    IN    A    77.112.126.109
csmwvxyq.www.nju.com.    IN    A    84.166.236.164
ioyvmbjc.www.nju.com.    IN    A    4.140.72.86
rsicpfeq.www.nju.com.    IN    A    141.95.116.168
vkcxiugh.www.nju.com.    IN    A    230.94.25.7
ufdtrqmw.www.nju.com.    IN    A    103.103.233.103
cvdxjhlr.www.nju.com.    IN    A    213.104.223.221
sirmvfpg.www.nju.com.    IN    A    122.84.20.117
uykclhog.www.nju.com.    IN    A    124.249.124.162
torhncbd.www.nju.com.    IN    A    24.34.137.62
pbrstekf.www.nju.com.    IN    A    14.137.1.29
roclsyhi.www.nju.com.    IN    A    181.162.224.87
gxmhkivl.www.nju.com.    IN    A    114.69.83.197
sltdrqpb.www.nju.com.    IN    A    170.251.26.56
nfwxykea.www.nju.com.    IN    A    2.252.107.38
dfiaqyok.www.nju.com.    IN    A    188.226.201.123
yxqdulwp.www.nju.com.    IN    A    20.210.7.171
hsklmwdq.www.nju.com.    IN    A    53.18.253.46
ikjlmpug.www.nju.com.    IN    A    1.156.87.64
vqykfodw.www.nju.com.    IN    A    54.55.198.202
csmagoql.www.nju.com.    IN    A    203.73.202.80
bgeirymj.www.nju.com.    IN    A    57.113.84.31
vdjsurfc.www.nju.com.    IN    A    115.24.213.118
igmpjynb.www.nju.com.    IN    A    138.1.153.119
cdvfgpeu.www.nju.com.    IN    A    60.179.94.41
svpqfoub.www.nju.com.    IN    A    118.84.56.154
trfoxlpb.www.nju.com.    IN    A    20.17.23.195
ykntaurq.www.nju.com.    IN    A    28.144.158.185
vdcfetgr.www.nju.com.    IN    A    1.226.95.2
oxgvwafl.www.nju.com.    IN    A    198.109.22.215
plfdoysj.www.nju.com.    IN    A    169.58.1.66
yxtgvajo.www.nju.com.    IN    A    239.5.150.209
yhursvxt.www.nju.com.    IN    A    147.71.161.134
spdvbcwa.www.nju.com.    IN    A    206.225.155.222
dmukeqwr.www.nju.com.    IN    A    178.180.70.241
kjexhpvd.www.nju.com.    IN    A    121.57.198.197
rstnldag.www.nju.com.    IN    A    172.205.104.151
tbnuvirf.www.nju.com.    IN    A    19.82.163.210
ncofstmx.www.nju.com.    IN    A    155.166.175.182
rlnokpyq.www.nju.com.    IN    A    219.247.194.94
okhmcvga.www.nju.com.    IN    A    121.135.165.246
ikewmdbp.www.nju.com.    IN    A    118.93.66.51
hojewlkt.www.nju.com.    IN    A    178.125.77.42
yqberodt.www.nju.com.    IN    A    190.195.175.205
ryosghpw.www.nju.com.    IN    A    209.12.175.157
piyvelmd.www.nju.com.    IN    A    98.40.34.119
tmvpahfe.www.nju.com.    IN    A    191.149.106.179
bndueagv.www.nju.com.    IN    A    162.45.139.36
ecsuympw.www.nju.com.    IN    A    164.49.204.126
umwxihks.www.nju.com.    IN    A    93.218.180.124
xjyhqunm.www.nju.com.    IN    A    68.69.211.98
gsakfmrw.www.nju.com.    IN    A    131.62.201.211
nbcuypgj.www.nju.com.    IN    A    60.238.102.90
mpwdnjvo.www.nju.com.    IN    A    216.32.78.89
ojnypwqf.www.nju.com.    IN    A    4.223.36.187
yrpfmoic.www.nju.com.    IN    A    212.147.201.201
ucasfqye.www.nju.com.    IN    A    125.101.199.127
aroegnwi.www.nju.com.    IN    A    51.216.248.254
bvhpnyqk.www.nju.com.    IN    A    43.40.219.228
oyubtlre.www.nju.com.    IN    A    89.227.184.6
ynrvjdlm.www.nju.com.    IN    A    234.34.183.62
fojwlaxp.www.nju.com.    IN    A    175.213.165.155
wsbtiydc.www.nju.com.    IN    A    23.23.118.151
kuvjwncl.www.nju.com.    IN    A    77.187.114.109
exgumsci.www.nju.com.    IN    A    195.236.117.77
ilqawngf.www.nju.com.    IN    A    219.150.120.72
divqxwgk.www.nju.com.    IN    A    76.116.176.248
pkxmcqdg.www.nju.com.    IN    A    156.180.180.217
vjalbwxm.www.nju.com.    IN    A    202.49.143.52
bliwahfu.www.nju.com.    IN    A    61.131.226.221
scfjreaw.www.nju.com.    IN    A    38.86.220.136
abtpmvki.www.nju.com.    IN    A    123.28.232.21
ugdxarlt.www.nju.com.    IN    A    118.5.127.0
vhjdcgyq.www.nju.com.    IN    A    152.138.65.146
ofwrdbin.www.nju.com.    IN    A    154.37.105.28
csjqveog.www.nju.com.    IN    A    182.60.8.137
antkxbrm.www.nju.com.    IN    A    216.61.245.180
xridjmeh.www.nju.com.    IN    A    156.64.203.146
hjwlgckr.www.nju.com.    IN    A    51.69.105.9
gjxckyme.www.nju.com.    IN    A    205.33.176.140
tinfbxom.www.nju.com.    IN    A    52.169.29.88
fswmketr.www.nju.com.    IN    A    114.88.130.92
qjfgystx.www.nju.com.    IN    A    49.99.55.28
atsbxqfm.www.nju.com.    IN    A    150.93.165.51
ydfguren.www.nju.com.    IN    A    201.142.49.148
sumkcwin.www.nju.com.    IN    A    176.33.39.87
voxnjsli.www.nju.com.    IN    A    212.91.106.74
kgsjoxbw.www.nju.com.    IN    A    100.248.143.69
fimuxthw.www.nju.com.    IN    A    197.63.125.118
jchysntd.www.nju.com.    IN    A    119.74.153.22
vodfxska.www.nju.com.    IN    A    161.177.125.82
agvxypkq.www.nju.com.    IN    A    66.250.196.30
qcpmtohn.www.nju.com.    IN    A    194.14.76.165
eyspvict.www.nju.com.    IN    A    253.53.102.101
smaironw.www.nju.com.    IN    A    245.173.167.223
lbojcrym.www.nju.com.    IN    A    143.230.98.65
emaiflvc.www.nju.com.    IN    A    138.188.122.246
qihyfowc.www.nju.com.    IN    A    135.17.212.203
rilvwycs.www.nju.com.    IN    A    21.107.156.83
nlwevpbh.www.nju.com.    IN    A    241.135.37.1
kmeriagq.www.nju.com.    IN    A    50.128.126.122
mcgxsqay.www.nju.com.    IN    A    171.237.239.148
rydjahgc.www.nju.com.    IN    A    14.140.117.116
ekobsxnc.www.nju.com.    IN    A    237.214.34.249
mturoivk.www.nju.com.    IN    A    180.55.167.68
yxmodqsb.www.nju.com.    IN    A    57.194.43.193
bfapwnex.www.nju.com.    IN    A    64.212.232.226
sobruxfk.www.nju.com.    IN    A    168.194.220.82
tusncldw.www.nju.com.    IN    A    194.132.196.253
viwunlxd.www.nju.com.    IN    A    177.246.9.28
ncadlfuv.www.nju.com.    IN    A    59.153.233.253
kcearmuv.www.nju.com.    IN    A    192.199.81.90
ebjnwlag.www.nju.com.    IN    A    39.250.11.181
uhmlnprg.www.nju.com.    IN    A    193.60.49.60
odcimgyp.www.nju.com.    IN    A    111.85.251.188
fqlmyuhi.www.nju.com.    IN    A    165.72.117.111
esgybunr.www.nju.com.    IN    A    191.123.243.83
geykxmcw.www.nju.com.    IN    A    202.35.123.121
hywlktpd.www.nju.com.    IN    A    146.129.6.160
iyoqlmju.www.nju.com.    IN    A    70.95.187.57
pleabxsm.www.nju.com.    IN    A    116.148.221.15
kcnmixls.www.nju.com.    IN    A    60.55.255.156
hpqxjikm.www.nju.com.    IN    A    49.17.49.3
kcsogewn.www.nju.com.    IN    A    6.203.243.107
obfnvuxs.www.nju.com.    IN    A    37.192.56.209
ifnrhyeg.www.nju.com.    IN    A    141.232.56.228
mwjtbsnu.www.nju.com.    IN    A    205.194.233.138
pkfmvwta.www.nju.com.    IN    A    137.189.202.36
xmsofrcq.www.nju.com.    IN    A    12.234.82.112
nrebfjxl.www.nju.com.    IN    A    123.13.51.167
ljkvqsdr.www.nju.com.    IN    A    228.75.227.126
mkynidpw.www.nju.com.    IN    A    149.149.226.211
qwdhifkp.www.nju.com.    IN    A    95.223.41.236
kuxhgqim.www.nju.com.    IN    A    195.58.250.39
gqlrbotj.www.nju.com.    IN    A    226.200.36.240
mvlqenok.www.nju.com.    IN    A    223.192.154.248
cxvakort.www.nju.com.    IN    A    49.161.30.95
aypumqbf.www.nju.com.    IN    A    152.103.122.107
rwfiptoq.www.nju.com.    IN    A    16.250.191.27
fyvrmail.www.nju.com.    IN    A    21.73.86.206
osyarkli.www.nju.com.    IN    A    238.193.51.188
gpfiurvm.www.nju.com.    IN    A    157.157.48.210
lywopusg.www.nju.com.    IN    A    17.0.178.137
mlqkspjv.www.nju.com.    IN    A    241.44.196.96
ifajbkcu.www.nju.com.    IN    A    158.255.10.125
dvetmxkh.www.nju.com.    IN    A    122.21.78.11
xlrcbopd.www.nju.com.    IN    A    172.119.5.26
horscdxa.www.nju.com.    IN    A    91.212.200.7
gchpwlvu.www.nju.com.    IN    A    250.215.58.178
btcgepxk.www.nju.com.    IN    A    109.79.84.118
xovtsepb.www.nju.com.    IN    A    173.175.181.45
sufgwtbe.www.nju.com.    IN    A    127.179.248.62
pligntwe.www.nju.com.    IN    A    1.138.150.184
bipswvao.www.nju.com.    IN    A    219.138.215.157
hijqwtud.www.nju.com.    IN    A    31.109.119.236
yknrwvla.www.nju.com.    IN    A    74.49.33.152
vbdjkfyw.www.nju.com.    IN    A    86.100.198.161
urfhlxty.www.nju.com.    IN    A    244.219.25.137
rhfuwcmg.www.nju.com.    IN    A    132.205.246.252
nrboyjuq.www.nju.com.    IN    A    40.253.39.46
gvqamijr.www.nju.com.    IN    A    175.179.213.37
utgwfimb.www.nju.com.    IN    A    74.86.196.189
chugmopj.www.nju.com.    IN    A    247.241.163.170
hsaonfwi.www.nju.com.    IN    A    20.118.106.139
mbrwotkd.www.nju.com.    IN    A    145.235.127.81
plbiorhe.www.nju.com.    IN    A    49.62.188.106
isnuowrc.www.nju.com.    IN    A    73.188.147.150
ofvaqbup.www.nju.com.    IN    A    195.242.13.98
ryjslpue.www.nju.com.    IN    A    1.37.58.219
ascihgbx.www.nju.com.    IN    A    181.218.236.216
dclbsknt.www.nju.com.    IN    A    169.140.185.11
rugsonih.www.nju.com.    IN    A    164.225.181.79
aimqnwos.www.nju.com.    IN    A    18.40.19.109
ukmbcjpy.www.nju.com.    IN    A    223.247.62.144
lcraudnm.www.nju.com.    IN    A    240.238.30.253
rdhegsfx.www.nju.com.    IN    A    152.212.141.62
abqncigr.www.nju.com.    IN    A    76.184.120.226
ehkaqcms.www.nju.com.    IN    A    215.220.86.247
tvrdaquo.www.nju.com.    IN    A    237.243.218.123
gncitvda.www.nju.com.    IN    A    121.42.88.144
bkwnuqms.www.nju.com.    IN    A    15.26.192.199
qxwsdcej.www.nju.com.    IN    A    235.126.119.210
quihkvad.www.nju.com.    IN    A    156.118.182.158
hqbpkofs.www.nju.com.    IN    A    151.116.134.248
qjnfxudg.www.nju.com.    IN    A    175.254.222.119
kxtacbnr.www.nju.com.    IN    A    16.56.117.185
uxpnafts.www.nju.com.    IN    A    93.167.27.57
irqluwpe.www.nju.com.    IN    A    63.102.194.4
nmbuiwqy.www.nju.com.    IN    A    103.118.162.93
siqrecgd.www.nju.com.    IN    A    197.66.101.150
uqbwosyx.www.nju.com.    IN    A    7.205.172.175
vtrxnqau.www.nju.com.    IN    A    97.146.65.5
puyvtwen.www.nju.com.    IN    A    197.125.31.95
flamswgx.www.nju.com.    IN    A    84.48.119.217
pkehytvo.www.nju.com.    IN    A    214.48.75.243
lypnbwqt.www.nju.com.    IN    A    66.128.220.230
cgsdrpnm.www.nju.com.    IN    A    140.227.169.72
arkxueth.www.nju.com.    IN    A    223.207.234.108
eioskubt.www.nju.com.    IN    A    240.155.235.160
lobwfumy.www.nju.com.    IN    A    204.161.171.26
jhuvgtew.www.nju.com.    IN    A    235.29.57.207
gpwbcjsq.www.nju.com.    IN    A    108.235.230.133
reiahnxd.www.nju.com.    IN    A    4.44.45.33
mlsbjykg.www.nju.com.    IN    A    83.186.129.186
vomxgyel.www.nju.com.    IN    A    124.240.204.114
yncjwobd.www.nju.com.    IN    A    108.118.136.246
rshewtyd.www.nju.com.    IN    A    78.128.22.247
imdktxcr.www.nju.com.    IN    A    107.49.106.70
cerpiwvu.www.nju.com.    IN    A    193.182.154.125
vqnybumi.www.nju.com.    IN    A    230.25.60.240
hbjqipyf.www.nju.com.    IN    A    2.128.248.200
gxdlijys.www.nju.com.    IN    A    26.73.98.15
bgxvutjs.www.nju.com.    IN    A    10.44.192.36
lxhkjsvr.www.nju.com.    IN    A    250.24.47.244
aegjovri.www.nju.com.    IN    A    133.51.156.52
fnkrhegc.www.nju.com.    IN    A    218.215.50.15
uahnvrpw.www.nju.com.    IN    A    205.188.202.90
jbtxqiwr.www.nju.com.    IN    A    148.177.66.149
hvcyopke.www.nju.com.    IN    A    215.235.61.217
pibojmyf.www.nju.com.    IN    A    167.246.135.236
hrxcmksp.www.nju.com.    IN    A    76.134.117.212
npxmqjab.www.nju.com.    IN    A    80.69.48.58
hcjpdeln.www.nju.com.    IN    A    108.65.189.244
iuvqbcmo.www.nju.com.    IN    A    66.106.32.1
tjqhlnmo.www.nju.com.    IN    A    230.77.144.186
tqgijfbv.www.nju.com.    IN    A    110.13.161.36
sumeftdo.www.nju.com.    IN    A    190.207.150.51
tnfuhdva.www.nju.com.    IN    A    103.113.187.46
ihmwgbnk.www.nju.com.    IN    A    64.77.61.243
ywqldcgi.www.nju.com.    IN    A    196.162.134.182
fmbvrhsq.www.nju.com.    IN    A    120.109.23.20
ajwsmpqk.www.nju.com.    IN    A    177.14.117.146
ygqopxkl.www.nju.com.    IN    A    239.190.153.207
sthdjyav.www.nju.com.    IN    A    130.187.179.218
wnxmpkst.www.nju.com.    IN    A    129.44.194.169
fpderulk.www.nju.com.    IN    A    188.42.80.228
vpnadqtg.www.nju.com.    IN    A    94.3.201.27
lpmvdaqt.www.nju.com.    IN    A    23.57.94.9
ltwpmybu.www.nju.com.    IN    A    157.135.169.58
nbywucak.www.nju.com.    IN    A    149.167.187.138
fgyteqjb.www.nju.com.    IN    A    74.64.167.178
toipnwxu.www.nju.com.    IN    A    86.186.241.29
plcrejmn.www.nju.com.    IN    A    233.15.194.133
kwialnfh.www.nju.com.    IN    A    46.199.249.243
kejruftl.www.nju.com.    IN    A    29.255.164.28
rinuqlft.www.nju.com.    IN    A    201.87.24.155
tpfkoesa.www.nju.com.    IN    A    203.85.202.202
uytrnxol.www.nju.com.    IN    A    220.146.40.113
hminurfe.www.nju.com.    IN    A    187.252.181.188
tjngucex.www.nju.com.    IN    A    35.63.147.5
mdqyhxna.www.nju.com.    IN    A    184.185.112.176
isntmjrk.www.nju.com.    IN    A    75.99.229.218
ipvygmlj.www.nju.com.    IN    A    151.93.144.145
wmlgtvsi.www.nju.com.    IN    A    108.44.70.164
opqakicu.www.nju.com.    IN    A    61.226.64.253
jgtvmlwk.www.nju.com.    IN    A    89.95.82.198
nomiqjrb.www.nju.com.    IN    A    22.13.193.156
udogaycb.www.nju.com.    IN    A    227.254.56.30
ilrvxjkh.www.nju.com.    IN    A    202.159.102.150
qxwbiskd.www.nju.com.    IN    A    226.14.90.182
jmhrsbel.www.nju.com.    IN    A    41.108.194.69
ijtgmdbe.www.nju.com.    IN    A    224.120.146.164
irtfogmq.www.nju.com.    IN    A    112.71.158.125
fdqelwbp.www.nju.com.    IN    A    115.188.146.77
fxghcarw.www.nju.com.    IN    A    247.210.99.4
byleovkt.www.nju.com.    IN    A    32.85.8.143
dnklhxru.www.nju.com.    IN    A    164.109.239.48
eytiwrqa.www.nju.com.    IN    A    127.110.31.126
ptgejvwo.www.nju.com.    IN    A    243.35.16.202
wcrkgndb.www.nju.com.    IN    A    111.186.54.29
kwjclstp.www.nju.com.    IN    A    128.183.101.31
suonlgcm.www.nju.com.    IN    A    90.203.188.210
iqksrbuy.www.nju.com.    IN    A    108.44.69.42
ptwnmfyv.www.nju.com.    IN    A    47.131.48.219
mwqciuty.www.nju.com.    IN    A    145.113.76.8
mhtwlesx.www.nju.com.    IN    A    163.226.178.175
agdksrnu.www.nju.com.    IN    A    51.23.2.249
vgxeukij.www.nju.com.    IN    A    79.76.254.80
scfpwbte.www.nju.com.    IN    A    47.8.203.88
gsdacofy.www.nju.com.    IN    A    146.206.221.221
lxtarvfi.www.nju.com.    IN    A    205.193.149.231
gdicmujt.www.nju.com.    IN    A    244.89.73.72
kariscnq.www.nju.com.    IN    A    55.13.244.59
drmvfwsk.www.nju.com.    IN    A    189.13.175.46
vpruqgwe.www.nju.com.    IN    A    218.219.33.243
lpeskmti.www.nju.com.    IN    A    112.68.169.237
sjiucaqr.www.nju.com.    IN    A    159.19.100.27
uyxbvagt.www.nju.com.    IN    A    163.52.149.226
xwhkvuma.www.nju.com.    IN    A    128.244.64.56
mldbsuaj.www.nju.com.    IN    A    169.247.50.33
codxkatq.www.nju.com.    IN    A    204.60.127.241
yfbphvur.www.nju.com.    IN    A    86.215.180.221
vemwkiug.www.nju.com.    IN    A    87.150.233.251
lctnsmeq.www.nju.com.    IN    A    83.217.42.83
vesidhpf.www.nju.com.    IN    A    18.137.45.92
norxpwcj.www.nju.com.    IN    A    109.57.107.236
bsydpmnf.www.nju.com.    IN    A    1.229.123.80
aqxkidyl.www.nju.com.    IN    A    96.10.236.188
ondbhlkt.www.nju.com.    IN    A    57.27.101.143
maweukgt.www.nju.com.    IN    A    45.241.246.74
gdnfraci.www.nju.com.    IN    A    93.181.204.79
vjpckfyw.www.nju.com.    IN    A    231.198.78.32
iotjpgds.www.nju.com.    IN    A    95.249.58.106
wmfrockh.www.nju.com.    IN    A    182.94.29.143
sredgupm.www.nju.com.    IN    A    242.119.238.83
qcpturvh.www.nju.com.    IN    A    80.87.9.183
mtfocise.www.nju.com.    IN    A    40.46.144.230
iqamwykp.www.nju.com.    IN    A    3.26.117.174
jutmgfao.www.nju.com.    IN    A    82.146.58.69
eqcsmpjt.www.nju.com.    IN    A    101.223.249.21
wphlysur.www.nju.com.    IN    A    159.42.24.140
nrmxlwyj.www.nju.com.    IN    A    105.160.240.13
jeacbivu.www.nju.com.    IN    A    217.204.240.94
kfrshaqj.www.nju.com.    IN    A    67.50.249.201
kaxvrmph.www.nju.com.    IN    A    6.200.102.17
mfuaisyk.www.nju.com.    IN    A    23.65.120.129
ecqlkuws.www.nju.com.    IN    A    47.110.239.204
vohjytbi.www.nju.com.    IN    A    181.92.39.234
xykjdlmr.www.nju.com.    IN    A    107.174.248.43
hranusxw.www.nju.com.    IN    A    211.232.60.219
odaxpwes.www.nju.com.    IN    A    22.161.200.180
uihjpscm.www.nju.com.    IN    A    157.204.11.251
ytnmuhsc.www.nju.com.    IN    A    85.219.69.238
medqcuvw.www.nju.com.    IN    A    45.182.24.120
brexlaon.www.nju.com.    IN    A    143.124.104.111
xmljsqwk.www.nju.com.    IN    A    163.247.75.43
myekbuxf.www.nju.com.    IN    A    125.242.166.242
nyfajwmq.www.nju.com.    IN    A    106.98.26.1
xmcgfwkr.www.nju.com.    IN    A    180.187.24.81
mykgqbds.www.nju.com.    IN    A    28.185.172.65
pvqmwurx.www.nju.com.    IN    A    17.32.58.56
egqlrjdk.www.nju.com.    IN    A    205.112.129.127
kfegblid.www.nju.com.    IN    A    185.74.23.31
kqdvagpi.www.nju.com.    IN    A    236.234.220.100
wsteanrd.www.nju.com.    IN    A    26.200.25.181
uokjrwfc.www.nju.com.    IN    A    163.65.211.48
dvifqxug.www.nju.com.    IN    A    51.104.21.253
upmxqdoj.www.nju.com.    IN    A    149.87.146.179
clvbqkdj.www.nju.com.    IN    A    7.63.73.215
psrdngym.www.nju.com.    IN    A    175.50.137.178
cxgrpfns.www.nju.com.    IN    A    212.182.250.33
yifrawlo.www.nju.com.    IN    A    30.121.185.110
gmuodhkw.www.nju.com.    IN    A    155.66.120.19
jedockbx.www.nju.com.    IN    A    232.232.191.15
ylaivgpk.www.nju.com.    IN    A    239.105.143.242
vnjraluh.www.nju.com.    IN    A    255.77.40.0
cwvkseqb.www.nju.com.    IN    A    204.137.65.247
vkgmjxep.www.nju.com.    IN    A    152.71.35.109
wmfxspvt.www.nju.com.    IN    A    138.93.107.221
piavcjys.www.nju.com.    IN    A    74.39.112.60
dlchrfxb.www.nju.com.    IN    A    51.244.181.160
kaeqbydh.www.nju.com.    IN    A    187.113.244.5
okiyuhdv.www.nju.com.    IN    A    129.220.112.147
gjtuqybd.www.nju.com.    IN    A    191.197.89.225
ontybpjc.www.nju.com.    IN    A    95.117.41.109
wpmuxvsg.www.nju.com.    IN    A    151.1.67.94
daxrkpsl.www.nju.com.    IN    A    128.55.255.209
kmvelpah.www.nju.com.    IN    A    49.231.94.143
plbhtnxa.www.nju.com.    IN    A    49.118.236.75
oevgatly.www.nju.com.    IN    A    171.3.133.36
xilumobw.www.nju.com.    IN    A    15.242.159.219
nxoglmvd.www.nju.com.    IN    A    21.221.99.226
elmwujtf.www.nju.com.    IN    A    204.9.108.202
phygxnqw.www.nju.com.    IN    A    144.76.221.108
tvwumikg.www.nju.com.    IN    A    185.236.249.231
icfnlmjd.www.nju.com.    IN    A    138.30.198.60
jvxgecym.www.nju.com.    IN    A    186.123.129.99
dyeqjolw.www.nju.com.    IN    A    230.79.30.192
icmdrotg.www.nju.com.    IN    A    41.249.120.237
mwqartfk.www.nju.com.    IN    A    119.62.176.113
eacshvfr.www.nju.com.    IN    A    157.122.90.101
hdtlbvkm.www.nju.com.    IN    A    34.163.15.23
wbkjthvo.www.nju.com.    IN    A    81.199.51.36
pbcgjurf.www.nju.com.    IN    A    125.54.35.106
hdqcswig.www.nju.com.    IN    A    129.93.115.47
pcsdqlub.www.nju.com.    IN    A    234.46.228.239
upvaldgw.www.nju.com.    IN    A    175.184.235.170
bguahonj.www.nju.com.    IN    A    143.226.124.94
qkupobfr.www.nju.com.    IN    A    223.56.124.144
hbmanfgt.www.nju.com.    IN    A    140.32.141.43
njdqxmte.www.nju.com.    IN    A    94.61.12.18
mpqoxrly.www.nju.com.    IN    A    13.135.75.101
omhlxwbj.www.nju.com.    IN    A    218.46.0.220
gsifarcl.www.nju.com.    IN    A    81.164.135.245
ghljcyek.www.nju.com.    IN    A    70.244.138.0
wkaibxqe.www.nju.com.    IN    A    243.46.49.122
ysimhglf.www.nju.com.    IN    A    152.237.220.114
jrwloxbk.www.nju.com.    IN    A    86.91.10.108
albygwqu.www.nju.com.    IN    A    50.227.176.125
fhveciru.www.nju.com.    IN    A    15.170.10.160
mepncyhk.www.nju.com.    IN    A    183.89.98.52
hutjndry.www.nju.com.    IN    A    15.152.1.45
lquxagjb.www.nju.com.    IN    A    234.53.126.57
djwcvhxb.www.nju.com.    IN    A    79.11.6.3
jaobgriw.www.nju.com.    IN    A    12.0.241.7
ljywsibt.www.nju.com.    IN    A    193.243.165.228
pokimqnr.www.nju.com.    IN    A    45.96.239.172
wvnqxkfa.www.nju.com.    IN    A    241.173.240.28
afhctypq.www.nju.com.    IN    A    112.248.153.104
pjrmevxg.www.nju.com.    IN    A    114.41.54.92
dlsgkenv.www.nju.com.    IN    A    148.112.111.42
cqiagkup.www.nju.com.    IN    A    96.8.181.241
dyapvqbe.www.nju.com.    IN    A    196.160.55.186
cgntjxiy.www.nju.com.    IN    A    38.8.65.191
bmnavqpj.www.nju.com.    IN    A    14.92.215.208
akvdlycs.www.nju.com.    IN    A    17.72.137.16
oepksqyu.www.nju.com.    IN    A    164.18.183.33
eubyqvgn.www.nju.com.    IN    A    138.139.11.249
bkstndvc.www.nju.com.    IN    A    4.190.176.113
garjenwy.www.nju.com.    IN    A    176.236.255.201
wbdfoaig.www.nju.com.    IN    A    241.19.206.139
