sci.cqu.com.	14400	IN	SOA	ns1.sci.cqu.com. james.cqu.edu. 19122302 14400 3600 2419200 14400
sci.cqu.com.		    IN	NS ns1.sci.cqu.com.
hnkwmcba.sci.cqu.com.    IN    A    156.94.38.143
ioxretaf.sci.cqu.com.    IN    A    99.106.218.94
eibfogwd.sci.cqu.com.    IN    A    50.204.86.79
helxfkco.sci.cqu.com.    IN    A    252.179.241.91
ybnrcpsg.sci.cqu.com.    IN    A    127.187.17.69
gtmjihxy.sci.cqu.com.    IN    A    172.49.26.174
pyhotrms.sci.cqu.com.    IN    A    245.248.54.66
teogdqmc.sci.cqu.com.    IN    A    212.191.12.218
ixpaebcj.sci.cqu.com.    IN    A    174.241.139.79
tfndejgl.sci.cqu.com.    IN    A    41.31.57.115
canqowil.sci.cqu.com.    IN    A    179.195.209.13
qsbkaovi.sci.cqu.com.    IN    A    153.199.253.230
hcqbmpyf.sci.cqu.com.    IN    A    252.101.246.169
bvksnprg.sci.cqu.com.    IN    A    255.89.218.152
wdhjgtvq.sci.cqu.com.    IN    A    8.147.55.228
dipbhumf.sci.cqu.com.    IN    A    126.193.82.79
jyrbnish.sci.cqu.com.    IN    A    21.128.167.150
oxvfwumd.sci.cqu.com.    IN    A    60.16.230.57
ghifjvmb.sci.cqu.com.    IN    A    126.229.73.219
xbkhnpdu.sci.cqu.com.    IN    A    209.6.238.173
ibvhacum.sci.cqu.com.    IN    A    198.81.152.110
mpwskyev.sci.cqu.com.    IN    A    203.71.52.182
oxlwrdnf.sci.cqu.com.    IN    A    110.62.71.236
dwqmjsth.sci.cqu.com.    IN    A    175.73.125.82
ysabxhkw.sci.cqu.com.    IN    A    36.211.164.20
tfbdsmnj.sci.cqu.com.    IN    A    141.56.142.253
hbmovwxl.sci.cqu.com.    IN    A    165.99.177.183
xhcifbea.sci.cqu.com.    IN    A    216.191.94.83
vrfdmewa.sci.cqu.com.    IN    A    178.181.39.164
alpkhoxv.sci.cqu.com.    IN    A    60.185.143.70
qldtsekn.sci.cqu.com.    IN    A    91.143.176.198
gmuyxqcb.sci.cqu.com.    IN    A    109.170.176.202
qexnpklj.sci.cqu.com.    IN    A    9.182.251.197
sxgaluid.sci.cqu.com.    IN    A    31.115.71.135
xvsmpqgc.sci.cqu.com.    IN    A    9.19.34.177
dwemrbvp.sci.cqu.com.    IN    A    74.132.177.206
qlftawbo.sci.cqu.com.    IN    A    143.45.223.180
hgdxmtnu.sci.cqu.com.    IN    A    14.112.185.244
hryomitn.sci.cqu.com.    IN    A    14.173.46.137
uambqvjo.sci.cqu.com.    IN    A    190.165.222.189
qiwuxysg.sci.cqu.com.    IN    A    137.90.63.252
pbutadmj.sci.cqu.com.    IN    A    193.58.13.147
yqsmrkdo.sci.cqu.com.    IN    A    189.123.114.247
uqxikegs.sci.cqu.com.    IN    A    26.153.233.109
mqioeahc.sci.cqu.com.    IN    A    30.11.238.73
legrdofb.sci.cqu.com.    IN    A    102.210.7.183
sagnfhbw.sci.cqu.com.    IN    A    183.1.65.199
afkecpiy.sci.cqu.com.    IN    A    39.240.73.127
xnauilsc.sci.cqu.com.    IN    A    152.101.126.80
ljqdsipb.sci.cqu.com.    IN    A    228.202.79.14
mivbchyf.sci.cqu.com.    IN    A    238.179.80.125
lhfaukdv.sci.cqu.com.    IN    A    170.74.81.225
gevctdsp.sci.cqu.com.    IN    A    103.70.64.247
mjqkfdpg.sci.cqu.com.    IN    A    152.249.69.242
btuvrpjf.sci.cqu.com.    IN    A    232.82.122.44
cpankjmu.sci.cqu.com.    IN    A    245.253.58.94
esbminpg.sci.cqu.com.    IN    A    247.33.204.12
rtlphunc.sci.cqu.com.    IN    A    233.198.45.198
nvekuqot.sci.cqu.com.    IN    A    41.144.114.49
fgwpvaed.sci.cqu.com.    IN    A    149.138.158.178
tlnajxuv.sci.cqu.com.    IN    A    212.136.254.208
bixadvye.sci.cqu.com.    IN    A    167.62.65.71
bwlaxtie.sci.cqu.com.    IN    A    130.34.195.156
iskqedfn.sci.cqu.com.    IN    A    85.168.211.184
qeatrplf.sci.cqu.com.    IN    A    189.251.197.240
xgfawind.sci.cqu.com.    IN    A    110.180.83.67
qrxlhuyk.sci.cqu.com.    IN    A    12.188.201.75
ujrcyhsn.sci.cqu.com.    IN    A    127.126.147.84
fgbumreh.sci.cqu.com.    IN    A    65.173.16.93
byrwpndo.sci.cqu.com.    IN    A    212.191.166.145
xlwksmep.sci.cqu.com.    IN    A    247.213.190.88
rvpqgiwn.sci.cqu.com.    IN    A    234.197.213.63
ywugjbtd.sci.cqu.com.    IN    A    20.51.99.59
vfqjwcib.sci.cqu.com.    IN    A    112.31.121.155
turywldf.sci.cqu.com.    IN    A    56.197.77.212
pywkormd.sci.cqu.com.    IN    A    13.29.149.154
omajdqcu.sci.cqu.com.    IN    A    25.243.73.174
jceofmsv.sci.cqu.com.    IN    A    184.103.6.244
mybwrndl.sci.cqu.com.    IN    A    217.231.8.158
ecljpkmu.sci.cqu.com.    IN    A    237.178.104.79
sxcbjivn.sci.cqu.com.    IN    A    237.166.211.89
necifbvp.sci.cqu.com.    IN    A    245.251.151.85
iwfejdpr.sci.cqu.com.    IN    A    193.90.226.25
krbthqli.sci.cqu.com.    IN    A    116.244.198.193
kgrvfinh.sci.cqu.com.    IN    A    226.19.94.26
ytohcksw.sci.cqu.com.    IN    A    109.248.94.181
ldtphfjr.sci.cqu.com.    IN    A    250.131.15.123
ucawjihy.sci.cqu.com.    IN    A    80.3.60.89
wdcgblqn.sci.cqu.com.    IN    A    192.110.117.153
qlugtweh.sci.cqu.com.    IN    A    74.148.135.1
pvdjixkl.sci.cqu.com.    IN    A    160.164.185.62
faptejno.sci.cqu.com.    IN    A    18.55.149.207
tcqumpxw.sci.cqu.com.    IN    A    245.237.65.131
dxqclkyu.sci.cqu.com.    IN    A    82.90.13.250
vsxpwbcj.sci.cqu.com.    IN    A    148.116.48.122
uytvlfar.sci.cqu.com.    IN    A    56.2.155.33
pbqwhxmi.sci.cqu.com.    IN    A    57.48.100.79
otusnhdl.sci.cqu.com.    IN    A    49.152.87.49
mpdwlaci.sci.cqu.com.    IN    A    55.234.215.54
ufhmicnt.sci.cqu.com.    IN    A    40.0.158.102
kyqawdbv.sci.cqu.com.    IN    A    176.39.99.174
vfswdybx.sci.cqu.com.    IN    A    203.135.28.159
hfudsnip.sci.cqu.com.    IN    A    151.2.39.49
fbgltqcu.sci.cqu.com.    IN    A    58.227.207.184
imblfvds.sci.cqu.com.    IN    A    39.113.122.30
fldikeac.sci.cqu.com.    IN    A    91.53.137.170
pdwykvnx.sci.cqu.com.    IN    A    140.5.242.249
polxqdcn.sci.cqu.com.    IN    A    135.84.106.162
btrquxvd.sci.cqu.com.    IN    A    48.104.97.58
ldaysrqp.sci.cqu.com.    IN    A    145.170.61.80
nrqplsuf.sci.cqu.com.    IN    A    114.86.91.99
krglxanq.sci.cqu.com.    IN    A    92.125.105.61
lmekqvng.sci.cqu.com.    IN    A    120.51.185.119
rcsuktlb.sci.cqu.com.    IN    A    251.79.189.153
sfoyhnbc.sci.cqu.com.    IN    A    56.123.157.201
eiugfrox.sci.cqu.com.    IN    A    27.163.204.157
bmwcoixs.sci.cqu.com.    IN    A    148.147.178.203
kvmieyuj.sci.cqu.com.    IN    A    111.121.98.245
pylbamut.sci.cqu.com.    IN    A    224.72.61.103
vsywtjlx.sci.cqu.com.    IN    A    67.72.121.65
ocputnaw.sci.cqu.com.    IN    A    53.168.255.109
whxvufmb.sci.cqu.com.    IN    A    143.24.192.87
kxrgcwls.sci.cqu.com.    IN    A    19.145.91.209
wqsiulon.sci.cqu.com.    IN    A    54.119.248.86
mtvujprw.sci.cqu.com.    IN    A    102.191.89.27
nbtkypoi.sci.cqu.com.    IN    A    241.17.132.168
ecdrhmjg.sci.cqu.com.    IN    A    64.240.24.186
tybfadko.sci.cqu.com.    IN    A    114.113.30.114
xhtkdfpo.sci.cqu.com.    IN    A    126.152.97.31
tehdgmlc.sci.cqu.com.    IN    A    173.70.239.155
uevnbrot.sci.cqu.com.    IN    A    65.112.183.215
mxvcqiow.sci.cqu.com.    IN    A    204.82.199.7
hpxbgaec.sci.cqu.com.    IN    A    178.200.62.18
vlcrunph.sci.cqu.com.    IN    A    162.137.2.227
qmgiykxe.sci.cqu.com.    IN    A    220.30.165.159
jepxsoir.sci.cqu.com.    IN    A    214.100.74.169
mywuxhbj.sci.cqu.com.    IN    A    198.46.24.194
qdgymech.sci.cqu.com.    IN    A    83.206.132.225
vbaihjlf.sci.cqu.com.    IN    A    11.57.56.61
xnmqajkb.sci.cqu.com.    IN    A    74.202.253.62
ikqtldvf.sci.cqu.com.    IN    A    108.139.55.96
twlbpfxd.sci.cqu.com.    IN    A    135.79.142.241
tfhqdbjg.sci.cqu.com.    IN    A    81.105.52.210
hrensqtk.sci.cqu.com.    IN    A    13.97.47.86
ftpnrqjd.sci.cqu.com.    IN    A    117.210.38.3
woudkbme.sci.cqu.com.    IN    A    108.237.254.98
ufnmwjeq.sci.cqu.com.    IN    A    203.191.246.50
rbmoehkx.sci.cqu.com.    IN    A    57.117.15.173
weuhjkvg.sci.cqu.com.    IN    A    182.84.120.29
txfnajlr.sci.cqu.com.    IN    A    116.158.76.224
vepfkoqn.sci.cqu.com.    IN    A    10.245.150.32
rlycqhjw.sci.cqu.com.    IN    A    149.192.240.192
adgwykbj.sci.cqu.com.    IN    A    178.176.249.169
oxvpwkdr.sci.cqu.com.    IN    A    131.150.76.184
wxthrgbl.sci.cqu.com.    IN    A    219.101.60.122
nrvmcsia.sci.cqu.com.    IN    A    157.238.48.136
wuofjqli.sci.cqu.com.    IN    A    194.226.58.49
skhjbgnw.sci.cqu.com.    IN    A    107.46.72.18
ptdnmbre.sci.cqu.com.    IN    A    152.168.167.220
foxcjibu.sci.cqu.com.    IN    A    255.203.125.249
sxktaqlb.sci.cqu.com.    IN    A    144.174.122.248
jmobunpk.sci.cqu.com.    IN    A    227.227.29.28
oskpqhxf.sci.cqu.com.    IN    A    164.130.36.153
bgpmichj.sci.cqu.com.    IN    A    187.60.159.16
fbgumxej.sci.cqu.com.    IN    A    101.160.92.147
mcasodvi.sci.cqu.com.    IN    A    139.120.92.205
iaylpjhv.sci.cqu.com.    IN    A    242.19.203.76
wrgtqxbi.sci.cqu.com.    IN    A    190.12.227.41
ertmsbho.sci.cqu.com.    IN    A    246.182.53.146
lsjumeri.sci.cqu.com.    IN    A    42.87.155.119
meqvosyt.sci.cqu.com.    IN    A    20.33.140.138
khoaxydm.sci.cqu.com.    IN    A    115.133.39.27
wmetfosj.sci.cqu.com.    IN    A    92.124.235.126
lsmkdgev.sci.cqu.com.    IN    A    1.242.216.203
dxjtwlnf.sci.cqu.com.    IN    A    144.90.182.145
iwpetshq.sci.cqu.com.    IN    A    80.73.97.2
qjsgmfuk.sci.cqu.com.    IN    A    213.252.136.117
evnoxcrj.sci.cqu.com.    IN    A    158.240.108.112
pclbkstn.sci.cqu.com.    IN    A    41.102.29.160
tpvfqywi.sci.cqu.com.    IN    A    121.227.198.24
jtewsaqm.sci.cqu.com.    IN    A    196.185.141.213
obkpwxiu.sci.cqu.com.    IN    A    243.184.238.16
nkesqrdf.sci.cqu.com.    IN    A    129.131.94.155
nuqwvgxm.sci.cqu.com.    IN    A    4.244.247.97
crjitgxp.sci.cqu.com.    IN    A    230.3.233.255
xjesvgop.sci.cqu.com.    IN    A    143.125.81.192
ijrmnwpq.sci.cqu.com.    IN    A    246.244.218.15
ajgydcfw.sci.cqu.com.    IN    A    89.85.36.238
pxsdwryi.sci.cqu.com.    IN    A    76.238.97.10
ueocfsrg.sci.cqu.com.    IN    A    172.196.44.102
ytbvdnjr.sci.cqu.com.    IN    A    65.122.192.94
rxlcupmt.sci.cqu.com.    IN    A    213.87.59.131
dlfvswep.sci.cqu.com.    IN    A    242.42.85.15
xmhctjvu.sci.cqu.com.    IN    A    37.71.126.138
doupxbym.sci.cqu.com.    IN    A    27.87.116.88
iteyrcbh.sci.cqu.com.    IN    A    236.104.21.136
kjamlowp.sci.cqu.com.    IN    A    39.158.41.12
vbpiqefx.sci.cqu.com.    IN    A    35.58.143.245
hpuiwvtg.sci.cqu.com.    IN    A    151.64.188.150
bnsvhlom.sci.cqu.com.    IN    A    218.154.43.223
prjwanof.sci.cqu.com.    IN    A    228.0.226.63
gvyejbcf.sci.cqu.com.    IN    A    138.169.5.119
wqkhagtd.sci.cqu.com.    IN    A    119.248.82.186
cndmyvxu.sci.cqu.com.    IN    A    238.80.229.245
pgbifhxy.sci.cqu.com.    IN    A    74.23.144.134
pjlfuiym.sci.cqu.com.    IN    A    129.220.217.113
sowdjenl.sci.cqu.com.    IN    A    187.3.215.205
wedunjcr.sci.cqu.com.    IN    A    12.154.107.179
tcgdfwyr.sci.cqu.com.    IN    A    47.79.177.114
apjwirys.sci.cqu.com.    IN    A    75.23.154.84
iasopehb.sci.cqu.com.    IN    A    154.99.157.132
neurcbsg.sci.cqu.com.    IN    A    84.209.236.195
xhwudtki.sci.cqu.com.    IN    A    226.111.233.217
camvnjod.sci.cqu.com.    IN    A    87.117.215.175
orwgupch.sci.cqu.com.    IN    A    131.207.193.192
gpqudrmk.sci.cqu.com.    IN    A    222.76.128.152
rumopykq.sci.cqu.com.    IN    A    145.152.143.7
bcpgawjv.sci.cqu.com.    IN    A    4.59.75.171
cqfxltjp.sci.cqu.com.    IN    A    112.86.178.17
vdreyqok.sci.cqu.com.    IN    A    4.15.21.29
wxrbtfyk.sci.cqu.com.    IN    A    181.40.181.123
yctfkubo.sci.cqu.com.    IN    A    76.122.1.36
dwpqjimb.sci.cqu.com.    IN    A    104.173.43.179
mfplxncy.sci.cqu.com.    IN    A    238.254.43.48
mvayrslc.sci.cqu.com.    IN    A    53.39.222.27
snohwufr.sci.cqu.com.    IN    A    71.221.123.250
xumjkwbh.sci.cqu.com.    IN    A    8.6.103.161
sxfqjptw.sci.cqu.com.    IN    A    68.251.177.36
uknpwqcf.sci.cqu.com.    IN    A    26.154.100.136
mhwcdols.sci.cqu.com.    IN    A    41.135.230.199
iapxwhms.sci.cqu.com.    IN    A    170.235.159.11
bajnqkhp.sci.cqu.com.    IN    A    149.105.250.180
avxrwnco.sci.cqu.com.    IN    A    144.151.175.14
xecmgnwt.sci.cqu.com.    IN    A    202.223.85.236
felyhint.sci.cqu.com.    IN    A    40.194.12.83
xdngoacv.sci.cqu.com.    IN    A    46.224.49.158
ahcwbsmq.sci.cqu.com.    IN    A    208.41.55.95
xljmvcsa.sci.cqu.com.    IN    A    223.112.48.131
ktodfcjx.sci.cqu.com.    IN    A    205.230.207.174
kirmceul.sci.cqu.com.    IN    A    244.30.247.251
laiwcxgv.sci.cqu.com.    IN    A    6.146.29.237
bqnevtik.sci.cqu.com.    IN    A    160.150.149.217
objklicg.sci.cqu.com.    IN    A    244.100.39.174
amtguxby.sci.cqu.com.    IN    A    58.190.96.15
emtsqhjb.sci.cqu.com.    IN    A    158.235.104.137
xlreqynm.sci.cqu.com.    IN    A    2.232.171.220
fqibrdyo.sci.cqu.com.    IN    A    234.44.207.42
bkemcsqu.sci.cqu.com.    IN    A    179.42.165.159
xmesvogd.sci.cqu.com.    IN    A    86.130.69.75
kouahwjb.sci.cqu.com.    IN    A    21.186.218.72
aevtbnxd.sci.cqu.com.    IN    A    233.6.108.185
bwupvjnd.sci.cqu.com.    IN    A    210.38.221.144
kwmxpdgf.sci.cqu.com.    IN    A    50.35.216.80
sfbvrklo.sci.cqu.com.    IN    A    18.245.21.178
trcpofdv.sci.cqu.com.    IN    A    245.85.130.3
ykxpwect.sci.cqu.com.    IN    A    11.118.94.208
wtkvdmqb.sci.cqu.com.    IN    A    255.57.209.224
uyfrmwdi.sci.cqu.com.    IN    A    16.103.124.116
vqptbxgn.sci.cqu.com.    IN    A    233.243.44.169
cxsbrgmw.sci.cqu.com.    IN    A    157.244.27.187
kjhnsfdy.sci.cqu.com.    IN    A    128.7.165.71
gsyobalp.sci.cqu.com.    IN    A    3.106.174.52
vqhbsteu.sci.cqu.com.    IN    A    69.70.42.201
xejgnwov.sci.cqu.com.    IN    A    166.124.46.160
gmdteopf.sci.cqu.com.    IN    A    33.167.248.207
lfxybmnc.sci.cqu.com.    IN    A    110.164.226.45
mywujcfg.sci.cqu.com.    IN    A    196.137.36.198
qvsutrpe.sci.cqu.com.    IN    A    180.122.118.225
sajiogqw.sci.cqu.com.    IN    A    201.191.79.228
xdbeuqch.sci.cqu.com.    IN    A    199.139.83.97
dgustfyq.sci.cqu.com.    IN    A    236.25.37.220
qdthrnsx.sci.cqu.com.    IN    A    36.15.128.24
mbinqayf.sci.cqu.com.    IN    A    180.233.192.11
mguxvkor.sci.cqu.com.    IN    A    228.66.34.167
lbeuwymr.sci.cqu.com.    IN    A    8.249.170.129
sacyorxl.sci.cqu.com.    IN    A    112.251.57.127
qmjgsoin.sci.cqu.com.    IN    A    103.63.4.167
ygepfvhi.sci.cqu.com.    IN    A    24.13.190.11
iegkvwab.sci.cqu.com.    IN    A    227.46.127.230
bowpgxjf.sci.cqu.com.    IN    A    228.227.43.142
nuftskxb.sci.cqu.com.    IN    A    245.170.50.247
orncmuby.sci.cqu.com.    IN    A    53.96.70.234
rktolvch.sci.cqu.com.    IN    A    216.139.21.253
oaxnhrjs.sci.cqu.com.    IN    A    234.209.213.62
dxthvafe.sci.cqu.com.    IN    A    42.224.124.128
ftljrnma.sci.cqu.com.    IN    A    205.52.108.64
trujkvle.sci.cqu.com.    IN    A    127.230.125.93
kfuvlwbt.sci.cqu.com.    IN    A    122.42.169.13
slyhefwn.sci.cqu.com.    IN    A    230.190.226.186
wvknsajo.sci.cqu.com.    IN    A    26.100.120.47
vegkcqsu.sci.cqu.com.    IN    A    196.29.192.30
unxbvijr.sci.cqu.com.    IN    A    160.90.105.88
xuhlsnab.sci.cqu.com.    IN    A    218.194.235.67
ljyhxuvt.sci.cqu.com.    IN    A    239.4.24.246
ldujfavt.sci.cqu.com.    IN    A    155.7.184.39
xwuliheg.sci.cqu.com.    IN    A    57.139.12.239
tpoqlgds.sci.cqu.com.    IN    A    77.172.71.71
vocurfwg.sci.cqu.com.    IN    A    12.89.182.197
krdfloyn.sci.cqu.com.    IN    A    155.139.213.81
ilatvwns.sci.cqu.com.    IN    A    181.121.133.27
nayixuvf.sci.cqu.com.    IN    A    18.9.139.46
eybxgkca.sci.cqu.com.    IN    A    141.151.38.141
lwfigndp.sci.cqu.com.    IN    A    2.225.49.219
tiecwbfq.sci.cqu.com.    IN    A    44.109.227.35
sthbfcuq.sci.cqu.com.    IN    A    118.248.70.74
rqoxyktw.sci.cqu.com.    IN    A    36.233.202.149
dltymjou.sci.cqu.com.    IN    A    247.35.199.161
biyxjmow.sci.cqu.com.    IN    A    93.160.179.50
fphxcvsr.sci.cqu.com.    IN    A    32.52.199.100
nyeqglfx.sci.cqu.com.    IN    A    63.25.160.41
dnobphci.sci.cqu.com.    IN    A    132.135.181.105
thsaxeyl.sci.cqu.com.    IN    A    22.63.37.244
goswndti.sci.cqu.com.    IN    A    164.106.28.252
sidvukag.sci.cqu.com.    IN    A    189.35.172.229
tlsgexoq.sci.cqu.com.    IN    A    204.99.98.209
bitelkgj.sci.cqu.com.    IN    A    202.119.104.55
qyfwxhbk.sci.cqu.com.    IN    A    13.200.225.195
skmfxvjt.sci.cqu.com.    IN    A    59.93.132.178
vgymocxa.sci.cqu.com.    IN    A    116.93.153.3
aygkvmcn.sci.cqu.com.    IN    A    61.243.63.185
kfcdamgp.sci.cqu.com.    IN    A    248.210.25.21
fswkrgqv.sci.cqu.com.    IN    A    92.154.224.205
npuqeorx.sci.cqu.com.    IN    A    150.201.238.208
wepuysqx.sci.cqu.com.    IN    A    212.151.78.24
bohkilwp.sci.cqu.com.    IN    A    98.185.110.27
bsjvalgr.sci.cqu.com.    IN    A    227.1.46.73
imprwade.sci.cqu.com.    IN    A    252.4.35.136
ldembaux.sci.cqu.com.    IN    A    167.211.238.240
cahltorn.sci.cqu.com.    IN    A    0.35.67.242
cafqismt.sci.cqu.com.    IN    A    166.101.31.42
bqhwvkgy.sci.cqu.com.    IN    A    241.83.236.133
plvauykc.sci.cqu.com.    IN    A    200.152.106.152
teixgqwh.sci.cqu.com.    IN    A    56.189.79.88
tdbmfgon.sci.cqu.com.    IN    A    201.235.1.75
ynculgad.sci.cqu.com.    IN    A    94.223.115.252
ijamgcvn.sci.cqu.com.    IN    A    234.187.194.207
nucqotpi.sci.cqu.com.    IN    A    123.20.9.136
okiwbetv.sci.cqu.com.    IN    A    53.236.177.82
nbgqmfhw.sci.cqu.com.    IN    A    246.45.179.102
frouhega.sci.cqu.com.    IN    A    8.30.221.254
igornykm.sci.cqu.com.    IN    A    49.51.232.168
rbwgodta.sci.cqu.com.    IN    A    46.54.83.178
jxnwaoyp.sci.cqu.com.    IN    A    75.73.236.164
dwpqhktj.sci.cqu.com.    IN    A    226.52.221.115
ewcrdjgi.sci.cqu.com.    IN    A    57.206.235.73
ntfuksyw.sci.cqu.com.    IN    A    56.52.172.233
gtxkiqhj.sci.cqu.com.    IN    A    235.75.125.192
sdiohcql.sci.cqu.com.    IN    A    250.169.216.190
kdasyeuc.sci.cqu.com.    IN    A    232.83.236.30
byodnmuq.sci.cqu.com.    IN    A    196.59.144.255
jsrepoga.sci.cqu.com.    IN    A    160.208.166.153
fnuecrqm.sci.cqu.com.    IN    A    180.204.145.104
buyojftw.sci.cqu.com.    IN    A    2.62.105.177
bvsqgopm.sci.cqu.com.    IN    A    72.223.198.32
ocwxmjyb.sci.cqu.com.    IN    A    41.195.74.206
vjlcukep.sci.cqu.com.    IN    A    213.103.158.5
clenyqpu.sci.cqu.com.    IN    A    16.143.211.162
sugnraiq.sci.cqu.com.    IN    A    67.245.201.54
lydfhqpc.sci.cqu.com.    IN    A    58.101.47.200
cravietp.sci.cqu.com.    IN    A    240.232.164.129
fhkcyjgd.sci.cqu.com.    IN    A    23.56.34.53
ntgqbfwp.sci.cqu.com.    IN    A    247.32.54.100
mfpqtxve.sci.cqu.com.    IN    A    26.81.51.184
cljpayte.sci.cqu.com.    IN    A    94.173.100.134
lokmhvwt.sci.cqu.com.    IN    A    61.199.53.146
sbrfvotm.sci.cqu.com.    IN    A    243.215.176.209
nwklsxqc.sci.cqu.com.    IN    A    67.245.47.165
jmpuxyde.sci.cqu.com.    IN    A    161.242.144.62
etjalxcv.sci.cqu.com.    IN    A    202.93.8.143
iteormvy.sci.cqu.com.    IN    A    34.108.41.115
njubmlvg.sci.cqu.com.    IN    A    36.19.74.68
sgyiwcdm.sci.cqu.com.    IN    A    27.58.217.156
qxgkujsc.sci.cqu.com.    IN    A    131.164.123.95
yuserbgf.sci.cqu.com.    IN    A    81.18.245.46
arigjxev.sci.cqu.com.    IN    A    201.74.161.152
vykrglea.sci.cqu.com.    IN    A    105.149.54.240
tmhavncy.sci.cqu.com.    IN    A    118.143.230.64
fgkiboqm.sci.cqu.com.    IN    A    91.84.203.68
pemvahsc.sci.cqu.com.    IN    A    106.147.128.30
oqinugea.sci.cqu.com.    IN    A    210.206.101.153
lxmbpjkn.sci.cqu.com.    IN    A    108.211.188.35
qlstrfkd.sci.cqu.com.    IN    A    213.129.129.194
ycrmdojf.sci.cqu.com.    IN    A    13.53.183.120
hyasmtvn.sci.cqu.com.    IN    A    111.17.96.59
prjhioxt.sci.cqu.com.    IN    A    196.60.3.238
ymxwubcj.sci.cqu.com.    IN    A    129.30.198.176
rncygjsa.sci.cqu.com.    IN    A    7.81.49.78
tdgpihou.sci.cqu.com.    IN    A    67.33.24.146
jednqhko.sci.cqu.com.    IN    A    108.176.184.176
vytrksic.sci.cqu.com.    IN    A    117.185.73.100
ktmbwfvq.sci.cqu.com.    IN    A    220.148.171.7
bfjvkrci.sci.cqu.com.    IN    A    123.246.171.229
obtlmwun.sci.cqu.com.    IN    A    112.146.96.129
patvnbex.sci.cqu.com.    IN    A    165.51.40.127
gmawqnlb.sci.cqu.com.    IN    A    138.1.115.166
umhpinrs.sci.cqu.com.    IN    A    137.12.226.165
lpvyhioa.sci.cqu.com.    IN    A    139.236.134.128
wvmbtgon.sci.cqu.com.    IN    A    208.164.200.243
ykrhxinf.sci.cqu.com.    IN    A    214.188.165.115
iylpmodb.sci.cqu.com.    IN    A    44.163.35.108
aliftmgo.sci.cqu.com.    IN    A    26.62.168.25
uckgwayj.sci.cqu.com.    IN    A    217.52.39.144
iutvkfra.sci.cqu.com.    IN    A    63.41.9.14
asjwpbhf.sci.cqu.com.    IN    A    5.1.53.219
fqgmxsoc.sci.cqu.com.    IN    A    57.253.163.124
vdrfmolp.sci.cqu.com.    IN    A    24.240.152.213
osvpqjfk.sci.cqu.com.    IN    A    205.94.128.92
bpvirelf.sci.cqu.com.    IN    A    72.71.166.1
jkedxtoi.sci.cqu.com.    IN    A    140.196.16.56
iwxlmjab.sci.cqu.com.    IN    A    42.245.229.24
vwkymgcb.sci.cqu.com.    IN    A    64.38.11.179
bmjrsohc.sci.cqu.com.    IN    A    85.122.101.63
lrxvkpca.sci.cqu.com.    IN    A    25.115.82.215
aruikyse.sci.cqu.com.    IN    A    21.105.156.246
hgsjqtwy.sci.cqu.com.    IN    A    13.166.240.219
fvscuhpt.sci.cqu.com.    IN    A    199.28.139.253
