group,dataset,dataset_id,files,total_rr,A,AAAA,NS,SOA,MX,TXT,CNAME,DNAME,wildcard,rewrite_rr,rewrite_ratio,delegation_rr,delegation_ratio,avg_rr_per_file,max_rr_per_file,avg_owner_depth,max_owner_depth,category
files-100-500,webd.pl,files-100-500/webd.pl,287,2451,510,0,1191,287,274,21,168,0,0,168,0.06854345165238677,1478,0.6030191758465933,8.54006968641115,834,3.1117911056711547,5,rewrite-heavy
files-100-500,webng.com,files-100-500/webng.com,270,783,507,0,5,270,1,0,0,0,0,0,0.0,275,0.351213282247765,2.9,30,3.0063856960408684,4,delegation-heavy
files-100-500,webself.net,files-100-500/webself.net,332,999,332,0,5,332,330,0,0,0,0,0,0.0,337,0.33733733733733734,3.0090361445783134,8,3.5055055055055053,5,delegation-heavy
files-100-500,website-start.de,files-100-500/website-start.de,341,2226,548,3,1332,341,2,0,0,0,0,0,0.0,1673,0.7515723270440252,6.527859237536657,872,3.0238095238095237,4,delegation-heavy
files-100-500,webwealth.us,files-100-500/webwealth.us,159,450,159,0,4,159,128,0,0,0,0,0,0.0,163,0.3622222222222222,2.830188679245283,7,3.097777777777778,4,delegation-heavy
files-100-500,wednet.edu,files-100-500/wednet.edu,151,2433,544,0,1286,151,292,77,83,0,0,83,0.034114262227702426,1437,0.5906288532675709,16.112582781456954,673,3.2979860254829427,5,delegation-heavy
files-100-500,wendellbennett.com,files-100-500/wendellbennett.com,108,755,109,0,430,108,108,0,0,0,0,0,0.0,538,0.7125827814569536,6.9907407407407405,220,2.993377483443709,3,delegation-heavy
files-100-500,wertot.com,files-100-500/wertot.com,220,569,220,0,5,220,124,0,0,0,0,0,0.0,225,0.3954305799648506,2.5863636363636364,8,2.9859402460456943,3,delegation-heavy
files-100-500,wo.tc,files-100-500/wo.tc,256,3415,472,0,2564,256,110,12,1,0,0,1,0.00029282576866764275,2820,0.8257686676427526,13.33984375,1397,3.049194729136164,5,delegation-heavy
files-100-500,www.de,files-100-500/www.de,175,1048,175,0,698,175,0,0,0,0,0,0,0.0,873,0.8330152671755725,5.988571428571428,322,3.1106870229007635,5,delegation-heavy
files-100-500,x-y.net,files-100-500/x-y.net,102,739,130,0,406,102,101,0,0,0,0,0,0.0,508,0.6874154262516915,7.245098039215686,228,3.010825439783491,4,delegation-heavy
files-100-500,x0.com,files-100-500/x0.com,322,2337,342,0,1290,322,324,0,59,0,0,59,0.025246041934103552,1612,0.6897732135216089,7.25776397515528,657,3.029097133076594,4,delegation-heavy
files-100-500,x10.mx,files-100-500/x10.mx,107,853,163,0,442,107,115,6,20,0,0,20,0.023446658851113716,549,0.6436107854630715,7.97196261682243,289,3.0433763188745604,4,delegation-heavy
files-100-500,xii.jp,files-100-500/xii.jp,240,1698,247,0,964,240,239,0,8,0,0,8,0.004711425206124852,1204,0.7090694935217904,7.075,492,3.002944640753828,4,delegation-heavy
files-100-500,xitinblog.net,files-100-500/xitinblog.net,269,1612,269,0,1074,269,0,0,0,0,0,0,0.0,1343,0.8331265508684863,5.992565055762082,540,2.997518610421836,3,delegation-heavy
files-100-500,xoom.it,files-100-500/xoom.it,281,1732,271,0,1180,281,0,0,0,0,0,0,0.0,1461,0.8435334872979214,6.1637010676156585,655,3.0011547344110854,4,delegation-heavy
files-100-500,xsrv.jp,files-100-500/xsrv.jp,167,2394,369,0,1515,167,339,4,0,0,0,0,0.0,1682,0.7025898078529658,14.335329341317365,1140,2.9974937343358397,3,delegation-heavy
files-100-500,yahoo.com,files-100-500/yahoo.com,151,25974,2343,10,1195,151,1671,75,20529,0,0,20529,0.7903672903672904,1346,0.051821051821051824,172.01324503311258,20436,4.0364980364980365,9,rewrite-heavy
files-100-500,yale.edu,files-100-500/yale.edu,201,3357,740,1,1612,201,296,1,506,0,0,506,0.15072981829014,1813,0.5400655347036044,16.70149253731343,999,3.350312779267203,5,rewrite-heavy
files-100-500,yorku.ca,files-100-500/yorku.ca,108,1414,480,3,643,108,34,0,146,0,0,146,0.10325318246110325,751,0.5311173974540311,13.092592592592593,381,3.487977369165488,9,rewrite-heavy
files-100-500,yourfreehosting.net,files-100-500/yourfreehosting.net,287,1720,287,0,1146,287,0,0,0,0,0,0,0.0,1433,0.833139534883721,5.993031358885017,572,3.0046511627906978,4,delegation-heavy
files-100-500,yourprospex.com,files-100-500/yourprospex.com,175,357,175,0,5,175,2,0,0,0,0,0,0.0,180,0.5042016806722689,2.04,9,2.9971988795518207,4,delegation-heavy
files-100-500,za.net,files-100-500/za.net,372,5051,1070,29,2515,372,672,121,272,0,0,272,0.05385072262918234,2887,0.5715699861413581,13.577956989247312,1867,3.1773906157196596,6,rewrite-heavy
files-100-500,zgora.pl,files-100-500/zgora.pl,220,3669,1200,21,1760,220,258,68,142,0,0,142,0.038702643772144996,1980,0.5396565821749796,16.677272727272726,2042,3.229490324339057,7,delegation-heavy
files-100-500,zhp.pl,files-100-500/zhp.pl,144,1264,205,0,681,144,160,16,58,0,0,58,0.04588607594936709,825,0.6526898734177216,8.777777777777779,344,3.2009493670886076,6,delegation-heavy
